 

stn;time;rre150d0
AFI;19900101;0.0
AFI;19900102;0.0
AFI;19900103;0.0
AFI;19900104;0.0
AFI;19900105;0.5
AFI;19900106;2.4
AFI;19900107;0.0
AFI;19900108;0.0
AFI;19900109;0.0
AFI;19900110;0.0
AFI;19900111;0.0
AFI;19900112;0.0
AFI;19900113;0.0
AFI;19900114;0.0
AFI;19900115;0.7
AFI;19900116;0.0
AFI;19900117;4.7
AFI;19900118;1.2
AFI;19900119;0.0
AFI;19900120;0.3
AFI;19900121;0.0
AFI;19900122;0.0
AFI;19900123;4.3
AFI;19900124;1.6
AFI;19900125;16.6
AFI;19900126;0.1
AFI;19900127;0.0
AFI;19900128;3.9
AFI;19900129;0.0
AFI;19900130;0.0
AFI;19900131;0.0
AFI;19900201;0.0
AFI;19900202;7.5
AFI;19900203;0.4
AFI;19900204;0.0
AFI;19900205;0.0
AFI;19900206;0.0
AFI;19900207;0.0
AFI;19900208;0.7
AFI;19900209;0.0
AFI;19900210;8.1
AFI;19900211;1.1
AFI;19900212;4.7
AFI;19900213;20.5
AFI;19900214;32.0
AFI;19900215;6.4
AFI;19900216;1.3
AFI;19900217;0.8
AFI;19900218;0.0
AFI;19900219;0.0
AFI;19900220;0.0
AFI;19900221;0.0
AFI;19900222;0.0
AFI;19900223;0.0
AFI;19900224;0.0
AFI;19900225;0.0
AFI;19900226;14.6
AFI;19900227;21.1
AFI;19900228;13.7
AFI;19900301;2.6
AFI;19900302;0.0
AFI;19900303;0.0
AFI;19900304;0.0
AFI;19900305;0.0
AFI;19900306;0.0
AFI;19900307;0.0
AFI;19900308;0.0
AFI;19900309;0.0
AFI;19900310;0.0
AFI;19900311;0.0
AFI;19900312;0.0
AFI;19900313;0.0
AFI;19900314;4.1
AFI;19900315;0.1
AFI;19900316;0.0
AFI;19900317;0.0
AFI;19900318;0.0
AFI;19900319;0.0
AFI;19900320;1.5
AFI;19900321;0.0
AFI;19900322;5.0
AFI;19900323;0.0
AFI;19900324;0.0
AFI;19900325;2.9
AFI;19900326;0.0
AFI;19900327;13.2
AFI;19900328;4.6
AFI;19900329;1.8
AFI;19900330;0.0
AFI;19900331;0.0
AFI;19900401;0.0
AFI;19900402;0.0
AFI;19900403;7.4
AFI;19900404;0.0
AFI;19900405;5.2
AFI;19900406;0.6
AFI;19900407;1.6
AFI;19900408;4.4
AFI;19900409;1.5
AFI;19900410;0.4
AFI;19900411;5.0
AFI;19900412;0.1
AFI;19900413;0.0
AFI;19900414;2.2
AFI;19900415;3.1
AFI;19900416;0.9
AFI;19900417;1.5
AFI;19900418;1.2
AFI;19900419;0.0
AFI;19900420;0.0
AFI;19900421;0.0
AFI;19900422;4.4
AFI;19900423;12.2
AFI;19900424;0.3
AFI;19900425;1.6
AFI;19900426;2.3
AFI;19900427;0.7
AFI;19900428;0.0
AFI;19900429;0.0
AFI;19900430;0.0
AFI;19900501;0.0
AFI;19900502;0.0
AFI;19900503;0.0
AFI;19900504;0.0
AFI;19900505;0.5
AFI;19900506;3.1
AFI;19900507;0.0
AFI;19900508;0.4
AFI;19900509;0.0
AFI;19900510;5.5
AFI;19900511;10.0
AFI;19900512;0.0
AFI;19900513;4.1
AFI;19900514;0.0
AFI;19900515;0.0
AFI;19900516;0.0
AFI;19900517;0.0
AFI;19900518;0.0
AFI;19900519;0.5
AFI;19900520;5.2
AFI;19900521;4.1
AFI;19900522;0.2
AFI;19900523;0.0
AFI;19900524;17.2
AFI;19900525;0.0
AFI;19900526;0.0
AFI;19900527;0.0
AFI;19900528;0.0
AFI;19900529;0.0
AFI;19900530;0.0
AFI;19900531;0.0
AFI;19900601;0.0
AFI;19900602;17.3
AFI;19900603;5.6
AFI;19900604;0.5
AFI;19900605;18.5
AFI;19900606;0.2
AFI;19900607;12.3
AFI;19900608;13.5
AFI;19900609;15.1
AFI;19900610;4.1
AFI;19900611;0.0
AFI;19900612;6.5
AFI;19900613;2.9
AFI;19900614;0.0
AFI;19900615;0.2
AFI;19900616;0.0
AFI;19900617;0.2
AFI;19900618;0.3
AFI;19900619;0.2
AFI;19900620;16.5
AFI;19900621;2.9
AFI;19900622;4.1
AFI;19900623;0.4
AFI;19900624;0.0
AFI;19900625;0.0
AFI;19900626;0.0
AFI;19900627;5.6
AFI;19900628;0.0
AFI;19900629;14.0
AFI;19900630;24.1
AFI;19900701;0.1
AFI;19900702;0.0
AFI;19900703;14.6
AFI;19900704;0.3
AFI;19900705;9.7
AFI;19900706;0.0
AFI;19900707;12.6
AFI;19900708;0.2
AFI;19900709;1.1
AFI;19900710;0.0
AFI;19900711;0.0
AFI;19900712;0.0
AFI;19900713;0.0
AFI;19900714;0.0
AFI;19900715;0.0
AFI;19900716;0.0
AFI;19900717;0.0
AFI;19900718;0.0
AFI;19900719;0.0
AFI;19900720;0.0
AFI;19900721;0.0
AFI;19900722;1.8
AFI;19900723;0.0
AFI;19900724;0.0
AFI;19900725;0.0
AFI;19900726;0.0
AFI;19900727;0.0
AFI;19900728;0.0
AFI;19900729;0.0
AFI;19900730;13.7
AFI;19900731;8.1
AFI;19900801;0.0
AFI;19900802;0.0
AFI;19900803;0.0
AFI;19900804;0.0
AFI;19900805;0.2
AFI;19900806;0.0
AFI;19900807;0.0
AFI;19900808;0.0
AFI;19900809;0.0
AFI;19900810;0.0
AFI;19900811;0.0
AFI;19900812;0.0
AFI;19900813;0.1
AFI;19900814;13.5
AFI;19900815;0.1
AFI;19900816;5.2
AFI;19900817;0.5
AFI;19900818;0.0
AFI;19900819;0.0
AFI;19900820;0.0
AFI;19900821;0.0
AFI;19900822;0.0
AFI;19900823;0.0
AFI;19900824;0.0
AFI;19900825;4.5
AFI;19900826;0.3
AFI;19900827;0.0
AFI;19900828;0.0
AFI;19900829;3.7
AFI;19900830;38.1
AFI;19900831;6.5
AFI;19900901;0.0
AFI;19900902;0.0
AFI;19900903;4.2
AFI;19900904;0.6
AFI;19900905;0.0
AFI;19900906;4.2
AFI;19900907;4.7
AFI;19900908;0.3
AFI;19900909;0.1
AFI;19900910;2.1
AFI;19900911;0.0
AFI;19900912;0.0
AFI;19900913;0.0
AFI;19900914;0.0
AFI;19900915;0.3
AFI;19900916;0.0
AFI;19900917;0.0
AFI;19900918;0.0
AFI;19900919;0.0
AFI;19900920;0.0
AFI;19900921;2.0
AFI;19900922;19.1
AFI;19900923;12.8
AFI;19900924;0.1
AFI;19900925;0.1
AFI;19900926;0.0
AFI;19900927;0.0
AFI;19900928;0.0
AFI;19900929;0.2
AFI;19900930;14.7
AFI;19901001;2.7
AFI;19901002;0.0
AFI;19901003;4.2
AFI;19901004;10.7
AFI;19901005;0.1
AFI;19901006;0.0
AFI;19901007;10.5
AFI;19901008;0.0
AFI;19901009;0.1
AFI;19901010;0.1
AFI;19901011;0.3
AFI;19901012;0.0
AFI;19901013;0.0
AFI;19901014;0.3
AFI;19901015;0.0
AFI;19901016;1.5
AFI;19901017;2.5
AFI;19901018;0.2
AFI;19901019;0.0
AFI;19901020;0.0
AFI;19901021;0.0
AFI;19901022;0.0
AFI;19901023;0.0
AFI;19901024;0.2
AFI;19901025;0.7
AFI;19901026;1.0
AFI;19901027;1.3
AFI;19901028;26.5
AFI;19901029;23.5
AFI;19901030;9.6
AFI;19901031;7.6
AFI;19901101;6.9
AFI;19901102;3.8
AFI;19901103;1.2
AFI;19901104;4.4
AFI;19901105;3.6
AFI;19901106;0.0
AFI;19901107;0.0
AFI;19901108;0.0
AFI;19901109;0.0
AFI;19901110;3.9
AFI;19901111;12.0
AFI;19901112;0.1
AFI;19901113;1.7
AFI;19901114;5.0
AFI;19901115;11.5
AFI;19901116;0.2
AFI;19901117;0.1
AFI;19901118;1.6
AFI;19901119;4.3
AFI;19901120;6.9
AFI;19901121;8.2
AFI;19901122;35.8
AFI;19901123;0.0
AFI;19901124;0.0
AFI;19901125;1.1
AFI;19901126;0.1
AFI;19901127;2.2
AFI;19901128;0.0
AFI;19901129;1.0
AFI;19901130;0.0
AFI;19901201;0.0
AFI;19901202;0.0
AFI;19901203;0.0
AFI;19901204;1.1
AFI;19901205;0.0
AFI;19901206;0.0
AFI;19901207;0.0
AFI;19901208;0.0
AFI;19901209;0.1
AFI;19901210;3.0
AFI;19901211;0.0
AFI;19901212;6.3
AFI;19901213;2.7
AFI;19901214;0.3
AFI;19901215;0.2
AFI;19901216;0.0
AFI;19901217;0.0
AFI;19901218;0.0
AFI;19901219;0.1
AFI;19901220;0.6
AFI;19901221;2.9
AFI;19901222;0.2
AFI;19901223;0.0
AFI;19901224;0.0
AFI;19901225;4.6
AFI;19901226;7.2
AFI;19901227;5.0
AFI;19901228;0.0
AFI;19901229;3.1
AFI;19901230;9.1
AFI;19901231;8.3
AFI;19910101;1.0
AFI;19910102;5.7
AFI;19910103;0.0
AFI;19910104;2.9
AFI;19910105;3.7
AFI;19910106;7.7
AFI;19910107;11.1
AFI;19910108;0.5
AFI;19910109;1.1
AFI;19910110;0.0
AFI;19910111;3.7
AFI;19910112;2.9
AFI;19910113;6.3
AFI;19910114;0.0
AFI;19910115;0.0
AFI;19910116;0.0
AFI;19910117;0.0
AFI;19910118;0.0
AFI;19910119;3.2
AFI;19910120;0.0
AFI;19910121;1.2
AFI;19910122;0.0
AFI;19910123;0.0
AFI;19910124;0.0
AFI;19910125;0.0
AFI;19910126;0.0
AFI;19910127;0.0
AFI;19910128;0.0
AFI;19910129;0.0
AFI;19910130;0.0
AFI;19910131;0.0
AFI;19910201;0.0
AFI;19910202;0.0
AFI;19910203;0.0
AFI;19910204;0.0
AFI;19910205;0.2
AFI;19910206;0.0
AFI;19910207;0.0
AFI;19910208;1.9
AFI;19910209;9.3
AFI;19910210;0.7
AFI;19910211;0.2
AFI;19910212;0.0
AFI;19910213;0.0
AFI;19910214;0.2
AFI;19910215;1.1
AFI;19910216;0.4
AFI;19910217;0.0
AFI;19910218;0.0
AFI;19910219;0.0
AFI;19910220;0.0
AFI;19910221;0.5
AFI;19910222;0.0
AFI;19910223;0.0
AFI;19910224;0.0
AFI;19910225;0.0
AFI;19910226;0.0
AFI;19910227;0.0
AFI;19910228;2.4
AFI;19910301;0.0
AFI;19910302;7.4
AFI;19910303;0.0
AFI;19910304;0.0
AFI;19910305;0.0
AFI;19910306;0.0
AFI;19910307;0.0
AFI;19910308;0.0
AFI;19910309;7.7
AFI;19910310;0.0
AFI;19910311;2.3
AFI;19910312;0.2
AFI;19910313;0.2
AFI;19910314;0.0
AFI;19910315;0.0
AFI;19910316;0.0
AFI;19910317;0.0
AFI;19910318;0.0
AFI;19910319;8.6
AFI;19910320;0.1
AFI;19910321;6.3
AFI;19910322;17.2
AFI;19910323;0.0
AFI;19910324;0.0
AFI;19910325;0.4
AFI;19910326;4.8
AFI;19910327;0.1
AFI;19910328;0.0
AFI;19910329;0.0
AFI;19910330;0.0
AFI;19910331;0.0
AFI;19910401;0.0
AFI;19910402;0.0
AFI;19910403;7.8
AFI;19910404;5.4
AFI;19910405;6.6
AFI;19910406;0.0
AFI;19910407;0.0
AFI;19910408;0.0
AFI;19910409;0.0
AFI;19910410;0.0
AFI;19910411;0.0
AFI;19910412;0.0
AFI;19910413;0.1
AFI;19910414;0.0
AFI;19910415;0.0
AFI;19910416;0.1
AFI;19910417;0.1
AFI;19910418;3.2
AFI;19910419;1.5
AFI;19910420;0.0
AFI;19910421;0.1
AFI;19910422;2.2
AFI;19910423;1.1
AFI;19910424;0.0
AFI;19910425;0.0
AFI;19910426;0.0
AFI;19910427;4.2
AFI;19910428;2.0
AFI;19910429;2.6
AFI;19910430;5.2
AFI;19910501;1.2
AFI;19910502;0.3
AFI;19910503;0.0
AFI;19910504;3.0
AFI;19910505;0.0
AFI;19910506;0.0
AFI;19910507;0.3
AFI;19910508;0.0
AFI;19910509;0.0
AFI;19910510;17.9
AFI;19910511;41.6
AFI;19910512;0.4
AFI;19910513;0.0
AFI;19910514;5.8
AFI;19910515;9.9
AFI;19910516;5.0
AFI;19910517;11.2
AFI;19910518;6.6
AFI;19910519;0.0
AFI;19910520;0.0
AFI;19910521;0.0
AFI;19910522;0.0
AFI;19910523;0.0
AFI;19910524;0.0
AFI;19910525;4.4
AFI;19910526;0.7
AFI;19910527;0.0
AFI;19910528;0.0
AFI;19910529;0.0
AFI;19910530;0.0
AFI;19910531;0.0
AFI;19910601;0.0
AFI;19910602;3.9
AFI;19910603;5.8
AFI;19910604;0.0
AFI;19910605;6.4
AFI;19910606;19.2
AFI;19910607;4.8
AFI;19910608;3.0
AFI;19910609;8.1
AFI;19910610;0.3
AFI;19910611;0.0
AFI;19910612;2.6
AFI;19910613;0.1
AFI;19910614;0.0
AFI;19910615;12.6
AFI;19910616;33.7
AFI;19910617;17.3
AFI;19910618;0.8
AFI;19910619;0.0
AFI;19910620;8.3
AFI;19910621;0.0
AFI;19910622;3.4
AFI;19910623;6.3
AFI;19910624;1.2
AFI;19910625;0.0
AFI;19910626;3.0
AFI;19910627;0.5
AFI;19910628;9.5
AFI;19910629;0.0
AFI;19910630;0.0
AFI;19910701;0.0
AFI;19910702;0.0
AFI;19910703;0.0
AFI;19910704;0.0
