 

stn;time;rre150d0
AFT;19900101;0.0
AFT;19900102;0.0
AFT;19900103;0.0
AFT;19900104;0.0
AFT;19900105;1.5
AFT;19900106;0.7
AFT;19900107;0.0
AFT;19900108;0.0
AFT;19900109;0.0
AFT;19900110;0.0
AFT;19900111;0.0
AFT;19900112;0.0
AFT;19900113;0.0
AFT;19900114;0.0
AFT;19900115;0.4
AFT;19900116;0.0
AFT;19900117;4.0
AFT;19900118;2.2
AFT;19900119;0.0
AFT;19900120;0.8
AFT;19900121;0.0
AFT;19900122;0.0
AFT;19900123;1.6
AFT;19900124;2.0
AFT;19900125;14.5
AFT;19900126;1.5
AFT;19900127;0.0
AFT;19900128;1.5
AFT;19900129;0.0
AFT;19900130;0.0
AFT;19900131;0.0
AFT;19900201;0.0
AFT;19900202;4.8
AFT;19900203;0.1
AFT;19900204;0.0
AFT;19900205;0.0
AFT;19900206;0.0
AFT;19900207;0.0
AFT;19900208;0.8
AFT;19900209;0.0
AFT;19900210;6.3
AFT;19900211;1.3
AFT;19900212;4.0
AFT;19900213;13.3
AFT;19900214;25.5
AFT;19900215;6.0
AFT;19900216;3.8
AFT;19900217;0.4
AFT;19900218;0.0
AFT;19900219;0.0
AFT;19900220;0.0
AFT;19900221;0.0
AFT;19900222;0.0
AFT;19900223;0.0
AFT;19900224;0.0
AFT;19900225;0.1
AFT;19900226;26.0
AFT;19900227;16.8
AFT;19900228;11.5
AFT;19900301;1.8
AFT;19900302;0.3
AFT;19900303;0.0
AFT;19900304;0.0
AFT;19900305;0.0
AFT;19900306;0.0
AFT;19900307;0.0
AFT;19900308;0.5
AFT;19900309;0.0
AFT;19900310;0.0
AFT;19900311;0.0
AFT;19900312;0.0
AFT;19900313;0.0
AFT;19900314;0.7
AFT;19900315;0.0
AFT;19900316;0.0
AFT;19900317;0.0
AFT;19900318;0.0
AFT;19900319;0.0
AFT;19900320;7.6
AFT;19900321;0.0
AFT;19900322;16.5
AFT;19900323;0.1
AFT;19900324;4.0
AFT;19900325;3.5
AFT;19900326;2.0
AFT;19900327;18.0
AFT;19900328;3.4
AFT;19900329;1.9
AFT;19900330;0.0
AFT;19900331;0.0
AFT;19900401;0.0
AFT;19900402;0.0
AFT;19900403;10.0
AFT;19900404;0.0
AFT;19900405;0.6
AFT;19900406;0.0
AFT;19900407;6.0
AFT;19900408;2.1
AFT;19900409;0.4
AFT;19900410;0.1
AFT;19900411;5.0
AFT;19900412;0.5
AFT;19900413;0.0
AFT;19900414;0.8
AFT;19900415;5.6
AFT;19900416;0.9
AFT;19900417;3.3
AFT;19900418;1.2
AFT;19900419;0.0
AFT;19900420;0.0
AFT;19900421;0.0
AFT;19900422;1.5
AFT;19900423;8.5
AFT;19900424;1.5
AFT;19900425;0.1
AFT;19900426;1.7
AFT;19900427;0.3
AFT;19900428;0.0
AFT;19900429;0.0
AFT;19900430;0.0
AFT;19900501;0.0
AFT;19900502;0.0
AFT;19900503;0.0
AFT;19900504;0.0
AFT;19900505;0.2
AFT;19900506;5.3
AFT;19900507;0.0
AFT;19900508;2.4
AFT;19900509;0.0
AFT;19900510;8.0
AFT;19900511;11.0
AFT;19900512;0.0
AFT;19900513;6.9
AFT;19900514;0.2
AFT;19900515;0.0
AFT;19900516;0.0
AFT;19900517;0.0
AFT;19900518;0.0
AFT;19900519;0.0
AFT;19900520;4.7
AFT;19900521;0.5
AFT;19900522;0.0
AFT;19900523;0.0
AFT;19900524;30.6
AFT;19900525;8.8
AFT;19900526;0.0
AFT;19900527;0.0
AFT;19900528;0.0
AFT;19900529;0.0
AFT;19900530;0.0
AFT;19900531;0.0
AFT;19900601;0.0
AFT;19900602;12.9
AFT;19900603;3.1
AFT;19900604;2.7
AFT;19900605;11.5
AFT;19900606;0.1
AFT;19900607;10.7
AFT;19900608;9.5
AFT;19900609;9.5
AFT;19900610;5.2
AFT;19900611;0.0
AFT;19900612;14.4
AFT;19900613;0.6
AFT;19900614;1.4
AFT;19900615;0.0
AFT;19900616;0.0
AFT;19900617;0.0
AFT;19900618;4.9
AFT;19900619;0.6
AFT;19900620;18.0
AFT;19900621;2.1
AFT;19900622;2.7
AFT;19900623;0.3
AFT;19900624;0.0
AFT;19900625;0.0
AFT;19900626;0.0
AFT;19900627;8.5
AFT;19900628;0.0
AFT;19900629;9.2
AFT;19900630;9.6
AFT;19900701;0.2
AFT;19900702;0.0
AFT;19900703;19.0
AFT;19900704;0.0
AFT;19900705;11.2
AFT;19900706;0.0
AFT;19900707;11.2
AFT;19900708;1.6
AFT;19900709;0.9
AFT;19900710;0.0
AFT;19900711;0.0
AFT;19900712;0.0
AFT;19900713;0.0
AFT;19900714;0.0
AFT;19900715;0.0
AFT;19900716;0.0
AFT;19900717;5.0
AFT;19900718;0.0
AFT;19900719;0.0
AFT;19900720;0.0
AFT;19900721;0.0
AFT;19900722;0.0
AFT;19900723;0.0
AFT;19900724;0.0
AFT;19900725;0.0
AFT;19900726;0.0
AFT;19900727;0.0
AFT;19900728;0.0
AFT;19900729;0.0
AFT;19900730;9.5
AFT;19900731;0.0
AFT;19900801;0.0
AFT;19900802;0.0
AFT;19900803;0.0
AFT;19900804;0.0
AFT;19900805;2.4
AFT;19900806;0.1
AFT;19900807;0.0
AFT;19900808;0.0
AFT;19900809;0.0
AFT;19900810;0.0
AFT;19900811;0.0
AFT;19900812;0.0
AFT;19900813;0.1
AFT;19900814;3.0
AFT;19900815;0.0
AFT;19900816;9.7
AFT;19900817;0.9
AFT;19900818;0.0
AFT;19900819;0.0
AFT;19900820;0.0
AFT;19900821;0.0
AFT;19900822;0.0
AFT;19900823;0.0
AFT;19900824;0.0
AFT;19900825;11.0
AFT;19900826;3.5
AFT;19900827;0.0
AFT;19900828;0.0
AFT;19900829;1.2
AFT;19900830;0.5
AFT;19900831;15.4
AFT;19900901;0.0
AFT;19900902;0.3
AFT;19900903;3.7
AFT;19900904;7.4
AFT;19900905;0.0
AFT;19900906;3.3
AFT;19900907;7.8
AFT;19900908;0.5
AFT;19900909;0.0
AFT;19900910;4.4
AFT;19900911;0.0
AFT;19900912;0.0
AFT;19900913;0.4
