 

stn;time;rre150d0
AMW;19900101;0.0
AMW;19900102;0.0
AMW;19900103;0.0
AMW;19900104;0.0
AMW;19900105;3.6
AMW;19900106;1.7
AMW;19900107;0.0
AMW;19900108;0.0
AMW;19900109;0.0
AMW;19900110;0.0
AMW;19900111;0.0
AMW;19900112;0.0
AMW;19900113;0.0
AMW;19900114;0.0
AMW;19900115;0.2
AMW;19900116;0.2
AMW;19900117;1.6
AMW;19900118;2.1
AMW;19900119;0.0
AMW;19900120;1.4
AMW;19900121;0.0
AMW;19900122;0.0
AMW;19900123;1.9
AMW;19900124;3.1
AMW;19900125;14.1
AMW;19900126;0.8
AMW;19900127;0.0
AMW;19900128;1.9
AMW;19900129;0.0
AMW;19900130;0.0
AMW;19900131;0.0
AMW;19900201;0.0
AMW;19900202;3.1
AMW;19900203;1.3
AMW;19900204;0.0
AMW;19900205;0.0
AMW;19900206;0.0
AMW;19900207;0.0
AMW;19900208;1.0
AMW;19900209;0.0
AMW;19900210;6.0
AMW;19900211;1.1
AMW;19900212;2.2
AMW;19900213;14.5
AMW;19900214;28.5
AMW;19900215;3.8
AMW;19900216;4.5
AMW;19900217;0.0
AMW;19900218;0.0
AMW;19900219;0.0
AMW;19900220;0.0
AMW;19900221;0.0
AMW;19900222;0.0
AMW;19900223;0.0
AMW;19900224;0.0
AMW;19900225;0.9
AMW;19900226;22.0
AMW;19900227;14.9
AMW;19900228;8.4
AMW;19900301;2.9
AMW;19900302;3.3
AMW;19900303;0.0
AMW;19900304;0.0
AMW;19900305;0.0
AMW;19900306;0.0
AMW;19900307;0.0
AMW;19900308;0.4
AMW;19900309;0.0
AMW;19900310;0.0
AMW;19900311;0.0
AMW;19900312;0.0
AMW;19900313;0.0
AMW;19900314;4.1
AMW;19900315;0.0
AMW;19900316;0.0
AMW;19900317;0.0
AMW;19900318;0.0
AMW;19900319;0.0
AMW;19900320;4.4
AMW;19900321;0.0
AMW;19900322;11.9
AMW;19900323;2.2
AMW;19900324;0.0
AMW;19900325;6.2
AMW;19900326;0.6
AMW;19900327;8.0
AMW;19900328;5.7
AMW;19900329;1.3
AMW;19900330;0.0
AMW;19900331;0.0
AMW;19900401;0.0
AMW;19900402;0.0
AMW;19900403;9.6
AMW;19900404;0.0
AMW;19900405;0.5
AMW;19900406;0.0
AMW;19900407;6.5
AMW;19900408;0.2
AMW;19900409;0.1
AMW;19900410;2.4
AMW;19900411;7.7
AMW;19900412;5.4
AMW;19900413;0.0
AMW;19900414;0.0
AMW;19900415;5.7
AMW;19900416;4.0
AMW;19900417;1.8
AMW;19900418;1.2
AMW;19900419;0.0
AMW;19900420;0.0
AMW;19900421;0.0
AMW;19900422;4.1
AMW;19900423;2.3
AMW;19900424;4.3
AMW;19900425;1.9
AMW;19900426;9.8
AMW;19900427;0.8
AMW;19900428;0.0
AMW;19900429;0.0
AMW;19900430;0.0
AMW;19900501;0.0
AMW;19900502;0.0
AMW;19900503;0.0
