 

stn;time;rre150d0
APP;19900101;0.0
APP;19900102;0.0
APP;19900103;0.0
APP;19900104;0.0
APP;19900105;6.4
APP;19900106;3.0
APP;19900107;0.0
APP;19900108;0.0
APP;19900109;0.0
APP;19900110;0.0
APP;19900111;0.0
APP;19900112;0.0
APP;19900113;0.0
APP;19900114;0.0
APP;19900115;0.0
APP;19900116;0.0
APP;19900117;0.0
APP;19900118;3.2
APP;19900119;0.0
APP;19900120;3.2
APP;19900121;0.0
APP;19900122;0.0
APP;19900123;0.9
APP;19900124;14.2
APP;19900125;17.2
APP;19900126;8.2
APP;19900127;0.0
APP;19900128;4.1
APP;19900129;0.0
APP;19900130;0.0
APP;19900131;0.0
APP;19900201;0.0
APP;19900202;3.5
APP;19900203;6.0
APP;19900204;0.0
APP;19900205;0.0
APP;19900206;0.0
APP;19900207;0.0
APP;19900208;5.3
APP;19900209;0.0
APP;19900210;5.6
APP;19900211;5.3
APP;19900212;11.1
APP;19900213;24.3
APP;19900214;42.4
APP;19900215;24.7
APP;19900216;11.2
APP;19900217;1.3
APP;19900218;0.0
APP;19900219;0.0
APP;19900220;0.0
APP;19900221;0.0
APP;19900222;0.0
APP;19900223;0.0
APP;19900224;0.0
APP;19900225;1.4
APP;19900226;32.5
APP;19900227;30.5
APP;19900228;28.8
APP;19900301;28.0
APP;19900302;4.0
APP;19900303;0.0
APP;19900304;0.0
APP;19900305;0.0
APP;19900306;0.0
APP;19900307;0.0
APP;19900308;0.0
APP;19900309;0.0
APP;19900310;0.0
APP;19900311;0.0
APP;19900312;0.0
APP;19900313;5.1
APP;19900314;17.5
APP;19900315;0.0
APP;19900316;0.0
APP;19900317;0.0
APP;19900318;0.0
APP;19900319;0.0
APP;19900320;4.0
APP;19900321;0.0
APP;19900322;25.0
APP;19900323;4.0
APP;19900324;0.1
APP;19900325;13.6
APP;19900326;6.2
APP;19900327;9.9
APP;19900328;1.0
APP;19900329;2.6
APP;19900330;0.0
APP;19900331;0.0
APP;19900401;0.0
APP;19900402;0.0
APP;19900403;7.1
APP;19900404;0.0
APP;19900405;0.0
APP;19900406;0.0
APP;19900407;15.8
APP;19900408;2.4
APP;19900409;0.8
APP;19900410;1.6
APP;19900411;15.6
APP;19900412;0.0
APP;19900413;0.0
APP;19900414;1.9
APP;19900415;9.9
APP;19900416;2.3
APP;19900417;11.6
APP;19900418;5.4
APP;19900419;0.3
APP;19900420;0.0
APP;19900421;2.6
APP;19900422;3.4
APP;19900423;6.3
APP;19900424;2.4
APP;19900425;1.8
APP;19900426;0.4
APP;19900427;3.9
APP;19900428;0.0
APP;19900429;0.0
APP;19900430;0.0
APP;19900501;0.0
APP;19900502;0.0
APP;19900503;0.0
APP;19900504;0.0
APP;19900505;0.0
APP;19900506;23.5
APP;19900507;1.9
APP;19900508;4.9
APP;19900509;14.0
APP;19900510;4.9
APP;19900511;15.6
APP;19900512;0.0
APP;19900513;9.1
APP;19900514;6.5
APP;19900515;9.9
APP;19900516;13.6
APP;19900517;0.0
APP;19900518;0.0
APP;19900519;0.4
APP;19900520;0.0
APP;19900521;10.3
APP;19900522;0.0
APP;19900523;9.0
APP;19900524;17.2
APP;19900525;18.9
APP;19900526;0.0
APP;19900527;0.0
APP;19900528;1.2
APP;19900529;0.0
APP;19900530;0.0
APP;19900531;0.0
APP;19900601;0.0
APP;19900602;11.6
APP;19900603;6.9
APP;19900604;12.7
APP;19900605;14.2
APP;19900606;2.8
APP;19900607;17.7
APP;19900608;18.7
APP;19900609;15.6
APP;19900610;10.8
APP;19900611;0.0
APP;19900612;19.0
APP;19900613;1.7
APP;19900614;2.0
APP;19900615;8.9
APP;19900616;0.0
APP;19900617;0.0
APP;19900618;6.5
APP;19900619;0.0
APP;19900620;20.4
APP;19900621;0.9
APP;19900622;6.3
APP;19900623;1.3
APP;19900624;0.2
APP;19900625;0.0
APP;19900626;0.0
APP;19900627;97.3
APP;19900628;0.1
APP;19900629;5.1
APP;19900630;24.3
APP;19900701;0.2
APP;19900702;0.0
APP;19900703;27.6
APP;19900704;0.3
APP;19900705;24.6
APP;19900706;4.6
APP;19900707;25.0
APP;19900708;3.4
APP;19900709;15.6
APP;19900710;5.9
APP;19900711;0.0
APP;19900712;0.0
APP;19900713;0.0
APP;19900714;0.0
APP;19900715;0.0
APP;19900716;0.0
APP;19900717;14.4
APP;19900718;0.0
APP;19900719;0.0
APP;19900720;0.0
APP;19900721;0.0
APP;19900722;0.0
APP;19900723;0.0
APP;19900724;0.0
APP;19900725;0.0
APP;19900726;0.0
APP;19900727;0.0
APP;19900728;0.0
APP;19900729;0.0
APP;19900730;7.6
APP;19900731;0.0
APP;19900801;0.0
APP;19900802;0.0
APP;19900803;0.0
APP;19900804;0.0
APP;19900805;17.0
APP;19900806;42.7
APP;19900807;0.0
APP;19900808;0.0
APP;19900809;0.0
APP;19900810;0.0
APP;19900811;0.0
APP;19900812;0.0
APP;19900813;2.9
APP;19900814;79.1
APP;19900815;0.0
APP;19900816;19.5
APP;19900817;1.9
APP;19900818;0.0
APP;19900819;0.0
APP;19900820;0.0
APP;19900821;0.0
APP;19900822;0.0
APP;19900823;0.0
APP;19900824;0.0
APP;19900825;18.9
APP;19900826;3.6
APP;19900827;0.0
APP;19900828;0.0
APP;19900829;2.3
APP;19900830;6.2
APP;19900831;11.5
APP;19900901;0.0
APP;19900902;2.3
APP;19900903;6.6
APP;19900904;47.7
APP;19900905;0.0
APP;19900906;8.9
APP;19900907;17.2
APP;19900908;0.0
APP;19900909;0.0
APP;19900910;11.7
APP;19900911;0.0
APP;19900912;0.0
APP;19900913;0.0
APP;19900914;3.3
APP;19900915;0.6
APP;19900916;0.0
APP;19900917;1.9
APP;19900918;0.5
APP;19900919;0.0
APP;19900920;0.2
APP;19900921;0.3
APP;19900922;57.6
APP;19900923;36.5
APP;19900924;1.2
APP;19900925;0.0
APP;19900926;0.0
APP;19900927;0.0
APP;19900928;0.0
APP;19900929;0.0
APP;19900930;8.3
APP;19901001;14.4
APP;19901002;0.0
APP;19901003;0.6
APP;19901004;25.4
APP;19901005;0.0
APP;19901006;0.0
APP;19901007;14.4
APP;19901008;2.4
APP;19901009;0.0
APP;19901010;0.0
APP;19901011;0.0
APP;19901012;0.0
APP;19901013;0.0
APP;19901014;0.0
APP;19901015;0.0
APP;19901016;0.5
APP;19901017;0.3
APP;19901018;0.0
APP;19901019;0.0
APP;19901020;0.7
APP;19901021;0.2
APP;19901022;0.0
APP;19901023;0.0
APP;19901024;0.0
APP;19901025;0.8
APP;19901026;7.4
APP;19901027;2.1
APP;19901028;12.4
APP;19901029;41.7
APP;19901030;2.4
APP;19901031;24.8
APP;19901101;8.2
APP;19901102;3.0
APP;19901103;6.4
APP;19901104;8.0
APP;19901105;6.1
APP;19901106;0.0
APP;19901107;0.0
APP;19901108;0.0
APP;19901109;0.0
APP;19901110;12.7
APP;19901111;24.2
APP;19901112;0.0
APP;19901113;1.6
APP;19901114;12.7
APP;19901115;18.5
APP;19901116;0.0
APP;19901117;0.2
APP;19901118;0.5
APP;19901119;0.8
APP;19901120;11.2
APP;19901121;6.8
APP;19901122;12.8
APP;19901123;2.0
APP;19901124;0.0
APP;19901125;5.6
APP;19901126;0.0
APP;19901127;5.9
APP;19901128;0.0
APP;19901129;0.0
APP;19901130;5.5
APP;19901201;0.0
APP;19901202;0.0
APP;19901203;0.0
APP;19901204;6.1
APP;19901205;6.6
APP;19901206;0.0
APP;19901207;0.0
APP;19901208;0.0
APP;19901209;0.0
APP;19901210;3.1
APP;19901211;0.0
APP;19901212;8.1
APP;19901213;4.0
APP;19901214;1.8
APP;19901215;0.9
APP;19901216;0.0
APP;19901217;0.0
APP;19901218;0.6
APP;19901219;3.5
APP;19901220;0.0
APP;19901221;7.1
APP;19901222;0.2
APP;19901223;0.0
APP;19901224;0.0
APP;19901225;1.4
APP;19901226;5.3
APP;19901227;8.0
APP;19901228;0.4
APP;19901229;4.3
APP;19901230;3.0
APP;19901231;17.5
APP;19910101;7.9
APP;19910102;11.7
APP;19910103;0.0
APP;19910104;3.9
APP;19910105;4.2
APP;19910106;5.6
APP;19910107;5.5
APP;19910108;0.0
APP;19910109;0.0
APP;19910110;0.0
APP;19910111;9.8
APP;19910112;12.7
APP;19910113;6.5
APP;19910114;0.0
APP;19910115;0.0
APP;19910116;0.0
APP;19910117;0.0
APP;19910118;0.0
APP;19910119;0.0
APP;19910120;0.0
APP;19910121;1.3
APP;19910122;0.0
APP;19910123;0.0
APP;19910124;0.0
APP;19910125;0.0
APP;19910126;0.0
APP;19910127;0.0
APP;19910128;0.0
APP;19910129;0.0
APP;19910130;0.0
APP;19910131;0.0
APP;19910201;0.0
APP;19910202;0.0
APP;19910203;0.0
APP;19910204;0.0
APP;19910205;2.4
APP;19910206;0.1
APP;19910207;0.0
APP;19910208;0.0
APP;19910209;0.0
APP;19910210;7.7
APP;19910211;0.4
APP;19910212;1.6
APP;19910213;0.0
APP;19910214;0.4
APP;19910215;3.6
APP;19910216;5.0
APP;19910217;0.0
APP;19910218;1.6
APP;19910219;0.0
APP;19910220;0.0
APP;19910221;0.2
APP;19910222;3.3
APP;19910223;0.0
