 

stn;time;rre150d0
ARB;19900101;0.0
ARB;19900102;0.0
ARB;19900103;0.0
ARB;19900104;0.0
ARB;19900105;6.5
ARB;19900106;1.5
ARB;19900107;0.0
ARB;19900108;0.0
ARB;19900109;0.0
ARB;19900110;0.0
ARB;19900111;0.0
ARB;19900112;0.0
ARB;19900113;0.0
ARB;19900114;0.0
ARB;19900115;0.0
ARB;19900116;0.0
ARB;19900117;0.8
ARB;19900118;3.7
ARB;19900119;0.0
ARB;19900120;0.6
ARB;19900121;0.1
ARB;19900122;0.1
ARB;19900123;1.0
ARB;19900124;4.9
ARB;19900125;10.0
ARB;19900126;0.9
ARB;19900127;0.0
ARB;19900128;2.1
ARB;19900129;0.0
ARB;19900130;0.0
ARB;19900131;0.0
ARB;19900201;0.0
ARB;19900202;2.3
ARB;19900203;1.0
ARB;19900204;0.0
ARB;19900205;0.0
ARB;19900206;0.0
ARB;19900207;0.0
ARB;19900208;0.2
ARB;19900209;0.0
ARB;19900210;6.7
ARB;19900211;2.8
ARB;19900212;2.9
ARB;19900213;5.9
ARB;19900214;16.5
ARB;19900215;3.6
ARB;19900216;3.6
ARB;19900217;0.8
ARB;19900218;0.1
ARB;19900219;0.0
ARB;19900220;0.0
ARB;19900221;0.0
ARB;19900222;0.0
ARB;19900223;0.0
ARB;19900224;0.0
ARB;19900225;0.0
ARB;19900226;16.5
ARB;19900227;13.3
ARB;19900228;6.7
ARB;19900301;3.1
ARB;19900302;3.0
ARB;19900303;0.0
ARB;19900304;0.0
ARB;19900305;0.0
ARB;19900306;0.0
ARB;19900307;0.0
ARB;19900308;0.0
ARB;19900309;0.0
ARB;19900310;0.0
ARB;19900311;0.0
ARB;19900312;0.0
ARB;19900313;0.5
ARB;19900314;5.9
ARB;19900315;0.0
ARB;19900316;0.0
ARB;19900317;0.0
ARB;19900318;0.0
ARB;19900319;0.0
ARB;19900320;2.6
ARB;19900321;0.0
ARB;19900322;14.0
ARB;19900323;1.2
ARB;19900324;0.0
ARB;19900325;8.3
ARB;19900326;3.5
ARB;19900327;4.9
ARB;19900328;5.0
ARB;19900329;1.6
ARB;19900330;0.0
ARB;19900331;0.0
ARB;19900401;0.0
ARB;19900402;0.0
ARB;19900403;4.8
ARB;19900404;0.0
ARB;19900405;0.0
ARB;19900406;0.0
ARB;19900407;7.8
ARB;19900408;1.2
ARB;19900409;0.4
ARB;19900410;0.2
ARB;19900411;8.8
ARB;19900412;1.5
ARB;19900413;0.0
ARB;19900414;0.1
ARB;19900415;4.8
ARB;19900416;0.5
ARB;19900417;4.9
ARB;19900418;1.7
ARB;19900419;0.5
ARB;19900420;0.0
ARB;19900421;0.0
ARB;19900422;1.2
ARB;19900423;2.1
ARB;19900424;5.3
ARB;19900425;2.1
ARB;19900426;5.8
ARB;19900427;0.6
ARB;19900428;0.6
ARB;19900429;0.0
ARB;19900430;0.0
ARB;19900501;0.0
ARB;19900502;0.0
ARB;19900503;0.0
ARB;19900504;0.0
ARB;19900505;0.0
ARB;19900506;0.0
ARB;19900507;0.5
ARB;19900508;0.6
ARB;19900509;4.5
ARB;19900510;6.6
ARB;19900511;11.0
ARB;19900512;0.0
ARB;19900513;4.7
ARB;19900514;0.3
ARB;19900515;1.5
ARB;19900516;0.0
ARB;19900517;0.0
ARB;19900518;0.0
ARB;19900519;0.0
ARB;19900520;1.7
ARB;19900521;3.5
ARB;19900522;0.0
ARB;19900523;0.0
ARB;19900524;51.9
ARB;19900525;25.2
ARB;19900526;0.0
ARB;19900527;0.0
ARB;19900528;0.8
ARB;19900529;0.0
ARB;19900530;0.0
ARB;19900531;0.0
ARB;19900601;0.0
ARB;19900602;6.0
ARB;19900603;3.5
ARB;19900604;3.0
ARB;19900605;12.5
ARB;19900606;1.4
ARB;19900607;5.1
ARB;19900608;17.5
ARB;19900609;10.5
ARB;19900610;1.9
ARB;19900611;0.0
ARB;19900612;13.5
ARB;19900613;7.0
ARB;19900614;0.0
ARB;19900615;4.3
ARB;19900616;0.0
ARB;19900617;0.2
ARB;19900618;4.2
ARB;19900619;0.0
ARB;19900620;17.4
ARB;19900621;0.2
ARB;19900622;3.8
ARB;19900623;0.2
ARB;19900624;0.0
ARB;19900625;0.0
ARB;19900626;0.0
ARB;19900627;11.0
ARB;19900628;0.0
ARB;19900629;8.0
ARB;19900630;13.2
ARB;19900701;0.0
ARB;19900702;0.0
ARB;19900703;13.5
ARB;19900704;0.1
ARB;19900705;13.6
ARB;19900706;0.0
ARB;19900707;14.9
ARB;19900708;4.5
ARB;19900709;6.0
ARB;19900710;0.0
ARB;19900711;0.0
ARB;19900712;0.0
ARB;19900713;0.0
ARB;19900714;0.0
ARB;19900715;0.0
ARB;19900716;0.0
ARB;19900717;17.5
ARB;19900718;0.0
ARB;19900719;0.0
ARB;19900720;0.0
ARB;19900721;0.0
ARB;19900722;0.0
ARB;19900723;0.0
ARB;19900724;0.0
ARB;19900725;0.0
ARB;19900726;0.0
ARB;19900727;0.0
ARB;19900728;0.0
ARB;19900729;1.1
ARB;19900730;6.0
ARB;19900731;0.3
ARB;19900801;0.0
ARB;19900802;0.0
ARB;19900803;0.0
ARB;19900804;0.0
ARB;19900805;9.1
ARB;19900806;13.6
ARB;19900807;0.0
ARB;19900808;0.0
ARB;19900809;0.0
ARB;19900810;0.0
ARB;19900811;0.0
ARB;19900812;0.0
ARB;19900813;0.0
ARB;19900814;2.2
ARB;19900815;0.0
ARB;19900816;9.1
ARB;19900817;0.8
ARB;19900818;0.0
ARB;19900819;0.0
ARB;19900820;0.0
ARB;19900821;0.0
ARB;19900822;0.0
ARB;19900823;0.0
ARB;19900824;0.0
ARB;19900825;12.8
ARB;19900826;17.5
ARB;19900827;0.0
ARB;19900828;0.0
ARB;19900829;0.0
ARB;19900830;0.0
ARB;19900831;9.7
ARB;19900901;0.0
ARB;19900902;0.8
ARB;19900903;4.0
ARB;19900904;5.4
ARB;19900905;0.0
ARB;19900906;1.6
ARB;19900907;7.1
ARB;19900908;0.0
ARB;19900909;0.0
ARB;19900910;6.4
ARB;19900911;0.0
ARB;19900912;0.0
ARB;19900913;0.0
ARB;19900914;0.6
ARB;19900915;0.2
ARB;19900916;0.0
ARB;19900917;0.5
ARB;19900918;0.2
ARB;19900919;0.0
ARB;19900920;0.0
ARB;19900921;0.0
ARB;19900922;31.9
ARB;19900923;20.1
ARB;19900924;0.0
ARB;19900925;0.0
ARB;19900926;0.0
ARB;19900927;0.0
ARB;19900928;0.0
ARB;19900929;0.0
ARB;19900930;8.3
ARB;19901001;7.4
ARB;19901002;0.0
ARB;19901003;0.0
ARB;19901004;15.3
ARB;19901005;0.0
ARB;19901006;0.0
ARB;19901007;16.4
ARB;19901008;2.0
ARB;19901009;0.0
ARB;19901010;0.0
ARB;19901011;0.0
ARB;19901012;0.0
ARB;19901013;0.0
ARB;19901014;0.0
ARB;19901015;0.0
ARB;19901016;1.0
ARB;19901017;0.3
ARB;19901018;0.0
ARB;19901019;0.0
ARB;19901020;0.0
ARB;19901021;0.0
ARB;19901022;0.0
ARB;19901023;0.0
ARB;19901024;0.0
ARB;19901025;0.5
ARB;19901026;2.4
ARB;19901027;0.7
ARB;19901028;6.6
ARB;19901029;30.3
ARB;19901030;2.3
ARB;19901031;19.1
ARB;19901101;4.4
ARB;19901102;0.1
ARB;19901103;2.5
ARB;19901104;4.6
ARB;19901105;7.9
ARB;19901106;0.0
ARB;19901107;0.0
ARB;19901108;0.0
ARB;19901109;0.0
ARB;19901110;4.8
ARB;19901111;16.0
ARB;19901112;0.0
ARB;19901113;0.7
ARB;19901114;8.9
ARB;19901115;11.5
ARB;19901116;0.0
ARB;19901117;0.0
ARB;19901118;0.6
ARB;19901119;0.0
ARB;19901120;6.2
ARB;19901121;8.1
ARB;19901122;10.6
ARB;19901123;0.5
ARB;19901124;0.0
ARB;19901125;0.6
ARB;19901126;0.0
ARB;19901127;8.4
ARB;19901128;0.0
ARB;19901129;0.3
ARB;19901130;2.3
ARB;19901201;0.0
ARB;19901202;0.0
ARB;19901203;0.0
ARB;19901204;3.7
ARB;19901205;0.0
ARB;19901206;0.0
ARB;19901207;0.0
ARB;19901208;0.0
