 

stn;time;rre150d0
ARI;19900101;0.0
ARI;19900102;0.0
ARI;19900103;0.0
ARI;19900104;0.0
ARI;19900105;0.0
ARI;19900106;1.2
ARI;19900107;0.0
ARI;19900108;0.0
ARI;19900109;0.0
ARI;19900110;0.0
ARI;19900111;0.0
ARI;19900112;0.0
ARI;19900113;0.0
ARI;19900114;0.0
ARI;19900115;1.1
ARI;19900116;0.0
ARI;19900117;5.2
ARI;19900118;2.0
ARI;19900119;0.0
ARI;19900120;1.1
ARI;19900121;0.0
ARI;19900122;0.0
ARI;19900123;0.7
ARI;19900124;5.0
ARI;19900125;10.0
ARI;19900126;0.2
ARI;19900127;0.0
ARI;19900128;6.2
ARI;19900129;0.0
ARI;19900130;0.0
ARI;19900131;0.0
ARI;19900201;0.4
ARI;19900202;4.3
ARI;19900203;1.1
ARI;19900204;0.0
ARI;19900205;0.0
ARI;19900206;0.0
ARI;19900207;0.0
ARI;19900208;0.6
ARI;19900209;0.0
ARI;19900210;6.5
ARI;19900211;0.9
ARI;19900212;1.3
ARI;19900213;4.8
ARI;19900214;11.0
ARI;19900215;2.0
ARI;19900216;3.0
ARI;19900217;0.3
ARI;19900218;0.0
ARI;19900219;0.0
ARI;19900220;0.0
ARI;19900221;0.0
ARI;19900222;0.0
ARI;19900223;0.0
ARI;19900224;0.0
ARI;19900225;0.0
ARI;19900226;8.2
ARI;19900227;10.0
ARI;19900228;9.4
ARI;19900301;1.4
ARI;19900302;0.0
ARI;19900303;0.0
ARI;19900304;0.0
ARI;19900305;0.0
ARI;19900306;0.0
ARI;19900307;0.0
ARI;19900308;0.3
ARI;19900309;0.0
ARI;19900310;0.0
ARI;19900311;0.0
ARI;19900312;0.0
ARI;19900313;0.0
ARI;19900314;5.4
ARI;19900315;0.0
ARI;19900316;0.0
ARI;19900317;0.0
ARI;19900318;0.0
ARI;19900319;0.0
ARI;19900320;1.1
ARI;19900321;0.0
ARI;19900322;4.6
ARI;19900323;0.0
ARI;19900324;1.1
ARI;19900325;3.0
ARI;19900326;2.2
ARI;19900327;7.9
ARI;19900328;10.2
ARI;19900329;0.4
ARI;19900330;0.0
ARI;19900331;0.0
ARI;19900401;0.0
ARI;19900402;0.0
ARI;19900403;5.7
ARI;19900404;0.0
ARI;19900405;7.4
ARI;19900406;0.7
ARI;19900407;6.2
ARI;19900408;3.9
ARI;19900409;1.0
ARI;19900410;1.8
ARI;19900411;9.8
ARI;19900412;0.5
ARI;19900413;8.4
ARI;19900414;6.0
ARI;19900415;5.5
ARI;19900416;1.5
ARI;19900417;9.2
ARI;19900418;1.2
ARI;19900419;0.2
ARI;19900420;0.0
ARI;19900421;0.0
ARI;19900422;11.4
ARI;19900423;13.8
ARI;19900424;4.3
ARI;19900425;2.9
ARI;19900426;0.0
ARI;19900427;1.6
ARI;19900428;0.0
ARI;19900429;0.0
ARI;19900430;0.0
ARI;19900501;0.0
ARI;19900502;0.0
ARI;19900503;0.0
ARI;19900504;0.0
ARI;19900505;0.0
ARI;19900506;5.3
ARI;19900507;2.0
ARI;19900508;0.5
ARI;19900509;1.3
ARI;19900510;5.4
ARI;19900511;6.7
ARI;19900512;0.0
ARI;19900513;8.5
ARI;19900514;0.5
ARI;19900515;1.2
ARI;19900516;0.2
ARI;19900517;0.0
ARI;19900518;0.0
ARI;19900519;0.0
ARI;19900520;2.2
ARI;19900521;8.8
ARI;19900522;0.2
ARI;19900523;1.4
ARI;19900524;4.7
ARI;19900525;0.0
ARI;19900526;0.0
ARI;19900527;0.0
ARI;19900528;0.0
ARI;19900529;0.0
ARI;19900530;0.0
ARI;19900531;0.0
ARI;19900601;1.2
ARI;19900602;31.2
ARI;19900603;11.0
ARI;19900604;0.0
ARI;19900605;13.4
ARI;19900606;1.3
ARI;19900607;14.6
ARI;19900608;8.7
ARI;19900609;7.8
ARI;19900610;0.4
ARI;19900611;0.0
ARI;19900612;23.4
ARI;19900613;0.0
ARI;19900614;0.0
ARI;19900615;0.0
ARI;19900616;0.0
ARI;19900617;2.8
ARI;19900618;7.4
ARI;19900619;49.5
ARI;19900620;32.5
ARI;19900621;0.0
ARI;19900622;6.2
ARI;19900623;1.0
ARI;19900624;0.0
ARI;19900625;0.0
ARI;19900626;0.0
ARI;19900627;4.8
ARI;19900628;0.0
ARI;19900629;1.5
ARI;19900630;23.4
ARI;19900701;0.0
ARI;19900702;0.0
ARI;19900703;15.5
ARI;19900704;1.3
ARI;19900705;10.8
ARI;19900706;0.0
ARI;19900707;12.9
ARI;19900708;0.2
ARI;19900709;2.2
ARI;19900710;0.0
ARI;19900711;0.0
ARI;19900712;0.0
ARI;19900713;0.0
ARI;19900714;0.0
ARI;19900715;0.0
ARI;19900716;0.0
ARI;19900717;0.0
ARI;19900718;0.0
ARI;19900719;0.0
ARI;19900720;0.0
ARI;19900721;0.0
ARI;19900722;0.0
ARI;19900723;0.0
ARI;19900724;0.0
ARI;19900725;0.0
ARI;19900726;0.0
ARI;19900727;0.0
ARI;19900728;5.2
ARI;19900729;22.0
ARI;19900730;2.9
ARI;19900731;0.0
ARI;19900801;0.0
ARI;19900802;0.0
ARI;19900803;0.0
ARI;19900804;0.0
ARI;19900805;1.5
ARI;19900806;0.0
ARI;19900807;0.0
ARI;19900808;0.0
ARI;19900809;0.0
ARI;19900810;0.0
ARI;19900811;0.0
ARI;19900812;0.0
ARI;19900813;1.4
ARI;19900814;32.0
ARI;19900815;6.5
ARI;19900816;3.4
ARI;19900817;0.0
ARI;19900818;0.0
ARI;19900819;0.0
ARI;19900820;0.0
ARI;19900821;0.0
ARI;19900822;0.0
ARI;19900823;0.0
ARI;19900824;0.0
ARI;19900825;24.0
ARI;19900826;1.3
ARI;19900827;0.0
ARI;19900828;0.0
ARI;19900829;0.3
ARI;19900830;11.9
ARI;19900831;6.3
ARI;19900901;0.0
ARI;19900902;0.0
ARI;19900903;3.4
ARI;19900904;3.1
ARI;19900905;0.0
ARI;19900906;6.1
ARI;19900907;2.1
ARI;19900908;0.0
ARI;19900909;0.0
ARI;19900910;3.8
ARI;19900911;0.0
ARI;19900912;0.0
ARI;19900913;0.0
ARI;19900914;0.8
ARI;19900915;0.0
ARI;19900916;0.0
ARI;19900917;0.0
ARI;19900918;0.0
ARI;19900919;0.0
ARI;19900920;0.0
ARI;19900921;0.0
ARI;19900922;37.4
ARI;19900923;22.5
ARI;19900924;0.0
ARI;19900925;0.0
ARI;19900926;0.0
ARI;19900927;0.0
ARI;19900928;0.0
ARI;19900929;0.2
ARI;19900930;14.3
ARI;19901001;1.0
ARI;19901002;0.0
ARI;19901003;17.1
ARI;19901004;18.6
ARI;19901005;0.0
ARI;19901006;0.0
ARI;19901007;0.0
ARI;19901008;1.7
ARI;19901009;0.0
ARI;19901010;0.0
ARI;19901011;0.0
ARI;19901012;0.0
ARI;19901013;0.0
ARI;19901014;0.0
ARI;19901015;0.0
ARI;19901016;0.8
ARI;19901017;0.0
ARI;19901018;0.0
ARI;19901019;0.0
ARI;19901020;0.0
ARI;19901021;0.0
ARI;19901022;0.0
ARI;19901023;0.0
ARI;19901024;0.0
ARI;19901025;1.5
ARI;19901026;3.9
ARI;19901027;0.3
ARI;19901028;6.6
ARI;19901029;22.7
ARI;19901030;2.8
ARI;19901031;4.9
ARI;19901101;1.3
ARI;19901102;6.9
ARI;19901103;6.7
ARI;19901104;14.5
ARI;19901105;4.5
ARI;19901106;0.0
ARI;19901107;0.0
ARI;19901108;0.0
ARI;19901109;1.6
ARI;19901110;7.9
ARI;19901111;17.9
ARI;19901112;0.0
ARI;19901113;5.8
ARI;19901114;10.5
ARI;19901115;7.2
ARI;19901116;0.0
ARI;19901117;0.0
ARI;19901118;2.2
ARI;19901119;7.5
ARI;19901120;6.4
ARI;19901121;16.2
ARI;19901122;23.3
ARI;19901123;3.0
ARI;19901124;0.0
ARI;19901125;2.5
ARI;19901126;0.0
ARI;19901127;2.1
ARI;19901128;0.0
ARI;19901129;0.9
ARI;19901130;0.5
ARI;19901201;0.0
ARI;19901202;0.0
ARI;19901203;0.0
ARI;19901204;0.7
ARI;19901205;0.0
ARI;19901206;0.0
ARI;19901207;0.0
ARI;19901208;0.0
ARI;19901209;4.6
ARI;19901210;14.2
ARI;19901211;0.8
ARI;19901212;12.1
ARI;19901213;1.5
ARI;19901214;0.0
ARI;19901215;0.0
ARI;19901216;0.0
ARI;19901217;0.0
ARI;19901218;0.3
ARI;19901219;1.3
ARI;19901220;0.3
ARI;19901221;25.4
ARI;19901222;0.3
ARI;19901223;0.0
ARI;19901224;0.0
ARI;19901225;0.0
ARI;19901226;5.8
ARI;19901227;2.3
ARI;19901228;3.4
ARI;19901229;2.3
ARI;19901230;13.1
ARI;19901231;11.9
ARI;19910101;0.8
ARI;19910102;15.5
ARI;19910103;0.0
ARI;19910104;3.3
ARI;19910105;2.3
ARI;19910106;4.1
ARI;19910107;5.8
ARI;19910108;0.0
ARI;19910109;0.0
ARI;19910110;0.2
ARI;19910111;7.8
ARI;19910112;3.8
ARI;19910113;2.5
ARI;19910114;0.0
ARI;19910115;0.0
ARI;19910116;0.0
ARI;19910117;0.0
ARI;19910118;0.0
ARI;19910119;2.9
ARI;19910120;0.0
ARI;19910121;3.9
ARI;19910122;0.0
ARI;19910123;0.0
ARI;19910124;0.0
ARI;19910125;0.0
ARI;19910126;0.0
ARI;19910127;0.0
ARI;19910128;0.0
ARI;19910129;0.0
ARI;19910130;0.0
ARI;19910131;0.0
ARI;19910201;0.0
ARI;19910202;0.0
ARI;19910203;0.0
ARI;19910204;0.0
ARI;19910205;0.0
ARI;19910206;0.5
ARI;19910207;0.5
ARI;19910208;2.6
ARI;19910209;5.5
ARI;19910210;0.3
ARI;19910211;1.0
ARI;19910212;1.3
ARI;19910213;0.3
ARI;19910214;1.7
ARI;19910215;4.0
ARI;19910216;1.9
ARI;19910217;0.0
ARI;19910218;0.0
ARI;19910219;0.0
ARI;19910220;0.0
ARI;19910221;1.0
ARI;19910222;0.0
ARI;19910223;0.0
ARI;19910224;0.0
ARI;19910225;0.0
ARI;19910226;0.0
ARI;19910227;2.3
ARI;19910228;3.3
ARI;19910301;0.0
ARI;19910302;4.6
ARI;19910303;0.0
ARI;19910304;0.0
ARI;19910305;0.0
ARI;19910306;0.0
ARI;19910307;0.0
ARI;19910308;0.0
ARI;19910309;16.5
ARI;19910310;3.4
ARI;19910311;2.0
ARI;19910312;0.0
ARI;19910313;0.0
ARI;19910314;0.0
ARI;19910315;0.0
ARI;19910316;0.0
ARI;19910317;0.0
ARI;19910318;0.8
ARI;19910319;13.8
ARI;19910320;0.0
ARI;19910321;20.0
ARI;19910322;9.3
ARI;19910323;0.0
ARI;19910324;0.0
ARI;19910325;2.2
ARI;19910326;7.0
ARI;19910327;0.0
ARI;19910328;0.0
ARI;19910329;0.0
ARI;19910330;0.0
ARI;19910331;0.0
ARI;19910401;0.0
ARI;19910402;0.0
ARI;19910403;1.1
ARI;19910404;8.5
ARI;19910405;0.0
ARI;19910406;0.0
ARI;19910407;0.0
ARI;19910408;0.0
ARI;19910409;0.0
ARI;19910410;0.0
ARI;19910411;0.0
ARI;19910412;0.0
ARI;19910413;0.1
ARI;19910414;0.0
ARI;19910415;0.0
ARI;19910416;0.0
ARI;19910417;0.0
ARI;19910418;0.6
ARI;19910419;1.0
ARI;19910420;3.8
ARI;19910421;0.0
ARI;19910422;3.3
ARI;19910423;4.6
ARI;19910424;0.0
ARI;19910425;0.0
ARI;19910426;0.0
ARI;19910427;0.7
ARI;19910428;0.0
ARI;19910429;1.5
ARI;19910430;7.0
ARI;19910501;5.5
ARI;19910502;0.2
ARI;19910503;0.0
ARI;19910504;3.1
ARI;19910505;0.1
ARI;19910506;1.0
ARI;19910507;0.0
ARI;19910508;0.0
ARI;19910509;0.0
ARI;19910510;9.8
ARI;19910511;9.2
ARI;19910512;3.5
ARI;19910513;0.0
ARI;19910514;8.7
ARI;19910515;6.4
ARI;19910516;4.8
ARI;19910517;1.5
ARI;19910518;1.4
ARI;19910519;0.0
ARI;19910520;0.0
ARI;19910521;0.0
ARI;19910522;0.0
ARI;19910523;0.0
ARI;19910524;0.0
ARI;19910525;1.0
ARI;19910526;0.0
ARI;19910527;0.0
ARI;19910528;0.0
ARI;19910529;0.0
ARI;19910530;0.0
ARI;19910531;0.0
ARI;19910601;0.0
ARI;19910602;0.0
ARI;19910603;2.2
ARI;19910604;0.0
ARI;19910605;8.6
ARI;19910606;15.3
ARI;19910607;7.2
ARI;19910608;3.8
ARI;19910609;13.7
ARI;19910610;0.3
ARI;19910611;0.0
ARI;19910612;1.5
ARI;19910613;0.0
ARI;19910614;0.0
ARI;19910615;17.4
ARI;19910616;37.3
ARI;19910617;5.6
ARI;19910618;2.6
ARI;19910619;0.7
ARI;19910620;4.7
ARI;19910621;0.0
ARI;19910622;11.9
