 

stn;time;rre150d0
BAM;19900101;0.0
BAM;19900102;0.1
BAM;19900103;0.0
BAM;19900104;0.0
BAM;19900105;1.2
BAM;19900106;3.4
BAM;19900107;0.0
BAM;19900108;0.0
BAM;19900109;0.0
BAM;19900110;0.0
BAM;19900111;0.0
BAM;19900112;0.0
BAM;19900113;0.0
BAM;19900114;0.0
BAM;19900115;0.4
BAM;19900116;0.0
BAM;19900117;0.4
BAM;19900118;2.5
BAM;19900119;0.1
BAM;19900120;2.6
BAM;19900121;0.1
BAM;19900122;0.0
BAM;19900123;1.2
BAM;19900124;11.5
BAM;19900125;5.2
BAM;19900126;2.3
BAM;19900127;0.0
BAM;19900128;3.0
BAM;19900129;0.1
BAM;19900130;0.0
BAM;19900131;0.0
BAM;19900201;0.0
BAM;19900202;10.2
BAM;19900203;0.2
BAM;19900204;0.0
BAM;19900205;0.0
BAM;19900206;0.0
BAM;19900207;0.0
BAM;19900208;0.6
BAM;19900209;0.0
BAM;19900210;13.9
BAM;19900211;6.2
BAM;19900212;13.5
BAM;19900213;21.7
BAM;19900214;39.8
BAM;19900215;12.0
BAM;19900216;5.3
BAM;19900217;1.2
BAM;19900218;0.0
BAM;19900219;0.0
BAM;19900220;0.0
BAM;19900221;0.0
BAM;19900222;0.0
BAM;19900223;0.0
BAM;19900224;0.0
BAM;19900225;0.0
BAM;19900226;17.2
BAM;19900227;18.7
BAM;19900228;8.0
BAM;19900301;4.1
BAM;19900302;1.7
BAM;19900303;0.0
BAM;19900304;0.0
BAM;19900305;0.0
BAM;19900306;0.0
BAM;19900307;0.0
BAM;19900308;1.0
BAM;19900309;0.0
BAM;19900310;0.0
BAM;19900311;0.0
BAM;19900312;0.0
BAM;19900313;0.3
BAM;19900314;11.3
BAM;19900315;0.0
BAM;19900316;0.0
BAM;19900317;0.0
BAM;19900318;0.0
BAM;19900319;0.0
BAM;19900320;3.2
BAM;19900321;0.0
BAM;19900322;17.9
BAM;19900323;3.1
BAM;19900324;0.0
BAM;19900325;9.6
BAM;19900326;1.2
BAM;19900327;33.8
BAM;19900328;3.4
BAM;19900329;1.6
BAM;19900330;0.0
BAM;19900331;0.0
BAM;19900401;0.0
BAM;19900402;0.0
BAM;19900403;15.1
BAM;19900404;0.0
BAM;19900405;0.3
BAM;19900406;0.0
BAM;19900407;8.5
BAM;19900408;1.0
BAM;19900409;0.2
BAM;19900410;0.3
BAM;19900411;13.4
BAM;19900412;2.1
BAM;19900413;0.0
BAM;19900414;3.1
BAM;19900415;21.1
BAM;19900416;2.9
BAM;19900417;6.1
BAM;19900418;1.3
BAM;19900419;0.0
BAM;19900420;0.0
BAM;19900421;0.0
BAM;19900422;5.4
BAM;19900423;20.5
BAM;19900424;1.7
BAM;19900425;2.0
BAM;19900426;6.7
BAM;19900427;1.8
BAM;19900428;0.0
BAM;19900429;0.0
BAM;19900430;0.0
BAM;19900501;0.0
BAM;19900502;0.0
BAM;19900503;0.0
BAM;19900504;0.0
BAM;19900505;0.0
BAM;19900506;5.8
