 

stn;time;rre150d0
BAS;19900101;0.0
BAS;19900102;0.0
BAS;19900103;0.0
BAS;19900104;0.0
BAS;19900105;0.4
BAS;19900106;0.3
BAS;19900107;0.0
BAS;19900108;0.0
BAS;19900109;0.0
BAS;19900110;0.0
BAS;19900111;0.0
BAS;19900112;0.0
BAS;19900113;0.0
BAS;19900114;0.0
BAS;19900115;0.2
BAS;19900116;0.0
BAS;19900117;2.2
BAS;19900118;1.8
BAS;19900119;0.0
BAS;19900120;0.1
BAS;19900121;0.0
BAS;19900122;0.0
BAS;19900123;1.5
BAS;19900124;2.4
BAS;19900125;5.5
BAS;19900126;0.3
BAS;19900127;0.0
BAS;19900128;6.2
BAS;19900129;0.0
BAS;19900130;0.0
BAS;19900131;0.0
BAS;19900201;0.0
BAS;19900202;3.6
BAS;19900203;0.4
BAS;19900204;0.0
BAS;19900205;0.0
BAS;19900206;0.0
BAS;19900207;0.0
BAS;19900208;3.1
BAS;19900209;0.0
BAS;19900210;6.8
BAS;19900211;0.9
BAS;19900212;1.5
BAS;19900213;5.3
BAS;19900214;9.3
BAS;19900215;3.2
BAS;19900216;1.4
BAS;19900217;0.9
BAS;19900218;0.0
BAS;19900219;0.0
BAS;19900220;0.0
BAS;19900221;0.0
BAS;19900222;0.0
BAS;19900223;0.0
BAS;19900224;0.0
BAS;19900225;0.0
BAS;19900226;8.1
BAS;19900227;11.9
BAS;19900228;6.2
BAS;19900301;0.7
BAS;19900302;0.1
BAS;19900303;0.0
BAS;19900304;0.0
BAS;19900305;0.0
BAS;19900306;0.0
BAS;19900307;0.0
BAS;19900308;0.0
BAS;19900309;0.0
BAS;19900310;0.0
BAS;19900311;0.0
BAS;19900312;0.0
BAS;19900313;0.0
BAS;19900314;1.3
BAS;19900315;0.0
BAS;19900316;0.0
BAS;19900317;0.0
BAS;19900318;0.0
BAS;19900319;0.0
BAS;19900320;0.7
BAS;19900321;0.0
BAS;19900322;2.2
BAS;19900323;0.2
BAS;19900324;0.4
BAS;19900325;1.1
BAS;19900326;0.0
BAS;19900327;7.1
BAS;19900328;11.0
BAS;19900329;0.5
BAS;19900330;0.0
BAS;19900331;0.0
BAS;19900401;0.0
BAS;19900402;0.0
BAS;19900403;3.0
BAS;19900404;0.0
BAS;19900405;7.5
BAS;19900406;0.5
BAS;19900407;4.6
BAS;19900408;4.0
BAS;19900409;0.7
BAS;19900410;0.3
BAS;19900411;0.6
BAS;19900412;0.0
BAS;19900413;4.3
BAS;19900414;3.9
BAS;19900415;4.6
BAS;19900416;0.8
BAS;19900417;5.3
BAS;19900418;0.0
BAS;19900419;0.0
BAS;19900420;0.0
BAS;19900421;0.0
BAS;19900422;4.7
BAS;19900423;11.7
BAS;19900424;6.3
BAS;19900425;3.0
BAS;19900426;0.0
BAS;19900427;0.3
BAS;19900428;0.0
BAS;19900429;0.0
BAS;19900430;0.0
BAS;19900501;0.0
BAS;19900502;0.0
BAS;19900503;0.0
BAS;19900504;0.0
BAS;19900505;0.0
BAS;19900506;2.4
BAS;19900507;0.9
BAS;19900508;0.0
BAS;19900509;0.0
BAS;19900510;5.4
BAS;19900511;1.8
BAS;19900512;0.1
BAS;19900513;4.8
BAS;19900514;2.6
BAS;19900515;5.0
BAS;19900516;0.0
BAS;19900517;0.0
BAS;19900518;0.0
BAS;19900519;0.0
BAS;19900520;2.6
BAS;19900521;3.0
BAS;19900522;1.3
BAS;19900523;0.7
BAS;19900524;2.5
BAS;19900525;0.0
BAS;19900526;0.0
BAS;19900527;0.0
BAS;19900528;0.0
BAS;19900529;0.0
BAS;19900530;0.0
BAS;19900531;0.0
BAS;19900601;2.2
BAS;19900602;19.4
BAS;19900603;5.2
BAS;19900604;0.0
BAS;19900605;4.4
BAS;19900606;0.6
BAS;19900607;16.0
BAS;19900608;3.9
BAS;19900609;6.5
BAS;19900610;0.6
BAS;19900611;0.0
BAS;19900612;3.1
BAS;19900613;0.0
BAS;19900614;0.0
BAS;19900615;0.0
BAS;19900616;0.0
BAS;19900617;2.8
BAS;19900618;0.5
BAS;19900619;25.3
BAS;19900620;24.0
BAS;19900621;0.3
BAS;19900622;3.6
BAS;19900623;0.5
BAS;19900624;0.0
BAS;19900625;0.0
BAS;19900626;0.0
BAS;19900627;14.0
BAS;19900628;0.0
BAS;19900629;2.2
BAS;19900630;19.9
BAS;19900701;0.0
BAS;19900702;0.0
BAS;19900703;21.1
BAS;19900704;3.9
BAS;19900705;11.9
BAS;19900706;0.0
BAS;19900707;13.1
BAS;19900708;0.1
BAS;19900709;0.1
BAS;19900710;0.6
BAS;19900711;0.0
BAS;19900712;0.0
BAS;19900713;0.0
BAS;19900714;0.0
BAS;19900715;0.0
BAS;19900716;0.0
BAS;19900717;0.2
BAS;19900718;0.0
BAS;19900719;0.0
BAS;19900720;0.0
BAS;19900721;0.0
BAS;19900722;0.0
BAS;19900723;0.0
BAS;19900724;0.0
BAS;19900725;0.0
BAS;19900726;0.0
BAS;19900727;0.0
BAS;19900728;8.3
BAS;19900729;32.2
BAS;19900730;2.6
BAS;19900731;0.0
BAS;19900801;0.0
BAS;19900802;0.0
BAS;19900803;0.0
BAS;19900804;0.0
BAS;19900805;0.0
BAS;19900806;0.0
BAS;19900807;0.0
BAS;19900808;0.0
BAS;19900809;0.0
BAS;19900810;0.0
BAS;19900811;0.0
BAS;19900812;0.0
BAS;19900813;4.9
BAS;19900814;11.3
BAS;19900815;6.8
BAS;19900816;2.1
BAS;19900817;0.0
BAS;19900818;0.0
BAS;19900819;0.0
BAS;19900820;0.0
BAS;19900821;0.0
BAS;19900822;0.0
BAS;19900823;0.0
BAS;19900824;0.0
BAS;19900825;3.4
BAS;19900826;0.2
