 

stn;time;rre150d0
BEZ;19900101;0.0
BEZ;19900102;0.0
BEZ;19900103;0.0
BEZ;19900104;0.0
BEZ;19900105;1.0
BEZ;19900106;2.4
BEZ;19900107;0.0
BEZ;19900108;0.0
BEZ;19900109;0.0
BEZ;19900110;0.0
BEZ;19900111;0.0
BEZ;19900112;0.0
BEZ;19900113;0.0
BEZ;19900114;0.0
BEZ;19900115;1.4
BEZ;19900116;0.0
BEZ;19900117;2.8
BEZ;19900118;0.7
BEZ;19900119;0.0
BEZ;19900120;0.6
BEZ;19900121;0.0
BEZ;19900122;0.0
BEZ;19900123;1.5
BEZ;19900124;7.1
BEZ;19900125;15.2
BEZ;19900126;0.0
BEZ;19900127;0.0
BEZ;19900128;3.7
BEZ;19900129;0.0
BEZ;19900130;0.0
BEZ;19900131;0.0
BEZ;19900201;0.0
BEZ;19900202;6.0
BEZ;19900203;1.2
BEZ;19900204;0.0
BEZ;19900205;0.0
BEZ;19900206;0.0
BEZ;19900207;0.0
BEZ;19900208;1.0
BEZ;19900209;0.0
BEZ;19900210;10.2
BEZ;19900211;1.8
BEZ;19900212;6.0
BEZ;19900213;31.2
BEZ;19900214;67.6
BEZ;19900215;5.5
BEZ;19900216;1.9
BEZ;19900217;1.1
BEZ;19900218;0.0
BEZ;19900219;0.0
BEZ;19900220;0.0
BEZ;19900221;0.0
BEZ;19900222;0.0
BEZ;19900223;0.0
BEZ;19900224;0.0
BEZ;19900225;0.0
BEZ;19900226;20.0
BEZ;19900227;21.9
BEZ;19900228;25.2
BEZ;19900301;2.1
BEZ;19900302;0.7
BEZ;19900303;0.0
BEZ;19900304;0.0
BEZ;19900305;0.0
BEZ;19900306;0.0
BEZ;19900307;0.0
BEZ;19900308;0.2
BEZ;19900309;0.0
BEZ;19900310;0.0
BEZ;19900311;0.0
BEZ;19900312;0.0
BEZ;19900313;0.0
BEZ;19900314;2.6
BEZ;19900315;0.0
BEZ;19900316;0.0
BEZ;19900317;0.0
BEZ;19900318;0.0
BEZ;19900319;0.0
BEZ;19900320;1.6
BEZ;19900321;0.1
BEZ;19900322;3.2
BEZ;19900323;0.0
BEZ;19900324;1.8
BEZ;19900325;4.1
BEZ;19900326;0.0
BEZ;19900327;5.5
BEZ;19900328;3.3
BEZ;19900329;0.3
BEZ;19900330;0.0
BEZ;19900331;0.0
BEZ;19900401;0.0
BEZ;19900402;0.0
BEZ;19900403;4.3
BEZ;19900404;0.0
BEZ;19900405;5.1
BEZ;19900406;1.5
BEZ;19900407;1.5
BEZ;19900408;1.9
BEZ;19900409;0.0
BEZ;19900410;1.7
BEZ;19900411;4.3
BEZ;19900412;0.0
BEZ;19900413;1.7
BEZ;19900414;3.7
BEZ;19900415;12.4
BEZ;19900416;0.6
BEZ;19900417;5.1
BEZ;19900418;2.4
BEZ;19900419;0.0
BEZ;19900420;0.0
BEZ;19900421;0.0
BEZ;19900422;7.1
BEZ;19900423;9.0
BEZ;19900424;1.3
BEZ;19900425;2.3
BEZ;19900426;2.1
BEZ;19900427;0.7
BEZ;19900428;0.0
BEZ;19900429;0.0
BEZ;19900430;0.0
BEZ;19900501;0.0
BEZ;19900502;0.0
BEZ;19900503;0.0
BEZ;19900504;0.0
BEZ;19900505;0.0
BEZ;19900506;0.2
BEZ;19900507;0.0
BEZ;19900508;22.5
BEZ;19900509;0.2
BEZ;19900510;1.0
BEZ;19900511;12.9
BEZ;19900512;0.4
BEZ;19900513;5.6
BEZ;19900514;0.0
BEZ;19900515;0.1
BEZ;19900516;0.0
BEZ;19900517;0.0
BEZ;19900518;0.0
BEZ;19900519;12.6
BEZ;19900520;2.7
BEZ;19900521;4.1
BEZ;19900522;0.0
BEZ;19900523;1.4
BEZ;19900524;6.2
BEZ;19900525;2.3
BEZ;19900526;0.0
BEZ;19900527;0.0
BEZ;19900528;0.0
BEZ;19900529;0.0
BEZ;19900530;0.0
BEZ;19900531;0.0
BEZ;19900601;0.3
BEZ;19900602;26.5
BEZ;19900603;9.3
BEZ;19900604;0.0
BEZ;19900605;7.3
BEZ;19900606;0.1
BEZ;19900607;9.6
BEZ;19900608;10.2
BEZ;19900609;10.6
BEZ;19900610;1.5
BEZ;19900611;0.0
BEZ;19900612;10.4
BEZ;19900613;0.5
BEZ;19900614;0.0
BEZ;19900615;0.1
BEZ;19900616;0.0
BEZ;19900617;1.3
BEZ;19900618;3.2
BEZ;19900619;6.3
BEZ;19900620;26.1
BEZ;19900621;1.7
BEZ;19900622;7.1
BEZ;19900623;0.2
BEZ;19900624;0.0
BEZ;19900625;0.0
BEZ;19900626;0.0
BEZ;19900627;2.5
BEZ;19900628;0.0
BEZ;19900629;5.2
BEZ;19900630;52.9
BEZ;19900701;0.0
BEZ;19900702;0.0
BEZ;19900703;9.7
BEZ;19900704;0.5
BEZ;19900705;13.5
BEZ;19900706;0.0
BEZ;19900707;3.5
BEZ;19900708;0.1
BEZ;19900709;1.3
BEZ;19900710;0.0
BEZ;19900711;0.0
BEZ;19900712;0.0
BEZ;19900713;0.0
BEZ;19900714;0.0
BEZ;19900715;0.0
BEZ;19900716;0.0
BEZ;19900717;0.0
BEZ;19900718;0.0
BEZ;19900719;0.0
BEZ;19900720;0.0
BEZ;19900721;0.0
BEZ;19900722;0.0
BEZ;19900723;0.0
BEZ;19900724;0.0
BEZ;19900725;0.0
BEZ;19900726;0.0
BEZ;19900727;0.0
BEZ;19900728;0.0
BEZ;19900729;19.4
BEZ;19900730;13.1
BEZ;19900731;0.5
BEZ;19900801;0.0
BEZ;19900802;0.0
BEZ;19900803;0.0
BEZ;19900804;0.0
BEZ;19900805;0.2
BEZ;19900806;0.0
BEZ;19900807;0.0
BEZ;19900808;0.0
BEZ;19900809;0.0
BEZ;19900810;0.0
BEZ;19900811;0.0
BEZ;19900812;0.0
BEZ;19900813;0.6
BEZ;19900814;26.5
BEZ;19900815;1.0
BEZ;19900816;3.7
BEZ;19900817;0.0
BEZ;19900818;0.0
BEZ;19900819;0.0
BEZ;19900820;0.0
BEZ;19900821;0.0
BEZ;19900822;0.0
BEZ;19900823;0.0
BEZ;19900824;0.0
BEZ;19900825;18.2
BEZ;19900826;0.7
BEZ;19900827;0.0
BEZ;19900828;0.0
BEZ;19900829;0.8
BEZ;19900830;7.6
BEZ;19900831;14.8
BEZ;19900901;0.0
BEZ;19900902;0.0
BEZ;19900903;2.9
BEZ;19900904;1.9
BEZ;19900905;0.0
BEZ;19900906;2.3
BEZ;19900907;4.2
BEZ;19900908;0.1
BEZ;19900909;0.0
BEZ;19900910;0.1
BEZ;19900911;0.0
BEZ;19900912;0.0
BEZ;19900913;0.0
BEZ;19900914;0.0
BEZ;19900915;0.0
BEZ;19900916;0.0
BEZ;19900917;0.0
BEZ;19900918;0.0
BEZ;19900919;0.0
BEZ;19900920;0.0
BEZ;19900921;2.1
BEZ;19900922;32.4
BEZ;19900923;18.0
BEZ;19900924;0.0
BEZ;19900925;0.0
BEZ;19900926;0.0
BEZ;19900927;0.0
BEZ;19900928;0.0
BEZ;19900929;0.0
BEZ;19900930;19.3
BEZ;19901001;17.4
BEZ;19901002;0.0
BEZ;19901003;7.9
BEZ;19901004;12.1
BEZ;19901005;0.0
BEZ;19901006;0.0
BEZ;19901007;0.3
BEZ;19901008;0.0
