 

stn;time;rre150d0
BNU;19900101;0.0
BNU;19900102;0.0
BNU;19900103;0.0
BNU;19900104;0.0
BNU;19900105;2.0
BNU;19900106;1.0
BNU;19900107;0.0
BNU;19900108;0.0
BNU;19900109;0.0
BNU;19900110;0.0
BNU;19900111;0.0
BNU;19900112;0.0
BNU;19900113;0.3
BNU;19900114;0.0
BNU;19900115;0.3
BNU;19900116;0.0
BNU;19900117;2.7
BNU;19900118;3.0
BNU;19900119;0.0
BNU;19900120;0.9
BNU;19900121;0.0
BNU;19900122;0.0
BNU;19900123;1.5
BNU;19900124;3.5
BNU;19900125;14.5
BNU;19900126;2.5
BNU;19900127;0.0
BNU;19900128;1.7
BNU;19900129;0.0
BNU;19900130;0.0
BNU;19900131;0.0
BNU;19900201;0.0
BNU;19900202;5.5
BNU;19900203;0.5
BNU;19900204;0.0
BNU;19900205;0.0
BNU;19900206;0.0
BNU;19900207;0.0
BNU;19900208;0.2
BNU;19900209;0.0
BNU;19900210;3.5
BNU;19900211;3.5
BNU;19900212;3.0
BNU;19900213;12.7
BNU;19900214;24.0
BNU;19900215;8.6
BNU;19900216;5.0
BNU;19900217;0.7
BNU;19900218;0.0
BNU;19900219;0.0
BNU;19900220;0.0
BNU;19900221;0.0
BNU;19900222;0.0
BNU;19900223;0.0
BNU;19900224;0.0
BNU;19900225;0.0
BNU;19900226;31.5
BNU;19900227;19.5
BNU;19900228;12.1
BNU;19900301;1.7
BNU;19900302;1.0
BNU;19900303;0.0
BNU;19900304;0.0
BNU;19900305;0.0
BNU;19900306;0.0
BNU;19900307;0.0
BNU;19900308;0.6
BNU;19900309;0.0
BNU;19900310;0.0
BNU;19900311;0.0
BNU;19900312;0.0
BNU;19900313;0.0
BNU;19900314;5.4
BNU;19900315;0.0
BNU;19900316;0.0
BNU;19900317;0.0
BNU;19900318;0.0
BNU;19900319;0.0
BNU;19900320;2.5
BNU;19900321;0.0
BNU;19900322;13.6
BNU;19900323;2.0
BNU;19900324;0.0
BNU;19900325;5.6
BNU;19900326;1.1
BNU;19900327;19.8
BNU;19900328;2.7
BNU;19900329;1.4
BNU;19900330;0.0
BNU;19900331;0.0
BNU;19900401;0.0
BNU;19900402;0.0
BNU;19900403;8.0
BNU;19900404;0.0
BNU;19900405;1.0
BNU;19900406;0.0
BNU;19900407;8.0
BNU;19900408;2.0
BNU;19900409;1.0
BNU;19900410;0.0
BNU;19900411;1.0
BNU;19900412;1.8
BNU;19900413;0.0
BNU;19900414;0.5
BNU;19900415;6.9
BNU;19900416;6.9
BNU;19900417;5.3
BNU;19900418;0.7
BNU;19900419;0.0
BNU;19900420;0.0
BNU;19900421;0.0
BNU;19900422;1.6
BNU;19900423;4.6
BNU;19900424;3.9
BNU;19900425;3.8
BNU;19900426;2.5
BNU;19900427;1.0
BNU;19900428;0.0
BNU;19900429;0.0
BNU;19900430;0.0
BNU;19900501;0.0
BNU;19900502;0.0
BNU;19900503;0.0
BNU;19900504;0.0
BNU;19900505;0.0
BNU;19900506;3.0
BNU;19900507;0.8
BNU;19900508;0.0
BNU;19900509;0.9
BNU;19900510;11.5
BNU;19900511;12.0
BNU;19900512;0.0
BNU;19900513;6.3
BNU;19900514;0.5
BNU;19900515;0.0
BNU;19900516;0.0
BNU;19900517;0.0
BNU;19900518;0.0
BNU;19900519;0.0
BNU;19900520;1.0
BNU;19900521;3.0
BNU;19900522;0.0
BNU;19900523;0.0
BNU;19900524;44.0
BNU;19900525;15.4
BNU;19900526;0.0
BNU;19900527;0.0
BNU;19900528;0.0
BNU;19900529;0.0
BNU;19900530;0.0
BNU;19900531;0.0
BNU;19900601;0.0
BNU;19900602;12.5
BNU;19900603;2.5
BNU;19900604;7.3
BNU;19900605;17.8
BNU;19900606;0.0
BNU;19900607;7.3
BNU;19900608;15.8
BNU;19900609;8.9
BNU;19900610;4.1
BNU;19900611;0.0
BNU;19900612;13.7
BNU;19900613;2.5
BNU;19900614;1.5
BNU;19900615;0.0
BNU;19900616;0.0
BNU;19900617;0.0
BNU;19900618;5.2
BNU;19900619;0.3
BNU;19900620;20.1
BNU;19900621;1.3
BNU;19900622;2.3
BNU;19900623;0.5
BNU;19900624;0.1
BNU;19900625;0.0
BNU;19900626;0.0
BNU;19900627;12.8
BNU;19900628;0.0
BNU;19900629;6.5
BNU;19900630;18.9
BNU;19900701;0.2
BNU;19900702;0.0
BNU;19900703;18.5
BNU;19900704;0.5
BNU;19900705;12.3
BNU;19900706;0.0
BNU;19900707;11.5
BNU;19900708;4.3
BNU;19900709;1.8
BNU;19900710;0.0
BNU;19900711;0.0
BNU;19900712;0.0
BNU;19900713;0.0
BNU;19900714;0.0
BNU;19900715;0.0
BNU;19900716;0.0
BNU;19900717;3.1
BNU;19900718;0.0
BNU;19900719;0.0
BNU;19900720;0.0
BNU;19900721;0.0
BNU;19900722;0.0
BNU;19900723;0.0
BNU;19900724;0.0
BNU;19900725;0.0
BNU;19900726;0.0
BNU;19900727;0.0
BNU;19900728;0.0
BNU;19900729;0.0
BNU;19900730;2.5
BNU;19900731;0.9
BNU;19900801;0.0
BNU;19900802;0.0
BNU;19900803;0.0
BNU;19900804;0.0
BNU;19900805;2.5
BNU;19900806;4.5
BNU;19900807;0.0
BNU;19900808;0.0
BNU;19900809;0.0
BNU;19900810;0.0
BNU;19900811;0.0
BNU;19900812;0.0
BNU;19900813;0.0
BNU;19900814;3.4
BNU;19900815;0.0
BNU;19900816;9.2
BNU;19900817;0.4
BNU;19900818;0.0
BNU;19900819;0.0
BNU;19900820;0.0
BNU;19900821;0.0
BNU;19900822;0.0
BNU;19900823;0.0
BNU;19900824;0.0
BNU;19900825;10.4
BNU;19900826;3.7
BNU;19900827;0.0
BNU;19900828;0.0
BNU;19900829;0.8
BNU;19900830;0.0
BNU;19900831;20.2
BNU;19900901;0.0
BNU;19900902;0.0
BNU;19900903;3.8
BNU;19900904;8.4
BNU;19900905;0.0
BNU;19900906;3.0
BNU;19900907;9.4
BNU;19900908;0.5
BNU;19900909;0.0
BNU;19900910;6.0
BNU;19900911;0.0
BNU;19900912;0.0
BNU;19900913;0.0
BNU;19900914;0.5
BNU;19900915;0.0
BNU;19900916;0.0
BNU;19900917;1.3
BNU;19900918;0.0
BNU;19900919;0.0
BNU;19900920;0.0
BNU;19900921;0.0
BNU;19900922;26.7
BNU;19900923;21.9
BNU;19900924;0.0
BNU;19900925;0.0
BNU;19900926;0.0
BNU;19900927;0.0
BNU;19900928;0.0
BNU;19900929;0.0
BNU;19900930;18.6
BNU;19901001;3.0
BNU;19901002;0.0
BNU;19901003;3.9
BNU;19901004;12.6
BNU;19901005;0.0
BNU;19901006;0.0
BNU;19901007;11.6
BNU;19901008;0.5
BNU;19901009;0.0
BNU;19901010;0.0
BNU;19901011;0.0
BNU;19901012;0.0
BNU;19901013;0.0
BNU;19901014;0.0
BNU;19901015;0.0
BNU;19901016;1.0
BNU;19901017;2.3
BNU;19901018;0.0
BNU;19901019;0.0
BNU;19901020;0.0
BNU;19901021;0.0
BNU;19901022;0.0
BNU;19901023;0.0
BNU;19901024;0.0
BNU;19901025;0.0
BNU;19901026;1.5
BNU;19901027;0.0
BNU;19901028;13.5
BNU;19901029;28.8
BNU;19901030;6.1
BNU;19901031;16.2
BNU;19901101;2.1
BNU;19901102;2.1
BNU;19901103;4.2
BNU;19901104;5.2
BNU;19901105;2.8
BNU;19901106;0.0
BNU;19901107;0.0
BNU;19901108;0.0
BNU;19901109;0.0
BNU;19901110;3.0
BNU;19901111;17.0
BNU;19901112;0.0
BNU;19901113;3.0
BNU;19901114;10.3
BNU;19901115;10.7
BNU;19901116;0.0
BNU;19901117;0.5
BNU;19901118;2.0
BNU;19901119;2.1
BNU;19901120;11.7
BNU;19901121;10.5
BNU;19901122;19.2
BNU;19901123;0.5
BNU;19901124;0.0
BNU;19901125;2.2
BNU;19901126;0.0
BNU;19901127;10.2
BNU;19901128;0.0
BNU;19901129;2.5
BNU;19901130;1.7
BNU;19901201;0.0
BNU;19901202;0.0
BNU;19901203;0.0
BNU;19901204;3.6
BNU;19901205;0.0
BNU;19901206;0.0
BNU;19901207;0.0
BNU;19901208;0.0
BNU;19901209;0.0
BNU;19901210;4.8
BNU;19901211;0.0
BNU;19901212;2.9
BNU;19901213;4.5
BNU;19901214;0.0
BNU;19901215;1.0
BNU;19901216;0.0
BNU;19901217;0.0
BNU;19901218;0.0
BNU;19901219;0.0
BNU;19901220;2.0
BNU;19901221;5.0
BNU;19901222;0.6
BNU;19901223;0.0
BNU;19901224;0.0
BNU;19901225;2.5
BNU;19901226;4.3
BNU;19901227;1.6
BNU;19901228;0.0
BNU;19901229;1.5
BNU;19901230;8.0
BNU;19901231;8.1
BNU;19910101;0.5
BNU;19910102;5.0
BNU;19910103;0.0
BNU;19910104;8.5
BNU;19910105;2.1
BNU;19910106;3.0
BNU;19910107;5.0
BNU;19910108;0.0
BNU;19910109;0.0
BNU;19910110;0.0
BNU;19910111;8.5
BNU;19910112;9.1
BNU;19910113;6.1
BNU;19910114;0.0
BNU;19910115;0.0
BNU;19910116;0.0
BNU;19910117;0.0
BNU;19910118;0.0
BNU;19910119;2.5
BNU;19910120;0.0
BNU;19910121;1.5
BNU;19910122;0.0
BNU;19910123;0.0
BNU;19910124;0.0
BNU;19910125;0.0
BNU;19910126;0.0
BNU;19910127;0.0
BNU;19910128;0.0
BNU;19910129;0.0
BNU;19910130;0.0
BNU;19910131;0.0
BNU;19910201;0.0
BNU;19910202;0.0
BNU;19910203;0.0
BNU;19910204;0.0
BNU;19910205;1.0
BNU;19910206;0.5
BNU;19910207;0.1
BNU;19910208;1.0
BNU;19910209;2.0
BNU;19910210;3.0
BNU;19910211;0.1
BNU;19910212;1.0
BNU;19910213;0.0
BNU;19910214;0.9
BNU;19910215;2.0
BNU;19910216;0.5
BNU;19910217;0.0
BNU;19910218;0.0
BNU;19910219;0.0
BNU;19910220;0.0
BNU;19910221;0.0
BNU;19910222;3.2
BNU;19910223;0.0
BNU;19910224;0.0
BNU;19910225;0.0
BNU;19910226;0.0
BNU;19910227;1.0
BNU;19910228;4.0
BNU;19910301;0.0
BNU;19910302;5.5
BNU;19910303;0.0
BNU;19910304;0.0
BNU;19910305;0.0
BNU;19910306;0.0
BNU;19910307;0.0
BNU;19910308;0.0
BNU;19910309;10.5
BNU;19910310;0.0
BNU;19910311;0.0
BNU;19910312;0.0
BNU;19910313;0.0
BNU;19910314;0.0
BNU;19910315;0.0
BNU;19910316;0.0
BNU;19910317;0.0
BNU;19910318;0.0
BNU;19910319;12.0
BNU;19910320;0.0
BNU;19910321;0.1
BNU;19910322;14.5
BNU;19910323;0.0
BNU;19910324;0.1
BNU;19910325;0.5
BNU;19910326;7.5
BNU;19910327;1.0
BNU;19910328;0.0
BNU;19910329;0.0
BNU;19910330;0.0
BNU;19910331;0.0
BNU;19910401;0.0
BNU;19910402;0.0
BNU;19910403;10.7
BNU;19910404;11.5
BNU;19910405;8.1
BNU;19910406;0.0
BNU;19910407;0.0
BNU;19910408;0.0
BNU;19910409;0.0
BNU;19910410;0.0
BNU;19910411;0.0
BNU;19910412;0.0
BNU;19910413;0.0
BNU;19910414;0.0
BNU;19910415;0.0
BNU;19910416;6.6
BNU;19910417;1.6
BNU;19910418;0.5
BNU;19910419;4.6
BNU;19910420;0.5
BNU;19910421;0.0
