 

stn;time;rre150d0
BUE;19900101;0.0
BUE;19900102;0.0
BUE;19900103;0.0
BUE;19900104;0.0
BUE;19900105;0.4
BUE;19900106;1.5
BUE;19900107;0.0
BUE;19900108;0.0
BUE;19900109;0.1
BUE;19900110;0.0
BUE;19900111;0.0
BUE;19900112;0.0
BUE;19900113;0.0
BUE;19900114;0.0
BUE;19900115;0.3
BUE;19900116;0.1
BUE;19900117;4.6
BUE;19900118;0.2
BUE;19900119;0.0
BUE;19900120;1.4
BUE;19900121;0.2
BUE;19900122;0.0
BUE;19900123;2.7
BUE;19900124;2.2
BUE;19900125;17.3
BUE;19900126;0.8
BUE;19900127;0.0
BUE;19900128;4.7
BUE;19900129;0.0
BUE;19900130;0.0
BUE;19900131;0.0
BUE;19900201;0.0
BUE;19900202;3.8
BUE;19900203;0.0
BUE;19900204;0.0
BUE;19900205;0.0
BUE;19900206;0.0
BUE;19900207;0.0
BUE;19900208;0.3
BUE;19900209;0.0
BUE;19900210;13.4
BUE;19900211;3.1
BUE;19900212;7.7
BUE;19900213;28.5
BUE;19900214;43.6
BUE;19900215;6.8
BUE;19900216;2.6
BUE;19900217;0.4
BUE;19900218;0.0
BUE;19900219;0.0
BUE;19900220;0.0
BUE;19900221;0.0
BUE;19900222;0.0
BUE;19900223;0.0
BUE;19900224;0.0
BUE;19900225;0.3
BUE;19900226;25.3
BUE;19900227;20.0
BUE;19900228;23.3
BUE;19900301;0.0
BUE;19900302;0.3
BUE;19900303;0.0
BUE;19900304;0.0
BUE;19900305;0.0
BUE;19900306;0.0
BUE;19900307;0.0
BUE;19900308;0.0
BUE;19900309;0.0
BUE;19900310;0.0
BUE;19900311;0.0
BUE;19900312;0.0
BUE;19900313;0.0
BUE;19900314;4.9
BUE;19900315;0.0
BUE;19900316;0.0
BUE;19900317;0.0
BUE;19900318;0.0
BUE;19900319;0.0
BUE;19900320;0.8
BUE;19900321;0.0
BUE;19900322;5.1
BUE;19900323;0.0
BUE;19900324;0.9
BUE;19900325;3.5
BUE;19900326;0.2
BUE;19900327;17.0
BUE;19900328;2.3
BUE;19900329;0.9
BUE;19900330;0.0
BUE;19900331;0.0
BUE;19900401;0.0
BUE;19900402;0.0
BUE;19900403;4.8
BUE;19900404;0.0
BUE;19900405;4.9
BUE;19900406;0.5
BUE;19900407;1.8
BUE;19900408;3.3
BUE;19900409;0.6
BUE;19900410;0.2
BUE;19900411;2.1
BUE;19900412;1.3
BUE;19900413;0.1
BUE;19900414;0.7
BUE;19900415;10.4
BUE;19900416;3.5
BUE;19900417;0.1
BUE;19900418;0.2
BUE;19900419;0.0
BUE;19900420;0.0
BUE;19900421;0.0
BUE;19900422;6.4
BUE;19900423;8.6
BUE;19900424;2.2
BUE;19900425;3.3
BUE;19900426;3.5
BUE;19900427;0.1
BUE;19900428;0.0
BUE;19900429;0.0
BUE;19900430;0.0
BUE;19900501;0.0
BUE;19900502;0.0
BUE;19900503;0.0
BUE;19900504;0.0
BUE;19900505;0.0
BUE;19900506;7.0
BUE;19900507;0.3
BUE;19900508;0.5
BUE;19900509;0.1
BUE;19900510;4.2
BUE;19900511;5.7
BUE;19900512;0.0
BUE;19900513;6.3
BUE;19900514;1.8
BUE;19900515;0.0
BUE;19900516;0.0
BUE;19900517;0.0
BUE;19900518;0.0
BUE;19900519;1.1
BUE;19900520;4.9
BUE;19900521;6.7
BUE;19900522;0.9
BUE;19900523;0.6
BUE;19900524;23.2
BUE;19900525;3.1
BUE;19900526;0.0
BUE;19900527;0.0
BUE;19900528;0.1
BUE;19900529;0.0
BUE;19900530;0.0
BUE;19900531;0.0
BUE;19900601;0.0
BUE;19900602;15.0
BUE;19900603;7.9
BUE;19900604;1.1
BUE;19900605;15.4
BUE;19900606;0.2
BUE;19900607;11.2
BUE;19900608;11.5
BUE;19900609;20.1
BUE;19900610;5.4
BUE;19900611;0.0
BUE;19900612;8.9
BUE;19900613;1.6
BUE;19900614;0.0
BUE;19900615;0.0
BUE;19900616;0.0
BUE;19900617;0.8
BUE;19900618;0.8
BUE;19900619;4.2
BUE;19900620;19.2
BUE;19900621;2.3
BUE;19900622;3.8
BUE;19900623;0.4
BUE;19900624;0.0
BUE;19900625;0.0
BUE;19900626;0.0
BUE;19900627;3.6
BUE;19900628;0.1
BUE;19900629;3.7
BUE;19900630;23.5
BUE;19900701;0.3
BUE;19900702;0.0
BUE;19900703;9.8
BUE;19900704;0.4
BUE;19900705;12.9
BUE;19900706;0.3
BUE;19900707;8.3
BUE;19900708;0.8
BUE;19900709;0.5
BUE;19900710;0.0
BUE;19900711;0.0
BUE;19900712;0.0
BUE;19900713;0.0
BUE;19900714;0.0
BUE;19900715;0.0
BUE;19900716;0.0
BUE;19900717;0.0
BUE;19900718;0.0
BUE;19900719;0.0
BUE;19900720;0.0
BUE;19900721;0.0
BUE;19900722;0.0
BUE;19900723;0.0
BUE;19900724;0.0
BUE;19900725;0.0
BUE;19900726;0.0
BUE;19900727;0.0
BUE;19900728;0.0
BUE;19900729;58.7
BUE;19900730;10.7
BUE;19900731;0.0
BUE;19900801;0.0
BUE;19900802;0.0
BUE;19900803;0.0
BUE;19900804;0.0
BUE;19900805;2.6
BUE;19900806;0.0
BUE;19900807;0.0
BUE;19900808;0.0
BUE;19900809;0.0
BUE;19900810;0.0
BUE;19900811;0.0
BUE;19900812;0.0
BUE;19900813;0.0
BUE;19900814;14.1
BUE;19900815;0.0
BUE;19900816;4.5
BUE;19900817;0.4
BUE;19900818;0.0
BUE;19900819;0.0
BUE;19900820;0.0
BUE;19900821;0.0
BUE;19900822;0.0
BUE;19900823;0.0
BUE;19900824;0.0
BUE;19900825;30.5
BUE;19900826;0.0
BUE;19900827;0.1
BUE;19900828;0.0
BUE;19900829;0.9
BUE;19900830;6.0
BUE;19900831;12.0
BUE;19900901;0.0
BUE;19900902;0.0
BUE;19900903;1.8
BUE;19900904;1.9
BUE;19900905;0.0
BUE;19900906;1.4
BUE;19900907;4.5
BUE;19900908;0.0
BUE;19900909;0.0
BUE;19900910;1.9
BUE;19900911;0.0
BUE;19900912;0.0
BUE;19900913;0.0
BUE;19900914;2.1
BUE;19900915;0.0
BUE;19900916;0.0
BUE;19900917;0.0
BUE;19900918;0.0
BUE;19900919;0.0
BUE;19900920;0.0
BUE;19900921;1.3
BUE;19900922;29.2
BUE;19900923;17.2
BUE;19900924;0.0
BUE;19900925;0.0
BUE;19900926;0.0
BUE;19900927;0.0
BUE;19900928;0.0
BUE;19900929;0.8
BUE;19900930;15.7
BUE;19901001;12.7
BUE;19901002;0.0
BUE;19901003;6.3
BUE;19901004;16.7
BUE;19901005;0.0
BUE;19901006;0.0
BUE;19901007;1.7
BUE;19901008;0.0
BUE;19901009;0.0
BUE;19901010;0.0
BUE;19901011;0.0
BUE;19901012;0.2
BUE;19901013;0.0
BUE;19901014;0.0
BUE;19901015;0.0
BUE;19901016;1.2
BUE;19901017;2.1
BUE;19901018;0.0
BUE;19901019;0.0
BUE;19901020;0.0
BUE;19901021;0.0
BUE;19901022;0.0
BUE;19901023;0.0
BUE;19901024;0.0
BUE;19901025;0.3
BUE;19901026;1.7
BUE;19901027;0.1
BUE;19901028;21.4
BUE;19901029;24.6
BUE;19901030;18.6
BUE;19901031;10.9
BUE;19901101;6.7
BUE;19901102;3.9
BUE;19901103;2.1
BUE;19901104;5.7
BUE;19901105;0.3
BUE;19901106;0.0
BUE;19901107;0.0
BUE;19901108;0.0
BUE;19901109;0.0
BUE;19901110;2.8
BUE;19901111;16.8
BUE;19901112;0.0
BUE;19901113;2.4
BUE;19901114;8.4
BUE;19901115;9.2
BUE;19901116;0.0
BUE;19901117;0.5
BUE;19901118;3.3
BUE;19901119;4.8
BUE;19901120;6.6
BUE;19901121;8.3
BUE;19901122;32.8
BUE;19901123;0.0
BUE;19901124;0.0
BUE;19901125;2.2
BUE;19901126;0.0
BUE;19901127;3.3
BUE;19901128;0.3
BUE;19901129;0.7
BUE;19901130;1.9
BUE;19901201;0.0
BUE;19901202;0.0
BUE;19901203;0.0
BUE;19901204;0.9
BUE;19901205;0.0
BUE;19901206;0.0
BUE;19901207;0.0
BUE;19901208;0.0
BUE;19901209;0.9
BUE;19901210;7.7
BUE;19901211;0.7
BUE;19901212;5.2
BUE;19901213;4.1
BUE;19901214;0.3
BUE;19901215;0.1
BUE;19901216;0.0
BUE;19901217;0.0
BUE;19901218;0.5
BUE;19901219;0.2
BUE;19901220;2.5
BUE;19901221;6.6
BUE;19901222;0.3
BUE;19901223;0.4
BUE;19901224;0.0
BUE;19901225;4.0
BUE;19901226;7.3
BUE;19901227;3.1
BUE;19901228;0.4
BUE;19901229;2.4
BUE;19901230;10.3
BUE;19901231;12.1
BUE;19910101;0.9
BUE;19910102;13.1
BUE;19910103;0.0
BUE;19910104;3.9
BUE;19910105;6.6
BUE;19910106;11.2
BUE;19910107;13.4
BUE;19910108;0.1
BUE;19910109;0.9
BUE;19910110;0.0
BUE;19910111;4.8
BUE;19910112;4.8
BUE;19910113;8.2
BUE;19910114;0.0
BUE;19910115;0.0
BUE;19910116;0.0
BUE;19910117;0.0
BUE;19910118;0.0
BUE;19910119;2.5
BUE;19910120;0.0
BUE;19910121;2.2
BUE;19910122;0.0
BUE;19910123;0.0
BUE;19910124;0.0
BUE;19910125;0.0
BUE;19910126;0.0
BUE;19910127;0.0
BUE;19910128;0.0
BUE;19910129;0.0
BUE;19910130;0.0
BUE;19910131;0.0
BUE;19910201;0.0
BUE;19910202;0.0
BUE;19910203;0.0
BUE;19910204;0.0
BUE;19910205;0.1
BUE;19910206;0.0
BUE;19910207;0.0
BUE;19910208;2.3
BUE;19910209;8.3
BUE;19910210;0.2
BUE;19910211;0.1
BUE;19910212;0.3
BUE;19910213;0.0
BUE;19910214;0.0
BUE;19910215;3.0
BUE;19910216;0.3
BUE;19910217;0.0
BUE;19910218;0.0
BUE;19910219;0.0
BUE;19910220;0.0
BUE;19910221;0.5
BUE;19910222;0.0
BUE;19910223;0.0
BUE;19910224;0.0
BUE;19910225;0.0
BUE;19910226;0.0
BUE;19910227;4.9
BUE;19910228;1.8
BUE;19910301;0.0
BUE;19910302;6.8
BUE;19910303;0.0
BUE;19910304;0.0
BUE;19910305;0.4
BUE;19910306;0.0
BUE;19910307;0.0
BUE;19910308;0.0
BUE;19910309;11.2
BUE;19910310;0.0
BUE;19910311;0.9
BUE;19910312;0.0
BUE;19910313;0.0
BUE;19910314;0.0
BUE;19910315;0.0
BUE;19910316;0.0
BUE;19910317;0.0
BUE;19910318;3.4
BUE;19910319;10.7
BUE;19910320;0.0
BUE;19910321;6.5
BUE;19910322;16.4
BUE;19910323;0.0
BUE;19910324;0.0
BUE;19910325;0.1
BUE;19910326;5.1
BUE;19910327;0.1
BUE;19910328;0.0
BUE;19910329;0.0
BUE;19910330;0.0
BUE;19910331;0.0
BUE;19910401;0.0
BUE;19910402;0.0
BUE;19910403;7.8
BUE;19910404;9.3
BUE;19910405;10.5
BUE;19910406;0.0
BUE;19910407;0.0
BUE;19910408;0.0
BUE;19910409;0.0
BUE;19910410;0.0
BUE;19910411;0.0
BUE;19910412;0.0
BUE;19910413;0.0
BUE;19910414;0.0
BUE;19910415;0.0
BUE;19910416;0.5
BUE;19910417;0.0
BUE;19910418;0.4
BUE;19910419;1.3
BUE;19910420;0.3
BUE;19910421;0.0
BUE;19910422;3.9
BUE;19910423;0.9
BUE;19910424;0.0
BUE;19910425;0.0
BUE;19910426;0.0
BUE;19910427;6.9
BUE;19910428;3.1
BUE;19910429;1.1
BUE;19910430;7.2
BUE;19910501;2.9
BUE;19910502;0.3
BUE;19910503;0.4
BUE;19910504;3.5
BUE;19910505;0.4
BUE;19910506;0.1
BUE;19910507;1.8
BUE;19910508;0.0
BUE;19910509;0.0
BUE;19910510;29.3
BUE;19910511;34.4
BUE;19910512;0.5
BUE;19910513;0.0
BUE;19910514;9.6
BUE;19910515;3.8
BUE;19910516;0.8
BUE;19910517;12.4
BUE;19910518;1.8
BUE;19910519;0.0
BUE;19910520;0.0
BUE;19910521;0.0
BUE;19910522;0.0
BUE;19910523;0.0
BUE;19910524;0.0
BUE;19910525;2.5
BUE;19910526;0.7
BUE;19910527;0.0
BUE;19910528;0.0
BUE;19910529;0.0
BUE;19910530;0.0
BUE;19910531;0.0
BUE;19910601;0.0
BUE;19910602;6.8
BUE;19910603;3.9
BUE;19910604;0.2
BUE;19910605;4.6
BUE;19910606;22.0
BUE;19910607;3.7
BUE;19910608;3.0
BUE;19910609;10.6
BUE;19910610;0.3
BUE;19910611;0.1
BUE;19910612;2.4
BUE;19910613;0.0
BUE;19910614;0.0
BUE;19910615;11.1
BUE;19910616;36.6
BUE;19910617;18.9
BUE;19910618;4.2
BUE;19910619;0.2
BUE;19910620;8.9
BUE;19910621;0.0
BUE;19910622;2.6
BUE;19910623;8.1
BUE;19910624;0.8
BUE;19910625;0.0
BUE;19910626;5.2
BUE;19910627;1.7
BUE;19910628;0.4
BUE;19910629;0.2
BUE;19910630;0.0
BUE;19910701;0.0
BUE;19910702;0.0
BUE;19910703;0.0
BUE;19910704;0.0
BUE;19910705;0.0
BUE;19910706;0.0
BUE;19910707;0.3
BUE;19910708;0.0
BUE;19910709;0.1
BUE;19910710;0.0
BUE;19910711;0.0
BUE;19910712;0.6
BUE;19910713;0.4
BUE;19910714;2.1
BUE;19910715;0.0
BUE;19910716;0.0
BUE;19910717;12.1
BUE;19910718;0.2
BUE;19910719;1.2
BUE;19910720;0.0
BUE;19910721;0.0
BUE;19910722;0.0
BUE;19910723;11.6
BUE;19910724;8.2
BUE;19910725;13.7
BUE;19910726;15.5
BUE;19910727;0.1
BUE;19910728;0.0
BUE;19910729;0.0
BUE;19910730;1.5
BUE;19910731;3.0
BUE;19910801;0.0
BUE;19910802;0.0
BUE;19910803;0.0
BUE;19910804;0.0
BUE;19910805;0.0
BUE;19910806;0.0
BUE;19910807;0.0
BUE;19910808;11.6
BUE;19910809;0.0
BUE;19910810;0.0
BUE;19910811;0.0
BUE;19910812;0.0
BUE;19910813;0.0
BUE;19910814;0.0
BUE;19910815;0.0
BUE;19910816;0.0
BUE;19910817;0.0
BUE;19910818;0.0
BUE;19910819;0.0
BUE;19910820;0.0
BUE;19910821;0.0
BUE;19910822;3.8
BUE;19910823;1.5
BUE;19910824;0.0
BUE;19910825;0.0
BUE;19910826;0.0
BUE;19910827;0.0
BUE;19910828;0.0
BUE;19910829;0.0
BUE;19910830;0.0
BUE;19910831;0.0
BUE;19910901;0.0
BUE;19910902;0.0
BUE;19910903;0.0
BUE;19910904;0.0
BUE;19910905;0.0
BUE;19910906;0.0
BUE;19910907;0.0
BUE;19910908;0.0
BUE;19910909;0.0
BUE;19910910;0.2
BUE;19910911;17.5
BUE;19910912;0.1
BUE;19910913;0.0
BUE;19910914;0.0
BUE;19910915;0.0
BUE;19910916;0.2
BUE;19910917;0.0
BUE;19910918;0.0
BUE;19910919;0.0
BUE;19910920;0.0
BUE;19910921;0.1
BUE;19910922;23.4
BUE;19910923;0.0
BUE;19910924;0.0
BUE;19910925;0.0
BUE;19910926;13.6
BUE;19910927;8.4
BUE;19910928;0.3
BUE;19910929;1.9
BUE;19910930;1.4
BUE;19911001;1.5
BUE;19911002;0.0
BUE;19911003;0.0
BUE;19911004;0.0
BUE;19911005;3.8
BUE;19911006;2.9
BUE;19911007;0.0
BUE;19911008;0.0
BUE;19911009;0.0
BUE;19911010;0.0
BUE;19911011;0.0
BUE;19911012;7.2
BUE;19911013;0.2
BUE;19911014;0.0
BUE;19911015;0.0
BUE;19911016;0.0
BUE;19911017;2.4
BUE;19911018;2.4
BUE;19911019;2.0
BUE;19911020;0.3
BUE;19911021;0.4
BUE;19911022;0.0
BUE;19911023;0.0
BUE;19911024;0.0
BUE;19911025;0.0
BUE;19911026;0.0
BUE;19911027;0.4
BUE;19911028;0.0
BUE;19911029;0.0
BUE;19911030;1.5
BUE;19911031;0.0
BUE;19911101;0.0
BUE;19911102;3.4
BUE;19911103;22.5
BUE;19911104;7.3
BUE;19911105;1.3
BUE;19911106;0.6
BUE;19911107;0.2
BUE;19911108;2.5
BUE;19911109;6.4
BUE;19911110;0.0
BUE;19911111;1.2
BUE;19911112;0.5
BUE;19911113;10.2
BUE;19911114;0.4
BUE;19911115;3.7
BUE;19911116;24.6
BUE;19911117;1.4
BUE;19911118;7.8
BUE;19911119;0.0
BUE;19911120;5.5
BUE;19911121;0.2
BUE;19911122;0.0
BUE;19911123;0.0
BUE;19911124;0.0
BUE;19911125;0.0
BUE;19911126;0.0
BUE;19911127;0.0
BUE;19911128;0.0
BUE;19911129;0.0
BUE;19911130;0.0
BUE;19911201;0.0
BUE;19911202;0.0
BUE;19911203;0.0
BUE;19911204;0.0
BUE;19911205;0.2
BUE;19911206;0.0
BUE;19911207;0.0
BUE;19911208;0.0
BUE;19911209;0.0
BUE;19911210;0.0
BUE;19911211;0.0
BUE;19911212;0.0
BUE;19911213;0.0
BUE;19911214;0.0
BUE;19911215;0.0
BUE;19911216;0.2
BUE;19911217;8.8
BUE;19911218;9.3
BUE;19911219;6.4
BUE;19911220;11.3
BUE;19911221;19.8
BUE;19911222;3.1
BUE;19911223;0.4
BUE;19911224;0.9
BUE;19911225;0.0
BUE;19911226;0.4
BUE;19911227;0.2
BUE;19911228;0.0
BUE;19911229;0.0
BUE;19911230;0.0
BUE;19911231;0.0
BUE;19920101;0.0
BUE;19920102;0.0
BUE;19920103;0.0
BUE;19920104;0.0
BUE;19920105;0.0
BUE;19920106;0.0
BUE;19920107;0.0
BUE;19920108;0.2
BUE;19920109;1.5
BUE;19920110;7.6
BUE;19920111;0.0
BUE;19920112;0.0
BUE;19920113;0.2
BUE;19920114;0.0
BUE;19920115;0.0
BUE;19920116;0.1
BUE;19920117;0.0
BUE;19920118;0.0
BUE;19920119;7.6
BUE;19920120;0.3
BUE;19920121;0.1
BUE;19920122;0.0
BUE;19920123;0.0
BUE;19920124;0.0
BUE;19920125;0.0
BUE;19920126;0.0
BUE;19920127;0.0
BUE;19920128;0.0
BUE;19920129;0.0
BUE;19920130;0.0
BUE;19920131;0.0
BUE;19920201;0.0
BUE;19920202;0.2
BUE;19920203;1.2
BUE;19920204;9.5
BUE;19920205;2.0
BUE;19920206;0.0
BUE;19920207;0.0
BUE;19920208;0.0
BUE;19920209;4.2
BUE;19920210;0.0
BUE;19920211;4.8
BUE;19920212;0.7
BUE;19920213;3.4
BUE;19920214;0.1
BUE;19920215;7.0
BUE;19920216;7.4
BUE;19920217;3.7
BUE;19920218;0.2
BUE;19920219;0.0
BUE;19920220;0.0
BUE;19920221;0.0
BUE;19920222;0.0
BUE;19920223;0.0
BUE;19920224;0.0
BUE;19920225;0.0
BUE;19920226;0.0
BUE;19920227;0.0
BUE;19920228;0.0
BUE;19920229;0.0
BUE;19920301;0.0
BUE;19920302;2.9
BUE;19920303;0.0
BUE;19920304;0.0
BUE;19920305;0.5
BUE;19920306;0.0
BUE;19920307;0.0
BUE;19920308;0.5
BUE;19920309;0.0
BUE;19920310;0.5
BUE;19920311;0.0
BUE;19920312;4.5
BUE;19920313;7.0
BUE;19920314;10.9
BUE;19920315;13.1
BUE;19920316;0.0
BUE;19920317;0.0
BUE;19920318;0.0
BUE;19920319;0.8
BUE;19920320;0.0
BUE;19920321;0.2
BUE;19920322;8.8
BUE;19920323;3.6
BUE;19920324;5.8
BUE;19920325;0.4
BUE;19920326;0.0
BUE;19920327;1.9
BUE;19920328;1.0
BUE;19920329;0.0
BUE;19920330;0.0
BUE;19920331;7.6
BUE;19920401;2.6
BUE;19920402;14.7
BUE;19920403;38.5
BUE;19920404;7.2
