 

stn;time;rre150d0
BUS;19900101;0.0
BUS;19900102;0.0
BUS;19900103;0.0
BUS;19900104;0.0
BUS;19900105;0.2
BUS;19900106;1.4
BUS;19900107;0.0
BUS;19900108;0.0
BUS;19900109;0.0
BUS;19900110;0.0
BUS;19900111;0.0
BUS;19900112;0.0
BUS;19900113;0.0
BUS;19900114;0.0
BUS;19900115;1.1
BUS;19900116;0.0
BUS;19900117;3.5
BUS;19900118;1.6
BUS;19900119;0.0
BUS;19900120;1.2
BUS;19900121;0.0
BUS;19900122;0.0
BUS;19900123;5.2
BUS;19900124;1.9
BUS;19900125;14.0
BUS;19900126;2.2
BUS;19900127;0.0
BUS;19900128;4.9
BUS;19900129;0.0
BUS;19900130;0.0
BUS;19900131;0.0
BUS;19900201;0.0
BUS;19900202;3.5
BUS;19900203;0.4
BUS;19900204;0.0
BUS;19900205;0.0
BUS;19900206;0.0
BUS;19900207;0.0
BUS;19900208;0.0
BUS;19900209;0.0
BUS;19900210;7.8
BUS;19900211;4.6
BUS;19900212;7.9
BUS;19900213;12.5
BUS;19900214;39.8
BUS;19900215;12.2
BUS;19900216;4.7
BUS;19900217;0.3
BUS;19900218;0.0
BUS;19900219;0.0
BUS;19900220;0.0
BUS;19900221;0.0
BUS;19900222;0.0
BUS;19900223;0.0
BUS;19900224;0.0
BUS;19900225;0.0
BUS;19900226;22.4
BUS;19900227;19.9
BUS;19900228;19.0
BUS;19900301;3.3
BUS;19900302;0.5
BUS;19900303;0.0
BUS;19900304;0.0
BUS;19900305;0.0
BUS;19900306;0.0
BUS;19900307;0.0
BUS;19900308;0.0
BUS;19900309;0.0
BUS;19900310;0.0
BUS;19900311;0.0
BUS;19900312;0.0
BUS;19900313;0.0
BUS;19900314;2.6
BUS;19900315;0.0
BUS;19900316;0.0
BUS;19900317;0.0
BUS;19900318;0.0
BUS;19900319;0.0
BUS;19900320;3.3
BUS;19900321;0.0
BUS;19900322;7.3
BUS;19900323;0.0
BUS;19900324;0.2
BUS;19900325;0.4
BUS;19900326;0.5
BUS;19900327;7.7
BUS;19900328;2.7
BUS;19900329;0.2
BUS;19900330;0.0
BUS;19900331;0.0
BUS;19900401;0.0
BUS;19900402;0.0
BUS;19900403;2.7
BUS;19900404;0.0
BUS;19900405;3.7
BUS;19900406;2.1
BUS;19900407;0.8
BUS;19900408;1.4
BUS;19900409;0.0
BUS;19900410;0.4
BUS;19900411;6.6
BUS;19900412;0.0
BUS;19900413;1.8
BUS;19900414;4.3
BUS;19900415;10.2
BUS;19900416;2.6
BUS;19900417;0.6
BUS;19900418;1.3
BUS;19900419;0.0
BUS;19900420;0.0
BUS;19900421;0.0
BUS;19900422;13.9
BUS;19900423;3.4
BUS;19900424;0.1
BUS;19900425;1.4
BUS;19900426;1.6
BUS;19900427;0.8
BUS;19900428;0.0
BUS;19900429;0.0
BUS;19900430;0.0
BUS;19900501;0.0
BUS;19900502;0.0
BUS;19900503;0.0
BUS;19900504;0.0
BUS;19900505;0.0
BUS;19900506;0.0
BUS;19900507;0.2
BUS;19900508;0.0
BUS;19900509;0.0
BUS;19900510;8.0
BUS;19900511;19.2
BUS;19900512;0.2
BUS;19900513;11.6
BUS;19900514;0.2
BUS;19900515;0.0
BUS;19900516;0.0
BUS;19900517;0.0
BUS;19900518;0.0
BUS;19900519;3.2
BUS;19900520;2.1
BUS;19900521;1.8
BUS;19900522;0.3
BUS;19900523;1.0
BUS;19900524;5.3
BUS;19900525;1.6
BUS;19900526;0.0
BUS;19900527;0.0
BUS;19900528;0.0
BUS;19900529;0.0
BUS;19900530;0.0
BUS;19900531;0.0
BUS;19900601;0.5
BUS;19900602;17.7
BUS;19900603;9.6
BUS;19900604;1.0
BUS;19900605;11.8
BUS;19900606;0.2
BUS;19900607;16.6
BUS;19900608;8.0
BUS;19900609;9.5
BUS;19900610;9.2
BUS;19900611;0.0
BUS;19900612;9.5
BUS;19900613;1.8
BUS;19900614;0.0
BUS;19900615;0.0
BUS;19900616;0.0
BUS;19900617;2.7
BUS;19900618;2.8
BUS;19900619;7.7
BUS;19900620;28.9
BUS;19900621;0.4
BUS;19900622;9.0
BUS;19900623;0.5
BUS;19900624;0.0
BUS;19900625;0.0
BUS;19900626;0.0
BUS;19900627;14.0
BUS;19900628;0.0
BUS;19900629;2.2
BUS;19900630;32.7
BUS;19900701;1.8
BUS;19900702;0.0
BUS;19900703;12.4
BUS;19900704;0.0
BUS;19900705;7.0
BUS;19900706;0.0
BUS;19900707;5.9
BUS;19900708;0.2
BUS;19900709;0.4
BUS;19900710;0.0
BUS;19900711;0.0
BUS;19900712;0.0
BUS;19900713;0.0
BUS;19900714;0.0
BUS;19900715;0.0
BUS;19900716;0.0
BUS;19900717;0.0
BUS;19900718;0.0
BUS;19900719;0.0
BUS;19900720;0.0
BUS;19900721;0.0
BUS;19900722;0.0
BUS;19900723;0.0
BUS;19900724;0.0
BUS;19900725;0.0
BUS;19900726;0.0
BUS;19900727;0.0
BUS;19900728;0.8
BUS;19900729;45.3
BUS;19900730;0.6
BUS;19900731;0.0
BUS;19900801;0.0
BUS;19900802;0.0
BUS;19900803;0.0
BUS;19900804;0.0
BUS;19900805;0.1
BUS;19900806;0.0
BUS;19900807;0.0
BUS;19900808;0.0
BUS;19900809;0.0
BUS;19900810;0.0
BUS;19900811;0.0
BUS;19900812;0.0
BUS;19900813;0.1
BUS;19900814;41.1
BUS;19900815;0.0
BUS;19900816;6.5
BUS;19900817;0.2
BUS;19900818;0.0
BUS;19900819;0.0
BUS;19900820;0.0
BUS;19900821;0.0
BUS;19900822;0.0
BUS;19900823;0.0
BUS;19900824;0.0
BUS;19900825;0.0
BUS;19900826;0.0
BUS;19900827;0.0
BUS;19900828;0.1
BUS;19900829;0.0
BUS;19900830;5.1
BUS;19900831;16.9
BUS;19900901;0.0
BUS;19900902;0.0
BUS;19900903;1.8
BUS;19900904;1.4
BUS;19900905;0.0
BUS;19900906;3.5
BUS;19900907;4.9
BUS;19900908;0.1
BUS;19900909;0.0
BUS;19900910;0.0
BUS;19900911;0.0
BUS;19900912;0.0
BUS;19900913;0.0
BUS;19900914;6.1
BUS;19900915;0.5
BUS;19900916;0.0
BUS;19900917;0.0
BUS;19900918;0.0
BUS;19900919;0.0
BUS;19900920;0.0
BUS;19900921;0.1
BUS;19900922;14.9
BUS;19900923;18.6
BUS;19900924;0.0
BUS;19900925;0.0
BUS;19900926;0.0
BUS;19900927;0.0
BUS;19900928;0.0
BUS;19900929;0.0
BUS;19900930;11.9
BUS;19901001;2.9
BUS;19901002;0.5
BUS;19901003;7.0
BUS;19901004;15.3
BUS;19901005;0.0
BUS;19901006;0.0
BUS;19901007;1.4
BUS;19901008;0.1
BUS;19901009;0.0
BUS;19901010;0.0
BUS;19901011;0.0
BUS;19901012;0.0
BUS;19901013;0.0
BUS;19901014;0.0
BUS;19901015;0.0
BUS;19901016;1.0
BUS;19901017;1.3
BUS;19901018;0.0
BUS;19901019;0.0
BUS;19901020;0.0
BUS;19901021;0.0
BUS;19901022;0.0
BUS;19901023;0.0
BUS;19901024;0.0
BUS;19901025;3.5
BUS;19901026;1.9
BUS;19901027;0.7
BUS;19901028;12.0
BUS;19901029;25.3
BUS;19901030;5.5
BUS;19901031;11.5
