 

stn;time;rre150d0
DIE;19900101;0.0
DIE;19900102;0.0
DIE;19900103;0.0
DIE;19900104;0.0
DIE;19900105;0.1
DIE;19900106;0.1
DIE;19900107;0.0
DIE;19900108;0.0
DIE;19900109;0.0
DIE;19900110;0.0
DIE;19900111;0.0
DIE;19900112;0.0
DIE;19900113;0.0
DIE;19900114;0.0
DIE;19900115;0.7
DIE;19900116;0.0
DIE;19900117;1.8
DIE;19900118;0.8
DIE;19900119;0.0
DIE;19900120;0.0
DIE;19900121;0.2
DIE;19900122;0.0
DIE;19900123;3.3
DIE;19900124;2.4
DIE;19900125;12.4
DIE;19900126;0.1
DIE;19900127;0.0
DIE;19900128;1.9
DIE;19900129;0.0
DIE;19900130;0.0
DIE;19900131;0.0
DIE;19900201;0.0
DIE;19900202;6.5
DIE;19900203;0.8
DIE;19900204;0.0
DIE;19900205;0.1
DIE;19900206;0.1
DIE;19900207;0.1
DIE;19900208;1.0
DIE;19900209;0.0
DIE;19900210;10.2
DIE;19900211;5.2
DIE;19900212;7.2
DIE;19900213;17.3
DIE;19900214;28.2
DIE;19900215;10.0
DIE;19900216;0.9
DIE;19900217;0.1
DIE;19900218;0.1
DIE;19900219;0.0
DIE;19900220;0.0
DIE;19900221;0.0
DIE;19900222;0.0
DIE;19900223;0.0
DIE;19900224;0.0
DIE;19900225;0.3
DIE;19900226;18.0
DIE;19900227;16.2
DIE;19900228;16.0
DIE;19900301;2.1
DIE;19900302;0.2
DIE;19900303;0.0
DIE;19900304;0.0
DIE;19900305;0.0
DIE;19900306;0.0
DIE;19900307;0.0
DIE;19900308;0.0
DIE;19900309;0.0
DIE;19900310;0.0
DIE;19900311;0.0
DIE;19900312;0.0
DIE;19900313;0.0
DIE;19900314;3.5
DIE;19900315;0.0
DIE;19900316;0.0
DIE;19900317;0.0
DIE;19900318;0.0
DIE;19900319;0.0
DIE;19900320;1.7
DIE;19900321;0.0
DIE;19900322;4.0
DIE;19900323;0.0
DIE;19900324;1.4
DIE;19900325;0.2
DIE;19900326;0.2
DIE;19900327;7.6
DIE;19900328;7.2
DIE;19900329;2.5
DIE;19900330;0.0
DIE;19900331;0.0
DIE;19900401;0.0
DIE;19900402;0.0
DIE;19900403;5.0
DIE;19900404;0.0
DIE;19900405;4.5
DIE;19900406;0.8
DIE;19900407;2.3
DIE;19900408;6.0
DIE;19900409;0.2
DIE;19900410;2.1
DIE;19900411;1.5
DIE;19900412;0.2
DIE;19900413;0.0
DIE;19900414;4.3
DIE;19900415;3.6
DIE;19900416;0.6
DIE;19900417;0.7
DIE;19900418;0.0
DIE;19900419;0.0
DIE;19900420;0.0
DIE;19900421;0.0
DIE;19900422;0.8
DIE;19900423;3.2
DIE;19900424;0.8
DIE;19900425;3.2
DIE;19900426;5.0
DIE;19900427;1.1
DIE;19900428;0.0
DIE;19900429;0.0
DIE;19900430;0.0
DIE;19900501;0.0
DIE;19900502;0.0
DIE;19900503;0.0
DIE;19900504;0.0
DIE;19900505;0.0
DIE;19900506;0.0
DIE;19900507;0.0
DIE;19900508;0.0
DIE;19900509;0.0
DIE;19900510;5.1
DIE;19900511;9.0
DIE;19900512;0.0
DIE;19900513;3.5
DIE;19900514;0.0
DIE;19900515;0.0
DIE;19900516;0.0
DIE;19900517;0.0
DIE;19900518;0.0
DIE;19900519;0.0
DIE;19900520;1.5
DIE;19900521;2.2
DIE;19900522;0.0
DIE;19900523;0.0
DIE;19900524;9.1
DIE;19900525;0.2
DIE;19900526;0.0
DIE;19900527;0.0
DIE;19900528;0.0
DIE;19900529;0.0
DIE;19900530;0.0
DIE;19900531;0.0
DIE;19900601;0.0
DIE;19900602;21.8
DIE;19900603;4.3
DIE;19900604;1.3
DIE;19900605;17.8
DIE;19900606;0.2
DIE;19900607;12.2
DIE;19900608;16.6
DIE;19900609;10.4
DIE;19900610;3.4
DIE;19900611;0.0
DIE;19900612;6.6
DIE;19900613;3.5
DIE;19900614;0.1
DIE;19900615;0.0
DIE;19900616;0.0
DIE;19900617;1.0
DIE;19900618;0.0
DIE;19900619;1.8
DIE;19900620;15.7
DIE;19900621;3.5
DIE;19900622;2.5
DIE;19900623;0.1
DIE;19900624;0.0
DIE;19900625;0.0
DIE;19900626;0.0
DIE;19900627;3.0
DIE;19900628;0.0
DIE;19900629;1.9
DIE;19900630;41.5
DIE;19900701;0.0
DIE;19900702;0.5
DIE;19900703;26.0
DIE;19900704;0.3
DIE;19900705;8.4
DIE;19900706;0.0
DIE;19900707;9.5
DIE;19900708;0.8
DIE;19900709;1.0
DIE;19900710;0.0
DIE;19900711;0.0
DIE;19900712;0.0
DIE;19900713;0.0
DIE;19900714;0.0
DIE;19900715;0.0
DIE;19900716;0.0
DIE;19900717;12.3
DIE;19900718;0.0
DIE;19900719;0.0
DIE;19900720;0.0
DIE;19900721;0.0
DIE;19900722;0.0
DIE;19900723;0.0
DIE;19900724;0.0
DIE;19900725;0.0
DIE;19900726;0.0
DIE;19900727;0.0
DIE;19900728;0.0
DIE;19900729;7.0
DIE;19900730;8.7
DIE;19900731;0.0
DIE;19900801;0.0
DIE;19900802;0.0
DIE;19900803;0.0
DIE;19900804;0.0
DIE;19900805;0.0
DIE;19900806;0.0
DIE;19900807;0.0
DIE;19900808;0.0
DIE;19900809;0.0
DIE;19900810;0.0
DIE;19900811;0.0
DIE;19900812;0.0
DIE;19900813;0.3
DIE;19900814;5.4
DIE;19900815;0.0
DIE;19900816;3.0
DIE;19900817;2.5
DIE;19900818;0.0
DIE;19900819;0.0
DIE;19900820;0.0
DIE;19900821;0.0
DIE;19900822;0.0
DIE;19900823;0.0
DIE;19900824;0.0
DIE;19900825;28.6
DIE;19900826;2.8
DIE;19900827;0.0
DIE;19900828;0.0
DIE;19900829;0.3
DIE;19900830;23.7
DIE;19900831;3.9
DIE;19900901;0.0
DIE;19900902;0.0
DIE;19900903;4.0
DIE;19900904;1.3
DIE;19900905;0.0
DIE;19900906;5.8
DIE;19900907;2.1
DIE;19900908;1.9
DIE;19900909;0.0
DIE;19900910;1.4
DIE;19900911;0.0
DIE;19900912;0.0
DIE;19900913;0.0
DIE;19900914;0.0
DIE;19900915;0.0
DIE;19900916;0.0
DIE;19900917;0.6
DIE;19900918;0.0
DIE;19900919;0.0
DIE;19900920;0.0
DIE;19900921;3.2
DIE;19900922;18.0
DIE;19900923;6.4
DIE;19900924;0.0
DIE;19900925;0.0
