 

stn;time;rre150d0
EBK;19900101;0.0
EBK;19900102;0.0
EBK;19900103;0.0
EBK;19900104;0.0
EBK;19900105;2.7
EBK;19900106;3.5
EBK;19900107;0.0
EBK;19900108;0.0
EBK;19900109;0.0
EBK;19900110;0.0
EBK;19900111;0.0
EBK;19900112;0.0
EBK;19900113;0.0
EBK;19900114;0.0
EBK;19900115;0.0
EBK;19900116;0.1
EBK;19900117;0.0
EBK;19900118;2.6
EBK;19900119;0.0
EBK;19900120;3.0
EBK;19900121;0.0
EBK;19900122;0.0
EBK;19900123;1.6
EBK;19900124;16.7
EBK;19900125;11.7
EBK;19900126;7.1
EBK;19900127;0.0
EBK;19900128;2.4
EBK;19900129;0.0
EBK;19900130;0.1
EBK;19900131;0.0
EBK;19900201;0.0
EBK;19900202;6.5
EBK;19900203;3.9
EBK;19900204;0.0
EBK;19900205;0.0
EBK;19900206;0.0
EBK;19900207;0.0
EBK;19900208;2.2
EBK;19900209;0.0
EBK;19900210;10.2
EBK;19900211;6.3
EBK;19900212;11.5
EBK;19900213;65.2
EBK;19900214;111.3
EBK;19900215;25.4
EBK;19900216;10.3
EBK;19900217;0.7
EBK;19900218;0.0
EBK;19900219;0.0
EBK;19900220;0.0
EBK;19900221;0.0
EBK;19900222;0.0
EBK;19900223;0.0
EBK;19900224;0.0
EBK;19900225;0.0
EBK;19900226;23.0
EBK;19900227;19.8
EBK;19900228;28.9
EBK;19900301;13.7
EBK;19900302;4.2
EBK;19900303;0.7
EBK;19900304;0.0
EBK;19900305;0.0
EBK;19900306;0.0
EBK;19900307;0.0
EBK;19900308;0.3
EBK;19900309;0.0
EBK;19900310;0.0
EBK;19900311;0.0
EBK;19900312;0.0
EBK;19900313;0.3
EBK;19900314;21.6
EBK;19900315;0.0
EBK;19900316;0.0
EBK;19900317;0.0
EBK;19900318;0.0
EBK;19900319;0.0
EBK;19900320;1.3
EBK;19900321;0.0
EBK;19900322;27.8
EBK;19900323;6.6
EBK;19900324;0.0
EBK;19900325;11.2
EBK;19900326;5.8
EBK;19900327;24.6
EBK;19900328;1.5
EBK;19900329;1.3
EBK;19900330;0.0
EBK;19900331;0.0
EBK;19900401;0.0
EBK;19900402;0.0
EBK;19900403;17.6
EBK;19900404;0.0
EBK;19900405;0.0
EBK;19900406;0.0
EBK;19900407;11.8
EBK;19900408;0.9
EBK;19900409;0.2
EBK;19900410;1.1
EBK;19900411;12.4
EBK;19900412;4.0
EBK;19900413;0.0
EBK;19900414;3.5
EBK;19900415;22.4
EBK;19900416;2.3
EBK;19900417;8.3
EBK;19900418;6.3
EBK;19900419;0.0
EBK;19900420;0.0
EBK;19900421;0.1
EBK;19900422;1.2
EBK;19900423;10.6
EBK;19900424;4.8
EBK;19900425;5.8
EBK;19900426;2.3
EBK;19900427;4.2
EBK;19900428;0.0
EBK;19900429;0.0
EBK;19900430;0.0
EBK;19900501;0.0
EBK;19900502;0.0
EBK;19900503;0.0
EBK;19900504;0.0
EBK;19900505;0.0
EBK;19900506;3.2
EBK;19900507;0.7
EBK;19900508;0.0
EBK;19900509;2.8
EBK;19900510;19.3
EBK;19900511;14.4
EBK;19900512;0.0
EBK;19900513;5.8
EBK;19900514;1.2
EBK;19900515;26.3
EBK;19900516;0.0
EBK;19900517;0.0
EBK;19900518;0.4
EBK;19900519;0.0
EBK;19900520;0.0
EBK;19900521;3.0
EBK;19900522;0.0
EBK;19900523;0.0
EBK;19900524;30.4
EBK;19900525;20.6
EBK;19900526;0.0
EBK;19900527;0.0
EBK;19900528;3.5
EBK;19900529;0.0
EBK;19900530;0.0
EBK;19900531;0.0
EBK;19900601;0.0
EBK;19900602;19.0
EBK;19900603;12.6
EBK;19900604;17.5
EBK;19900605;16.2
EBK;19900606;2.8
EBK;19900607;8.8
EBK;19900608;21.1
EBK;19900609;13.1
EBK;19900610;5.6
EBK;19900611;0.0
EBK;19900612;16.2
EBK;19900613;7.4
EBK;19900614;3.5
EBK;19900615;0.3
EBK;19900616;0.0
EBK;19900617;0.0
EBK;19900618;3.9
EBK;19900619;0.0
EBK;19900620;10.4
EBK;19900621;0.8
EBK;19900622;8.7
EBK;19900623;1.2
EBK;19900624;0.0
EBK;19900625;0.0
EBK;19900626;2.1
EBK;19900627;26.9
EBK;19900628;0.0
EBK;19900629;16.0
EBK;19900630;22.7
EBK;19900701;1.3
EBK;19900702;0.0
EBK;19900703;19.1
EBK;19900704;0.0
EBK;19900705;27.1
EBK;19900706;3.0
EBK;19900707;13.9
EBK;19900708;1.7
EBK;19900709;16.6
EBK;19900710;0.1
EBK;19900711;0.0
EBK;19900712;0.0
EBK;19900713;0.0
EBK;19900714;0.0
EBK;19900715;0.0
EBK;19900716;0.0
EBK;19900717;16.3
EBK;19900718;0.0
EBK;19900719;0.0
EBK;19900720;0.0
EBK;19900721;0.0
EBK;19900722;0.0
EBK;19900723;0.0
EBK;19900724;0.0
EBK;19900725;0.0
EBK;19900726;0.0
EBK;19900727;0.0
EBK;19900728;0.0
EBK;19900729;9.9
EBK;19900730;41.5
EBK;19900731;0.5
EBK;19900801;0.0
EBK;19900802;0.0
EBK;19900803;0.0
EBK;19900804;0.0
EBK;19900805;13.1
EBK;19900806;35.9
EBK;19900807;0.0
EBK;19900808;0.0
EBK;19900809;0.0
EBK;19900810;0.0
EBK;19900811;0.0
EBK;19900812;0.0
EBK;19900813;8.5
EBK;19900814;15.8
EBK;19900815;0.0
EBK;19900816;25.6
EBK;19900817;3.3
EBK;19900818;0.0
EBK;19900819;0.0
EBK;19900820;0.0
EBK;19900821;0.0
EBK;19900822;0.0
EBK;19900823;0.0
EBK;19900824;0.0
EBK;19900825;35.7
EBK;19900826;0.9
EBK;19900827;0.0
EBK;19900828;3.3
EBK;19900829;0.7
EBK;19900830;1.0
EBK;19900831;18.3
EBK;19900901;0.0
EBK;19900902;0.2
EBK;19900903;5.6
EBK;19900904;27.2
EBK;19900905;0.0
EBK;19900906;3.5
EBK;19900907;23.4
EBK;19900908;0.1
EBK;19900909;0.0
EBK;19900910;4.2
EBK;19900911;0.0
EBK;19900912;0.0
EBK;19900913;0.0
EBK;19900914;2.4
EBK;19900915;3.4
EBK;19900916;0.0
EBK;19900917;0.6
EBK;19900918;0.0
EBK;19900919;0.0
EBK;19900920;0.0
EBK;19900921;0.5
EBK;19900922;47.5
EBK;19900923;46.3
EBK;19900924;0.8
EBK;19900925;0.0
EBK;19900926;0.0
EBK;19900927;0.0
EBK;19900928;0.0
EBK;19900929;0.0
EBK;19900930;8.5
EBK;19901001;37.0
EBK;19901002;0.0
EBK;19901003;0.3
EBK;19901004;27.8
EBK;19901005;0.0
EBK;19901006;0.0
EBK;19901007;17.2
EBK;19901008;0.9
EBK;19901009;0.0
EBK;19901010;0.0
EBK;19901011;0.0
EBK;19901012;0.0
EBK;19901013;0.0
EBK;19901014;0.0
EBK;19901015;0.0
EBK;19901016;1.1
EBK;19901017;0.6
EBK;19901018;0.1
EBK;19901019;0.0
EBK;19901020;0.3
EBK;19901021;0.1
EBK;19901022;0.0
EBK;19901023;0.0
EBK;19901024;0.0
EBK;19901025;0.1
EBK;19901026;5.6
EBK;19901027;4.1
EBK;19901028;13.2
EBK;19901029;46.4
EBK;19901030;4.5
EBK;19901031;41.0
EBK;19901101;17.2
EBK;19901102;5.1
EBK;19901103;15.6
EBK;19901104;11.5
EBK;19901105;5.1
EBK;19901106;0.0
EBK;19901107;0.0
EBK;19901108;0.0
EBK;19901109;0.0
EBK;19901110;5.5
EBK;19901111;30.4
EBK;19901112;0.2
EBK;19901113;0.2
EBK;19901114;24.2
EBK;19901115;15.0
EBK;19901116;0.1
EBK;19901117;2.6
EBK;19901118;0.1
EBK;19901119;2.4
EBK;19901120;17.1
EBK;19901121;6.0
EBK;19901122;18.8
EBK;19901123;6.4
EBK;19901124;0.0
EBK;19901125;13.1
EBK;19901126;0.0
EBK;19901127;4.3
EBK;19901128;0.1
EBK;19901129;0.5
EBK;19901130;3.8
EBK;19901201;0.0
EBK;19901202;0.0
EBK;19901203;0.0
EBK;19901204;5.2
EBK;19901205;0.7
