 

stn;time;rre150d0
EFF;19900101;0.0
EFF;19900102;0.0
EFF;19900103;0.0
EFF;19900104;0.0
EFF;19900105;0.7
EFF;19900106;2.5
EFF;19900107;0.0
EFF;19900108;0.0
EFF;19900109;0.0
EFF;19900110;0.0
EFF;19900111;0.0
EFF;19900112;0.0
EFF;19900113;0.0
EFF;19900114;0.0
EFF;19900115;0.4
EFF;19900116;0.0
EFF;19900117;2.8
EFF;19900118;2.3
EFF;19900119;0.0
EFF;19900120;1.0
EFF;19900121;0.0
EFF;19900122;0.0
EFF;19900123;1.5
EFF;19900124;2.6
EFF;19900125;12.3
EFF;19900126;1.3
EFF;19900127;0.0
EFF;19900128;4.0
EFF;19900129;0.0
EFF;19900130;0.0
EFF;19900131;0.0
EFF;19900201;0.0
EFF;19900202;8.4
EFF;19900203;0.0
EFF;19900204;0.0
EFF;19900205;0.0
EFF;19900206;0.0
EFF;19900207;0.0
EFF;19900208;0.1
EFF;19900209;0.0
EFF;19900210;8.9
EFF;19900211;3.0
EFF;19900212;7.7
EFF;19900213;21.3
EFF;19900214;31.2
EFF;19900215;10.5
EFF;19900216;3.3
EFF;19900217;0.5
EFF;19900218;0.0
EFF;19900219;0.0
EFF;19900220;0.0
EFF;19900221;0.0
EFF;19900222;0.0
EFF;19900223;0.0
EFF;19900224;0.0
EFF;19900225;0.0
EFF;19900226;20.8
EFF;19900227;24.2
EFF;19900228;10.7
EFF;19900301;3.3
EFF;19900302;1.0
EFF;19900303;0.0
EFF;19900304;0.0
EFF;19900305;0.0
EFF;19900306;0.0
EFF;19900307;0.0
EFF;19900308;0.0
EFF;19900309;0.0
EFF;19900310;0.0
EFF;19900311;0.0
EFF;19900312;0.0
EFF;19900313;0.0
EFF;19900314;6.3
EFF;19900315;0.0
EFF;19900316;0.0
EFF;19900317;0.0
EFF;19900318;0.0
EFF;19900319;0.0
EFF;19900320;2.7
EFF;19900321;0.0
EFF;19900322;10.5
EFF;19900323;0.0
EFF;19900324;0.0
EFF;19900325;6.8
EFF;19900326;0.4
EFF;19900327;22.2
EFF;19900328;4.2
EFF;19900329;1.1
EFF;19900330;0.0
EFF;19900331;0.0
EFF;19900401;0.0
EFF;19900402;0.0
EFF;19900403;14.1
EFF;19900404;0.0
EFF;19900405;0.9
EFF;19900406;0.0
EFF;19900407;2.4
EFF;19900408;5.1
EFF;19900409;0.2
EFF;19900410;0.0
EFF;19900411;6.7
EFF;19900412;1.0
EFF;19900413;0.0
EFF;19900414;1.0
EFF;19900415;7.8
EFF;19900416;0.5
EFF;19900417;3.0
EFF;19900418;0.7
EFF;19900419;0.0
EFF;19900420;0.0
EFF;19900421;0.0
EFF;19900422;3.5
EFF;19900423;9.6
EFF;19900424;1.0
EFF;19900425;0.5
EFF;19900426;0.3
EFF;19900427;1.1
EFF;19900428;0.0
EFF;19900429;0.0
EFF;19900430;0.0
EFF;19900501;0.0
EFF;19900502;0.0
EFF;19900503;0.0
EFF;19900504;0.0
EFF;19900505;0.0
EFF;19900506;6.3
EFF;19900507;0.6
EFF;19900508;3.4
EFF;19900509;0.2
EFF;19900510;20.4
EFF;19900511;11.9
EFF;19900512;0.0
EFF;19900513;10.6
EFF;19900514;0.6
EFF;19900515;0.0
EFF;19900516;0.5
EFF;19900517;0.0
EFF;19900518;10.1
EFF;19900519;0.1
EFF;19900520;0.0
EFF;19900521;7.0
EFF;19900522;0.1
EFF;19900523;0.0
EFF;19900524;22.0
EFF;19900525;3.8
EFF;19900526;0.0
EFF;19900527;0.0
EFF;19900528;0.2
EFF;19900529;0.0
EFF;19900530;0.0
EFF;19900531;0.0
EFF;19900601;0.0
EFF;19900602;24.1
EFF;19900603;6.7
EFF;19900604;5.0
EFF;19900605;14.3
EFF;19900606;0.0
EFF;19900607;9.1
EFF;19900608;10.9
EFF;19900609;17.2
EFF;19900610;6.4
EFF;19900611;0.0
EFF;19900612;5.5
EFF;19900613;3.8
EFF;19900614;0.0
EFF;19900615;0.0
EFF;19900616;0.0
EFF;19900617;3.0
EFF;19900618;2.0
EFF;19900619;1.6
EFF;19900620;18.3
EFF;19900621;1.4
EFF;19900622;6.7
EFF;19900623;1.6
EFF;19900624;0.0
EFF;19900625;0.0
EFF;19900626;0.0
EFF;19900627;10.6
EFF;19900628;0.0
EFF;19900629;9.3
EFF;19900630;12.4
EFF;19900701;0.2
EFF;19900702;0.0
EFF;19900703;21.0
EFF;19900704;0.1
EFF;19900705;10.9
EFF;19900706;0.0
EFF;19900707;11.9
EFF;19900708;1.8
EFF;19900709;0.6
EFF;19900710;0.0
EFF;19900711;0.0
EFF;19900712;0.0
EFF;19900713;0.0
EFF;19900714;0.0
EFF;19900715;0.0
EFF;19900716;0.0
EFF;19900717;0.0
EFF;19900718;0.0
EFF;19900719;0.0
EFF;19900720;0.0
EFF;19900721;0.0
EFF;19900722;0.0
EFF;19900723;0.0
EFF;19900724;0.0
EFF;19900725;0.0
EFF;19900726;0.0
EFF;19900727;0.0
EFF;19900728;0.0
EFF;19900729;3.7
EFF;19900730;25.4
EFF;19900731;0.3
EFF;19900801;0.0
EFF;19900802;0.0
EFF;19900803;0.0
EFF;19900804;0.0
EFF;19900805;1.9
EFF;19900806;0.0
EFF;19900807;0.0
EFF;19900808;0.0
EFF;19900809;0.0
EFF;19900810;0.0
EFF;19900811;0.0
EFF;19900812;0.0
EFF;19900813;0.0
EFF;19900814;6.9
EFF;19900815;0.0
EFF;19900816;16.3
EFF;19900817;0.9
EFF;19900818;0.0
EFF;19900819;0.0
EFF;19900820;0.0
EFF;19900821;0.0
EFF;19900822;0.0
EFF;19900823;0.0
EFF;19900824;0.0
EFF;19900825;10.4
EFF;19900826;0.3
EFF;19900827;0.0
EFF;19900828;0.0
EFF;19900829;6.0
EFF;19900830;6.3
EFF;19900831;19.1
EFF;19900901;0.0
EFF;19900902;0.0
EFF;19900903;3.6
EFF;19900904;11.1
EFF;19900905;0.0
EFF;19900906;3.9
EFF;19900907;11.9
EFF;19900908;0.1
EFF;19900909;0.0
EFF;19900910;2.2
EFF;19900911;0.0
EFF;19900912;0.0
EFF;19900913;0.0
EFF;19900914;2.8
EFF;19900915;0.0
EFF;19900916;0.0
EFF;19900917;0.2
EFF;19900918;0.0
EFF;19900919;0.0
EFF;19900920;0.0
EFF;19900921;1.5
EFF;19900922;28.8
EFF;19900923;28.6
EFF;19900924;0.0
EFF;19900925;0.0
EFF;19900926;0.0
EFF;19900927;0.0
EFF;19900928;0.0
EFF;19900929;0.0
EFF;19900930;33.2
EFF;19901001;12.5
EFF;19901002;1.0
EFF;19901003;5.3
EFF;19901004;14.0
EFF;19901005;0.0
EFF;19901006;0.0
EFF;19901007;5.0
EFF;19901008;0.1
EFF;19901009;0.0
EFF;19901010;0.0
EFF;19901011;0.0
EFF;19901012;0.0
EFF;19901013;0.0
EFF;19901014;0.0
EFF;19901015;0.0
EFF;19901016;1.3
EFF;19901017;2.0
EFF;19901018;0.0
EFF;19901019;0.0
EFF;19901020;0.0
EFF;19901021;0.0
EFF;19901022;0.0
EFF;19901023;0.0
EFF;19901024;0.0
EFF;19901025;1.1
EFF;19901026;2.4
EFF;19901027;0.0
EFF;19901028;17.3
EFF;19901029;34.9
EFF;19901030;7.3
EFF;19901031;16.8
EFF;19901101;5.6
EFF;19901102;3.5
EFF;19901103;5.1
EFF;19901104;10.9
EFF;19901105;2.6
EFF;19901106;0.0
EFF;19901107;0.0
EFF;19901108;0.0
EFF;19901109;0.0
EFF;19901110;4.1
EFF;19901111;24.3
EFF;19901112;0.0
EFF;19901113;1.4
EFF;19901114;13.8
EFF;19901115;12.5
EFF;19901116;0.0
EFF;19901117;0.3
EFF;19901118;3.8
EFF;19901119;3.5
EFF;19901120;10.9
EFF;19901121;8.8
EFF;19901122;37.7
EFF;19901123;0.5
EFF;19901124;0.0
EFF;19901125;1.0
EFF;19901126;0.0
EFF;19901127;4.3
EFF;19901128;1.2
EFF;19901129;0.6
EFF;19901130;1.1
EFF;19901201;0.0
EFF;19901202;0.0
EFF;19901203;0.0
EFF;19901204;1.2
EFF;19901205;0.0
EFF;19901206;0.0
EFF;19901207;0.0
EFF;19901208;0.0
EFF;19901209;1.4
EFF;19901210;9.5
EFF;19901211;0.2
EFF;19901212;8.8
EFF;19901213;9.0
EFF;19901214;1.1
EFF;19901215;1.6
EFF;19901216;0.0
EFF;19901217;0.0
EFF;19901218;0.2
EFF;19901219;1.0
EFF;19901220;0.5
EFF;19901221;8.5
EFF;19901222;0.0
EFF;19901223;0.2
EFF;19901224;0.0
EFF;19901225;2.5
EFF;19901226;5.9
EFF;19901227;0.7
EFF;19901228;0.5
EFF;19901229;2.5
EFF;19901230;7.8
EFF;19901231;12.4
EFF;19910101;1.5
EFF;19910102;15.1
EFF;19910103;0.0
EFF;19910104;6.2
EFF;19910105;1.9
EFF;19910106;5.8
EFF;19910107;7.1
EFF;19910108;0.0
EFF;19910109;0.0
EFF;19910110;0.0
EFF;19910111;10.3
EFF;19910112;6.5
EFF;19910113;7.3
EFF;19910114;0.0
EFF;19910115;0.0
EFF;19910116;0.0
EFF;19910117;0.0
EFF;19910118;0.0
EFF;19910119;2.9
EFF;19910120;0.0
EFF;19910121;1.3
EFF;19910122;0.0
EFF;19910123;0.0
EFF;19910124;0.0
EFF;19910125;0.0
EFF;19910126;0.0
EFF;19910127;0.0
EFF;19910128;0.0
EFF;19910129;0.0
EFF;19910130;0.0
EFF;19910131;0.0
EFF;19910201;0.0
EFF;19910202;0.0
EFF;19910203;0.0
EFF;19910204;0.0
EFF;19910205;0.2
EFF;19910206;0.0
EFF;19910207;0.0
EFF;19910208;2.3
EFF;19910209;3.1
EFF;19910210;1.4
EFF;19910211;0.2
EFF;19910212;3.6
EFF;19910213;0.0
EFF;19910214;0.6
EFF;19910215;4.9
EFF;19910216;2.1
EFF;19910217;0.0
EFF;19910218;0.0
EFF;19910219;0.0
EFF;19910220;0.0
EFF;19910221;0.1
