 

stn;time;rre150d0
EPT;19900101;0.0
EPT;19900102;0.0
EPT;19900103;0.0
EPT;19900104;0.0
EPT;19900105;1.4
EPT;19900106;0.0
EPT;19900107;0.0
EPT;19900108;0.0
EPT;19900109;0.0
EPT;19900110;0.0
EPT;19900111;0.0
EPT;19900112;0.0
EPT;19900113;0.0
EPT;19900114;0.0
EPT;19900115;0.9
EPT;19900116;1.8
EPT;19900117;3.6
EPT;19900118;2.4
EPT;19900119;0.0
EPT;19900120;1.3
EPT;19900121;0.0
EPT;19900122;0.0
EPT;19900123;2.9
EPT;19900124;2.9
EPT;19900125;9.3
EPT;19900126;2.8
EPT;19900127;0.0
EPT;19900128;5.3
EPT;19900129;0.0
EPT;19900130;0.0
EPT;19900131;0.0
EPT;19900201;0.0
EPT;19900202;3.2
EPT;19900203;0.9
EPT;19900204;0.0
EPT;19900205;0.0
EPT;19900206;0.0
EPT;19900207;0.0
EPT;19900208;1.3
EPT;19900209;0.0
EPT;19900210;11.2
EPT;19900211;5.9
EPT;19900212;6.9
EPT;19900213;13.2
EPT;19900214;25.3
EPT;19900215;10.3
EPT;19900216;4.4
EPT;19900217;0.0
EPT;19900218;0.0
EPT;19900219;0.0
EPT;19900220;0.0
EPT;19900221;0.0
EPT;19900222;0.0
EPT;19900223;0.0
EPT;19900224;0.0
EPT;19900225;0.0
EPT;19900226;16.8
EPT;19900227;9.8
EPT;19900228;21.9
EPT;19900301;8.3
EPT;19900302;1.3
EPT;19900303;0.0
EPT;19900304;0.0
EPT;19900305;0.0
EPT;19900306;0.0
EPT;19900307;0.0
EPT;19900308;0.0
EPT;19900309;0.0
EPT;19900310;0.0
EPT;19900311;0.0
EPT;19900312;0.0
EPT;19900313;0.0
EPT;19900314;2.6
EPT;19900315;0.0
EPT;19900316;0.0
EPT;19900317;0.0
EPT;19900318;0.0
EPT;19900319;0.0
EPT;19900320;1.0
EPT;19900321;0.0
EPT;19900322;8.5
EPT;19900323;0.0
EPT;19900324;1.3
EPT;19900325;1.7
EPT;19900326;5.2
EPT;19900327;15.4
EPT;19900328;5.9
EPT;19900329;0.4
EPT;19900330;0.0
EPT;19900331;0.0
EPT;19900401;0.0
EPT;19900402;0.0
EPT;19900403;5.1
EPT;19900404;0.0
EPT;19900405;6.8
EPT;19900406;2.4
EPT;19900407;2.1
EPT;19900408;2.9
EPT;19900409;0.5
EPT;19900410;1.3
EPT;19900411;13.2
EPT;19900412;0.4
EPT;19900413;4.3
EPT;19900414;5.6
EPT;19900415;14.8
EPT;19900416;1.9
EPT;19900417;1.4
EPT;19900418;0.5
EPT;19900419;0.0
EPT;19900420;0.0
EPT;19900421;0.0
EPT;19900422;22.7
EPT;19900423;4.7
EPT;19900424;0.0
EPT;19900425;2.4
EPT;19900426;2.3
EPT;19900427;0.9
EPT;19900428;0.0
EPT;19900429;0.0
EPT;19900430;0.0
EPT;19900501;0.0
EPT;19900502;0.0
EPT;19900503;0.0
EPT;19900504;0.0
EPT;19900505;0.0
EPT;19900506;0.4
EPT;19900507;7.4
EPT;19900508;13.4
EPT;19900509;0.0
EPT;19900510;1.9
EPT;19900511;9.8
EPT;19900512;2.4
EPT;19900513;12.3
EPT;19900514;0.3
EPT;19900515;0.0
EPT;19900516;0.0
EPT;19900517;0.0
EPT;19900518;0.0
EPT;19900519;6.8
EPT;19900520;2.2
EPT;19900521;7.4
EPT;19900522;1.9
EPT;19900523;0.3
EPT;19900524;4.1
EPT;19900525;0.9
EPT;19900526;0.0
EPT;19900527;0.0
EPT;19900528;0.0
EPT;19900529;0.0
EPT;19900530;0.0
EPT;19900531;0.0
EPT;19900601;3.2
EPT;19900602;29.4
