 

stn;time;rre150d0
ESZ;19900101;0.0
ESZ;19900102;0.0
ESZ;19900103;0.0
ESZ;19900104;0.0
ESZ;19900105;1.3
ESZ;19900106;0.0
ESZ;19900107;0.0
ESZ;19900108;0.0
ESZ;19900109;0.0
ESZ;19900110;0.0
ESZ;19900111;0.0
ESZ;19900112;0.0
ESZ;19900113;0.0
ESZ;19900114;0.0
ESZ;19900115;0.6
ESZ;19900116;0.0
ESZ;19900117;4.2
ESZ;19900118;1.1
ESZ;19900119;0.0
ESZ;19900120;0.0
ESZ;19900121;0.0
ESZ;19900122;0.0
ESZ;19900123;4.7
ESZ;19900124;1.8
ESZ;19900125;19.0
ESZ;19900126;0.2
ESZ;19900127;0.0
ESZ;19900128;3.1
ESZ;19900129;0.0
ESZ;19900130;0.0
ESZ;19900131;0.0
ESZ;19900201;0.0
ESZ;19900202;11.0
ESZ;19900203;0.2
ESZ;19900204;0.0
ESZ;19900205;0.0
ESZ;19900206;0.0
ESZ;19900207;0.0
ESZ;19900208;0.8
ESZ;19900209;0.0
ESZ;19900210;14.0
ESZ;19900211;2.3
ESZ;19900212;7.2
ESZ;19900213;25.4
ESZ;19900214;36.2
ESZ;19900215;9.8
ESZ;19900216;2.0
ESZ;19900217;0.4
ESZ;19900218;0.0
ESZ;19900219;0.0
ESZ;19900220;0.0
ESZ;19900221;0.0
ESZ;19900222;0.0
ESZ;19900223;0.0
ESZ;19900224;0.0
ESZ;19900225;0.0
ESZ;19900226;20.5
ESZ;19900227;22.0
ESZ;19900228;19.7
ESZ;19900301;1.8
ESZ;19900302;0.9
ESZ;19900303;0.0
ESZ;19900304;0.0
ESZ;19900305;0.0
ESZ;19900306;0.0
ESZ;19900307;0.0
ESZ;19900308;0.0
ESZ;19900309;0.0
ESZ;19900310;0.0
ESZ;19900311;0.0
ESZ;19900312;0.0
ESZ;19900313;0.0
ESZ;19900314;5.8
ESZ;19900315;0.0
ESZ;19900316;0.0
ESZ;19900317;0.0
ESZ;19900318;0.0
ESZ;19900319;0.0
ESZ;19900320;2.3
ESZ;19900321;0.0
ESZ;19900322;9.5
ESZ;19900323;0.0
ESZ;19900324;2.3
ESZ;19900325;0.9
ESZ;19900326;0.0
ESZ;19900327;10.4
ESZ;19900328;7.1
ESZ;19900329;3.0
ESZ;19900330;0.0
ESZ;19900331;0.0
ESZ;19900401;0.0
ESZ;19900402;0.0
ESZ;19900403;11.8
ESZ;19900404;0.0
ESZ;19900405;4.9
ESZ;19900406;0.0
ESZ;19900407;2.8
ESZ;19900408;5.4
ESZ;19900409;1.2
ESZ;19900410;1.2
ESZ;19900411;6.3
ESZ;19900412;0.0
ESZ;19900413;0.0
ESZ;19900414;1.4
ESZ;19900415;9.3
ESZ;19900416;1.2
ESZ;19900417;0.8
ESZ;19900418;1.2
ESZ;19900419;0.0
ESZ;19900420;0.0
ESZ;19900421;0.0
ESZ;19900422;0.5
ESZ;19900423;4.0
ESZ;19900424;1.7
ESZ;19900425;10.1
ESZ;19900426;3.5
ESZ;19900427;0.9
ESZ;19900428;0.0
ESZ;19900429;0.0
ESZ;19900430;0.0
ESZ;19900501;0.0
ESZ;19900502;0.0
ESZ;19900503;0.0
ESZ;19900504;0.0
ESZ;19900505;0.0
ESZ;19900506;1.3
ESZ;19900507;0.0
ESZ;19900508;1.3
ESZ;19900509;0.0
ESZ;19900510;8.2
ESZ;19900511;14.0
ESZ;19900512;0.0
ESZ;19900513;3.6
ESZ;19900514;0.1
ESZ;19900515;0.0
ESZ;19900516;0.0
ESZ;19900517;0.0
ESZ;19900518;0.0
ESZ;19900519;0.0
ESZ;19900520;1.9
ESZ;19900521;5.5
ESZ;19900522;0.0
ESZ;19900523;0.5
ESZ;19900524;20.8
ESZ;19900525;7.5
ESZ;19900526;0.0
ESZ;19900527;0.0
ESZ;19900528;0.0
ESZ;19900529;0.0
ESZ;19900530;0.0
ESZ;19900531;0.0
ESZ;19900601;0.0
ESZ;19900602;19.2
ESZ;19900603;5.6
ESZ;19900604;0.1
ESZ;19900605;22.3
ESZ;19900606;0.1
ESZ;19900607;13.1
ESZ;19900608;14.3
ESZ;19900609;10.8
ESZ;19900610;5.6
ESZ;19900611;0.0
ESZ;19900612;6.4
ESZ;19900613;1.3
ESZ;19900614;0.0
ESZ;19900615;0.0
ESZ;19900616;0.0
ESZ;19900617;0.0
ESZ;19900618;0.0
ESZ;19900619;8.1
ESZ;19900620;17.0
ESZ;19900621;3.5
ESZ;19900622;3.6
ESZ;19900623;0.2
ESZ;19900624;0.0
ESZ;19900625;0.0
ESZ;19900626;0.0
ESZ;19900627;3.2
ESZ;19900628;0.0
ESZ;19900629;10.9
ESZ;19900630;18.3
ESZ;19900701;0.0
ESZ;19900702;0.0
ESZ;19900703;19.0
ESZ;19900704;0.1
ESZ;19900705;12.8
ESZ;19900706;0.0
ESZ;19900707;17.0
ESZ;19900708;0.9
ESZ;19900709;3.2
ESZ;19900710;0.0
ESZ;19900711;0.0
ESZ;19900712;0.0
ESZ;19900713;0.0
ESZ;19900714;0.0
ESZ;19900715;0.0
ESZ;19900716;0.0
ESZ;19900717;0.5
ESZ;19900718;0.0
ESZ;19900719;0.0
ESZ;19900720;0.0
ESZ;19900721;0.0
ESZ;19900722;0.0
ESZ;19900723;0.0
ESZ;19900724;0.0
ESZ;19900725;0.0
ESZ;19900726;0.0
ESZ;19900727;0.0
ESZ;19900728;0.0
ESZ;19900729;2.3
ESZ;19900730;13.3
ESZ;19900731;0.5
ESZ;19900801;0.0
ESZ;19900802;0.0
ESZ;19900803;0.0
ESZ;19900804;0.0
ESZ;19900805;0.1
ESZ;19900806;0.0
ESZ;19900807;0.0
ESZ;19900808;0.0
ESZ;19900809;0.0
ESZ;19900810;0.0
ESZ;19900811;0.0
ESZ;19900812;0.0
ESZ;19900813;0.2
ESZ;19900814;7.4
ESZ;19900815;0.0
ESZ;19900816;7.5
ESZ;19900817;2.2
ESZ;19900818;0.0
ESZ;19900819;0.0
ESZ;19900820;0.0
ESZ;19900821;0.0
ESZ;19900822;0.0
ESZ;19900823;0.0
ESZ;19900824;0.0
ESZ;19900825;3.1
ESZ;19900826;9.5
ESZ;19900827;0.0
ESZ;19900828;0.0
ESZ;19900829;0.5
ESZ;19900830;43.3
ESZ;19900831;9.2
ESZ;19900901;0.0
ESZ;19900902;0.0
ESZ;19900903;2.8
ESZ;19900904;1.3
ESZ;19900905;0.0
ESZ;19900906;3.5
ESZ;19900907;4.5
ESZ;19900908;2.1
ESZ;19900909;0.0
ESZ;19900910;4.3
ESZ;19900911;0.0
ESZ;19900912;0.0
ESZ;19900913;0.0
ESZ;19900914;0.0
ESZ;19900915;0.0
ESZ;19900916;0.0
ESZ;19900917;0.6
ESZ;19900918;0.0
ESZ;19900919;0.0
ESZ;19900920;0.0
ESZ;19900921;3.7
ESZ;19900922;21.9
ESZ;19900923;12.5
ESZ;19900924;0.0
ESZ;19900925;0.0
ESZ;19900926;0.0
ESZ;19900927;0.0
ESZ;19900928;0.0
ESZ;19900929;0.0
ESZ;19900930;12.3
ESZ;19901001;4.7
ESZ;19901002;0.0
ESZ;19901003;0.0
ESZ;19901004;12.1
ESZ;19901005;0.0
ESZ;19901006;0.0
ESZ;19901007;9.5
ESZ;19901008;0.0
ESZ;19901009;0.0
ESZ;19901010;0.0
ESZ;19901011;0.0
ESZ;19901012;0.0
ESZ;19901013;0.0
ESZ;19901014;0.0
ESZ;19901015;0.0
ESZ;19901016;3.4
ESZ;19901017;1.9
ESZ;19901018;0.0
ESZ;19901019;0.0
ESZ;19901020;0.0
ESZ;19901021;0.0
ESZ;19901022;0.0
ESZ;19901023;0.0
ESZ;19901024;0.0
ESZ;19901025;1.5
ESZ;19901026;1.0
ESZ;19901027;1.5
ESZ;19901028;24.6
ESZ;19901029;33.2
ESZ;19901030;7.7
ESZ;19901031;8.1
ESZ;19901101;6.1
ESZ;19901102;2.5
ESZ;19901103;2.2
ESZ;19901104;6.2
ESZ;19901105;2.6
ESZ;19901106;0.0
ESZ;19901107;0.0
ESZ;19901108;0.0
ESZ;19901109;0.0
ESZ;19901110;4.6
ESZ;19901111;13.0
ESZ;19901112;0.0
ESZ;19901113;1.6
ESZ;19901114;7.4
ESZ;19901115;15.9
ESZ;19901116;0.0
ESZ;19901117;0.0
ESZ;19901118;1.4
ESZ;19901119;7.1
ESZ;19901120;7.2
ESZ;19901121;7.8
ESZ;19901122;26.5
ESZ;19901123;0.0
ESZ;19901124;0.0
ESZ;19901125;0.0
ESZ;19901126;0.0
ESZ;19901127;6.2
ESZ;19901128;0.0
ESZ;19901129;1.0
ESZ;19901130;1.2
ESZ;19901201;0.0
ESZ;19901202;0.0
ESZ;19901203;0.0
ESZ;19901204;2.1
ESZ;19901205;0.0
ESZ;19901206;0.0
ESZ;19901207;0.0
ESZ;19901208;0.0
ESZ;19901209;0.0
ESZ;19901210;5.3
ESZ;19901211;0.0
ESZ;19901212;5.1
ESZ;19901213;3.9
ESZ;19901214;0.1
ESZ;19901215;0.0
ESZ;19901216;0.0
ESZ;19901217;0.0
ESZ;19901218;0.0
ESZ;19901219;0.1
ESZ;19901220;1.0
ESZ;19901221;8.5
ESZ;19901222;0.7
ESZ;19901223;0.0
ESZ;19901224;0.0
ESZ;19901225;9.7
ESZ;19901226;5.1
ESZ;19901227;4.2
ESZ;19901228;0.6
ESZ;19901229;1.4
ESZ;19901230;10.6
ESZ;19901231;7.5
ESZ;19910101;0.7
ESZ;19910102;5.0
ESZ;19910103;0.0
ESZ;19910104;3.0
ESZ;19910105;6.2
ESZ;19910106;6.7
ESZ;19910107;9.0
ESZ;19910108;0.0
ESZ;19910109;1.0
ESZ;19910110;0.0
ESZ;19910111;3.9
ESZ;19910112;3.2
ESZ;19910113;4.5
ESZ;19910114;0.0
ESZ;19910115;0.0
ESZ;19910116;0.0
ESZ;19910117;0.0
ESZ;19910118;0.0
ESZ;19910119;3.5
ESZ;19910120;0.0
ESZ;19910121;1.3
ESZ;19910122;0.0
ESZ;19910123;0.0
ESZ;19910124;0.0
ESZ;19910125;0.0
ESZ;19910126;0.0
ESZ;19910127;0.0
ESZ;19910128;0.0
ESZ;19910129;0.0
ESZ;19910130;0.0
ESZ;19910131;0.0
ESZ;19910201;0.0
ESZ;19910202;0.0
ESZ;19910203;0.0
ESZ;19910204;0.0
ESZ;19910205;0.4
ESZ;19910206;0.0
ESZ;19910207;0.0
ESZ;19910208;1.2
ESZ;19910209;10.3
ESZ;19910210;0.6
ESZ;19910211;0.1
ESZ;19910212;1.2
ESZ;19910213;0.0
ESZ;19910214;0.5
ESZ;19910215;2.1
ESZ;19910216;0.0
ESZ;19910217;0.0
ESZ;19910218;0.3
ESZ;19910219;0.0
ESZ;19910220;0.0
ESZ;19910221;0.0
ESZ;19910222;0.7
ESZ;19910223;0.0
ESZ;19910224;0.0
ESZ;19910225;0.0
ESZ;19910226;0.0
ESZ;19910227;1.1
ESZ;19910228;1.5
ESZ;19910301;0.0
ESZ;19910302;5.0
ESZ;19910303;0.0
ESZ;19910304;0.0
