 

stn;time;rre150d0
FLW;19900101;0.0
FLW;19900102;0.0
FLW;19900103;0.0
FLW;19900104;0.0
FLW;19900105;3.5
FLW;19900106;0.8
FLW;19900107;0.0
FLW;19900108;0.0
FLW;19900109;0.0
FLW;19900110;0.0
FLW;19900111;0.0
FLW;19900112;0.0
FLW;19900113;0.0
FLW;19900114;0.0
FLW;19900115;0.1
FLW;19900116;0.0
FLW;19900117;1.0
FLW;19900118;4.3
FLW;19900119;0.0
FLW;19900120;2.7
FLW;19900121;0.0
FLW;19900122;0.0
FLW;19900123;1.7
FLW;19900124;12.9
FLW;19900125;6.6
FLW;19900126;5.5
FLW;19900127;0.0
FLW;19900128;2.0
FLW;19900129;0.0
FLW;19900130;0.0
FLW;19900131;0.0
FLW;19900201;0.0
FLW;19900202;5.3
FLW;19900203;3.3
FLW;19900204;0.0
FLW;19900205;0.0
FLW;19900206;0.0
FLW;19900207;0.0
FLW;19900208;0.8
FLW;19900209;0.0
FLW;19900210;9.0
FLW;19900211;6.9
FLW;19900212;8.4
FLW;19900213;10.2
FLW;19900214;20.0
FLW;19900215;13.8
FLW;19900216;4.1
FLW;19900217;1.3
FLW;19900218;0.0
FLW;19900219;0.0
FLW;19900220;0.0
FLW;19900221;0.0
FLW;19900222;0.0
FLW;19900223;0.0
FLW;19900224;0.0
FLW;19900225;0.4
FLW;19900226;32.0
FLW;19900227;20.3
FLW;19900228;15.5
FLW;19900301;4.3
FLW;19900302;1.6
FLW;19900303;0.0
FLW;19900304;0.0
FLW;19900305;0.0
FLW;19900306;0.0
FLW;19900307;0.0
FLW;19900308;0.1
FLW;19900309;0.0
FLW;19900310;0.0
FLW;19900311;0.0
FLW;19900312;0.0
FLW;19900313;2.6
FLW;19900314;12.5
FLW;19900315;0.0
FLW;19900316;0.0
FLW;19900317;0.0
FLW;19900318;0.0
FLW;19900319;0.0
FLW;19900320;1.7
FLW;19900321;0.0
FLW;19900322;20.0
FLW;19900323;2.6
FLW;19900324;0.0
FLW;19900325;13.4
FLW;19900326;5.3
FLW;19900327;29.0
FLW;19900328;4.0
FLW;19900329;1.7
FLW;19900330;0.0
FLW;19900331;0.0
FLW;19900401;0.0
FLW;19900402;0.0
FLW;19900403;9.7
FLW;19900404;0.0
FLW;19900405;0.0
FLW;19900406;0.0
FLW;19900407;10.2
FLW;19900408;3.2
FLW;19900409;0.5
FLW;19900410;0.6
FLW;19900411;5.7
FLW;19900412;4.0
FLW;19900413;0.0
FLW;19900414;0.9
FLW;19900415;10.3
FLW;19900416;1.2
FLW;19900417;6.8
FLW;19900418;3.8
FLW;19900419;0.2
FLW;19900420;0.0
FLW;19900421;0.0
FLW;19900422;1.0
FLW;19900423;4.5
FLW;19900424;2.0
FLW;19900425;0.9
FLW;19900426;2.6
FLW;19900427;1.9
FLW;19900428;0.0
FLW;19900429;0.0
FLW;19900430;0.0
FLW;19900501;0.0
FLW;19900502;0.0
FLW;19900503;0.0
FLW;19900504;0.0
FLW;19900505;0.0
FLW;19900506;15.4
FLW;19900507;0.5
FLW;19900508;3.3
FLW;19900509;28.4
FLW;19900510;14.0
FLW;19900511;12.4
FLW;19900512;0.4
FLW;19900513;8.0
FLW;19900514;0.9
FLW;19900515;2.2
FLW;19900516;0.0
FLW;19900517;0.0
FLW;19900518;0.0
FLW;19900519;0.0
FLW;19900520;0.0
FLW;19900521;6.0
