 

stn;time;rre150d0
FRF;19900101;0.0
FRF;19900102;0.0
FRF;19900103;0.0
FRF;19900104;0.0
FRF;19900105;1.4
FRF;19900106;1.1
FRF;19900107;0.0
FRF;19900108;0.0
FRF;19900109;0.0
FRF;19900110;0.0
FRF;19900111;0.0
FRF;19900112;0.0
FRF;19900113;0.0
FRF;19900114;0.0
FRF;19900115;0.5
FRF;19900116;0.0
FRF;19900117;7.8
FRF;19900118;3.1
FRF;19900119;0.0
FRF;19900120;0.8
FRF;19900121;0.0
FRF;19900122;0.1
FRF;19900123;3.9
FRF;19900124;1.2
FRF;19900125;18.4
FRF;19900126;0.5
FRF;19900127;0.0
FRF;19900128;4.0
FRF;19900129;0.0
FRF;19900130;0.0
FRF;19900131;0.0
FRF;19900201;0.0
FRF;19900202;7.9
FRF;19900203;0.1
FRF;19900204;0.0
FRF;19900205;0.0
FRF;19900206;0.0
FRF;19900207;0.0
FRF;19900208;0.6
FRF;19900209;0.0
FRF;19900210;10.0
FRF;19900211;5.7
FRF;19900212;6.1
FRF;19900213;17.9
FRF;19900214;33.4
FRF;19900215;6.8
FRF;19900216;3.1
FRF;19900217;0.3
FRF;19900218;0.0
FRF;19900219;0.0
FRF;19900220;0.0
FRF;19900221;0.0
FRF;19900222;0.0
FRF;19900223;0.0
FRF;19900224;0.0
FRF;19900225;0.2
FRF;19900226;23.5
FRF;19900227;25.4
FRF;19900228;15.6
FRF;19900301;3.4
FRF;19900302;0.3
FRF;19900303;0.0
FRF;19900304;0.0
FRF;19900305;0.0
FRF;19900306;0.0
FRF;19900307;0.0
FRF;19900308;0.0
FRF;19900309;0.0
FRF;19900310;0.0
FRF;19900311;0.0
FRF;19900312;0.0
FRF;19900313;0.0
FRF;19900314;5.1
FRF;19900315;0.0
FRF;19900316;0.0
FRF;19900317;0.0
FRF;19900318;0.0
FRF;19900319;0.0
FRF;19900320;2.0
FRF;19900321;0.0
FRF;19900322;13.4
FRF;19900323;0.0
FRF;19900324;0.0
FRF;19900325;5.0
FRF;19900326;0.2
FRF;19900327;18.5
FRF;19900328;6.1
FRF;19900329;1.6
FRF;19900330;0.0
FRF;19900331;0.0
FRF;19900401;0.0
FRF;19900402;0.0
FRF;19900403;13.0
FRF;19900404;0.0
FRF;19900405;2.8
FRF;19900406;0.1
FRF;19900407;4.5
FRF;19900408;3.5
FRF;19900409;1.0
FRF;19900410;0.1
FRF;19900411;5.8
FRF;19900412;0.0
FRF;19900413;0.0
FRF;19900414;0.1
FRF;19900415;8.0
FRF;19900416;3.4
FRF;19900417;3.7
FRF;19900418;0.8
FRF;19900419;0.0
FRF;19900420;0.0
FRF;19900421;0.0
FRF;19900422;0.9
FRF;19900423;9.1
FRF;19900424;3.6
FRF;19900425;0.9
FRF;19900426;0.1
FRF;19900427;0.3
FRF;19900428;0.0
FRF;19900429;0.0
FRF;19900430;0.0
FRF;19900501;0.0
FRF;19900502;0.0
FRF;19900503;0.0
FRF;19900504;0.0
FRF;19900505;0.0
FRF;19900506;11.1
FRF;19900507;0.3
FRF;19900508;0.0
FRF;19900509;0.0
FRF;19900510;11.4
FRF;19900511;12.6
FRF;19900512;0.0
FRF;19900513;9.7
FRF;19900514;1.3
FRF;19900515;0.0
FRF;19900516;0.0
FRF;19900517;0.0
FRF;19900518;0.0
FRF;19900519;0.0
FRF;19900520;0.0
FRF;19900521;7.0
FRF;19900522;0.0
FRF;19900523;6.4
FRF;19900524;28.1
FRF;19900525;9.5
FRF;19900526;0.0
FRF;19900527;0.0
FRF;19900528;0.0
FRF;19900529;0.0
FRF;19900530;0.0
FRF;19900531;0.0
FRF;19900601;0.0
FRF;19900602;17.1
FRF;19900603;3.6
FRF;19900604;1.9
FRF;19900605;19.5
FRF;19900606;0.0
FRF;19900607;5.3
FRF;19900608;17.9
FRF;19900609;13.6
FRF;19900610;4.2
FRF;19900611;0.0
FRF;19900612;8.8
FRF;19900613;1.1
FRF;19900614;0.0
FRF;19900615;0.0
FRF;19900616;0.0
FRF;19900617;0.7
FRF;19900618;0.5
FRF;19900619;1.3
FRF;19900620;18.5
FRF;19900621;1.9
FRF;19900622;5.7
FRF;19900623;0.5
FRF;19900624;0.0
FRF;19900625;0.0
FRF;19900626;0.0
FRF;19900627;10.5
FRF;19900628;0.0
FRF;19900629;5.5
FRF;19900630;16.5
FRF;19900701;0.1
FRF;19900702;0.0
FRF;19900703;15.9
FRF;19900704;0.3
FRF;19900705;12.5
FRF;19900706;0.0
FRF;19900707;16.3
FRF;19900708;1.5
FRF;19900709;0.3
FRF;19900710;0.0
FRF;19900711;0.0
FRF;19900712;0.0
FRF;19900713;0.0
FRF;19900714;0.0
FRF;19900715;0.0
FRF;19900716;0.0
FRF;19900717;0.0
FRF;19900718;0.0
FRF;19900719;0.0
FRF;19900720;0.0
FRF;19900721;0.0
FRF;19900722;0.0
FRF;19900723;0.0
FRF;19900724;0.0
FRF;19900725;0.0
FRF;19900726;0.0
FRF;19900727;0.0
FRF;19900728;0.0
FRF;19900729;0.3
FRF;19900730;4.3
FRF;19900731;1.0
FRF;19900801;0.0
FRF;19900802;0.0
FRF;19900803;0.0
FRF;19900804;0.0
FRF;19900805;2.8
FRF;19900806;0.0
FRF;19900807;0.0
FRF;19900808;0.0
FRF;19900809;0.0
FRF;19900810;0.0
FRF;19900811;0.0
FRF;19900812;0.0
FRF;19900813;0.0
FRF;19900814;6.3
FRF;19900815;0.1
FRF;19900816;12.6
FRF;19900817;1.1
FRF;19900818;0.0
FRF;19900819;0.0
FRF;19900820;0.0
FRF;19900821;0.0
FRF;19900822;0.0
FRF;19900823;0.0
FRF;19900824;0.0
FRF;19900825;8.0
FRF;19900826;4.5
FRF;19900827;0.0
FRF;19900828;0.0
FRF;19900829;0.0
FRF;19900830;14.6
FRF;19900831;19.0
FRF;19900901;0.0
FRF;19900902;0.0
FRF;19900903;3.1
FRF;19900904;5.0
FRF;19900905;0.0
FRF;19900906;5.2
FRF;19900907;8.8
