 

stn;time;rre150d0
FRI;19900101;0.0
FRI;19900102;0.0
FRI;19900103;0.0
FRI;19900104;0.0
FRI;19900105;1.1
FRI;19900106;2.9
FRI;19900107;0.0
FRI;19900108;0.0
FRI;19900109;0.0
FRI;19900110;0.0
FRI;19900111;0.0
FRI;19900112;0.0
FRI;19900113;0.0
FRI;19900114;0.0
FRI;19900115;2.2
FRI;19900116;0.0
FRI;19900117;4.3
FRI;19900118;0.8
FRI;19900119;0.0
FRI;19900120;1.6
FRI;19900121;0.0
FRI;19900122;0.0
FRI;19900123;1.1
FRI;19900124;6.5
FRI;19900125;12.8
FRI;19900126;0.0
FRI;19900127;0.0
FRI;19900128;5.1
FRI;19900129;0.0
FRI;19900130;0.0
FRI;19900131;0.0
FRI;19900201;0.0
FRI;19900202;5.0
FRI;19900203;0.9
FRI;19900204;0.0
FRI;19900205;0.0
FRI;19900206;0.0
FRI;19900207;0.0
FRI;19900208;0.0
FRI;19900209;0.0
FRI;19900210;9.6
FRI;19900211;2.9
FRI;19900212;5.0
FRI;19900213;11.7
FRI;19900214;19.4
FRI;19900215;4.5
FRI;19900216;2.6
FRI;19900217;0.4
FRI;19900218;0.0
FRI;19900219;0.0
FRI;19900220;0.0
FRI;19900221;0.0
FRI;19900222;0.0
FRI;19900223;0.0
FRI;19900224;0.0
FRI;19900225;0.0
FRI;19900226;22.1
FRI;19900227;23.2
FRI;19900228;17.1
FRI;19900301;2.5
FRI;19900302;0.1
FRI;19900303;0.0
FRI;19900304;0.0
FRI;19900305;0.0
FRI;19900306;0.0
FRI;19900307;0.0
FRI;19900308;0.0
FRI;19900309;0.0
FRI;19900310;0.0
FRI;19900311;0.0
FRI;19900312;0.0
FRI;19900313;0.0
FRI;19900314;2.5
FRI;19900315;0.0
FRI;19900316;0.0
FRI;19900317;0.0
FRI;19900318;0.0
FRI;19900319;0.0
FRI;19900320;2.1
FRI;19900321;0.0
FRI;19900322;4.7
FRI;19900323;0.0
FRI;19900324;4.8
FRI;19900325;2.2
FRI;19900326;0.8
FRI;19900327;7.7
FRI;19900328;4.2
FRI;19900329;0.4
FRI;19900330;0.0
FRI;19900331;0.0
FRI;19900401;0.0
FRI;19900402;0.0
FRI;19900403;6.2
FRI;19900404;0.0
FRI;19900405;7.3
FRI;19900406;1.2
FRI;19900407;4.7
FRI;19900408;1.3
FRI;19900409;0.1
FRI;19900410;4.4
FRI;19900411;3.5
FRI;19900412;0.0
FRI;19900413;8.6
FRI;19900414;5.2
FRI;19900415;12.5
FRI;19900416;0.9
FRI;19900417;7.3
FRI;19900418;0.9
FRI;19900419;0.0
FRI;19900420;0.0
FRI;19900421;0.0
FRI;19900422;15.6
FRI;19900423;16.0
FRI;19900424;1.0
FRI;19900425;2.2
FRI;19900426;0.0
FRI;19900427;3.4
FRI;19900428;0.0
FRI;19900429;0.0
FRI;19900430;0.0
FRI;19900501;0.0
FRI;19900502;0.0
FRI;19900503;0.0
FRI;19900504;0.0
FRI;19900505;0.0
FRI;19900506;1.6
FRI;19900507;2.6
FRI;19900508;0.4
FRI;19900509;0.8
FRI;19900510;2.7
FRI;19900511;12.4
FRI;19900512;0.2
FRI;19900513;6.9
FRI;19900514;0.0
FRI;19900515;2.2
FRI;19900516;0.0
FRI;19900517;0.0
FRI;19900518;0.0
FRI;19900519;0.0
FRI;19900520;2.2
FRI;19900521;4.7
FRI;19900522;0.4
FRI;19900523;4.1
FRI;19900524;6.7
FRI;19900525;1.7
FRI;19900526;0.0
FRI;19900527;0.0
FRI;19900528;0.0
FRI;19900529;0.0
FRI;19900530;0.0
FRI;19900531;0.0
FRI;19900601;6.4
FRI;19900602;19.9
FRI;19900603;10.8
FRI;19900604;0.0
FRI;19900605;8.6
FRI;19900606;0.5
FRI;19900607;12.9
FRI;19900608;9.7
FRI;19900609;9.8
FRI;19900610;1.8
FRI;19900611;0.0
FRI;19900612;19.0
FRI;19900613;0.0
FRI;19900614;0.0
FRI;19900615;0.0
FRI;19900616;0.0
FRI;19900617;1.6
FRI;19900618;5.6
FRI;19900619;24.7
FRI;19900620;33.9
FRI;19900621;3.2
FRI;19900622;5.2
FRI;19900623;0.1
FRI;19900624;0.0
FRI;19900625;0.0
FRI;19900626;0.0
FRI;19900627;3.2
FRI;19900628;0.0
FRI;19900629;7.4
FRI;19900630;35.2
FRI;19900701;0.0
FRI;19900702;0.0
FRI;19900703;12.9
FRI;19900704;1.4
FRI;19900705;12.6
FRI;19900706;0.0
FRI;19900707;10.5
FRI;19900708;0.0
FRI;19900709;3.7
FRI;19900710;0.0
FRI;19900711;0.0
FRI;19900712;0.0
FRI;19900713;0.0
FRI;19900714;0.0
FRI;19900715;0.0
FRI;19900716;0.0
FRI;19900717;0.0
FRI;19900718;0.0
FRI;19900719;0.0
FRI;19900720;0.0
FRI;19900721;0.0
FRI;19900722;0.0
FRI;19900723;0.0
FRI;19900724;0.0
FRI;19900725;0.0
FRI;19900726;0.0
FRI;19900727;0.0
FRI;19900728;2.2
FRI;19900729;29.5
FRI;19900730;3.3
FRI;19900731;0.0
FRI;19900801;0.0
FRI;19900802;0.0
FRI;19900803;0.0
FRI;19900804;0.0
FRI;19900805;0.0
FRI;19900806;0.0
FRI;19900807;0.0
FRI;19900808;0.0
FRI;19900809;0.0
FRI;19900810;0.0
FRI;19900811;0.0
FRI;19900812;0.0
FRI;19900813;0.0
FRI;19900814;31.2
FRI;19900815;7.9
FRI;19900816;5.2
FRI;19900817;0.0
FRI;19900818;0.0
FRI;19900819;0.0
FRI;19900820;0.0
FRI;19900821;0.0
FRI;19900822;0.0
FRI;19900823;0.0
FRI;19900824;0.0
FRI;19900825;13.8
FRI;19900826;0.0
FRI;19900827;0.0
FRI;19900828;0.0
FRI;19900829;0.0
FRI;19900830;9.6
FRI;19900831;8.8
FRI;19900901;0.0
FRI;19900902;0.0
FRI;19900903;3.1
FRI;19900904;2.3
FRI;19900905;0.0
FRI;19900906;5.2
FRI;19900907;5.3
FRI;19900908;0.0
FRI;19900909;0.0
FRI;19900910;0.0
FRI;19900911;0.0
FRI;19900912;0.0
FRI;19900913;0.0
FRI;19900914;1.0
FRI;19900915;0.0
FRI;19900916;0.0
FRI;19900917;0.0
FRI;19900918;0.0
FRI;19900919;0.0
FRI;19900920;0.0
FRI;19900921;2.8
FRI;19900922;37.9
FRI;19900923;23.6
FRI;19900924;0.0
FRI;19900925;0.0
FRI;19900926;0.0
FRI;19900927;0.0
FRI;19900928;0.0
FRI;19900929;0.0
FRI;19900930;20.0
FRI;19901001;4.8
FRI;19901002;1.3
FRI;19901003;24.1
FRI;19901004;8.9
FRI;19901005;0.0
FRI;19901006;0.0
FRI;19901007;2.5
FRI;19901008;0.0
FRI;19901009;0.0
FRI;19901010;0.0
FRI;19901011;0.0
FRI;19901012;0.0
FRI;19901013;0.0
FRI;19901014;0.0
FRI;19901015;0.0
FRI;19901016;0.6
FRI;19901017;0.2
FRI;19901018;0.0
FRI;19901019;0.0
FRI;19901020;0.0
FRI;19901021;0.0
FRI;19901022;0.0
FRI;19901023;0.0
FRI;19901024;0.0
FRI;19901025;0.3
FRI;19901026;3.8
FRI;19901027;1.1
FRI;19901028;10.6
FRI;19901029;23.7
FRI;19901030;6.5
FRI;19901031;13.6
FRI;19901101;2.5
FRI;19901102;7.5
FRI;19901103;5.8
FRI;19901104;13.5
FRI;19901105;2.1
FRI;19901106;0.0
FRI;19901107;0.0
FRI;19901108;0.0
FRI;19901109;0.0
FRI;19901110;6.6
FRI;19901111;13.3
FRI;19901112;0.0
FRI;19901113;2.3
FRI;19901114;14.6
FRI;19901115;5.6
FRI;19901116;0.0
FRI;19901117;1.2
FRI;19901118;3.1
FRI;19901119;6.9
FRI;19901120;10.6
FRI;19901121;16.2
FRI;19901122;21.3
FRI;19901123;1.6
FRI;19901124;0.0
FRI;19901125;0.4
FRI;19901126;0.0
FRI;19901127;1.8
FRI;19901128;0.1
FRI;19901129;0.3
FRI;19901130;0.7
FRI;19901201;0.0
FRI;19901202;0.0
FRI;19901203;0.0
FRI;19901204;3.5
FRI;19901205;0.0
FRI;19901206;0.0
FRI;19901207;0.0
FRI;19901208;0.0
FRI;19901209;2.8
FRI;19901210;13.0
FRI;19901211;0.0
FRI;19901212;14.1
FRI;19901213;3.6
FRI;19901214;0.0
FRI;19901215;0.0
FRI;19901216;0.0
FRI;19901217;0.0
FRI;19901218;0.5
FRI;19901219;1.2
FRI;19901220;4.1
FRI;19901221;22.1
FRI;19901222;0.5
FRI;19901223;0.1
FRI;19901224;0.0
FRI;19901225;3.7
FRI;19901226;8.1
FRI;19901227;4.0
FRI;19901228;4.4
FRI;19901229;1.2
FRI;19901230;12.2
FRI;19901231;13.1
FRI;19910101;7.0
FRI;19910102;22.2
FRI;19910103;0.0
FRI;19910104;5.3
FRI;19910105;5.8
FRI;19910106;7.3
FRI;19910107;11.7
FRI;19910108;0.0
FRI;19910109;0.3
FRI;19910110;0.0
FRI;19910111;8.6
FRI;19910112;6.1
FRI;19910113;4.1
FRI;19910114;0.0
FRI;19910115;0.0
FRI;19910116;0.0
FRI;19910117;0.0
FRI;19910118;0.0
FRI;19910119;2.8
FRI;19910120;0.0
FRI;19910121;1.8
FRI;19910122;0.0
FRI;19910123;0.0
FRI;19910124;0.0
FRI;19910125;0.0
FRI;19910126;0.0
FRI;19910127;0.0
FRI;19910128;0.0
FRI;19910129;0.0
FRI;19910130;0.0
FRI;19910131;0.0
FRI;19910201;0.0
FRI;19910202;0.0
FRI;19910203;0.0
FRI;19910204;0.0
FRI;19910205;0.2
FRI;19910206;0.0
FRI;19910207;0.0
FRI;19910208;2.7
FRI;19910209;5.2
FRI;19910210;0.4
FRI;19910211;0.8
FRI;19910212;1.6
FRI;19910213;0.6
FRI;19910214;1.6
FRI;19910215;6.6
FRI;19910216;1.2
FRI;19910217;0.0
FRI;19910218;0.0
FRI;19910219;0.0
FRI;19910220;0.0
FRI;19910221;0.6
FRI;19910222;0.0
FRI;19910223;0.0
FRI;19910224;0.0
FRI;19910225;0.0
FRI;19910226;0.0
FRI;19910227;1.9
FRI;19910228;2.7
FRI;19910301;0.1
FRI;19910302;6.3
FRI;19910303;0.0
FRI;19910304;0.0
FRI;19910305;0.0
FRI;19910306;0.0
FRI;19910307;0.0
FRI;19910308;0.0
FRI;19910309;16.7
FRI;19910310;2.6
FRI;19910311;0.3
FRI;19910312;0.0
FRI;19910313;0.0
FRI;19910314;0.0
FRI;19910315;0.0
FRI;19910316;0.0
FRI;19910317;0.1
FRI;19910318;0.2
FRI;19910319;17.1
FRI;19910320;0.0
FRI;19910321;17.3
FRI;19910322;10.9
FRI;19910323;0.0
FRI;19910324;0.0
FRI;19910325;1.5
FRI;19910326;4.1
FRI;19910327;0.0
FRI;19910328;0.0
FRI;19910329;0.0
FRI;19910330;0.0
FRI;19910331;0.0
FRI;19910401;0.0
FRI;19910402;0.0
FRI;19910403;1.3
FRI;19910404;5.9
FRI;19910405;0.1
FRI;19910406;0.0
FRI;19910407;0.0
FRI;19910408;0.0
FRI;19910409;0.0
FRI;19910410;0.0
FRI;19910411;0.0
FRI;19910412;0.0
FRI;19910413;0.0
FRI;19910414;0.0
FRI;19910415;0.0
FRI;19910416;0.0
FRI;19910417;0.0
FRI;19910418;1.0
FRI;19910419;1.3
FRI;19910420;1.0
FRI;19910421;0.0
FRI;19910422;1.8
FRI;19910423;5.5
FRI;19910424;0.0
FRI;19910425;0.0
FRI;19910426;0.0
FRI;19910427;0.6
FRI;19910428;0.0
FRI;19910429;0.0
FRI;19910430;8.9
FRI;19910501;5.4
FRI;19910502;0.2
FRI;19910503;0.4
FRI;19910504;2.1
FRI;19910505;0.9
FRI;19910506;0.0
FRI;19910507;0.0
FRI;19910508;0.0
FRI;19910509;0.0
FRI;19910510;16.0
FRI;19910511;13.0
FRI;19910512;1.0
FRI;19910513;0.0
FRI;19910514;11.1
FRI;19910515;7.9
FRI;19910516;4.1
FRI;19910517;2.4
FRI;19910518;1.1
FRI;19910519;0.0
FRI;19910520;0.0
FRI;19910521;0.0
FRI;19910522;0.0
FRI;19910523;0.0
FRI;19910524;0.0
FRI;19910525;0.9
FRI;19910526;0.0
FRI;19910527;0.0
FRI;19910528;0.0
FRI;19910529;0.0
FRI;19910530;0.0
FRI;19910531;0.0
FRI;19910601;0.0
FRI;19910602;1.4
