 

stn;time;rre150d0
GOE;19900101;0.0
GOE;19900102;0.0
GOE;19900103;0.0
GOE;19900104;0.0
GOE;19900105;0.5
GOE;19900106;1.6
GOE;19900107;0.0
GOE;19900108;0.0
GOE;19900109;0.0
GOE;19900110;0.0
GOE;19900111;0.0
GOE;19900112;0.0
GOE;19900113;0.0
GOE;19900114;0.0
GOE;19900115;1.5
GOE;19900116;0.0
GOE;19900117;3.4
GOE;19900118;2.2
GOE;19900119;0.0
GOE;19900120;0.7
GOE;19900121;0.0
GOE;19900122;0.0
GOE;19900123;3.1
GOE;19900124;1.8
GOE;19900125;11.7
GOE;19900126;1.7
GOE;19900127;0.0
GOE;19900128;4.5
GOE;19900129;0.0
GOE;19900130;0.0
GOE;19900131;0.0
GOE;19900201;0.0
GOE;19900202;4.3
GOE;19900203;0.5
GOE;19900204;0.0
GOE;19900205;0.0
GOE;19900206;0.0
GOE;19900207;0.0
GOE;19900208;0.1
GOE;19900209;0.0
GOE;19900210;8.1
GOE;19900211;4.6
GOE;19900212;8.2
GOE;19900213;16.3
GOE;19900214;43.1
GOE;19900215;9.8
GOE;19900216;4.5
GOE;19900217;0.3
GOE;19900218;0.0
GOE;19900219;0.0
GOE;19900220;0.0
GOE;19900221;0.0
GOE;19900222;0.0
GOE;19900223;0.0
GOE;19900224;0.0
GOE;19900225;0.0
GOE;19900226;12.9
GOE;19900227;11.0
GOE;19900228;24.3
GOE;19900301;4.3
GOE;19900302;1.2
GOE;19900303;0.0
GOE;19900304;0.0
GOE;19900305;0.0
GOE;19900306;0.0
GOE;19900307;0.0
GOE;19900308;0.0
GOE;19900309;0.0
GOE;19900310;0.0
GOE;19900311;0.0
GOE;19900312;0.0
GOE;19900313;0.0
GOE;19900314;2.7
GOE;19900315;0.0
GOE;19900316;0.0
GOE;19900317;0.0
GOE;19900318;0.0
GOE;19900319;0.0
GOE;19900320;2.1
GOE;19900321;0.0
GOE;19900322;7.0
GOE;19900323;0.0
GOE;19900324;0.0
GOE;19900325;0.1
GOE;19900326;2.3
GOE;19900327;5.9
GOE;19900328;2.4
GOE;19900329;0.2
GOE;19900330;0.0
GOE;19900331;0.0
GOE;19900401;0.0
GOE;19900402;0.0
GOE;19900403;3.8
GOE;19900404;0.0
GOE;19900405;4.3
GOE;19900406;2.1
GOE;19900407;0.7
GOE;19900408;0.7
GOE;19900409;0.2
GOE;19900410;0.2
GOE;19900411;11.3
GOE;19900412;0.0
GOE;19900413;1.9
GOE;19900414;3.1
GOE;19900415;12.4
GOE;19900416;0.6
GOE;19900417;0.3
GOE;19900418;0.4
GOE;19900419;0.1
GOE;19900420;0.0
GOE;19900421;0.0
GOE;19900422;18.2
GOE;19900423;2.4
GOE;19900424;0.0
GOE;19900425;0.2
GOE;19900426;0.8
GOE;19900427;0.2
GOE;19900428;0.0
GOE;19900429;0.0
GOE;19900430;0.0
GOE;19900501;0.0
GOE;19900502;0.0
GOE;19900503;0.0
GOE;19900504;0.0
GOE;19900505;0.0
GOE;19900506;0.3
GOE;19900507;0.7
GOE;19900508;2.4
GOE;19900509;0.0
GOE;19900510;0.3
GOE;19900511;14.8
GOE;19900512;0.0
GOE;19900513;8.2
GOE;19900514;0.3
GOE;19900515;0.0
GOE;19900516;0.0
GOE;19900517;0.0
GOE;19900518;0.0
GOE;19900519;1.0
GOE;19900520;2.1
GOE;19900521;1.3
GOE;19900522;0.2
GOE;19900523;0.0
GOE;19900524;8.9
GOE;19900525;0.3
GOE;19900526;0.0
GOE;19900527;0.0
GOE;19900528;0.0
GOE;19900529;0.0
GOE;19900530;0.0
GOE;19900531;0.0
GOE;19900601;0.0
GOE;19900602;18.7
GOE;19900603;7.6
GOE;19900604;1.1
GOE;19900605;10.4
GOE;19900606;0.2
GOE;19900607;15.5
GOE;19900608;7.1
GOE;19900609;10.1
GOE;19900610;0.4
GOE;19900611;0.0
GOE;19900612;17.7
GOE;19900613;1.1
GOE;19900614;0.0
GOE;19900615;0.0
GOE;19900616;0.0
GOE;19900617;3.9
GOE;19900618;5.6
GOE;19900619;12.9
GOE;19900620;32.8
GOE;19900621;0.1
GOE;19900622;11.0
GOE;19900623;0.3
GOE;19900624;0.0
GOE;19900625;0.0
GOE;19900626;0.0
GOE;19900627;9.6
GOE;19900628;0.0
GOE;19900629;0.9
GOE;19900630;40.5
GOE;19900701;0.1
GOE;19900702;0.0
GOE;19900703;11.7
GOE;19900704;0.2
GOE;19900705;4.8
GOE;19900706;0.0
GOE;19900707;6.3
GOE;19900708;0.1
GOE;19900709;0.3
GOE;19900710;0.0
GOE;19900711;0.0
GOE;19900712;0.0
GOE;19900713;0.0
GOE;19900714;0.0
GOE;19900715;0.0
GOE;19900716;0.0
GOE;19900717;0.0
GOE;19900718;0.0
GOE;19900719;0.0
GOE;19900720;0.0
GOE;19900721;0.0
GOE;19900722;0.0
GOE;19900723;0.0
GOE;19900724;0.0
GOE;19900725;0.0
GOE;19900726;0.0
GOE;19900727;0.0
GOE;19900728;1.5
GOE;19900729;39.8
GOE;19900730;17.1
GOE;19900731;0.0
GOE;19900801;0.0
GOE;19900802;0.0
GOE;19900803;0.0
GOE;19900804;0.0
GOE;19900805;0.5
GOE;19900806;0.0
GOE;19900807;0.0
GOE;19900808;0.0
