 

stn;time;rre150d0
GUT;19900101;0.0
GUT;19900102;0.0
GUT;19900103;0.0
GUT;19900104;0.0
GUT;19900105;4.0
GUT;19900106;1.5
GUT;19900107;0.0
GUT;19900108;0.0
GUT;19900109;0.0
GUT;19900110;0.0
GUT;19900111;0.0
GUT;19900112;0.0
GUT;19900113;0.0
GUT;19900114;0.0
GUT;19900115;0.1
GUT;19900116;0.0
GUT;19900117;4.1
GUT;19900118;2.8
GUT;19900119;0.0
GUT;19900120;0.7
GUT;19900121;0.0
GUT;19900122;0.0
GUT;19900123;1.9
GUT;19900124;3.1
GUT;19900125;15.1
GUT;19900126;0.6
GUT;19900127;0.0
GUT;19900128;1.4
GUT;19900129;0.0
GUT;19900130;0.0
GUT;19900131;0.0
GUT;19900201;0.0
GUT;19900202;3.1
GUT;19900203;0.5
GUT;19900204;0.0
GUT;19900205;0.0
GUT;19900206;0.0
GUT;19900207;0.0
GUT;19900208;0.6
GUT;19900209;0.0
GUT;19900210;6.4
GUT;19900211;2.8
GUT;19900212;2.6
GUT;19900213;18.1
GUT;19900214;36.4
GUT;19900215;7.6
GUT;19900216;1.6
GUT;19900217;0.3
GUT;19900218;0.0
GUT;19900219;0.0
GUT;19900220;0.0
GUT;19900221;0.0
GUT;19900222;0.0
GUT;19900223;0.0
GUT;19900224;0.0
GUT;19900225;0.0
GUT;19900226;16.3
GUT;19900227;14.3
GUT;19900228;9.6
GUT;19900301;1.5
GUT;19900302;2.1
GUT;19900303;0.0
GUT;19900304;0.0
GUT;19900305;0.0
GUT;19900306;0.0
GUT;19900307;0.0
GUT;19900308;0.1
GUT;19900309;0.0
GUT;19900310;0.0
GUT;19900311;0.0
GUT;19900312;0.0
GUT;19900313;0.0
GUT;19900314;2.9
GUT;19900315;0.0
GUT;19900316;0.0
GUT;19900317;0.0
GUT;19900318;0.0
GUT;19900319;0.0
GUT;19900320;2.6
GUT;19900321;0.0
GUT;19900322;16.6
GUT;19900323;1.7
GUT;19900324;0.0
GUT;19900325;5.5
GUT;19900326;0.0
GUT;19900327;5.6
GUT;19900328;4.4
GUT;19900329;1.5
GUT;19900330;0.0
GUT;19900331;0.0
GUT;19900401;0.0
GUT;19900402;0.0
GUT;19900403;7.2
GUT;19900404;0.0
GUT;19900405;0.3
GUT;19900406;0.0
GUT;19900407;5.3
GUT;19900408;0.3
GUT;19900409;0.1
GUT;19900410;0.4
GUT;19900411;9.4
GUT;19900412;1.7
GUT;19900413;0.0
GUT;19900414;0.0
GUT;19900415;5.3
GUT;19900416;3.5
GUT;19900417;4.3
GUT;19900418;0.7
GUT;19900419;0.0
GUT;19900420;0.0
GUT;19900421;0.0
GUT;19900422;5.0
GUT;19900423;5.6
GUT;19900424;2.2
GUT;19900425;4.0
GUT;19900426;1.6
GUT;19900427;2.1
GUT;19900428;0.0
GUT;19900429;0.0
GUT;19900430;0.0
GUT;19900501;0.0
GUT;19900502;0.0
GUT;19900503;0.0
GUT;19900504;0.0
GUT;19900505;0.0
GUT;19900506;0.0
GUT;19900507;0.0
GUT;19900508;0.0
GUT;19900509;1.5
GUT;19900510;8.3
GUT;19900511;10.4
GUT;19900512;0.3
GUT;19900513;5.7
GUT;19900514;0.0
GUT;19900515;2.7
GUT;19900516;0.0
GUT;19900517;0.0
GUT;19900518;0.0
GUT;19900519;0.0
GUT;19900520;1.3
GUT;19900521;6.0
GUT;19900522;0.0
GUT;19900523;0.0
GUT;19900524;38.6
GUT;19900525;9.5
GUT;19900526;0.0
GUT;19900527;0.0
GUT;19900528;0.8
GUT;19900529;0.0
GUT;19900530;0.0
GUT;19900531;0.0
GUT;19900601;0.0
GUT;19900602;8.7
GUT;19900603;2.5
GUT;19900604;1.9
GUT;19900605;12.6
GUT;19900606;0.1
GUT;19900607;6.8
GUT;19900608;14.8
GUT;19900609;9.8
GUT;19900610;3.3
GUT;19900611;0.0
GUT;19900612;15.2
GUT;19900613;3.0
GUT;19900614;0.0
GUT;19900615;0.0
GUT;19900616;0.0
GUT;19900617;0.0
GUT;19900618;0.6
GUT;19900619;0.0
GUT;19900620;13.8
GUT;19900621;0.9
GUT;19900622;1.6
GUT;19900623;0.1
GUT;19900624;0.0
GUT;19900625;0.0
GUT;19900626;0.0
GUT;19900627;18.1
GUT;19900628;0.1
GUT;19900629;2.3
GUT;19900630;7.5
GUT;19900701;0.0
GUT;19900702;0.0
GUT;19900703;26.1
GUT;19900704;0.0
GUT;19900705;10.6
GUT;19900706;0.0
GUT;19900707;11.6
GUT;19900708;2.2
GUT;19900709;2.3
GUT;19900710;0.0
GUT;19900711;0.0
GUT;19900712;0.0
GUT;19900713;0.0
GUT;19900714;0.0
GUT;19900715;0.0
GUT;19900716;0.0
GUT;19900717;0.1
GUT;19900718;0.0
GUT;19900719;0.0
GUT;19900720;0.0
GUT;19900721;0.0
GUT;19900722;0.0
GUT;19900723;0.0
GUT;19900724;0.0
GUT;19900725;0.0
GUT;19900726;0.0
GUT;19900727;0.0
GUT;19900728;0.0
GUT;19900729;1.3
GUT;19900730;17.7
GUT;19900731;0.9
GUT;19900801;0.0
GUT;19900802;0.0
GUT;19900803;0.0
GUT;19900804;0.0
GUT;19900805;3.4
GUT;19900806;0.1
GUT;19900807;0.0
GUT;19900808;0.0
GUT;19900809;0.0
GUT;19900810;0.0
GUT;19900811;0.0
GUT;19900812;0.0
GUT;19900813;0.0
GUT;19900814;2.8
GUT;19900815;0.0
GUT;19900816;8.9
GUT;19900817;3.6
GUT;19900818;0.0
GUT;19900819;0.0
GUT;19900820;0.0
GUT;19900821;0.0
GUT;19900822;0.0
GUT;19900823;0.0
GUT;19900824;0.0
GUT;19900825;15.4
GUT;19900826;6.7
GUT;19900827;0.0
GUT;19900828;0.0
GUT;19900829;0.0
GUT;19900830;0.0
GUT;19900831;7.9
GUT;19900901;0.0
GUT;19900902;1.1
GUT;19900903;3.3
GUT;19900904;8.1
GUT;19900905;0.0
GUT;19900906;2.9
GUT;19900907;6.0
GUT;19900908;0.1
GUT;19900909;0.0
GUT;19900910;5.4
GUT;19900911;0.0
GUT;19900912;0.0
GUT;19900913;0.0
GUT;19900914;0.0
GUT;19900915;0.0
GUT;19900916;0.0
GUT;19900917;0.5
GUT;19900918;0.1
GUT;19900919;0.0
GUT;19900920;0.2
GUT;19900921;0.0
GUT;19900922;22.0
GUT;19900923;12.7
GUT;19900924;0.0
GUT;19900925;0.0
GUT;19900926;0.0
GUT;19900927;0.0
GUT;19900928;0.0
GUT;19900929;0.4
GUT;19900930;13.7
GUT;19901001;2.5
GUT;19901002;0.1
GUT;19901003;0.0
GUT;19901004;12.7
GUT;19901005;0.0
GUT;19901006;0.0
GUT;19901007;17.1
GUT;19901008;0.0
GUT;19901009;0.0
GUT;19901010;0.0
GUT;19901011;0.0
GUT;19901012;0.0
GUT;19901013;0.0
GUT;19901014;0.0
GUT;19901015;0.0
GUT;19901016;1.1
GUT;19901017;0.2
GUT;19901018;0.3
GUT;19901019;0.0
GUT;19901020;0.0
GUT;19901021;0.0
GUT;19901022;0.0
GUT;19901023;0.0
GUT;19901024;0.0
GUT;19901025;0.1
GUT;19901026;0.1
GUT;19901027;0.8
GUT;19901028;12.7
GUT;19901029;26.6
GUT;19901030;6.3
GUT;19901031;11.9
GUT;19901101;2.7
GUT;19901102;0.4
GUT;19901103;3.2
GUT;19901104;6.7
GUT;19901105;4.1
GUT;19901106;0.0
GUT;19901107;0.0
GUT;19901108;0.0
GUT;19901109;0.0
GUT;19901110;4.9
GUT;19901111;10.9
GUT;19901112;0.0
GUT;19901113;0.3
GUT;19901114;9.0
GUT;19901115;15.3
GUT;19901116;0.0
GUT;19901117;0.0
GUT;19901118;0.4
GUT;19901119;4.3
GUT;19901120;9.2
GUT;19901121;8.2
GUT;19901122;17.0
GUT;19901123;0.0
GUT;19901124;0.0
GUT;19901125;3.6
GUT;19901126;0.0
GUT;19901127;7.7
GUT;19901128;0.0
GUT;19901129;0.6
GUT;19901130;0.9
GUT;19901201;0.0
GUT;19901202;0.0
GUT;19901203;0.0
GUT;19901204;1.4
GUT;19901205;0.0
GUT;19901206;0.0
GUT;19901207;0.0
GUT;19901208;0.0
GUT;19901209;0.0
GUT;19901210;2.0
GUT;19901211;0.0
GUT;19901212;0.7
GUT;19901213;3.3
GUT;19901214;0.4
GUT;19901215;2.0
GUT;19901216;0.0
GUT;19901217;0.0
GUT;19901218;0.0
GUT;19901219;0.1
GUT;19901220;0.0
GUT;19901221;8.2
GUT;19901222;0.3
GUT;19901223;0.1
GUT;19901224;0.0
GUT;19901225;2.3
GUT;19901226;2.4
GUT;19901227;4.1
GUT;19901228;0.0
GUT;19901229;1.0
GUT;19901230;8.3
GUT;19901231;11.5
GUT;19910101;0.2
GUT;19910102;5.6
GUT;19910103;0.0
GUT;19910104;3.9
GUT;19910105;6.5
GUT;19910106;0.9
GUT;19910107;9.3
GUT;19910108;0.0
GUT;19910109;0.0
GUT;19910110;0.0
GUT;19910111;4.5
GUT;19910112;5.8
GUT;19910113;1.0
GUT;19910114;0.0
GUT;19910115;0.0
GUT;19910116;0.0
GUT;19910117;0.0
GUT;19910118;0.0
GUT;19910119;1.1
GUT;19910120;0.0
GUT;19910121;1.9
GUT;19910122;0.0
GUT;19910123;0.0
GUT;19910124;0.0
GUT;19910125;0.0
GUT;19910126;0.0
GUT;19910127;0.0
GUT;19910128;0.0
GUT;19910129;0.0
GUT;19910130;0.0
GUT;19910131;0.0
GUT;19910201;0.0
GUT;19910202;0.0
GUT;19910203;0.0
GUT;19910204;0.0
GUT;19910205;0.0
GUT;19910206;0.0
GUT;19910207;0.0
GUT;19910208;0.2
GUT;19910209;1.7
GUT;19910210;0.9
GUT;19910211;0.0
GUT;19910212;0.1
GUT;19910213;0.0
GUT;19910214;0.2
GUT;19910215;0.7
GUT;19910216;0.1
GUT;19910217;0.0
GUT;19910218;0.0
GUT;19910219;0.0
GUT;19910220;0.0
GUT;19910221;0.0
GUT;19910222;0.6
GUT;19910223;0.0
GUT;19910224;0.0
GUT;19910225;0.0
GUT;19910226;0.0
GUT;19910227;2.4
GUT;19910228;2.5
GUT;19910301;0.0
GUT;19910302;3.8
GUT;19910303;0.2
GUT;19910304;0.1
GUT;19910305;0.0
GUT;19910306;0.0
GUT;19910307;0.0
GUT;19910308;0.0
GUT;19910309;12.1
GUT;19910310;0.0
GUT;19910311;0.1
GUT;19910312;0.0
GUT;19910313;0.0
GUT;19910314;0.0
GUT;19910315;0.0
GUT;19910316;0.0
GUT;19910317;0.0
GUT;19910318;0.0
GUT;19910319;8.3
GUT;19910320;0.0
GUT;19910321;0.0
GUT;19910322;13.7
GUT;19910323;0.0
GUT;19910324;0.0
GUT;19910325;0.4
GUT;19910326;6.6
GUT;19910327;0.2
GUT;19910328;0.0
GUT;19910329;0.0
GUT;19910330;0.0
GUT;19910331;0.0
GUT;19910401;0.0
GUT;19910402;0.0
GUT;19910403;6.4
GUT;19910404;8.5
GUT;19910405;11.0
GUT;19910406;0.0
GUT;19910407;0.0
GUT;19910408;0.0
GUT;19910409;0.0
GUT;19910410;0.0
