 

stn;time;rre150d0
HAI;19900101;0.0
HAI;19900102;0.0
HAI;19900103;0.0
HAI;19900104;0.0
HAI;19900105;2.5
HAI;19900106;1.0
HAI;19900107;0.0
HAI;19900108;0.0
HAI;19900109;0.0
HAI;19900110;0.0
HAI;19900111;0.0
HAI;19900112;0.0
HAI;19900113;0.0
HAI;19900114;0.0
HAI;19900115;0.8
HAI;19900116;0.0
HAI;19900117;8.0
HAI;19900118;1.7
HAI;19900119;0.0
HAI;19900120;0.0
HAI;19900121;0.0
HAI;19900122;0.0
HAI;19900123;12.8
HAI;19900124;1.2
HAI;19900125;16.0
HAI;19900126;0.0
HAI;19900127;0.0
HAI;19900128;2.6
HAI;19900129;0.0
HAI;19900130;0.0
HAI;19900131;0.0
HAI;19900201;0.0
HAI;19900202;6.7
HAI;19900203;0.0
HAI;19900204;0.0
HAI;19900205;0.0
HAI;19900206;0.0
HAI;19900207;0.0
HAI;19900208;1.0
HAI;19900209;0.0
HAI;19900210;6.0
HAI;19900211;2.2
HAI;19900212;2.7
HAI;19900213;13.9
HAI;19900214;35.1
HAI;19900215;9.0
HAI;19900216;0.1
HAI;19900217;0.0
HAI;19900218;0.0
HAI;19900219;0.0
HAI;19900220;0.0
HAI;19900221;0.0
HAI;19900222;0.0
HAI;19900223;0.0
HAI;19900224;0.0
HAI;19900225;0.0
HAI;19900226;20.0
HAI;19900227;6.6
HAI;19900228;13.4
HAI;19900301;1.3
HAI;19900302;0.2
HAI;19900303;0.0
HAI;19900304;0.0
HAI;19900305;0.0
HAI;19900306;0.0
HAI;19900307;0.0
HAI;19900308;0.0
HAI;19900309;0.0
HAI;19900310;0.0
HAI;19900311;0.0
HAI;19900312;0.0
HAI;19900313;0.0
HAI;19900314;4.3
HAI;19900315;0.0
HAI;19900316;0.0
HAI;19900317;0.0
HAI;19900318;0.0
HAI;19900319;0.0
HAI;19900320;3.1
HAI;19900321;0.0
HAI;19900322;13.0
HAI;19900323;3.0
HAI;19900324;3.0
HAI;19900325;4.6
HAI;19900326;0.7
HAI;19900327;11.7
HAI;19900328;5.5
HAI;19900329;3.5
HAI;19900330;0.0
HAI;19900331;0.0
HAI;19900401;0.0
HAI;19900402;0.0
HAI;19900403;10.0
HAI;19900404;0.0
HAI;19900405;4.3
HAI;19900406;0.0
HAI;19900407;6.5
HAI;19900408;2.7
HAI;19900409;1.0
HAI;19900410;0.8
HAI;19900411;3.2
HAI;19900412;1.0
HAI;19900413;0.0
HAI;19900414;0.3
HAI;19900415;6.2
HAI;19900416;1.1
HAI;19900417;2.0
HAI;19900418;0.1
HAI;19900419;0.0
HAI;19900420;0.0
HAI;19900421;0.0
HAI;19900422;3.8
HAI;19900423;4.9
HAI;19900424;0.0
HAI;19900425;3.0
HAI;19900426;2.6
HAI;19900427;1.3
HAI;19900428;0.0
HAI;19900429;0.0
HAI;19900430;0.0
HAI;19900501;0.0
HAI;19900502;0.0
HAI;19900503;0.0
HAI;19900504;0.0
HAI;19900505;0.0
HAI;19900506;0.0
HAI;19900507;0.0
HAI;19900508;0.0
HAI;19900509;0.0
HAI;19900510;6.9
HAI;19900511;8.4
HAI;19900512;0.3
