 

stn;time;rre150d0
HAU;19900101;0.0
HAU;19900102;0.0
HAU;19900103;0.0
HAU;19900104;0.0
HAU;19900105;0.7
HAU;19900106;3.7
HAU;19900107;0.0
HAU;19900108;0.0
HAU;19900109;0.0
HAU;19900110;0.0
HAU;19900111;0.0
HAU;19900112;0.0
HAU;19900113;0.0
HAU;19900114;0.0
HAU;19900115;1.1
HAU;19900116;0.0
HAU;19900117;0.0
HAU;19900118;2.1
HAU;19900119;0.0
HAU;19900120;1.8
HAU;19900121;0.0
HAU;19900122;0.0
HAU;19900123;0.6
HAU;19900124;2.4
HAU;19900125;3.6
HAU;19900126;1.2
HAU;19900127;0.0
HAU;19900128;2.7
HAU;19900129;0.0
HAU;19900130;0.0
HAU;19900131;0.0
HAU;19900201;0.0
HAU;19900202;5.0
HAU;19900203;0.5
HAU;19900204;0.0
HAU;19900205;0.0
HAU;19900206;0.0
HAU;19900207;0.0
HAU;19900208;0.8
HAU;19900209;0.0
HAU;19900210;4.3
HAU;19900211;5.8
HAU;19900212;1.8
HAU;19900213;13.3
HAU;19900214;25.7
HAU;19900215;5.5
HAU;19900216;9.4
HAU;19900217;0.0
HAU;19900218;0.0
HAU;19900219;0.0
HAU;19900220;0.0
HAU;19900221;0.0
HAU;19900222;0.0
HAU;19900223;0.0
HAU;19900224;0.0
HAU;19900225;0.0
HAU;19900226;8.9
HAU;19900227;13.6
HAU;19900228;10.4
HAU;19900301;6.5
HAU;19900302;0.6
HAU;19900303;0.0
HAU;19900304;0.0
HAU;19900305;0.0
HAU;19900306;0.0
HAU;19900307;0.0
HAU;19900308;1.1
HAU;19900309;0.0
HAU;19900310;0.0
HAU;19900311;0.0
HAU;19900312;0.0
HAU;19900313;0.0
HAU;19900314;13.3
HAU;19900315;0.0
HAU;19900316;0.0
HAU;19900317;0.0
HAU;19900318;0.0
HAU;19900319;0.0
HAU;19900320;4.7
HAU;19900321;0.0
HAU;19900322;16.0
HAU;19900323;0.5
HAU;19900324;0.0
HAU;19900325;4.9
HAU;19900326;2.1
HAU;19900327;19.9
HAU;19900328;3.6
HAU;19900329;0.3
HAU;19900330;0.0
HAU;19900331;0.0
HAU;19900401;0.0
HAU;19900402;0.0
HAU;19900403;13.1
HAU;19900404;0.0
HAU;19900405;0.5
HAU;19900406;0.0
HAU;19900407;2.9
HAU;19900408;3.3
HAU;19900409;0.5
HAU;19900410;0.1
HAU;19900411;6.6
HAU;19900412;0.8
HAU;19900413;0.0
HAU;19900414;1.8
HAU;19900415;8.7
HAU;19900416;1.0
HAU;19900417;8.4
HAU;19900418;8.0
HAU;19900419;0.0
HAU;19900420;0.0
HAU;19900421;0.0
HAU;19900422;1.8
HAU;19900423;21.9
HAU;19900424;1.6
HAU;19900425;4.0
HAU;19900426;0.4
HAU;19900427;1.5
HAU;19900428;0.0
HAU;19900429;0.0
HAU;19900430;0.0
HAU;19900501;0.0
HAU;19900502;0.0
HAU;19900503;0.0
HAU;19900504;0.0
HAU;19900505;0.0
HAU;19900506;4.0
HAU;19900507;1.0
HAU;19900508;1.5
HAU;19900509;6.0
HAU;19900510;7.2
HAU;19900511;11.2
HAU;19900512;0.3
HAU;19900513;13.3
HAU;19900514;3.1
HAU;19900515;3.8
HAU;19900516;0.3
HAU;19900517;0.0
HAU;19900518;0.0
HAU;19900519;6.7
HAU;19900520;0.7
HAU;19900521;1.8
HAU;19900522;0.0
HAU;19900523;0.0
HAU;19900524;26.4
HAU;19900525;9.7
HAU;19900526;0.0
HAU;19900527;0.0
HAU;19900528;0.0
HAU;19900529;0.0
HAU;19900530;0.0
HAU;19900531;0.0
HAU;19900601;0.0
HAU;19900602;23.5
HAU;19900603;8.5
HAU;19900604;24.1
HAU;19900605;15.8
HAU;19900606;0.0
HAU;19900607;10.1
HAU;19900608;14.8
HAU;19900609;8.2
HAU;19900610;7.4
HAU;19900611;0.0
HAU;19900612;15.9
HAU;19900613;8.5
HAU;19900614;0.0
HAU;19900615;0.0
HAU;19900616;0.0
HAU;19900617;11.6
HAU;19900618;22.3
HAU;19900619;0.8
HAU;19900620;25.0
HAU;19900621;1.1
HAU;19900622;3.8
HAU;19900623;0.3
HAU;19900624;0.0
HAU;19900625;0.0
HAU;19900626;0.0
HAU;19900627;22.4
HAU;19900628;0.0
HAU;19900629;18.2
HAU;19900630;22.1
HAU;19900701;0.0
HAU;19900702;0.0
HAU;19900703;21.0
HAU;19900704;0.0
HAU;19900705;14.9
HAU;19900706;0.0
HAU;19900707;11.2
HAU;19900708;2.9
HAU;19900709;3.3
HAU;19900710;0.0
HAU;19900711;0.0
HAU;19900712;0.0
HAU;19900713;0.0
HAU;19900714;0.0
HAU;19900715;0.0
HAU;19900716;0.0
HAU;19900717;0.0
HAU;19900718;0.0
HAU;19900719;0.0
HAU;19900720;0.0
HAU;19900721;0.0
HAU;19900722;0.0
HAU;19900723;0.0
HAU;19900724;0.0
HAU;19900725;0.0
HAU;19900726;0.0
HAU;19900727;0.0
HAU;19900728;0.0
HAU;19900729;23.6
HAU;19900730;7.1
HAU;19900731;0.0
HAU;19900801;0.0
HAU;19900802;0.0
HAU;19900803;0.0
HAU;19900804;0.0
HAU;19900805;0.0
HAU;19900806;6.9
HAU;19900807;0.0
HAU;19900808;0.0
HAU;19900809;0.0
HAU;19900810;0.0
HAU;19900811;0.0
HAU;19900812;0.0
HAU;19900813;0.6
HAU;19900814;14.6
HAU;19900815;0.0
HAU;19900816;12.2
HAU;19900817;3.2
HAU;19900818;0.0
HAU;19900819;0.0
HAU;19900820;0.0
HAU;19900821;0.0
HAU;19900822;0.0
HAU;19900823;0.0
HAU;19900824;0.0
HAU;19900825;13.7
HAU;19900826;0.0
HAU;19900827;0.0
HAU;19900828;0.0
HAU;19900829;0.7
HAU;19900830;23.6
HAU;19900831;11.7
HAU;19900901;0.0
HAU;19900902;0.0
HAU;19900903;2.9
HAU;19900904;9.4
HAU;19900905;0.0
HAU;19900906;0.4
HAU;19900907;8.0
HAU;19900908;0.0
HAU;19900909;0.0
HAU;19900910;4.6
HAU;19900911;0.0
HAU;19900912;0.0
HAU;19900913;0.0
HAU;19900914;6.3
HAU;19900915;0.0
HAU;19900916;0.0
HAU;19900917;0.2
HAU;19900918;0.0
HAU;19900919;0.0
HAU;19900920;0.0
HAU;19900921;0.3
HAU;19900922;38.8
HAU;19900923;28.7
HAU;19900924;0.0
HAU;19900925;0.0
HAU;19900926;0.0
HAU;19900927;0.0
HAU;19900928;0.0
HAU;19900929;0.0
HAU;19900930;13.4
HAU;19901001;3.6
HAU;19901002;0.2
HAU;19901003;3.3
HAU;19901004;16.8
HAU;19901005;0.1
HAU;19901006;0.0
HAU;19901007;4.2
HAU;19901008;0.2
HAU;19901009;0.0
HAU;19901010;0.0
HAU;19901011;0.0
HAU;19901012;0.0
HAU;19901013;0.0
HAU;19901014;0.0
HAU;19901015;0.0
HAU;19901016;1.2
HAU;19901017;4.6
HAU;19901018;0.0
HAU;19901019;0.2
HAU;19901020;0.0
HAU;19901021;0.0
HAU;19901022;0.0
HAU;19901023;0.0
HAU;19901024;0.0
HAU;19901025;0.8
HAU;19901026;3.1
HAU;19901027;0.1
HAU;19901028;18.8
HAU;19901029;21.3
HAU;19901030;4.0
HAU;19901031;30.2
HAU;19901101;7.8
HAU;19901102;6.2
HAU;19901103;5.8
HAU;19901104;17.0
HAU;19901105;2.3
HAU;19901106;0.0
HAU;19901107;0.0
HAU;19901108;0.0
HAU;19901109;0.0
HAU;19901110;4.7
HAU;19901111;31.7
HAU;19901112;0.0
HAU;19901113;5.7
HAU;19901114;11.4
HAU;19901115;9.5
HAU;19901116;0.0
HAU;19901117;1.4
HAU;19901118;0.0
HAU;19901119;0.6
HAU;19901120;8.5
HAU;19901121;7.0
HAU;19901122;28.7
HAU;19901123;0.5
HAU;19901124;0.0
HAU;19901125;3.4
HAU;19901126;0.0
HAU;19901127;2.9
HAU;19901128;0.0
HAU;19901129;0.4
HAU;19901130;0.9
HAU;19901201;0.0
HAU;19901202;0.0
HAU;19901203;0.0
HAU;19901204;1.7
HAU;19901205;0.1
HAU;19901206;0.0
HAU;19901207;0.0
HAU;19901208;0.0
HAU;19901209;3.1
HAU;19901210;8.2
HAU;19901211;0.0
HAU;19901212;7.9
HAU;19901213;7.7
HAU;19901214;1.2
HAU;19901215;0.8
HAU;19901216;0.1
HAU;19901217;0.0
HAU;19901218;0.7
HAU;19901219;2.7
HAU;19901220;0.2
HAU;19901221;8.3
HAU;19901222;0.0
HAU;19901223;0.3
HAU;19901224;0.0
HAU;19901225;3.1
HAU;19901226;4.0
HAU;19901227;4.0
HAU;19901228;0.9
HAU;19901229;0.8
HAU;19901230;1.7
HAU;19901231;9.9
HAU;19910101;1.8
HAU;19910102;15.3
HAU;19910103;0.0
HAU;19910104;0.8
HAU;19910105;0.7
HAU;19910106;3.8
HAU;19910107;5.1
HAU;19910108;0.0
HAU;19910109;0.0
HAU;19910110;0.0
HAU;19910111;11.5
HAU;19910112;12.1
HAU;19910113;2.4
HAU;19910114;0.0
HAU;19910115;0.0
HAU;19910116;0.0
HAU;19910117;0.0
HAU;19910118;0.0
HAU;19910119;3.2
HAU;19910120;0.0
HAU;19910121;1.8
HAU;19910122;0.0
HAU;19910123;0.0
HAU;19910124;0.0
HAU;19910125;0.0
HAU;19910126;0.0
HAU;19910127;0.0
HAU;19910128;0.0
HAU;19910129;0.0
HAU;19910130;0.0
HAU;19910131;0.0
HAU;19910201;0.0
HAU;19910202;0.0
HAU;19910203;0.0
HAU;19910204;0.0
HAU;19910205;0.1
HAU;19910206;0.0
HAU;19910207;0.0
HAU;19910208;1.5
HAU;19910209;5.6
HAU;19910210;0.1
HAU;19910211;0.0
HAU;19910212;4.1
HAU;19910213;0.0
HAU;19910214;0.3
HAU;19910215;5.0
HAU;19910216;0.1
HAU;19910217;0.5
HAU;19910218;0.0
HAU;19910219;1.0
HAU;19910220;0.0
HAU;19910221;0.9
HAU;19910222;1.0
HAU;19910223;0.0
HAU;19910224;0.0
HAU;19910225;0.0
HAU;19910226;0.0
HAU;19910227;1.5
HAU;19910228;2.1
HAU;19910301;0.0
HAU;19910302;8.1
HAU;19910303;1.1
HAU;19910304;0.1
HAU;19910305;0.0
HAU;19910306;0.0
HAU;19910307;0.0
HAU;19910308;0.0
HAU;19910309;7.5
HAU;19910310;0.0
HAU;19910311;0.0
HAU;19910312;0.0
HAU;19910313;0.0
HAU;19910314;0.0
HAU;19910315;0.0
HAU;19910316;0.0
HAU;19910317;0.9
HAU;19910318;1.1
HAU;19910319;18.6
HAU;19910320;0.0
HAU;19910321;6.2
HAU;19910322;19.0
HAU;19910323;0.1
HAU;19910324;0.0
HAU;19910325;0.6
HAU;19910326;5.1
HAU;19910327;0.3
HAU;19910328;0.0
HAU;19910329;0.0
HAU;19910330;0.0
HAU;19910331;0.0
HAU;19910401;0.0
HAU;19910402;0.0
HAU;19910403;10.0
HAU;19910404;14.2
HAU;19910405;7.6
HAU;19910406;0.0
HAU;19910407;0.0
HAU;19910408;0.0
HAU;19910409;0.0
HAU;19910410;0.0
HAU;19910411;0.0
HAU;19910412;0.0
HAU;19910413;0.1
HAU;19910414;0.0
HAU;19910415;0.0
HAU;19910416;1.5
HAU;19910417;1.3
HAU;19910418;4.9
HAU;19910419;2.1
HAU;19910420;0.6
HAU;19910421;0.0
HAU;19910422;2.3
HAU;19910423;3.5
HAU;19910424;0.0
HAU;19910425;0.0
HAU;19910426;0.0
HAU;19910427;6.7
HAU;19910428;0.2
HAU;19910429;0.1
HAU;19910430;2.1
HAU;19910501;5.6
HAU;19910502;4.5
HAU;19910503;4.5
HAU;19910504;7.8
HAU;19910505;0.0
HAU;19910506;0.5
HAU;19910507;0.0
HAU;19910508;0.0
HAU;19910509;0.0
HAU;19910510;23.1
HAU;19910511;70.5
HAU;19910512;1.5
