 

stn;time;rre150d0
HIW;19900101;0.0
HIW;19900102;0.0
HIW;19900103;0.0
HIW;19900104;0.0
HIW;19900105;1.2
HIW;19900106;3.3
HIW;19900107;0.0
HIW;19900108;0.0
HIW;19900109;0.0
HIW;19900110;0.0
HIW;19900111;0.0
HIW;19900112;0.0
HIW;19900113;0.0
HIW;19900114;0.0
HIW;19900115;0.4
HIW;19900116;0.1
HIW;19900117;0.2
HIW;19900118;2.5
HIW;19900119;0.0
HIW;19900120;1.6
HIW;19900121;0.0
HIW;19900122;0.0
HIW;19900123;0.8
HIW;19900124;4.5
HIW;19900125;3.9
HIW;19900126;3.5
HIW;19900127;0.0
HIW;19900128;2.7
HIW;19900129;0.0
HIW;19900130;0.0
HIW;19900131;0.0
HIW;19900201;0.0
HIW;19900202;4.4
HIW;19900203;0.4
HIW;19900204;0.0
HIW;19900205;0.0
HIW;19900206;0.0
HIW;19900207;0.0
HIW;19900208;0.1
HIW;19900209;0.0
HIW;19900210;9.0
HIW;19900211;2.4
HIW;19900212;7.7
HIW;19900213;25.5
HIW;19900214;58.8
HIW;19900215;8.5
HIW;19900216;6.2
HIW;19900217;0.6
HIW;19900218;0.0
HIW;19900219;0.0
HIW;19900220;0.0
HIW;19900221;0.0
HIW;19900222;0.0
HIW;19900223;0.0
HIW;19900224;0.0
HIW;19900225;0.0
HIW;19900226;16.7
HIW;19900227;17.6
HIW;19900228;10.5
HIW;19900301;7.9
HIW;19900302;0.6
HIW;19900303;0.0
HIW;19900304;0.0
HIW;19900305;0.0
HIW;19900306;0.0
HIW;19900307;0.0
HIW;19900308;0.1
HIW;19900309;0.0
HIW;19900310;0.0
HIW;19900311;0.0
HIW;19900312;0.0
HIW;19900313;0.1
HIW;19900314;13.5
HIW;19900315;0.0
HIW;19900316;0.0
HIW;19900317;0.0
HIW;19900318;0.0
HIW;19900319;0.0
HIW;19900320;3.0
HIW;19900321;0.0
HIW;19900322;17.8
HIW;19900323;0.3
HIW;19900324;0.0
HIW;19900325;9.0
HIW;19900326;1.2
HIW;19900327;23.5
HIW;19900328;3.7
HIW;19900329;0.0
HIW;19900330;0.0
HIW;19900331;0.0
HIW;19900401;0.0
HIW;19900402;0.0
HIW;19900403;13.3
HIW;19900404;0.0
HIW;19900405;0.0
HIW;19900406;0.0
HIW;19900407;8.0
HIW;19900408;0.2
HIW;19900409;0.0
HIW;19900410;0.2
HIW;19900411;11.3
HIW;19900412;0.5
HIW;19900413;0.0
HIW;19900414;3.7
HIW;19900415;9.3
HIW;19900416;2.9
HIW;19900417;8.9
HIW;19900418;5.9
HIW;19900419;0.0
HIW;19900420;0.0
HIW;19900421;0.0
HIW;19900422;0.6
HIW;19900423;16.9
HIW;19900424;2.0
HIW;19900425;12.8
HIW;19900426;2.6
HIW;19900427;2.3
HIW;19900428;0.0
HIW;19900429;0.0
HIW;19900430;0.0
HIW;19900501;0.0
HIW;19900502;0.0
HIW;19900503;0.0
HIW;19900504;0.0
HIW;19900505;0.0
HIW;19900506;7.6
HIW;19900507;0.4
HIW;19900508;0.1
HIW;19900509;0.0
HIW;19900510;8.6
HIW;19900511;18.1
HIW;19900512;0.0
HIW;19900513;8.6
HIW;19900514;1.3
HIW;19900515;11.9
HIW;19900516;0.0
HIW;19900517;0.0
HIW;19900518;0.0
HIW;19900519;0.0
HIW;19900520;0.0
HIW;19900521;6.9
HIW;19900522;0.3
HIW;19900523;0.0
HIW;19900524;23.0
HIW;19900525;15.6
HIW;19900526;0.0
HIW;19900527;0.0
HIW;19900528;1.0
HIW;19900529;0.0
HIW;19900530;0.0
HIW;19900531;0.0
HIW;19900601;0.0
HIW;19900602;21.1
HIW;19900603;6.7
HIW;19900604;21.2
HIW;19900605;14.8
HIW;19900606;0.7
HIW;19900607;10.8
HIW;19900608;13.2
HIW;19900609;8.8
HIW;19900610;10.3
HIW;19900611;0.0
HIW;19900612;23.8
HIW;19900613;7.2
HIW;19900614;3.3
HIW;19900615;0.0
HIW;19900616;0.0
HIW;19900617;3.2
HIW;19900618;5.5
HIW;19900619;0.0
HIW;19900620;28.8
HIW;19900621;0.9
HIW;19900622;4.9
HIW;19900623;0.4
HIW;19900624;0.0
HIW;19900625;0.0
HIW;19900626;0.0
HIW;19900627;16.8
HIW;19900628;0.0
HIW;19900629;4.6
HIW;19900630;16.0
HIW;19900701;2.3
HIW;19900702;0.0
HIW;19900703;21.1
HIW;19900704;0.0
HIW;19900705;25.0
HIW;19900706;0.4
HIW;19900707;14.5
HIW;19900708;3.2
HIW;19900709;6.4
HIW;19900710;0.0
HIW;19900711;0.0
HIW;19900712;0.0
HIW;19900713;0.0
HIW;19900714;0.0
HIW;19900715;0.0
HIW;19900716;0.0
HIW;19900717;0.0
HIW;19900718;0.0
HIW;19900719;0.0
HIW;19900720;0.0
HIW;19900721;0.0
HIW;19900722;0.0
HIW;19900723;0.0
HIW;19900724;0.0
HIW;19900725;0.0
HIW;19900726;0.0
HIW;19900727;0.0
HIW;19900728;0.0
HIW;19900729;6.4
HIW;19900730;4.8
HIW;19900731;2.5
HIW;19900801;0.0
HIW;19900802;0.0
HIW;19900803;0.0
HIW;19900804;0.0
HIW;19900805;2.0
HIW;19900806;18.3
HIW;19900807;0.0
HIW;19900808;0.0
HIW;19900809;0.0
HIW;19900810;0.0
HIW;19900811;0.0
HIW;19900812;0.0
HIW;19900813;0.0
HIW;19900814;12.2
HIW;19900815;0.0
HIW;19900816;12.2
HIW;19900817;0.4
HIW;19900818;0.0
HIW;19900819;0.0
HIW;19900820;0.0
HIW;19900821;0.0
HIW;19900822;0.0
HIW;19900823;0.0
HIW;19900824;0.0
HIW;19900825;2.9
HIW;19900826;8.2
HIW;19900827;0.0
HIW;19900828;0.0
HIW;19900829;2.8
HIW;19900830;1.4
HIW;19900831;18.8
HIW;19900901;0.0
HIW;19900902;0.0
HIW;19900903;4.4
HIW;19900904;9.4
HIW;19900905;0.0
HIW;19900906;1.8
HIW;19900907;14.7
HIW;19900908;0.2
HIW;19900909;0.0
HIW;19900910;3.5
HIW;19900911;0.0
HIW;19900912;0.0
HIW;19900913;0.0
HIW;19900914;7.0
HIW;19900915;0.2
