 

stn;time;rre150d0
HLL;19900101;0.0
HLL;19900102;0.0
HLL;19900103;0.0
HLL;19900104;0.0
HLL;19900105;0.8
HLL;19900106;0.6
HLL;19900107;0.0
HLL;19900108;0.0
HLL;19900109;0.0
HLL;19900110;0.0
HLL;19900111;0.0
HLL;19900112;0.0
HLL;19900113;0.0
HLL;19900114;0.0
HLL;19900115;1.3
HLL;19900116;0.0
HLL;19900117;2.1
HLL;19900118;0.0
HLL;19900119;0.0
HLL;19900120;0.0
HLL;19900121;1.0
HLL;19900122;0.2
HLL;19900123;10.4
HLL;19900124;5.8
HLL;19900125;13.1
HLL;19900126;0.6
HLL;19900127;0.0
HLL;19900128;2.9
HLL;19900129;0.0
HLL;19900130;0.1
HLL;19900131;0.0
HLL;19900201;0.3
HLL;19900202;8.2
HLL;19900203;0.5
HLL;19900204;0.0
HLL;19900205;0.0
HLL;19900206;0.0
HLL;19900207;0.0
HLL;19900208;1.5
HLL;19900209;0.0
HLL;19900210;9.4
HLL;19900211;8.0
HLL;19900212;12.0
HLL;19900213;44.1
HLL;19900214;44.5
HLL;19900215;13.5
HLL;19900216;1.2
HLL;19900217;0.7
HLL;19900218;0.0
HLL;19900219;0.0
HLL;19900220;0.0
HLL;19900221;0.0
HLL;19900222;0.0
HLL;19900223;0.0
HLL;19900224;0.0
HLL;19900225;0.0
HLL;19900226;31.1
HLL;19900227;25.0
HLL;19900228;31.1
HLL;19900301;5.1
HLL;19900302;0.5
HLL;19900303;0.0
HLL;19900304;0.0
HLL;19900305;0.0
HLL;19900306;0.0
HLL;19900307;0.0
HLL;19900308;0.3
HLL;19900309;0.0
HLL;19900310;0.0
HLL;19900311;0.0
HLL;19900312;0.0
HLL;19900313;0.0
HLL;19900314;5.2
HLL;19900315;0.0
HLL;19900316;0.0
HLL;19900317;0.0
HLL;19900318;0.0
HLL;19900319;0.0
HLL;19900320;0.9
HLL;19900321;0.0
HLL;19900322;3.3
HLL;19900323;0.0
HLL;19900324;1.2
HLL;19900325;0.0
HLL;19900326;0.5
HLL;19900327;11.8
HLL;19900328;8.3
HLL;19900329;1.5
HLL;19900330;0.0
HLL;19900331;0.0
HLL;19900401;0.0
HLL;19900402;0.0
HLL;19900403;3.1
HLL;19900404;0.0
HLL;19900405;7.7
