 

stn;time;rre150d0
KUE;19900101;0.0
KUE;19900102;0.0
KUE;19900103;0.0
KUE;19900104;0.0
KUE;19900105;1.4
KUE;19900106;4.1
KUE;19900107;0.0
KUE;19900108;0.0
KUE;19900109;0.0
KUE;19900110;0.0
KUE;19900111;0.0
KUE;19900112;0.0
KUE;19900113;0.0
KUE;19900114;0.0
KUE;19900115;0.6
KUE;19900116;0.0
KUE;19900117;0.2
KUE;19900118;2.0
KUE;19900119;0.0
KUE;19900120;1.5
KUE;19900121;0.0
KUE;19900122;0.0
KUE;19900123;0.8
KUE;19900124;6.0
KUE;19900125;6.3
KUE;19900126;3.2
KUE;19900127;0.0
KUE;19900128;3.3
KUE;19900129;0.0
KUE;19900130;0.0
KUE;19900131;0.0
KUE;19900201;0.0
KUE;19900202;7.5
KUE;19900203;0.0
KUE;19900204;0.0
KUE;19900205;0.0
KUE;19900206;0.0
KUE;19900207;0.0
KUE;19900208;0.1
KUE;19900209;0.0
KUE;19900210;9.0
KUE;19900211;8.7
KUE;19900212;11.4
KUE;19900213;33.3
KUE;19900214;67.7
KUE;19900215;9.1
KUE;19900216;7.3
KUE;19900217;0.2
KUE;19900218;0.0
KUE;19900219;0.0
KUE;19900220;0.0
KUE;19900221;0.0
KUE;19900222;0.0
KUE;19900223;0.0
KUE;19900224;0.0
KUE;19900225;0.0
KUE;19900226;14.2
KUE;19900227;17.1
KUE;19900228;14.0
KUE;19900301;5.6
KUE;19900302;0.3
KUE;19900303;0.0
KUE;19900304;0.0
KUE;19900305;0.0
KUE;19900306;0.0
KUE;19900307;0.0
KUE;19900308;0.1
KUE;19900309;0.0
KUE;19900310;0.0
KUE;19900311;0.0
KUE;19900312;0.0
KUE;19900313;0.0
KUE;19900314;10.7
KUE;19900315;0.0
KUE;19900316;0.0
KUE;19900317;0.0
KUE;19900318;0.0
KUE;19900319;0.0
KUE;19900320;1.4
KUE;19900321;0.0
KUE;19900322;13.8
KUE;19900323;0.2
KUE;19900324;0.0
KUE;19900325;4.6
KUE;19900326;1.0
KUE;19900327;21.2
KUE;19900328;4.6
KUE;19900329;0.6
KUE;19900330;0.0
KUE;19900331;0.0
KUE;19900401;0.0
KUE;19900402;0.0
KUE;19900403;9.3
KUE;19900404;0.0
KUE;19900405;0.3
KUE;19900406;0.0
KUE;19900407;4.0
KUE;19900408;4.0
KUE;19900409;0.5
KUE;19900410;0.0
KUE;19900411;4.8
KUE;19900412;1.7
KUE;19900413;0.0
KUE;19900414;1.6
KUE;19900415;7.8
KUE;19900416;2.4
KUE;19900417;4.8
KUE;19900418;3.8
KUE;19900419;0.0
KUE;19900420;0.0
KUE;19900421;0.0
KUE;19900422;3.5
KUE;19900423;4.5
KUE;19900424;0.1
KUE;19900425;8.3
KUE;19900426;0.1
KUE;19900427;0.2
KUE;19900428;0.0
KUE;19900429;0.0
KUE;19900430;0.0
KUE;19900501;0.0
KUE;19900502;0.0
KUE;19900503;0.0
KUE;19900504;0.0
KUE;19900505;0.0
KUE;19900506;13.5
KUE;19900507;0.7
KUE;19900508;2.3
KUE;19900509;0.4
KUE;19900510;7.5
KUE;19900511;10.6
KUE;19900512;0.0
KUE;19900513;10.4
KUE;19900514;0.4
KUE;19900515;3.5
KUE;19900516;0.5
KUE;19900517;0.2
KUE;19900518;0.2
KUE;19900519;0.0
KUE;19900520;0.0
KUE;19900521;6.7
KUE;19900522;0.0
KUE;19900523;0.4
KUE;19900524;27.3
KUE;19900525;8.7
KUE;19900526;0.0
KUE;19900527;0.0
KUE;19900528;1.8
KUE;19900529;0.0
KUE;19900530;0.0
KUE;19900531;0.0
KUE;19900601;1.5
KUE;19900602;30.6
KUE;19900603;10.1
KUE;19900604;13.3
KUE;19900605;12.5
KUE;19900606;0.1
KUE;19900607;11.2
KUE;19900608;13.0
KUE;19900609;5.9
KUE;19900610;7.9
KUE;19900611;0.0
KUE;19900612;12.2
KUE;19900613;6.1
KUE;19900614;0.1
KUE;19900615;0.0
KUE;19900616;0.0
KUE;19900617;4.7
KUE;19900618;21.9
KUE;19900619;1.6
KUE;19900620;32.6
KUE;19900621;0.8
KUE;19900622;5.2
KUE;19900623;1.4
KUE;19900624;0.0
KUE;19900625;0.0
KUE;19900626;0.0
KUE;19900627;18.5
KUE;19900628;0.0
KUE;19900629;29.1
KUE;19900630;22.0
KUE;19900701;0.5
KUE;19900702;0.0
KUE;19900703;25.6
KUE;19900704;0.0
KUE;19900705;15.5
KUE;19900706;0.3
KUE;19900707;11.0
KUE;19900708;0.5
KUE;19900709;2.0
KUE;19900710;0.0
KUE;19900711;0.0
KUE;19900712;0.0
KUE;19900713;0.0
KUE;19900714;0.0
KUE;19900715;0.0
KUE;19900716;0.0
KUE;19900717;0.0
KUE;19900718;0.0
KUE;19900719;0.0
KUE;19900720;0.0
KUE;19900721;0.0
KUE;19900722;0.0
KUE;19900723;0.0
KUE;19900724;0.0
KUE;19900725;0.0
KUE;19900726;0.0
KUE;19900727;0.0
KUE;19900728;0.0
KUE;19900729;54.7
KUE;19900730;0.3
KUE;19900731;0.0
KUE;19900801;0.0
KUE;19900802;0.0
KUE;19900803;0.0
KUE;19900804;0.0
KUE;19900805;0.5
KUE;19900806;0.0
KUE;19900807;0.3
KUE;19900808;0.0
KUE;19900809;0.0
KUE;19900810;0.0
KUE;19900811;0.0
KUE;19900812;0.0
KUE;19900813;0.0
KUE;19900814;9.8
KUE;19900815;0.0
KUE;19900816;17.0
KUE;19900817;0.4
KUE;19900818;0.0
KUE;19900819;0.0
KUE;19900820;0.0
KUE;19900821;0.0
KUE;19900822;0.0
KUE;19900823;0.0
KUE;19900824;0.0
KUE;19900825;3.5
KUE;19900826;0.0
KUE;19900827;0.0
KUE;19900828;0.0
KUE;19900829;2.2
KUE;19900830;5.5
KUE;19900831;8.5
KUE;19900901;0.0
KUE;19900902;0.0
KUE;19900903;2.5
KUE;19900904;10.0
KUE;19900905;0.4
KUE;19900906;3.0
KUE;19900907;10.5
KUE;19900908;0.0
KUE;19900909;0.0
KUE;19900910;3.8
KUE;19900911;0.0
KUE;19900912;0.0
KUE;19900913;0.0
KUE;19900914;13.2
KUE;19900915;0.0
KUE;19900916;0.0
KUE;19900917;0.0
KUE;19900918;0.0
KUE;19900919;0.0
KUE;19900920;0.0
KUE;19900921;0.3
KUE;19900922;45.7
KUE;19900923;47.1
KUE;19900924;0.1
KUE;19900925;0.0
KUE;19900926;0.0
KUE;19900927;0.0
KUE;19900928;0.0
KUE;19900929;0.0
KUE;19900930;22.3
KUE;19901001;6.0
KUE;19901002;0.0
KUE;19901003;4.0
KUE;19901004;18.7
KUE;19901005;0.0
KUE;19901006;0.0
KUE;19901007;6.9
KUE;19901008;0.0
KUE;19901009;0.0
KUE;19901010;0.0
KUE;19901011;0.0
KUE;19901012;0.0
KUE;19901013;0.0
KUE;19901014;0.0
KUE;19901015;0.0
KUE;19901016;0.4
KUE;19901017;2.9
KUE;19901018;0.0
KUE;19901019;0.0
KUE;19901020;0.0
KUE;19901021;0.0
KUE;19901022;0.0
KUE;19901023;0.0
KUE;19901024;0.0
KUE;19901025;0.5
KUE;19901026;2.2
KUE;19901027;0.0
KUE;19901028;18.0
KUE;19901029;33.4
KUE;19901030;4.6
KUE;19901031;34.3
KUE;19901101;10.5
KUE;19901102;5.1
KUE;19901103;2.4
KUE;19901104;16.6
KUE;19901105;3.3
KUE;19901106;0.0
KUE;19901107;0.0
KUE;19901108;0.0
KUE;19901109;0.1
KUE;19901110;2.8
KUE;19901111;21.3
KUE;19901112;0.0
KUE;19901113;2.9
KUE;19901114;17.0
KUE;19901115;14.0
KUE;19901116;0.1
KUE;19901117;0.7
KUE;19901118;0.8
KUE;19901119;1.0
KUE;19901120;13.4
KUE;19901121;9.4
KUE;19901122;39.4
KUE;19901123;0.0
KUE;19901124;0.0
KUE;19901125;1.6
KUE;19901126;0.0
KUE;19901127;2.6
KUE;19901128;0.0
KUE;19901129;0.6
KUE;19901130;1.1
KUE;19901201;0.0
KUE;19901202;0.0
KUE;19901203;0.0
KUE;19901204;1.5
KUE;19901205;0.5
KUE;19901206;0.0
KUE;19901207;0.0
KUE;19901208;0.0
KUE;19901209;0.8
KUE;19901210;8.4
KUE;19901211;0.1
KUE;19901212;9.8
KUE;19901213;5.0
KUE;19901214;0.1
KUE;19901215;1.0
KUE;19901216;0.0
KUE;19901217;0.0
KUE;19901218;0.4
KUE;19901219;0.6
KUE;19901220;0.2
KUE;19901221;8.1
KUE;19901222;0.1
KUE;19901223;0.0
KUE;19901224;0.0
KUE;19901225;1.2
KUE;19901226;7.0
KUE;19901227;8.1
KUE;19901228;0.5
KUE;19901229;4.6
KUE;19901230;2.6
KUE;19901231;21.4
KUE;19910101;3.9
KUE;19910102;19.8
KUE;19910103;0.1
KUE;19910104;3.0
KUE;19910105;4.1
KUE;19910106;5.7
KUE;19910107;5.4
KUE;19910108;0.0
KUE;19910109;0.0
KUE;19910110;0.0
KUE;19910111;14.0
KUE;19910112;12.2
KUE;19910113;4.1
KUE;19910114;0.0
KUE;19910115;0.0
KUE;19910116;0.0
KUE;19910117;0.0
KUE;19910118;0.0
KUE;19910119;2.5
KUE;19910120;0.0
KUE;19910121;1.8
KUE;19910122;0.0
KUE;19910123;0.0
KUE;19910124;0.0
KUE;19910125;0.0
KUE;19910126;0.0
KUE;19910127;0.0
KUE;19910128;0.0
KUE;19910129;0.0
KUE;19910130;0.0
KUE;19910131;0.0
KUE;19910201;0.0
KUE;19910202;0.0
KUE;19910203;0.0
KUE;19910204;0.0
KUE;19910205;0.1
KUE;19910206;0.0
KUE;19910207;0.0
KUE;19910208;1.7
KUE;19910209;5.0
KUE;19910210;0.0
KUE;19910211;0.0
KUE;19910212;4.7
KUE;19910213;0.0
KUE;19910214;0.1
KUE;19910215;3.3
KUE;19910216;3.7
KUE;19910217;0.5
KUE;19910218;0.0
KUE;19910219;0.0
KUE;19910220;0.0
KUE;19910221;0.0
KUE;19910222;0.2
KUE;19910223;0.0
KUE;19910224;0.0
KUE;19910225;0.0
KUE;19910226;0.0
KUE;19910227;0.4
KUE;19910228;1.0
KUE;19910301;0.0
KUE;19910302;7.4
KUE;19910303;0.6
KUE;19910304;0.0
KUE;19910305;0.0
KUE;19910306;0.0
KUE;19910307;0.0
KUE;19910308;0.0
KUE;19910309;8.0
KUE;19910310;0.0
KUE;19910311;0.0
KUE;19910312;0.0
KUE;19910313;0.0
KUE;19910314;0.0
KUE;19910315;0.0
KUE;19910316;0.0
KUE;19910317;0.0
KUE;19910318;0.1
KUE;19910319;20.8
KUE;19910320;0.0
KUE;19910321;4.8
KUE;19910322;15.0
KUE;19910323;0.0
KUE;19910324;0.0
KUE;19910325;0.1
KUE;19910326;6.0
KUE;19910327;0.1
KUE;19910328;0.0
KUE;19910329;0.0
KUE;19910330;0.0
KUE;19910331;0.0
KUE;19910401;0.0
KUE;19910402;0.0
KUE;19910403;7.9
KUE;19910404;13.7
KUE;19910405;8.0
KUE;19910406;0.0
KUE;19910407;0.0
KUE;19910408;0.0
KUE;19910409;0.0
KUE;19910410;0.0
KUE;19910411;0.0
KUE;19910412;0.0
KUE;19910413;0.0
KUE;19910414;0.0
KUE;19910415;0.0
KUE;19910416;4.4
KUE;19910417;3.2
KUE;19910418;2.8
KUE;19910419;3.3
KUE;19910420;3.6
KUE;19910421;0.0
KUE;19910422;2.0
KUE;19910423;0.7
KUE;19910424;0.0
KUE;19910425;0.0
KUE;19910426;0.0
KUE;19910427;20.5
KUE;19910428;8.4
KUE;19910429;0.0
KUE;19910430;4.8
KUE;19910501;6.5
KUE;19910502;2.2
KUE;19910503;3.3
KUE;19910504;14.0
KUE;19910505;0.1
KUE;19910506;0.7
KUE;19910507;0.0
KUE;19910508;0.0
KUE;19910509;0.4
KUE;19910510;24.7
KUE;19910511;54.1
KUE;19910512;1.7
KUE;19910513;0.0
KUE;19910514;11.3
KUE;19910515;9.4
KUE;19910516;6.4
KUE;19910517;9.8
KUE;19910518;4.1
KUE;19910519;0.0
KUE;19910520;0.0
KUE;19910521;0.0
KUE;19910522;0.0
KUE;19910523;0.0
KUE;19910524;0.0
KUE;19910525;2.3
KUE;19910526;0.0
KUE;19910527;0.0
KUE;19910528;0.0
KUE;19910529;0.0
KUE;19910530;0.0
KUE;19910531;0.0
KUE;19910601;0.7
KUE;19910602;12.2
KUE;19910603;13.7
KUE;19910604;0.1
KUE;19910605;2.2
KUE;19910606;14.8
KUE;19910607;3.5
KUE;19910608;2.6
KUE;19910609;18.2
KUE;19910610;0.0
KUE;19910611;0.9
KUE;19910612;0.0
KUE;19910613;2.5
KUE;19910614;0.2
KUE;19910615;9.9
KUE;19910616;48.7
KUE;19910617;36.6
KUE;19910618;3.5
KUE;19910619;0.0
KUE;19910620;6.9
KUE;19910621;0.0
KUE;19910622;13.4
KUE;19910623;6.3
KUE;19910624;8.2
KUE;19910625;0.0
KUE;19910626;7.1
KUE;19910627;3.1
KUE;19910628;18.0
KUE;19910629;4.2
KUE;19910630;0.0
KUE;19910701;0.0
KUE;19910702;0.0
KUE;19910703;0.0
KUE;19910704;0.0
KUE;19910705;0.0
KUE;19910706;0.0
KUE;19910707;0.4
KUE;19910708;0.0
KUE;19910709;1.1
KUE;19910710;0.0
KUE;19910711;0.0
KUE;19910712;1.2
KUE;19910713;2.2
KUE;19910714;7.2
KUE;19910715;0.0
KUE;19910716;0.0
KUE;19910717;3.7
KUE;19910718;0.0
KUE;19910719;0.0
KUE;19910720;0.0
KUE;19910721;0.0
KUE;19910722;0.0
KUE;19910723;5.9
KUE;19910724;10.9
KUE;19910725;11.5
KUE;19910726;8.4
KUE;19910727;0.1
KUE;19910728;0.0
KUE;19910729;0.0
KUE;19910730;2.9
KUE;19910731;7.0
KUE;19910801;0.0
KUE;19910802;0.0
KUE;19910803;0.0
KUE;19910804;0.0
KUE;19910805;0.0
KUE;19910806;0.0
KUE;19910807;0.0
KUE;19910808;8.5
KUE;19910809;0.0
KUE;19910810;0.0
KUE;19910811;0.0
KUE;19910812;4.5
KUE;19910813;0.0
KUE;19910814;0.0
KUE;19910815;0.0
KUE;19910816;0.0
KUE;19910817;0.0
KUE;19910818;0.0
KUE;19910819;0.0
KUE;19910820;0.0
KUE;19910821;0.0
KUE;19910822;3.5
KUE;19910823;0.0
KUE;19910824;3.7
KUE;19910825;0.2
KUE;19910826;0.0
KUE;19910827;0.0
KUE;19910828;0.0
KUE;19910829;0.0
KUE;19910830;0.0
KUE;19910831;0.0
KUE;19910901;0.0
KUE;19910902;0.0
KUE;19910903;0.0
KUE;19910904;0.0
KUE;19910905;0.0
KUE;19910906;0.0
KUE;19910907;0.0
KUE;19910908;0.0
KUE;19910909;0.0
KUE;19910910;1.3
KUE;19910911;26.5
KUE;19910912;1.5
KUE;19910913;0.0
KUE;19910914;0.0
KUE;19910915;0.0
KUE;19910916;0.2
KUE;19910917;0.0
KUE;19910918;0.0
KUE;19910919;0.0
KUE;19910920;0.5
KUE;19910921;0.0
KUE;19910922;37.6
KUE;19910923;0.0
KUE;19910924;0.0
KUE;19910925;0.0
KUE;19910926;23.2
KUE;19910927;4.5
KUE;19910928;0.0
KUE;19910929;4.5
KUE;19910930;0.5
KUE;19911001;0.5
KUE;19911002;0.0
KUE;19911003;0.0
KUE;19911004;0.0
KUE;19911005;2.5
KUE;19911006;4.8
KUE;19911007;0.0
KUE;19911008;0.0
KUE;19911009;0.0
KUE;19911010;0.0
KUE;19911011;0.0
KUE;19911012;6.6
KUE;19911013;0.0
KUE;19911014;0.0
KUE;19911015;0.0
KUE;19911016;0.0
KUE;19911017;4.5
KUE;19911018;4.0
KUE;19911019;2.8
KUE;19911020;1.6
KUE;19911021;0.0
KUE;19911022;0.0
KUE;19911023;0.0
KUE;19911024;0.0
KUE;19911025;0.0
KUE;19911026;0.0
KUE;19911027;0.0
KUE;19911028;0.0
KUE;19911029;0.0
KUE;19911030;1.7
KUE;19911031;0.0
KUE;19911101;0.0
KUE;19911102;4.7
KUE;19911103;27.8
KUE;19911104;17.5
KUE;19911105;2.5
KUE;19911106;0.0
KUE;19911107;0.2
KUE;19911108;2.0
KUE;19911109;13.0
KUE;19911110;0.0
KUE;19911111;1.2
KUE;19911112;0.7
KUE;19911113;12.4
KUE;19911114;0.3
KUE;19911115;1.7
KUE;19911116;30.0
KUE;19911117;0.4
KUE;19911118;11.3
KUE;19911119;0.0
KUE;19911120;5.5
KUE;19911121;0.0
KUE;19911122;0.0
KUE;19911123;0.0
KUE;19911124;0.0
KUE;19911125;0.0
KUE;19911126;0.0
KUE;19911127;0.0
KUE;19911128;0.0
KUE;19911129;0.0
KUE;19911130;0.0
KUE;19911201;0.0
KUE;19911202;0.0
KUE;19911203;0.0
KUE;19911204;0.0
KUE;19911205;0.0
KUE;19911206;0.0
KUE;19911207;0.0
KUE;19911208;0.0
KUE;19911209;0.0
KUE;19911210;0.0
KUE;19911211;0.0
KUE;19911212;0.0
KUE;19911213;0.0
KUE;19911214;0.0
KUE;19911215;0.0
KUE;19911216;0.3
KUE;19911217;3.4
KUE;19911218;15.7
KUE;19911219;12.0
KUE;19911220;7.3
KUE;19911221;28.2
KUE;19911222;5.2
KUE;19911223;1.0
KUE;19911224;0.0
KUE;19911225;0.0
KUE;19911226;1.2
KUE;19911227;0.0
KUE;19911228;0.0
KUE;19911229;0.0
KUE;19911230;0.0
KUE;19911231;0.0
KUE;19920101;0.0
KUE;19920102;0.0
KUE;19920103;0.0
KUE;19920104;0.0
KUE;19920105;0.0
KUE;19920106;0.0
KUE;19920107;0.0
KUE;19920108;0.1
KUE;19920109;0.7
KUE;19920110;5.5
KUE;19920111;0.0
KUE;19920112;0.0
KUE;19920113;0.0
KUE;19920114;0.0
KUE;19920115;0.0
KUE;19920116;0.0
KUE;19920117;0.0
KUE;19920118;0.0
KUE;19920119;7.8
KUE;19920120;0.0
KUE;19920121;0.0
KUE;19920122;0.0
KUE;19920123;0.0
KUE;19920124;0.0
KUE;19920125;0.0
KUE;19920126;0.0
KUE;19920127;0.0
KUE;19920128;0.0
KUE;19920129;0.0
KUE;19920130;0.0
KUE;19920131;0.0
KUE;19920201;0.0
KUE;19920202;0.0
KUE;19920203;6.1
KUE;19920204;19.0
KUE;19920205;6.5
KUE;19920206;0.5
KUE;19920207;0.0
KUE;19920208;0.0
KUE;19920209;5.0
KUE;19920210;0.0
KUE;19920211;6.7
KUE;19920212;1.5
KUE;19920213;9.1
KUE;19920214;0.0
KUE;19920215;22.6
KUE;19920216;3.2
KUE;19920217;4.7
KUE;19920218;0.1
KUE;19920219;0.0
KUE;19920220;0.0
KUE;19920221;0.0
KUE;19920222;0.0
KUE;19920223;0.0
KUE;19920224;0.0
KUE;19920225;0.0
KUE;19920226;0.0
KUE;19920227;0.0
KUE;19920228;0.0
KUE;19920229;0.0
KUE;19920301;0.0
KUE;19920302;2.9
KUE;19920303;0.0
KUE;19920304;0.0
KUE;19920305;0.1
KUE;19920306;0.0
KUE;19920307;0.0
KUE;19920308;0.2
KUE;19920309;0.0
KUE;19920310;0.4
KUE;19920311;0.1
KUE;19920312;0.0
KUE;19920313;4.1
KUE;19920314;42.0
KUE;19920315;30.0
KUE;19920316;0.1
KUE;19920317;0.0
KUE;19920318;0.0
KUE;19920319;3.3
KUE;19920320;0.2
KUE;19920321;0.9
KUE;19920322;16.0
KUE;19920323;11.3
KUE;19920324;7.0
KUE;19920325;3.4
KUE;19920326;0.0
KUE;19920327;1.6
KUE;19920328;4.1
KUE;19920329;0.0
KUE;19920330;0.0
KUE;19920331;14.3
KUE;19920401;0.8
KUE;19920402;10.3
KUE;19920403;7.2
KUE;19920404;2.2
KUE;19920405;9.0
KUE;19920406;0.0
