 

stn;time;rre150d0
LEI;19900101;0.0
LEI;19900102;0.0
LEI;19900103;0.0
LEI;19900104;0.0
LEI;19900105;1.2
LEI;19900106;1.2
LEI;19900107;0.0
LEI;19900108;0.0
LEI;19900109;0.0
LEI;19900110;0.0
LEI;19900111;0.0
LEI;19900112;0.0
LEI;19900113;0.0
LEI;19900114;0.0
LEI;19900115;2.4
LEI;19900116;0.0
LEI;19900117;2.8
LEI;19900118;0.8
LEI;19900119;0.0
LEI;19900120;0.7
LEI;19900121;0.0
LEI;19900122;0.0
LEI;19900123;1.6
LEI;19900124;10.3
LEI;19900125;13.0
LEI;19900126;0.0
LEI;19900127;0.0
LEI;19900128;2.4
LEI;19900129;0.0
LEI;19900130;0.1
LEI;19900131;0.0
LEI;19900201;0.0
LEI;19900202;8.3
LEI;19900203;0.7
LEI;19900204;0.0
LEI;19900205;0.0
LEI;19900206;0.0
LEI;19900207;0.0
LEI;19900208;1.0
LEI;19900209;0.0
LEI;19900210;9.9
LEI;19900211;2.9
LEI;19900212;5.3
LEI;19900213;42.4
LEI;19900214;65.7
LEI;19900215;8.9
LEI;19900216;1.8
LEI;19900217;1.5
LEI;19900218;0.0
LEI;19900219;0.0
LEI;19900220;0.0
LEI;19900221;0.0
LEI;19900222;0.0
LEI;19900223;0.0
LEI;19900224;0.0
LEI;19900225;0.0
LEI;19900226;26.7
LEI;19900227;19.3
LEI;19900228;31.6
LEI;19900301;3.5
LEI;19900302;0.9
LEI;19900303;0.0
LEI;19900304;0.0
LEI;19900305;0.0
LEI;19900306;0.0
LEI;19900307;0.0
LEI;19900308;0.5
LEI;19900309;0.0
LEI;19900310;0.0
LEI;19900311;0.0
LEI;19900312;0.0
LEI;19900313;0.0
LEI;19900314;4.5
LEI;19900315;0.0
LEI;19900316;0.0
LEI;19900317;0.0
LEI;19900318;0.0
LEI;19900319;0.0
LEI;19900320;2.7
LEI;19900321;0.0
LEI;19900322;3.6
LEI;19900323;0.0
LEI;19900324;1.6
LEI;19900325;1.3
LEI;19900326;0.1
LEI;19900327;4.9
LEI;19900328;4.3
LEI;19900329;0.7
LEI;19900330;0.0
LEI;19900331;0.0
LEI;19900401;0.0
LEI;19900402;0.0
LEI;19900403;3.0
LEI;19900404;0.0
LEI;19900405;7.6
LEI;19900406;1.0
LEI;19900407;0.5
LEI;19900408;1.5
LEI;19900409;0.0
LEI;19900410;1.4
LEI;19900411;4.6
LEI;19900412;0.0
LEI;19900413;2.7
LEI;19900414;4.2
LEI;19900415;13.9
LEI;19900416;1.5
LEI;19900417;2.4
LEI;19900418;0.4
LEI;19900419;0.0
LEI;19900420;0.1
LEI;19900421;0.0
LEI;19900422;10.2
LEI;19900423;11.6
LEI;19900424;0.9
LEI;19900425;0.9
LEI;19900426;1.0
LEI;19900427;1.3
LEI;19900428;0.0
LEI;19900429;0.0
LEI;19900430;0.0
LEI;19900501;0.0
LEI;19900502;0.0
LEI;19900503;0.0
LEI;19900504;0.0
LEI;19900505;0.0
LEI;19900506;0.0
LEI;19900507;0.0
LEI;19900508;0.0
LEI;19900509;0.2
LEI;19900510;0.0
LEI;19900511;0.0
LEI;19900512;0.0
LEI;19900513;0.0
LEI;19900514;0.0
LEI;19900515;0.0
LEI;19900516;0.0
LEI;19900517;0.0
LEI;19900518;0.1
LEI;19900519;11.4
LEI;19900520;3.0
