 

stn;time;rre150d0
LFB;19900101;0.0
LFB;19900102;0.0
LFB;19900103;0.0
LFB;19900104;0.0
LFB;19900105;1.7
LFB;19900106;0.3
LFB;19900107;0.0
LFB;19900108;0.0
LFB;19900109;0.0
LFB;19900110;0.0
LFB;19900111;0.0
LFB;19900112;0.0
LFB;19900113;0.0
LFB;19900114;0.0
LFB;19900115;2.7
LFB;19900116;0.2
LFB;19900117;4.3
LFB;19900118;1.4
LFB;19900119;0.0
LFB;19900120;1.8
LFB;19900121;0.0
LFB;19900122;0.0
LFB;19900123;3.6
LFB;19900124;8.7
LFB;19900125;12.5
LFB;19900126;0.0
LFB;19900127;0.0
LFB;19900128;6.0
LFB;19900129;0.0
LFB;19900130;0.0
LFB;19900131;0.0
LFB;19900201;0.0
LFB;19900202;5.5
LFB;19900203;0.7
LFB;19900204;0.0
LFB;19900205;0.0
LFB;19900206;0.0
LFB;19900207;0.0
LFB;19900208;2.8
LFB;19900209;0.0
LFB;19900210;8.2
LFB;19900211;5.0
LFB;19900212;4.0
LFB;19900213;23.8
LFB;19900214;25.3
LFB;19900215;3.0
LFB;19900216;3.6
LFB;19900217;0.8
LFB;19900218;0.0
LFB;19900219;0.0
LFB;19900220;0.0
LFB;19900221;0.0
LFB;19900222;0.0
LFB;19900223;0.0
LFB;19900224;0.0
LFB;19900225;0.0
LFB;19900226;18.7
LFB;19900227;17.0
LFB;19900228;21.3
LFB;19900301;3.5
LFB;19900302;0.3
LFB;19900303;0.0
LFB;19900304;0.0
LFB;19900305;0.0
LFB;19900306;0.0
LFB;19900307;0.0
LFB;19900308;0.2
LFB;19900309;0.0
LFB;19900310;0.0
LFB;19900311;0.0
LFB;19900312;0.0
LFB;19900313;0.0
LFB;19900314;2.3
LFB;19900315;0.0
LFB;19900316;0.0
LFB;19900317;0.0
LFB;19900318;0.0
LFB;19900319;0.0
LFB;19900320;4.0
LFB;19900321;0.0
LFB;19900322;5.3
LFB;19900323;0.0
LFB;19900324;3.6
LFB;19900325;3.3
LFB;19900326;1.4
LFB;19900327;6.9
LFB;19900328;4.7
LFB;19900329;0.7
LFB;19900330;0.0
LFB;19900331;0.0
LFB;19900401;0.0
LFB;19900402;0.0
LFB;19900403;6.5
LFB;19900404;0.0
LFB;19900405;7.0
LFB;19900406;1.1
LFB;19900407;1.8
LFB;19900408;1.6
LFB;19900409;0.2
LFB;19900410;3.8
LFB;19900411;4.8
LFB;19900412;0.0
LFB;19900413;6.0
LFB;19900414;8.2
LFB;19900415;10.2
LFB;19900416;1.6
LFB;19900417;5.0
LFB;19900418;0.8
LFB;19900419;0.0
LFB;19900420;0.0
LFB;19900421;0.0
LFB;19900422;12.2
LFB;19900423;14.4
LFB;19900424;1.7
LFB;19900425;3.8
LFB;19900426;0.0
LFB;19900427;4.3
LFB;19900428;0.0
LFB;19900429;0.0
LFB;19900430;0.0
LFB;19900501;0.0
LFB;19900502;0.0
LFB;19900503;0.0
LFB;19900504;0.0
LFB;19900505;0.0
LFB;19900506;0.0
LFB;19900507;3.0
LFB;19900508;24.0
LFB;19900509;3.4
LFB;19900510;5.5
LFB;19900511;8.2
LFB;19900512;0.0
LFB;19900513;4.8
LFB;19900514;0.0
LFB;19900515;0.0
LFB;19900516;0.0
LFB;19900517;0.0
LFB;19900518;0.0
LFB;19900519;0.0
LFB;19900520;3.2
LFB;19900521;3.7
LFB;19900522;1.1
LFB;19900523;1.8
LFB;19900524;8.2
LFB;19900525;0.1
LFB;19900526;0.0
LFB;19900527;0.0
LFB;19900528;0.0
LFB;19900529;0.0
LFB;19900530;0.0
LFB;19900531;0.0
LFB;19900601;4.6
LFB;19900602;30.5
LFB;19900603;14.1
LFB;19900604;0.1
LFB;19900605;8.6
LFB;19900606;1.1
LFB;19900607;12.2
LFB;19900608;10.3
LFB;19900609;8.1
LFB;19900610;2.8
LFB;19900611;0.0
LFB;19900612;11.0
LFB;19900613;1.5
LFB;19900614;0.0
LFB;19900615;0.0
LFB;19900616;0.0
LFB;19900617;1.2
LFB;19900618;2.3
LFB;19900619;22.8
LFB;19900620;31.3
LFB;19900621;2.5
LFB;19900622;4.3
LFB;19900623;0.2
LFB;19900624;0.0
LFB;19900625;0.0
LFB;19900626;0.0
LFB;19900627;7.0
LFB;19900628;0.0
LFB;19900629;4.6
LFB;19900630;30.1
LFB;19900701;0.0
LFB;19900702;0.0
LFB;19900703;10.3
LFB;19900704;3.0
LFB;19900705;13.7
LFB;19900706;0.0
LFB;19900707;7.6
LFB;19900708;0.0
LFB;19900709;2.9
LFB;19900710;0.0
LFB;19900711;0.0
LFB;19900712;0.0
LFB;19900713;0.0
LFB;19900714;0.0
LFB;19900715;0.0
LFB;19900716;0.0
LFB;19900717;0.0
LFB;19900718;0.0
LFB;19900719;0.0
LFB;19900720;0.0
LFB;19900721;0.0
LFB;19900722;0.0
LFB;19900723;0.0
LFB;19900724;0.0
LFB;19900725;0.0
LFB;19900726;0.0
LFB;19900727;0.0
LFB;19900728;2.0
LFB;19900729;15.4
LFB;19900730;8.3
LFB;19900731;0.0
LFB;19900801;0.0
LFB;19900802;0.0
LFB;19900803;0.0
LFB;19900804;0.0
LFB;19900805;0.0
LFB;19900806;0.0
LFB;19900807;0.0
LFB;19900808;0.0
LFB;19900809;0.0
LFB;19900810;0.0
LFB;19900811;0.0
LFB;19900812;0.0
LFB;19900813;0.8
LFB;19900814;52.5
LFB;19900815;1.2
LFB;19900816;3.4
LFB;19900817;0.0
LFB;19900818;0.0
LFB;19900819;0.0
LFB;19900820;0.0
LFB;19900821;0.0
LFB;19900822;0.0
LFB;19900823;0.0
LFB;19900824;0.0
LFB;19900825;6.7
LFB;19900826;0.4
LFB;19900827;0.0
LFB;19900828;0.0
LFB;19900829;0.0
LFB;19900830;8.8
LFB;19900831;8.0
LFB;19900901;0.0
LFB;19900902;0.0
LFB;19900903;3.1
LFB;19900904;0.8
LFB;19900905;0.0
LFB;19900906;5.5
LFB;19900907;4.4
LFB;19900908;0.0
LFB;19900909;0.0
LFB;19900910;0.0
LFB;19900911;0.0
LFB;19900912;0.0
LFB;19900913;0.0
LFB;19900914;0.0
LFB;19900915;0.0
LFB;19900916;0.0
LFB;19900917;0.0
LFB;19900918;0.0
LFB;19900919;0.0
LFB;19900920;0.0
LFB;19900921;1.6
LFB;19900922;42.5
LFB;19900923;21.4
LFB;19900924;0.0
LFB;19900925;0.0
LFB;19900926;0.0
LFB;19900927;0.0
LFB;19900928;0.0
LFB;19900929;0.0
LFB;19900930;20.0
LFB;19901001;5.6
LFB;19901002;0.0
LFB;19901003;27.0
LFB;19901004;6.8
LFB;19901005;0.0
LFB;19901006;0.0
LFB;19901007;3.8
LFB;19901008;0.0
LFB;19901009;0.0
LFB;19901010;0.0
LFB;19901011;0.0
LFB;19901012;0.0
LFB;19901013;0.0
LFB;19901014;0.0
LFB;19901015;0.1
LFB;19901016;0.9
LFB;19901017;0.7
LFB;19901018;0.3
LFB;19901019;0.0
LFB;19901020;0.0
LFB;19901021;0.0
LFB;19901022;0.0
LFB;19901023;0.0
LFB;19901024;0.0
LFB;19901025;0.8
LFB;19901026;2.8
LFB;19901027;1.1
LFB;19901028;17.8
LFB;19901029;26.5
LFB;19901030;8.5
LFB;19901031;8.2
LFB;19901101;3.1
LFB;19901102;6.9
LFB;19901103;5.9
LFB;19901104;14.0
LFB;19901105;1.0
LFB;19901106;0.0
LFB;19901107;0.0
LFB;19901108;0.0
LFB;19901109;0.0
LFB;19901110;4.9
LFB;19901111;16.7
LFB;19901112;0.0
LFB;19901113;3.0
LFB;19901114;17.1
LFB;19901115;6.5
LFB;19901116;0.0
LFB;19901117;1.5
LFB;19901118;2.9
LFB;19901119;7.0
LFB;19901120;10.5
LFB;19901121;16.3
LFB;19901122;22.5
LFB;19901123;2.7
LFB;19901124;0.0
LFB;19901125;1.5
LFB;19901126;0.0
LFB;19901127;1.3
LFB;19901128;0.1
LFB;19901129;0.0
LFB;19901130;0.0
LFB;19901201;0.0
LFB;19901202;0.0
LFB;19901203;0.0
LFB;19901204;2.7
LFB;19901205;0.0
LFB;19901206;0.0
LFB;19901207;0.0
LFB;19901208;0.0
LFB;19901209;4.9
LFB;19901210;17.0
LFB;19901211;2.5
LFB;19901212;22.2
LFB;19901213;0.0
LFB;19901214;0.0
LFB;19901215;0.0
LFB;19901216;0.0
LFB;19901217;0.0
LFB;19901218;0.5
LFB;19901219;0.2
LFB;19901220;3.2
LFB;19901221;28.3
LFB;19901222;0.5
LFB;19901223;0.3
LFB;19901224;0.0
