 

stn;time;rre150d0
LOH;19900101;0.0
LOH;19900102;0.0
LOH;19900103;0.0
LOH;19900104;0.0
LOH;19900105;0.3
LOH;19900106;0.0
LOH;19900107;0.0
LOH;19900108;0.0
LOH;19900109;0.0
LOH;19900110;0.0
LOH;19900111;0.0
LOH;19900112;0.1
LOH;19900113;0.0
LOH;19900114;0.0
LOH;19900115;0.8
LOH;19900116;0.1
LOH;19900117;1.8
LOH;19900118;0.7
LOH;19900119;0.0
LOH;19900120;0.0
LOH;19900121;0.0
LOH;19900122;0.3
LOH;19900123;8.2
LOH;19900124;4.1
LOH;19900125;12.2
LOH;19900126;0.4
LOH;19900127;0.0
LOH;19900128;2.4
LOH;19900129;0.0
LOH;19900130;0.0
LOH;19900131;0.0
LOH;19900201;0.0
LOH;19900202;6.4
LOH;19900203;0.1
LOH;19900204;0.0
LOH;19900205;0.0
LOH;19900206;0.0
LOH;19900207;0.0
LOH;19900208;3.4
LOH;19900209;0.0
LOH;19900210;10.0
LOH;19900211;8.1
LOH;19900212;7.6
LOH;19900213;15.4
LOH;19900214;28.5
LOH;19900215;15.2
LOH;19900216;0.6
LOH;19900217;0.2
LOH;19900218;0.0
LOH;19900219;0.0
LOH;19900220;0.0
LOH;19900221;0.0
LOH;19900222;0.0
LOH;19900223;0.0
LOH;19900224;0.0
LOH;19900225;0.0
LOH;19900226;21.5
LOH;19900227;18.5
LOH;19900228;22.0
LOH;19900301;2.3
LOH;19900302;0.4
LOH;19900303;0.0
LOH;19900304;0.0
LOH;19900305;0.0
LOH;19900306;0.0
LOH;19900307;0.0
LOH;19900308;0.0
LOH;19900309;0.0
LOH;19900310;0.0
LOH;19900311;0.0
LOH;19900312;0.0
LOH;19900313;0.0
LOH;19900314;4.0
LOH;19900315;0.0
LOH;19900316;0.0
LOH;19900317;0.0
LOH;19900318;0.0
LOH;19900319;0.0
LOH;19900320;0.8
LOH;19900321;0.0
LOH;19900322;5.2
LOH;19900323;0.0
LOH;19900324;3.1
LOH;19900325;0.2
LOH;19900326;0.0
LOH;19900327;4.3
LOH;19900328;8.4
LOH;19900329;3.2
LOH;19900330;0.0
LOH;19900331;0.0
LOH;19900401;0.0
LOH;19900402;0.0
LOH;19900403;3.7
LOH;19900404;0.0
LOH;19900405;7.5
LOH;19900406;2.0
LOH;19900407;3.8
LOH;19900408;3.2
LOH;19900409;0.4
LOH;19900410;0.8
LOH;19900411;1.4
LOH;19900412;0.0
LOH;19900413;0.1
LOH;19900414;0.5
LOH;19900415;7.5
LOH;19900416;0.1
LOH;19900417;0.4
LOH;19900418;0.8
LOH;19900419;0.0
LOH;19900420;0.0
LOH;19900421;0.0
LOH;19900422;3.7
LOH;19900423;2.0
LOH;19900424;21.8
LOH;19900425;0.8
LOH;19900426;0.1
LOH;19900427;0.5
LOH;19900428;0.0
