 

stn;time;rre150d0
MOE;19900101;0.0
MOE;19900102;0.0
MOE;19900103;0.0
MOE;19900104;0.0
MOE;19900105;0.0
MOE;19900106;0.8
MOE;19900107;0.0
MOE;19900108;0.0
MOE;19900109;0.0
MOE;19900110;0.0
MOE;19900111;0.0
MOE;19900112;0.0
MOE;19900113;0.0
MOE;19900114;0.0
MOE;19900115;0.9
MOE;19900116;0.0
MOE;19900117;5.1
MOE;19900118;1.4
MOE;19900119;0.0
MOE;19900120;2.2
MOE;19900121;0.0
MOE;19900122;0.0
MOE;19900123;1.3
MOE;19900124;8.8
MOE;19900125;6.7
MOE;19900126;0.6
MOE;19900127;0.0
MOE;19900128;7.1
MOE;19900129;0.0
MOE;19900130;0.2
MOE;19900131;0.0
MOE;19900201;0.0
MOE;19900202;5.4
MOE;19900203;1.9
MOE;19900204;0.0
MOE;19900205;0.0
MOE;19900206;0.0
MOE;19900207;0.0
MOE;19900208;1.8
MOE;19900209;0.0
MOE;19900210;7.4
MOE;19900211;1.3
MOE;19900212;2.9
MOE;19900213;5.5
MOE;19900214;14.7
MOE;19900215;2.7
MOE;19900216;3.9
MOE;19900217;0.2
MOE;19900218;0.0
MOE;19900219;0.0
MOE;19900220;0.0
MOE;19900221;0.0
MOE;19900222;0.0
MOE;19900223;0.0
MOE;19900224;0.0
MOE;19900225;0.0
MOE;19900226;11.7
MOE;19900227;15.6
MOE;19900228;12.0
MOE;19900301;1.7
MOE;19900302;0.0
MOE;19900303;0.0
MOE;19900304;0.0
MOE;19900305;0.0
MOE;19900306;0.0
MOE;19900307;0.0
MOE;19900308;2.1
MOE;19900309;0.0
MOE;19900310;0.0
MOE;19900311;0.0
MOE;19900312;0.0
MOE;19900313;0.0
MOE;19900314;5.7
MOE;19900315;0.0
MOE;19900316;0.0
MOE;19900317;0.0
MOE;19900318;0.0
MOE;19900319;0.0
MOE;19900320;1.6
MOE;19900321;0.0
MOE;19900322;2.3
MOE;19900323;0.0
MOE;19900324;3.2
MOE;19900325;2.1
MOE;19900326;1.4
MOE;19900327;7.2
MOE;19900328;8.7
MOE;19900329;0.4
MOE;19900330;0.0
MOE;19900331;0.0
MOE;19900401;0.0
MOE;19900402;0.0
MOE;19900403;8.6
MOE;19900404;0.0
MOE;19900405;8.5
MOE;19900406;0.6
MOE;19900407;1.7
MOE;19900408;1.4
MOE;19900409;0.8
MOE;19900410;1.9
MOE;19900411;4.8
MOE;19900412;0.6
MOE;19900413;9.5
MOE;19900414;9.7
MOE;19900415;8.8
MOE;19900416;2.8
MOE;19900417;8.2
MOE;19900418;0.4
MOE;19900419;0.0
MOE;19900420;0.0
MOE;19900421;0.0
MOE;19900422;9.7
MOE;19900423;14.0
MOE;19900424;3.8
MOE;19900425;2.5
MOE;19900426;8.1
MOE;19900427;4.9
MOE;19900428;0.0
MOE;19900429;0.0
MOE;19900430;0.0
MOE;19900501;0.0
MOE;19900502;0.0
MOE;19900503;0.0
MOE;19900504;0.0
MOE;19900505;0.0
MOE;19900506;0.7
MOE;19900507;0.6
MOE;19900508;0.1
MOE;19900509;1.2
MOE;19900510;5.5
MOE;19900511;8.2
MOE;19900512;0.0
MOE;19900513;5.6
MOE;19900514;0.3
MOE;19900515;1.1
MOE;19900516;0.0
MOE;19900517;0.0
MOE;19900518;0.0
MOE;19900519;0.0
MOE;19900520;2.1
MOE;19900521;3.0
MOE;19900522;0.2
MOE;19900523;0.4
MOE;19900524;4.8
MOE;19900525;0.1
MOE;19900526;0.0
MOE;19900527;0.0
MOE;19900528;0.0
MOE;19900529;0.0
MOE;19900530;0.0
MOE;19900531;0.0
MOE;19900601;2.3
MOE;19900602;27.3
MOE;19900603;11.3
MOE;19900604;0.5
MOE;19900605;6.7
MOE;19900606;1.6
MOE;19900607;15.6
MOE;19900608;7.8
MOE;19900609;5.7
MOE;19900610;0.6
MOE;19900611;0.0
MOE;19900612;24.0
MOE;19900613;0.2
MOE;19900614;0.0
MOE;19900615;0.0
MOE;19900616;0.0
MOE;19900617;3.2
MOE;19900618;9.4
MOE;19900619;51.8
MOE;19900620;29.3
MOE;19900621;0.5
MOE;19900622;6.8
MOE;19900623;0.7
MOE;19900624;0.0
MOE;19900625;0.0
MOE;19900626;0.0
MOE;19900627;10.2
MOE;19900628;0.0
MOE;19900629;1.1
MOE;19900630;18.3
MOE;19900701;0.0
MOE;19900702;0.0
MOE;19900703;14.4
MOE;19900704;1.4
MOE;19900705;15.3
MOE;19900706;0.0
MOE;19900707;13.3
MOE;19900708;0.0
MOE;19900709;0.8
MOE;19900710;0.0
MOE;19900711;0.0
MOE;19900712;0.0
MOE;19900713;0.0
MOE;19900714;0.0
MOE;19900715;0.0
MOE;19900716;0.0
MOE;19900717;0.0
MOE;19900718;0.0
MOE;19900719;0.0
MOE;19900720;0.0
MOE;19900721;0.0
MOE;19900722;0.0
MOE;19900723;0.0
MOE;19900724;0.0
MOE;19900725;0.0
MOE;19900726;0.0
MOE;19900727;0.0
MOE;19900728;4.5
MOE;19900729;23.2
MOE;19900730;9.5
MOE;19900731;0.0
MOE;19900801;0.0
MOE;19900802;0.0
MOE;19900803;0.0
MOE;19900804;0.0
MOE;19900805;0.0
MOE;19900806;0.0
MOE;19900807;0.0
MOE;19900808;0.0
MOE;19900809;0.0
MOE;19900810;0.0
MOE;19900811;0.0
MOE;19900812;0.0
MOE;19900813;1.2
MOE;19900814;16.7
MOE;19900815;0.3
MOE;19900816;2.4
MOE;19900817;0.0
MOE;19900818;0.0
MOE;19900819;0.0
MOE;19900820;0.0
MOE;19900821;0.0
MOE;19900822;0.0
MOE;19900823;0.0
MOE;19900824;0.0
MOE;19900825;12.3
MOE;19900826;1.6
MOE;19900827;0.0
MOE;19900828;0.0
MOE;19900829;1.3
MOE;19900830;11.6
MOE;19900831;7.8
MOE;19900901;0.0
MOE;19900902;0.5
MOE;19900903;2.7
MOE;19900904;0.9
MOE;19900905;0.0
MOE;19900906;5.2
MOE;19900907;1.5
MOE;19900908;0.1
MOE;19900909;0.0
MOE;19900910;0.3
MOE;19900911;0.0
MOE;19900912;0.0
MOE;19900913;0.0
MOE;19900914;0.0
MOE;19900915;0.0
MOE;19900916;0.0
MOE;19900917;0.0
MOE;19900918;0.0
MOE;19900919;0.0
MOE;19900920;0.0
MOE;19900921;0.1
MOE;19900922;39.1
MOE;19900923;15.9
MOE;19900924;0.0
MOE;19900925;0.0
MOE;19900926;0.0
MOE;19900927;0.0
MOE;19900928;0.0
MOE;19900929;0.2
MOE;19900930;25.8
MOE;19901001;5.4
MOE;19901002;0.0
MOE;19901003;12.9
MOE;19901004;13.9
MOE;19901005;0.0
MOE;19901006;0.0
MOE;19901007;0.0
MOE;19901008;0.0
MOE;19901009;0.0
MOE;19901010;0.0
MOE;19901011;0.0
MOE;19901012;0.0
MOE;19901013;0.0
MOE;19901014;0.0
MOE;19901015;0.0
MOE;19901016;1.1
MOE;19901017;0.0
MOE;19901018;0.0
MOE;19901019;0.0
MOE;19901020;0.0
MOE;19901021;0.0
MOE;19901022;0.0
MOE;19901023;0.0
MOE;19901024;0.0
MOE;19901025;1.2
MOE;19901026;6.4
MOE;19901027;1.1
MOE;19901028;15.6
MOE;19901029;22.1
MOE;19901030;3.6
MOE;19901031;5.6
MOE;19901101;2.4
MOE;19901102;6.8
MOE;19901103;5.5
MOE;19901104;16.9
MOE;19901105;0.7
MOE;19901106;0.0
