 

stn;time;rre150d0
MUR;19900101;0.0
MUR;19900102;0.0
MUR;19900103;0.0
MUR;19900104;0.0
MUR;19900105;1.5
MUR;19900106;2.0
MUR;19900107;0.0
MUR;19900108;0.0
MUR;19900109;0.0
MUR;19900110;0.0
MUR;19900111;0.0
MUR;19900112;0.0
MUR;19900113;0.0
MUR;19900114;0.0
MUR;19900115;0.7
MUR;19900116;0.0
MUR;19900117;1.0
MUR;19900118;1.9
MUR;19900119;0.0
MUR;19900120;2.7
MUR;19900121;0.0
MUR;19900122;0.0
MUR;19900123;0.8
MUR;19900124;4.7
MUR;19900125;10.5
MUR;19900126;2.8
MUR;19900127;0.0
MUR;19900128;5.4
MUR;19900129;0.0
MUR;19900130;0.0
MUR;19900131;0.0
MUR;19900201;0.0
MUR;19900202;6.6
MUR;19900203;0.6
MUR;19900204;0.0
MUR;19900205;0.0
MUR;19900206;0.0
MUR;19900207;0.0
MUR;19900208;0.2
MUR;19900209;0.0
MUR;19900210;10.6
MUR;19900211;4.2
MUR;19900212;5.5
MUR;19900213;14.8
MUR;19900214;28.0
MUR;19900215;7.7
MUR;19900216;6.0
MUR;19900217;0.4
MUR;19900218;0.0
MUR;19900219;0.0
MUR;19900220;0.0
MUR;19900221;0.0
MUR;19900222;0.0
MUR;19900223;0.0
MUR;19900224;0.0
MUR;19900225;0.0
MUR;19900226;12.0
MUR;19900227;14.8
MUR;19900228;14.4
MUR;19900301;5.7
MUR;19900302;0.2
MUR;19900303;0.0
MUR;19900304;0.0
MUR;19900305;0.0
MUR;19900306;0.0
MUR;19900307;0.0
MUR;19900308;0.5
MUR;19900309;0.0
MUR;19900310;0.0
MUR;19900311;0.0
MUR;19900312;0.0
MUR;19900313;0.0
MUR;19900314;6.4
MUR;19900315;0.0
MUR;19900316;0.0
MUR;19900317;0.0
MUR;19900318;0.0
MUR;19900319;0.0
MUR;19900320;4.7
MUR;19900321;0.0
MUR;19900322;14.2
MUR;19900323;0.0
MUR;19900324;0.0
MUR;19900325;3.0
MUR;19900326;0.9
MUR;19900327;13.9
MUR;19900328;3.4
MUR;19900329;0.0
MUR;19900330;0.0
MUR;19900331;0.0
MUR;19900401;0.0
MUR;19900402;0.0
MUR;19900403;7.5
MUR;19900404;0.0
MUR;19900405;1.6
MUR;19900406;0.1
MUR;19900407;0.9
MUR;19900408;2.7
MUR;19900409;0.8
MUR;19900410;0.2
MUR;19900411;7.3
MUR;19900412;1.5
MUR;19900413;0.1
MUR;19900414;4.3
MUR;19900415;8.2
MUR;19900416;0.2
MUR;19900417;7.5
MUR;19900418;2.6
MUR;19900419;0.2
MUR;19900420;0.0
MUR;19900421;0.0
MUR;19900422;12.7
MUR;19900423;11.0
MUR;19900424;0.6
MUR;19900425;8.8
MUR;19900426;2.2
MUR;19900427;0.5
MUR;19900428;0.0
MUR;19900429;0.0
MUR;19900430;0.0
MUR;19900501;0.0
MUR;19900502;0.0
MUR;19900503;0.0
MUR;19900504;0.0
MUR;19900505;0.0
MUR;19900506;0.9
MUR;19900507;6.5
MUR;19900508;0.1
MUR;19900509;3.0
MUR;19900510;6.3
MUR;19900511;10.5
MUR;19900512;0.0
MUR;19900513;9.0
MUR;19900514;1.4
MUR;19900515;0.5
MUR;19900516;8.7
MUR;19900517;0.0
MUR;19900518;0.2
MUR;19900519;3.2
MUR;19900520;1.5
MUR;19900521;11.0
MUR;19900522;0.3
MUR;19900523;0.1
MUR;19900524;30.2
MUR;19900525;10.0
MUR;19900526;0.0
MUR;19900527;0.0
MUR;19900528;0.0
MUR;19900529;0.0
MUR;19900530;0.0
MUR;19900531;0.0
MUR;19900601;0.0
MUR;19900602;15.6
MUR;19900603;6.2
MUR;19900604;13.2
MUR;19900605;13.6
MUR;19900606;0.0
MUR;19900607;8.8
MUR;19900608;14.0
MUR;19900609;10.4
MUR;19900610;4.3
MUR;19900611;0.0
MUR;19900612;8.5
MUR;19900613;10.5
