 

stn;time;rre150d0
NIE;19900101;0.0
NIE;19900102;0.0
NIE;19900103;0.0
NIE;19900104;0.0
NIE;19900105;0.5
NIE;19900106;1.3
NIE;19900107;0.0
NIE;19900108;0.0
NIE;19900109;0.0
NIE;19900110;0.0
NIE;19900111;0.0
NIE;19900112;0.0
NIE;19900113;0.0
NIE;19900114;0.0
NIE;19900115;0.5
NIE;19900116;0.0
NIE;19900117;5.5
NIE;19900118;1.4
NIE;19900119;0.0
NIE;19900120;0.2
NIE;19900121;0.0
NIE;19900122;0.0
NIE;19900123;4.3
NIE;19900124;1.7
NIE;19900125;16.8
NIE;19900126;0.0
NIE;19900127;0.0
NIE;19900128;4.6
NIE;19900129;0.0
NIE;19900130;0.0
NIE;19900131;0.0
NIE;19900201;0.0
NIE;19900202;6.9
NIE;19900203;0.0
NIE;19900204;0.0
NIE;19900205;0.0
NIE;19900206;0.0
NIE;19900207;0.0
NIE;19900208;0.6
NIE;19900209;0.0
NIE;19900210;6.7
NIE;19900211;2.2
NIE;19900212;2.8
NIE;19900213;17.1
NIE;19900214;29.1
NIE;19900215;6.2
NIE;19900216;1.6
NIE;19900217;0.0
NIE;19900218;0.0
NIE;19900219;0.0
NIE;19900220;0.0
NIE;19900221;0.0
NIE;19900222;0.0
NIE;19900223;0.0
NIE;19900224;0.0
NIE;19900225;0.0
NIE;19900226;16.3
NIE;19900227;16.8
NIE;19900228;9.3
NIE;19900301;1.8
NIE;19900302;0.2
NIE;19900303;0.0
NIE;19900304;0.0
NIE;19900305;0.0
NIE;19900306;0.0
NIE;19900307;0.0
NIE;19900308;0.0
NIE;19900309;0.0
NIE;19900310;0.0
NIE;19900311;0.0
NIE;19900312;0.0
NIE;19900313;0.0
NIE;19900314;4.7
NIE;19900315;0.0
NIE;19900316;0.0
NIE;19900317;0.0
NIE;19900318;0.0
NIE;19900319;0.0
NIE;19900320;2.0
NIE;19900321;0.0
NIE;19900322;8.8
NIE;19900323;0.0
NIE;19900324;2.2
NIE;19900325;1.6
NIE;19900326;0.0
NIE;19900327;13.7
NIE;19900328;4.6
NIE;19900329;1.7
NIE;19900330;0.0
NIE;19900331;0.0
NIE;19900401;0.0
NIE;19900402;0.0
NIE;19900403;9.8
NIE;19900404;0.0
NIE;19900405;5.4
NIE;19900406;0.0
NIE;19900407;2.9
NIE;19900408;4.0
NIE;19900409;1.2
NIE;19900410;0.2
NIE;19900411;3.9
NIE;19900412;0.0
NIE;19900413;0.0
NIE;19900414;1.5
NIE;19900415;7.6
NIE;19900416;1.7
NIE;19900417;1.6
NIE;19900418;0.0
NIE;19900419;0.0
NIE;19900420;0.0
NIE;19900421;0.0
NIE;19900422;2.6
NIE;19900423;11.0
NIE;19900424;1.3
NIE;19900425;2.5
NIE;19900426;0.7
NIE;19900427;0.2
NIE;19900428;0.0
NIE;19900429;0.0
NIE;19900430;0.0
NIE;19900501;0.0
NIE;19900502;0.0
NIE;19900503;0.0
NIE;19900504;0.0
NIE;19900505;0.0
NIE;19900506;1.6
NIE;19900507;0.0
NIE;19900508;0.0
NIE;19900509;0.0
NIE;19900510;5.0
NIE;19900511;10.7
NIE;19900512;0.0
NIE;19900513;4.8
NIE;19900514;0.0
NIE;19900515;0.0
NIE;19900516;0.0
NIE;19900517;0.0
NIE;19900518;0.0
NIE;19900519;0.0
NIE;19900520;5.4
NIE;19900521;8.9
NIE;19900522;0.0
NIE;19900523;0.7
NIE;19900524;23.0
NIE;19900525;2.4
NIE;19900526;0.0
NIE;19900527;0.0
NIE;19900528;1.5
NIE;19900529;0.0
NIE;19900530;0.0
NIE;19900531;0.0
NIE;19900601;0.0
NIE;19900602;13.5
NIE;19900603;5.5
NIE;19900604;0.3
NIE;19900605;18.9
NIE;19900606;0.0
NIE;19900607;10.9
NIE;19900608;16.9
NIE;19900609;14.8
NIE;19900610;5.0
NIE;19900611;0.0
NIE;19900612;4.6
NIE;19900613;3.4
NIE;19900614;0.0
NIE;19900615;0.0
NIE;19900616;0.0
NIE;19900617;0.4
NIE;19900618;0.0
NIE;19900619;11.1
NIE;19900620;21.3
NIE;19900621;2.6
NIE;19900622;3.6
NIE;19900623;0.0
NIE;19900624;0.0
NIE;19900625;0.0
NIE;19900626;0.0
NIE;19900627;5.1
NIE;19900628;0.0
NIE;19900629;3.5
NIE;19900630;14.9
NIE;19900701;0.0
NIE;19900702;0.0
NIE;19900703;15.2
NIE;19900704;0.0
NIE;19900705;12.7
NIE;19900706;0.0
NIE;19900707;13.4
NIE;19900708;1.6
NIE;19900709;1.7
NIE;19900710;0.0
NIE;19900711;0.0
NIE;19900712;0.0
NIE;19900713;0.0
NIE;19900714;0.0
NIE;19900715;0.0
NIE;19900716;0.0
NIE;19900717;0.3
NIE;19900718;0.0
NIE;19900719;0.0
NIE;19900720;0.0
NIE;19900721;0.0
NIE;19900722;0.0
NIE;19900723;0.0
NIE;19900724;0.0
NIE;19900725;0.0
NIE;19900726;0.0
NIE;19900727;0.0
NIE;19900728;0.0
NIE;19900729;10.3
NIE;19900730;14.6
NIE;19900731;0.0
NIE;19900801;0.0
NIE;19900802;0.0
NIE;19900803;0.0
NIE;19900804;0.0
NIE;19900805;0.0
NIE;19900806;0.0
NIE;19900807;0.0
NIE;19900808;0.0
NIE;19900809;0.0
NIE;19900810;0.0
NIE;19900811;0.0
NIE;19900812;0.0
NIE;19900813;0.0
NIE;19900814;14.6
NIE;19900815;0.0
NIE;19900816;6.7
NIE;19900817;0.2
NIE;19900818;0.0
