 

stn;time;rre150d0
OED;19900101;0.0
OED;19900102;0.2
OED;19900103;0.0
OED;19900104;0.0
OED;19900105;3.5
OED;19900106;0.5
OED;19900107;0.0
OED;19900108;0.0
OED;19900109;0.0
OED;19900110;0.0
OED;19900111;0.0
OED;19900112;0.0
OED;19900113;0.0
OED;19900114;0.0
OED;19900115;0.6
OED;19900116;0.0
OED;19900117;4.2
OED;19900118;2.9
OED;19900119;0.0
OED;19900120;2.0
OED;19900121;0.2
OED;19900122;0.0
OED;19900123;2.6
OED;19900124;3.7
OED;19900125;17.4
OED;19900126;0.4
OED;19900127;0.0
OED;19900128;7.9
OED;19900129;0.0
OED;19900130;0.0
OED;19900131;0.0
OED;19900201;0.0
OED;19900202;2.7
OED;19900203;0.2
OED;19900204;0.0
OED;19900205;0.0
OED;19900206;0.0
OED;19900207;0.0
OED;19900208;0.2
OED;19900209;0.0
OED;19900210;7.5
OED;19900211;2.9
OED;19900212;6.7
OED;19900213;25.5
OED;19900214;66.3
OED;19900215;6.0
OED;19900216;3.8
OED;19900217;0.3
OED;19900218;0.0
OED;19900219;0.0
OED;19900220;0.0
OED;19900221;0.0
OED;19900222;0.0
OED;19900223;0.0
OED;19900224;0.0
OED;19900225;0.0
OED;19900226;28.5
OED;19900227;27.1
OED;19900228;22.0
OED;19900301;3.2
OED;19900302;0.5
OED;19900303;0.0
OED;19900304;0.0
OED;19900305;0.0
OED;19900306;0.0
OED;19900307;0.0
OED;19900308;0.1
OED;19900309;0.0
OED;19900310;0.0
OED;19900311;0.0
OED;19900312;0.0
OED;19900313;0.0
OED;19900314;5.2
OED;19900315;0.0
OED;19900316;0.0
OED;19900317;0.0
OED;19900318;0.0
OED;19900319;0.0
OED;19900320;2.0
OED;19900321;0.0
OED;19900322;6.2
OED;19900323;0.0
OED;19900324;3.4
OED;19900325;0.0
OED;19900326;0.0
OED;19900327;11.7
OED;19900328;5.8
OED;19900329;1.1
OED;19900330;0.0
OED;19900331;0.0
OED;19900401;0.0
OED;19900402;0.0
OED;19900403;6.0
OED;19900404;0.0
OED;19900405;0.0
OED;19900406;1.5
OED;19900407;10.6
OED;19900408;3.0
OED;19900409;0.0
OED;19900410;0.9
OED;19900411;5.0
OED;19900412;0.0
OED;19900413;2.4
OED;19900414;4.7
OED;19900415;6.4
OED;19900416;2.2
OED;19900417;1.3
OED;19900418;4.6
OED;19900419;0.0
OED;19900420;0.0
OED;19900421;0.0
OED;19900422;9.0
OED;19900423;14.6
OED;19900424;6.8
OED;19900425;2.9
OED;19900426;0.3
OED;19900427;0.6
OED;19900428;0.0
OED;19900429;0.0
OED;19900430;0.0
OED;19900501;0.0
OED;19900502;0.0
OED;19900503;0.0
OED;19900504;0.0
OED;19900505;0.0
OED;19900506;3.4
OED;19900507;0.0
OED;19900508;6.0
OED;19900509;0.0
OED;19900510;1.4
OED;19900511;12.4
OED;19900512;0.5
OED;19900513;10.4
OED;19900514;0.0
OED;19900515;0.0
OED;19900516;0.0
OED;19900517;0.0
OED;19900518;0.0
OED;19900519;6.2
OED;19900520;0.1
OED;19900521;5.0
OED;19900522;8.8
OED;19900523;1.8
OED;19900524;19.5
OED;19900525;0.0
OED;19900526;0.0
OED;19900527;0.0
OED;19900528;0.0
OED;19900529;0.0
OED;19900530;0.0
OED;19900531;0.0
OED;19900601;1.0
OED;19900602;21.9
OED;19900603;13.1
OED;19900604;0.8
OED;19900605;13.5
OED;19900606;0.0
OED;19900607;21.0
OED;19900608;33.0
OED;19900609;7.7
OED;19900610;2.0
OED;19900611;0.0
OED;19900612;12.3
OED;19900613;0.6
OED;19900614;0.0
OED;19900615;0.0
OED;19900616;0.0
OED;19900617;2.0
OED;19900618;4.9
OED;19900619;5.2
OED;19900620;29.8
OED;19900621;1.0
OED;19900622;8.8
OED;19900623;0.0
OED;19900624;0.0
OED;19900625;0.0
OED;19900626;0.0
OED;19900627;3.8
OED;19900628;0.0
OED;19900629;7.5
OED;19900630;25.0
OED;19900701;0.0
OED;19900702;0.0
OED;19900703;16.0
OED;19900704;0.2
OED;19900705;14.6
OED;19900706;0.0
OED;19900707;7.5
OED;19900708;0.3
OED;19900709;0.6
OED;19900710;0.0
OED;19900711;0.0
OED;19900712;0.0
OED;19900713;0.0
OED;19900714;0.0
OED;19900715;0.0
OED;19900716;0.0
OED;19900717;0.0
OED;19900718;0.0
OED;19900719;0.0
OED;19900720;0.0
OED;19900721;0.0
OED;19900722;0.0
OED;19900723;0.0
OED;19900724;0.0
OED;19900725;0.0
OED;19900726;0.0
OED;19900727;0.0
OED;19900728;0.0
OED;19900729;20.8
OED;19900730;3.5
OED;19900731;0.2
OED;19900801;0.0
OED;19900802;0.0
OED;19900803;0.0
OED;19900804;0.0
OED;19900805;0.0
OED;19900806;0.0
OED;19900807;0.0
OED;19900808;0.0
OED;19900809;0.0
OED;19900810;0.0
OED;19900811;0.0
OED;19900812;0.0
OED;19900813;0.5
OED;19900814;18.4
OED;19900815;1.1
OED;19900816;4.4
OED;19900817;1.0
OED;19900818;0.0
OED;19900819;0.0
OED;19900820;0.0
OED;19900821;0.0
OED;19900822;0.0
OED;19900823;0.0
OED;19900824;0.0
OED;19900825;23.7
OED;19900826;0.8
OED;19900827;0.0
OED;19900828;0.0
OED;19900829;2.3
OED;19900830;21.2
OED;19900831;14.6
OED;19900901;0.0
OED;19900902;0.1
OED;19900903;2.7
OED;19900904;2.0
OED;19900905;0.1
OED;19900906;0.0
OED;19900907;10.9
OED;19900908;0.0
OED;19900909;0.0
OED;19900910;1.6
OED;19900911;0.0
OED;19900912;0.0
OED;19900913;0.0
OED;19900914;3.0
OED;19900915;0.0
OED;19900916;0.0
OED;19900917;0.0
OED;19900918;0.0
OED;19900919;0.0
OED;19900920;0.0
OED;19900921;3.4
OED;19900922;28.9
OED;19900923;18.5
OED;19900924;0.2
OED;19900925;0.0
OED;19900926;0.0
OED;19900927;0.0
OED;19900928;0.0
OED;19900929;1.6
OED;19900930;18.1
OED;19901001;26.5
OED;19901002;0.2
OED;19901003;2.7
OED;19901004;23.3
OED;19901005;0.0
OED;19901006;0.0
OED;19901007;2.2
OED;19901008;0.0
OED;19901009;0.0
OED;19901010;0.3
OED;19901011;0.0
OED;19901012;0.0
OED;19901013;0.2
OED;19901014;0.0
OED;19901015;0.0
OED;19901016;0.5
OED;19901017;5.8
OED;19901018;0.1
OED;19901019;0.0
OED;19901020;0.0
OED;19901021;0.0
OED;19901022;0.0
OED;19901023;0.0
OED;19901024;0.0
OED;19901025;1.0
OED;19901026;3.4
OED;19901027;0.4
OED;19901028;21.2
OED;19901029;28.7
OED;19901030;12.8
OED;19901031;15.4
OED;19901101;6.5
OED;19901102;8.1
OED;19901103;3.0
OED;19901104;11.6
OED;19901105;0.2
OED;19901106;0.0
OED;19901107;0.0
OED;19901108;0.0
OED;19901109;0.0
OED;19901110;4.5
OED;19901111;16.2
OED;19901112;0.0
OED;19901113;0.0
OED;19901114;20.1
OED;19901115;12.6
OED;19901116;0.0
OED;19901117;4.7
OED;19901118;4.6
OED;19901119;2.0
OED;19901120;8.4
OED;19901121;12.8
OED;19901122;21.6
OED;19901123;7.5
OED;19901124;7.3
OED;19901125;0.0
OED;19901126;1.0
OED;19901127;2.0
OED;19901128;1.0
OED;19901129;0.7
OED;19901130;1.3
OED;19901201;0.0
OED;19901202;0.0
OED;19901203;0.0
OED;19901204;0.7
OED;19901205;0.0
OED;19901206;0.0
OED;19901207;0.0
OED;19901208;0.0
OED;19901209;0.0
OED;19901210;13.9
OED;19901211;0.0
OED;19901212;7.8
OED;19901213;5.2
OED;19901214;0.2
OED;19901215;0.0
OED;19901216;0.0
OED;19901217;0.0
OED;19901218;0.0
OED;19901219;1.0
OED;19901220;1.5
OED;19901221;13.7
OED;19901222;0.2
OED;19901223;0.4
OED;19901224;0.0
OED;19901225;2.6
OED;19901226;7.2
OED;19901227;1.0
OED;19901228;2.5
OED;19901229;0.8
OED;19901230;13.4
OED;19901231;13.9
OED;19910101;2.8
OED;19910102;16.1
OED;19910103;0.2
OED;19910104;5.2
OED;19910105;3.6
OED;19910106;1.8
OED;19910107;7.5
OED;19910108;0.0
OED;19910109;0.0
OED;19910110;0.0
OED;19910111;9.8
OED;19910112;7.6
OED;19910113;5.2
OED;19910114;0.0
OED;19910115;0.0
OED;19910116;0.0
OED;19910117;0.0
OED;19910118;0.0
OED;19910119;2.2
OED;19910120;0.0
OED;19910121;1.6
OED;19910122;0.0
OED;19910123;0.0
OED;19910124;0.0
OED;19910125;0.0
OED;19910126;0.0
OED;19910127;0.0
OED;19910128;0.0
OED;19910129;0.0
OED;19910130;0.0
OED;19910131;0.0
OED;19910201;0.0
OED;19910202;0.0
OED;19910203;0.0
OED;19910204;0.0
OED;19910205;0.0
OED;19910206;0.0
OED;19910207;0.0
OED;19910208;2.9
OED;19910209;12.9
OED;19910210;0.0
OED;19910211;0.6
OED;19910212;1.1
OED;19910213;0.2
OED;19910214;0.3
OED;19910215;6.0
OED;19910216;0.5
OED;19910217;0.0
OED;19910218;0.0
OED;19910219;0.0
OED;19910220;0.0
OED;19910221;0.0
OED;19910222;0.1
OED;19910223;0.0
OED;19910224;0.0
OED;19910225;0.0
OED;19910226;0.0
OED;19910227;3.3
OED;19910228;1.5
OED;19910301;0.2
OED;19910302;13.4
OED;19910303;0.0
OED;19910304;0.0
OED;19910305;0.0
OED;19910306;0.0
OED;19910307;0.0
OED;19910308;0.0
OED;19910309;16.2
OED;19910310;0.5
OED;19910311;0.8
OED;19910312;0.0
OED;19910313;0.0
OED;19910314;0.0
OED;19910315;0.0
OED;19910316;0.0
OED;19910317;0.0
OED;19910318;1.5
OED;19910319;18.6
OED;19910320;0.0
OED;19910321;5.3
OED;19910322;17.9
OED;19910323;0.0
OED;19910324;0.0
OED;19910325;0.4
OED;19910326;6.3
OED;19910327;0.0
OED;19910328;0.0
OED;19910329;0.0
