 

stn;time;rre150d0
OPF;19900101;0.0
OPF;19900102;0.0
OPF;19900103;0.0
OPF;19900104;0.0
OPF;19900105;1.0
OPF;19900106;1.9
OPF;19900107;0.0
OPF;19900108;0.0
OPF;19900109;0.0
OPF;19900110;0.0
OPF;19900111;0.0
OPF;19900112;0.0
OPF;19900113;0.0
OPF;19900114;0.0
OPF;19900115;0.4
OPF;19900116;0.0
OPF;19900117;3.6
OPF;19900118;2.0
OPF;19900119;0.0
OPF;19900120;0.6
OPF;19900121;0.0
OPF;19900122;0.0
OPF;19900123;1.4
OPF;19900124;2.1
OPF;19900125;17.9
OPF;19900126;1.5
OPF;19900127;0.0
OPF;19900128;5.1
OPF;19900129;0.0
OPF;19900130;0.0
OPF;19900131;0.0
OPF;19900201;0.0
OPF;19900202;7.5
OPF;19900203;0.0
OPF;19900204;0.0
OPF;19900205;0.0
OPF;19900206;0.0
OPF;19900207;0.0
OPF;19900208;0.1
OPF;19900209;0.0
OPF;19900210;13.0
OPF;19900211;2.5
OPF;19900212;11.4
OPF;19900213;32.7
OPF;19900214;54.1
OPF;19900215;14.8
OPF;19900216;4.6
OPF;19900217;0.8
OPF;19900218;0.0
OPF;19900219;0.0
OPF;19900220;0.0
OPF;19900221;0.0
OPF;19900222;0.0
OPF;19900223;0.0
OPF;19900224;0.0
OPF;19900225;0.0
OPF;19900226;31.6
OPF;19900227;29.5
OPF;19900228;16.8
OPF;19900301;3.1
OPF;19900302;0.8
OPF;19900303;0.0
OPF;19900304;0.0
OPF;19900305;0.0
OPF;19900306;0.0
OPF;19900307;0.0
OPF;19900308;0.0
OPF;19900309;0.0
OPF;19900310;0.0
OPF;19900311;0.0
OPF;19900312;0.0
OPF;19900313;0.0
OPF;19900314;4.5
OPF;19900315;0.0
OPF;19900316;0.0
OPF;19900317;0.0
OPF;19900318;0.0
OPF;19900319;0.0
OPF;19900320;1.4
OPF;19900321;0.0
OPF;19900322;8.0
OPF;19900323;0.2
OPF;19900324;0.7
OPF;19900325;3.3
OPF;19900326;0.2
OPF;19900327;14.2
OPF;19900328;4.0
OPF;19900329;1.1
OPF;19900330;0.0
OPF;19900331;0.0
OPF;19900401;0.0
OPF;19900402;0.0
OPF;19900403;12.7
OPF;19900404;0.0
OPF;19900405;2.3
OPF;19900406;0.3
OPF;19900407;0.7
OPF;19900408;2.5
OPF;19900409;0.6
OPF;19900410;0.0
OPF;19900411;5.3
OPF;19900412;2.0
OPF;19900413;0.0
OPF;19900414;1.4
OPF;19900415;15.4
OPF;19900416;1.2
OPF;19900417;1.2
OPF;19900418;0.5
OPF;19900419;0.0
OPF;19900420;0.0
OPF;19900421;0.0
OPF;19900422;3.5
OPF;19900423;13.0
OPF;19900424;2.5
OPF;19900425;3.9
OPF;19900426;5.0
OPF;19900427;0.5
OPF;19900428;0.0
OPF;19900429;0.0
OPF;19900430;0.0
OPF;19900501;0.0
OPF;19900502;0.0
OPF;19900503;0.0
OPF;19900504;0.0
OPF;19900505;0.0
OPF;19900506;16.9
OPF;19900507;1.2
OPF;19900508;1.7
OPF;19900509;1.2
OPF;19900510;14.3
OPF;19900511;12.0
OPF;19900512;0.0
OPF;19900513;10.7
OPF;19900514;1.1
OPF;19900515;0.0
OPF;19900516;0.0
OPF;19900517;0.0
OPF;19900518;0.5
OPF;19900519;1.6
OPF;19900520;0.4
OPF;19900521;9.3
OPF;19900522;4.8
OPF;19900523;2.3
OPF;19900524;24.7
OPF;19900525;1.0
OPF;19900526;0.0
OPF;19900527;0.0
OPF;19900528;2.4
OPF;19900529;0.0
OPF;19900530;0.0
OPF;19900531;0.0
OPF;19900601;0.0
OPF;19900602;22.8
OPF;19900603;9.4
OPF;19900604;3.9
OPF;19900605;16.5
OPF;19900606;0.0
OPF;19900607;11.2
OPF;19900608;8.5
OPF;19900609;12.4
OPF;19900610;13.5
OPF;19900611;0.0
OPF;19900612;10.2
OPF;19900613;1.5
OPF;19900614;0.0
OPF;19900615;0.0
OPF;19900616;0.0
OPF;19900617;2.6
OPF;19900618;0.5
OPF;19900619;2.8
OPF;19900620;22.0
OPF;19900621;1.2
OPF;19900622;9.7
OPF;19900623;0.8
OPF;19900624;0.0
OPF;19900625;0.0
OPF;19900626;0.0
OPF;19900627;12.8
OPF;19900628;0.0
OPF;19900629;8.2
OPF;19900630;14.4
OPF;19900701;0.0
OPF;19900702;0.0
OPF;19900703;9.3
OPF;19900704;0.2
OPF;19900705;9.8
OPF;19900706;0.0
OPF;19900707;11.1
OPF;19900708;1.5
OPF;19900709;0.6
OPF;19900710;0.0
OPF;19900711;0.0
OPF;19900712;0.0
OPF;19900713;0.0
OPF;19900714;0.0
OPF;19900715;0.0
OPF;19900716;0.0
OPF;19900717;0.0
OPF;19900718;0.0
OPF;19900719;0.0
OPF;19900720;0.0
OPF;19900721;0.0
OPF;19900722;0.0
OPF;19900723;0.0
OPF;19900724;0.0
OPF;19900725;0.0
OPF;19900726;0.0
OPF;19900727;0.0
OPF;19900728;0.0
OPF;19900729;35.8
OPF;19900730;9.0
OPF;19900731;0.0
OPF;19900801;0.0
OPF;19900802;0.0
OPF;19900803;0.0
OPF;19900804;0.0
OPF;19900805;0.2
OPF;19900806;0.0
OPF;19900807;0.0
OPF;19900808;0.0
OPF;19900809;0.0
OPF;19900810;0.0
OPF;19900811;0.0
OPF;19900812;0.0
OPF;19900813;0.0
OPF;19900814;11.8
OPF;19900815;0.3
OPF;19900816;8.5
OPF;19900817;0.0
OPF;19900818;0.0
OPF;19900819;0.0
OPF;19900820;0.0
OPF;19900821;0.0
OPF;19900822;0.0
OPF;19900823;0.0
OPF;19900824;0.0
OPF;19900825;24.5
OPF;19900826;0.8
OPF;19900827;0.0
OPF;19900828;0.0
OPF;19900829;1.5
OPF;19900830;9.5
OPF;19900831;15.8
OPF;19900901;0.0
OPF;19900902;0.0
OPF;19900903;2.4
OPF;19900904;4.7
OPF;19900905;0.0
OPF;19900906;3.4
OPF;19900907;8.6
OPF;19900908;0.0
OPF;19900909;0.0
OPF;19900910;2.6
OPF;19900911;0.0
OPF;19900912;0.0
OPF;19900913;0.0
OPF;19900914;4.8
OPF;19900915;0.0
OPF;19900916;0.0
OPF;19900917;0.0
OPF;19900918;0.0
OPF;19900919;0.0
OPF;19900920;0.0
OPF;19900921;2.6
OPF;19900922;26.5
OPF;19900923;34.1
OPF;19900924;0.0
OPF;19900925;0.0
OPF;19900926;0.0
OPF;19900927;0.0
OPF;19900928;0.0
OPF;19900929;0.0
OPF;19900930;16.4
OPF;19901001;19.9
OPF;19901002;0.0
OPF;19901003;2.5
OPF;19901004;17.5
OPF;19901005;0.0
OPF;19901006;0.0
OPF;19901007;4.4
OPF;19901008;0.0
OPF;19901009;0.0
OPF;19901010;0.0
OPF;19901011;0.0
OPF;19901012;0.0
OPF;19901013;0.0
OPF;19901014;0.0
OPF;19901015;0.0
OPF;19901016;0.0
OPF;19901017;3.3
OPF;19901018;0.0
OPF;19901019;0.0
OPF;19901020;0.0
OPF;19901021;0.0
OPF;19901022;0.0
OPF;19901023;0.0
OPF;19901024;0.0
OPF;19901025;0.9
OPF;19901026;1.6
OPF;19901027;0.0
OPF;19901028;19.7
OPF;19901029;40.5
OPF;19901030;10.8
OPF;19901031;19.4
OPF;19901101;6.0
OPF;19901102;3.5
OPF;19901103;5.4
OPF;19901104;13.7
OPF;19901105;0.6
OPF;19901106;0.0
OPF;19901107;0.0
OPF;19901108;0.0
OPF;19901109;0.0
OPF;19901110;4.1
OPF;19901111;19.8
OPF;19901112;0.0
OPF;19901113;5.3
OPF;19901114;15.3
OPF;19901115;13.4
OPF;19901116;0.0
OPF;19901117;0.8
