 

stn;time;rre150d0
OTE;19900101;0.0
OTE;19900102;0.0
OTE;19900103;0.0
OTE;19900104;0.0
OTE;19900105;1.5
OTE;19900106;2.5
OTE;19900107;0.0
OTE;19900108;0.0
OTE;19900109;0.0
OTE;19900110;0.0
OTE;19900111;0.0
OTE;19900112;0.0
OTE;19900113;0.0
OTE;19900114;0.0
OTE;19900115;0.4
OTE;19900116;0.2
OTE;19900117;2.9
OTE;19900118;1.0
OTE;19900119;0.0
OTE;19900120;1.6
OTE;19900121;0.0
OTE;19900122;0.0
OTE;19900123;1.4
OTE;19900124;1.8
OTE;19900125;13.8
OTE;19900126;1.3
OTE;19900127;0.0
OTE;19900128;5.5
OTE;19900129;0.0
OTE;19900130;0.0
OTE;19900131;0.0
OTE;19900201;0.0
OTE;19900202;4.0
OTE;19900203;0.2
OTE;19900204;0.0
OTE;19900205;0.0
OTE;19900206;0.0
OTE;19900207;0.0
OTE;19900208;0.4
OTE;19900209;0.0
OTE;19900210;9.2
OTE;19900211;3.6
OTE;19900212;8.5
OTE;19900213;22.6
OTE;19900214;57.0
OTE;19900215;11.0
OTE;19900216;3.2
OTE;19900217;0.5
OTE;19900218;0.0
OTE;19900219;0.0
OTE;19900220;0.0
OTE;19900221;0.0
OTE;19900222;0.0
OTE;19900223;0.0
OTE;19900224;0.0
OTE;19900225;0.0
OTE;19900226;24.8
OTE;19900227;25.9
OTE;19900228;19.4
OTE;19900301;0.2
OTE;19900302;0.3
OTE;19900303;0.0
OTE;19900304;0.0
OTE;19900305;0.0
OTE;19900306;0.0
OTE;19900307;0.0
OTE;19900308;0.2
OTE;19900309;0.0
OTE;19900310;0.0
OTE;19900311;0.0
OTE;19900312;0.0
OTE;19900313;0.0
OTE;19900314;4.8
OTE;19900315;0.0
OTE;19900316;0.0
OTE;19900317;0.0
OTE;19900318;0.0
OTE;19900319;0.0
OTE;19900320;1.9
OTE;19900321;0.0
OTE;19900322;7.1
OTE;19900323;0.0
OTE;19900324;1.2
OTE;19900325;5.1
OTE;19900326;1.1
OTE;19900327;13.6
OTE;19900328;3.8
OTE;19900329;0.6
OTE;19900330;0.0
OTE;19900331;0.0
OTE;19900401;0.0
OTE;19900402;0.0
OTE;19900403;9.6
OTE;19900404;0.0
OTE;19900405;3.4
OTE;19900406;0.9
OTE;19900407;2.7
OTE;19900408;3.5
OTE;19900409;0.7
OTE;19900410;0.0
OTE;19900411;5.2
OTE;19900412;0.3
OTE;19900413;0.1
OTE;19900414;2.7
OTE;19900415;16.9
OTE;19900416;1.1
OTE;19900417;0.1
OTE;19900418;0.3
OTE;19900419;0.0
OTE;19900420;0.0
OTE;19900421;0.0
OTE;19900422;5.6
OTE;19900423;14.0
OTE;19900424;5.0
OTE;19900425;4.3
OTE;19900426;7.2
OTE;19900427;0.0
OTE;19900428;0.0
OTE;19900429;0.0
OTE;19900430;0.0
OTE;19900501;0.0
OTE;19900502;0.0
OTE;19900503;0.0
OTE;19900504;0.0
OTE;19900505;0.0
OTE;19900506;14.5
OTE;19900507;0.0
OTE;19900508;1.8
OTE;19900509;0.0
OTE;19900510;5.5
OTE;19900511;10.6
OTE;19900512;0.1
OTE;19900513;13.4
OTE;19900514;0.7
OTE;19900515;0.0
OTE;19900516;0.0
OTE;19900517;0.0
OTE;19900518;0.8
OTE;19900519;1.6
OTE;19900520;1.2
OTE;19900521;6.8
OTE;19900522;6.0
OTE;19900523;0.0
OTE;19900524;20.4
OTE;19900525;1.0
OTE;19900526;0.0
OTE;19900527;0.0
OTE;19900528;0.7
OTE;19900529;0.0
OTE;19900530;0.0
OTE;19900531;0.0
OTE;19900601;0.0
OTE;19900602;20.6
OTE;19900603;8.7
OTE;19900604;3.0
OTE;19900605;10.6
OTE;19900606;0.2
OTE;19900607;9.6
OTE;19900608;18.2
OTE;19900609;14.0
OTE;19900610;11.5
OTE;19900611;0.0
OTE;19900612;8.7
OTE;19900613;0.7
OTE;19900614;0.0
OTE;19900615;0.0
OTE;19900616;0.0
OTE;19900617;0.8
OTE;19900618;0.7
OTE;19900619;5.1
OTE;19900620;21.7
OTE;19900621;1.0
OTE;19900622;6.9
OTE;19900623;0.8
OTE;19900624;0.0
OTE;19900625;0.0
OTE;19900626;0.0
OTE;19900627;9.5
OTE;19900628;0.0
OTE;19900629;4.9
OTE;19900630;20.5
OTE;19900701;1.3
OTE;19900702;0.0
OTE;19900703;11.1
OTE;19900704;0.2
OTE;19900705;12.6
OTE;19900706;0.0
OTE;19900707;6.5
OTE;19900708;1.0
OTE;19900709;0.5
OTE;19900710;0.0
OTE;19900711;0.0
OTE;19900712;0.0
OTE;19900713;0.0
OTE;19900714;0.0
OTE;19900715;0.0
OTE;19900716;0.0
OTE;19900717;0.0
OTE;19900718;0.0
OTE;19900719;0.0
OTE;19900720;0.0
OTE;19900721;0.0
OTE;19900722;0.0
OTE;19900723;0.0
OTE;19900724;0.0
OTE;19900725;0.0
OTE;19900726;0.0
OTE;19900727;0.0
OTE;19900728;0.0
OTE;19900729;44.0
OTE;19900730;6.4
OTE;19900731;0.0
OTE;19900801;0.0
OTE;19900802;0.0
OTE;19900803;0.0
OTE;19900804;0.0
OTE;19900805;0.1
OTE;19900806;0.0
OTE;19900807;1.3
OTE;19900808;0.0
OTE;19900809;0.0
OTE;19900810;0.0
OTE;19900811;0.0
OTE;19900812;0.0
OTE;19900813;0.1
OTE;19900814;20.2
OTE;19900815;4.9
OTE;19900816;0.0
OTE;19900817;5.9
OTE;19900818;0.0
OTE;19900819;0.0
OTE;19900820;0.0
OTE;19900821;0.0
OTE;19900822;0.0
OTE;19900823;0.0
OTE;19900824;0.0
OTE;19900825;3.3
OTE;19900826;2.3
OTE;19900827;0.0
OTE;19900828;0.0
OTE;19900829;0.5
OTE;19900830;11.8
OTE;19900831;10.7
OTE;19900901;0.0
OTE;19900902;0.0
OTE;19900903;2.6
OTE;19900904;2.5
OTE;19900905;0.0
OTE;19900906;3.1
OTE;19900907;6.2
OTE;19900908;0.0
OTE;19900909;0.0
OTE;19900910;2.2
OTE;19900911;0.0
OTE;19900912;0.0
OTE;19900913;0.0
OTE;19900914;5.4
OTE;19900915;0.0
OTE;19900916;0.0
OTE;19900917;0.0
