 

stn;time;rre150d0
PFA;19900101;0.0
PFA;19900102;0.0
PFA;19900103;0.0
PFA;19900104;0.0
PFA;19900105;0.7
PFA;19900106;2.5
PFA;19900107;0.0
PFA;19900108;0.0
PFA;19900109;0.0
PFA;19900110;0.0
PFA;19900111;0.0
PFA;19900112;0.0
PFA;19900113;0.0
PFA;19900114;0.0
PFA;19900115;0.3
PFA;19900116;0.0
PFA;19900117;0.9
PFA;19900118;1.5
PFA;19900119;0.0
PFA;19900120;1.9
PFA;19900121;0.0
PFA;19900122;0.0
PFA;19900123;1.7
PFA;19900124;4.7
PFA;19900125;4.9
PFA;19900126;1.7
PFA;19900127;0.0
PFA;19900128;2.8
PFA;19900129;0.0
PFA;19900130;0.0
PFA;19900131;0.0
PFA;19900201;0.0
PFA;19900202;5.4
PFA;19900203;0.0
PFA;19900204;0.0
PFA;19900205;0.0
PFA;19900206;0.0
PFA;19900207;0.0
PFA;19900208;0.3
PFA;19900209;0.0
PFA;19900210;10.8
PFA;19900211;3.9
PFA;19900212;9.0
PFA;19900213;17.5
PFA;19900214;41.7
PFA;19900215;12.3
PFA;19900216;4.5
PFA;19900217;0.8
PFA;19900218;0.0
PFA;19900219;0.0
PFA;19900220;0.0
PFA;19900221;0.0
PFA;19900222;0.0
PFA;19900223;0.0
PFA;19900224;0.0
PFA;19900225;0.0
PFA;19900226;16.6
PFA;19900227;17.7
PFA;19900228;7.9
PFA;19900301;3.9
PFA;19900302;0.5
PFA;19900303;0.0
PFA;19900304;0.0
PFA;19900305;0.0
PFA;19900306;0.0
PFA;19900307;0.0
PFA;19900308;0.1
PFA;19900309;0.0
PFA;19900310;0.0
PFA;19900311;0.0
PFA;19900312;0.0
PFA;19900313;0.0
PFA;19900314;8.5
PFA;19900315;0.0
PFA;19900316;0.0
PFA;19900317;0.0
PFA;19900318;0.0
PFA;19900319;0.0
PFA;19900320;2.3
PFA;19900321;0.0
PFA;19900322;13.3
PFA;19900323;0.2
PFA;19900324;0.0
PFA;19900325;8.4
PFA;19900326;0.2
PFA;19900327;21.6
PFA;19900328;3.5
PFA;19900329;1.0
PFA;19900330;0.0
PFA;19900331;0.0
PFA;19900401;0.0
PFA;19900402;0.0
PFA;19900403;10.6
PFA;19900404;0.0
PFA;19900405;0.0
PFA;19900406;0.0
PFA;19900407;4.7
PFA;19900408;0.3
PFA;19900409;0.0
PFA;19900410;0.0
PFA;19900411;9.9
PFA;19900412;0.3
PFA;19900413;0.0
PFA;19900414;1.5
PFA;19900415;11.2
PFA;19900416;0.7
PFA;19900417;5.0
PFA;19900418;1.0
PFA;19900419;0.0
PFA;19900420;0.0
PFA;19900421;0.0
PFA;19900422;1.8
PFA;19900423;13.0
PFA;19900424;0.3
PFA;19900425;3.1
PFA;19900426;0.0
PFA;19900427;0.1
PFA;19900428;0.0
PFA;19900429;0.0
PFA;19900430;0.0
PFA;19900501;0.0
PFA;19900502;0.0
PFA;19900503;0.0
PFA;19900504;0.0
PFA;19900505;0.0
PFA;19900506;12.1
PFA;19900507;0.5
PFA;19900508;0.0
PFA;19900509;0.0
PFA;19900510;11.2
PFA;19900511;11.3
PFA;19900512;0.0
PFA;19900513;10.7
PFA;19900514;0.0
PFA;19900515;2.8
PFA;19900516;0.0
PFA;19900517;0.0
PFA;19900518;0.8
PFA;19900519;0.0
PFA;19900520;0.0
PFA;19900521;4.9
PFA;19900522;0.0
PFA;19900523;0.0
PFA;19900524;24.8
PFA;19900525;9.1
PFA;19900526;0.0
PFA;19900527;0.0
PFA;19900528;4.0
PFA;19900529;0.0
PFA;19900530;0.0
PFA;19900531;0.0
PFA;19900601;0.0
PFA;19900602;17.7
PFA;19900603;5.6
PFA;19900604;13.1
PFA;19900605;12.6
PFA;19900606;0.3
PFA;19900607;9.8
PFA;19900608;10.5
PFA;19900609;7.1
PFA;19900610;6.9
PFA;19900611;0.0
PFA;19900612;13.1
PFA;19900613;4.2
PFA;19900614;0.6
PFA;19900615;0.0
PFA;19900616;0.0
PFA;19900617;2.7
