 

stn;time;rre150d0
REG;19900101;0.0
REG;19900102;0.0
REG;19900103;0.0
REG;19900104;0.0
REG;19900105;0.5
REG;19900106;0.0
REG;19900107;0.0
REG;19900108;0.0
REG;19900109;0.0
REG;19900110;0.0
REG;19900111;0.0
REG;19900112;0.0
REG;19900113;0.0
REG;19900114;0.0
REG;19900115;1.0
REG;19900116;0.0
REG;19900117;4.8
REG;19900118;1.8
REG;19900119;0.0
REG;19900120;1.2
REG;19900121;0.0
REG;19900122;0.0
REG;19900123;4.6
REG;19900124;2.2
REG;19900125;11.0
REG;19900126;0.5
REG;19900127;0.7
REG;19900128;9.1
REG;19900129;0.0
REG;19900130;0.0
REG;19900131;0.0
REG;19900201;0.0
REG;19900202;4.9
REG;19900203;1.6
REG;19900204;0.0
REG;19900205;0.0
REG;19900206;0.0
REG;19900207;0.0
REG;19900208;1.0
REG;19900209;0.0
REG;19900210;6.5
REG;19900211;2.1
REG;19900212;7.0
REG;19900213;5.3
REG;19900214;13.5
REG;19900215;6.0
REG;19900216;4.8
REG;19900217;0.4
REG;19900218;0.0
REG;19900219;0.0
REG;19900220;0.0
REG;19900221;0.0
REG;19900222;0.0
REG;19900223;0.0
REG;19900224;0.0
REG;19900225;0.0
REG;19900226;11.2
REG;19900227;6.2
REG;19900228;12.0
REG;19900301;4.8
REG;19900302;3.4
REG;19900303;0.0
REG;19900304;0.0
REG;19900305;0.0
REG;19900306;0.0
REG;19900307;0.0
REG;19900308;0.0
REG;19900309;0.0
REG;19900310;0.0
REG;19900311;0.0
REG;19900312;0.0
REG;19900313;0.0
REG;19900314;6.2
REG;19900315;0.0
REG;19900316;0.0
REG;19900317;0.0
REG;19900318;0.0
REG;19900319;0.0
REG;19900320;1.0
REG;19900321;0.0
REG;19900322;8.7
REG;19900323;0.0
REG;19900324;2.3
REG;19900325;2.2
REG;19900326;2.5
REG;19900327;16.8
REG;19900328;9.7
REG;19900329;0.5
REG;19900330;0.0
REG;19900331;0.0
REG;19900401;0.0
REG;19900402;0.0
REG;19900403;8.7
REG;19900404;0.0
REG;19900405;8.0
REG;19900406;1.9
REG;19900407;6.8
REG;19900408;5.8
REG;19900409;0.4
REG;19900410;1.3
REG;19900411;7.6
REG;19900412;0.4
REG;19900413;6.7
REG;19900414;7.5
REG;19900415;9.8
REG;19900416;4.0
REG;19900417;7.9
REG;19900418;0.5
REG;19900419;0.0
REG;19900420;0.0
REG;19900421;0.0
REG;19900422;26.3
REG;19900423;10.9
REG;19900424;0.7
REG;19900425;0.5
REG;19900426;0.2
REG;19900427;0.8
REG;19900428;0.0
REG;19900429;0.0
REG;19900430;0.0
REG;19900501;0.0
REG;19900502;0.0
REG;19900503;0.0
REG;19900504;0.0
REG;19900505;0.0
REG;19900506;2.8
