 

stn;time;rre150d0
REH;19900101;0.0
REH;19900102;0.0
REH;19900103;0.0
REH;19900104;0.0
REH;19900105;0.9
REH;19900106;2.4
REH;19900107;0.0
REH;19900108;0.0
REH;19900109;0.0
REH;19900110;0.0
REH;19900111;0.0
REH;19900112;0.0
REH;19900113;0.0
REH;19900114;0.0
REH;19900115;0.3
REH;19900116;0.0
REH;19900117;1.8
REH;19900118;2.7
REH;19900119;0.0
REH;19900120;1.0
REH;19900121;0.0
REH;19900122;0.0
REH;19900123;0.9
REH;19900124;1.9
REH;19900125;15.2
REH;19900126;1.3
REH;19900127;0.0
REH;19900128;4.4
REH;19900129;0.0
REH;19900130;0.0
REH;19900131;0.0
REH;19900201;0.0
REH;19900202;6.0
REH;19900203;0.0
REH;19900204;0.0
REH;19900205;0.0
REH;19900206;0.0
REH;19900207;0.0
REH;19900208;0.0
REH;19900209;0.0
REH;19900210;9.2
REH;19900211;3.3
REH;19900212;6.8
REH;19900213;22.4
REH;19900214;42.1
REH;19900215;12.5
REH;19900216;3.4
REH;19900217;0.6
REH;19900218;0.0
REH;19900219;0.0
REH;19900220;0.0
REH;19900221;0.0
REH;19900222;0.0
REH;19900223;0.0
REH;19900224;0.0
REH;19900225;0.0
REH;19900226;21.7
REH;19900227;22.5
REH;19900228;12.6
REH;19900301;2.3
REH;19900302;0.6
REH;19900303;0.0
REH;19900304;0.0
REH;19900305;0.0
REH;19900306;0.0
REH;19900307;0.0
REH;19900308;0.1
REH;19900309;0.0
REH;19900310;0.0
REH;19900311;0.0
REH;19900312;0.0
REH;19900313;0.0
REH;19900314;4.3
REH;19900315;0.0
REH;19900316;0.0
REH;19900317;0.0
REH;19900318;0.0
REH;19900319;0.0
REH;19900320;1.5
REH;19900321;0.0
REH;19900322;7.6
REH;19900323;0.4
REH;19900324;0.1
REH;19900325;2.9
REH;19900326;0.1
REH;19900327;11.6
REH;19900328;3.4
REH;19900329;0.8
REH;19900330;0.0
REH;19900331;0.0
REH;19900401;0.0
REH;19900402;0.0
REH;19900403;7.8
REH;19900404;0.9
REH;19900405;2.5
REH;19900406;0.0
REH;19900407;2.0
REH;19900408;2.4
REH;19900409;0.9
REH;19900410;0.0
REH;19900411;5.7
REH;19900412;0.9
REH;19900413;0.0
REH;19900414;0.9
REH;19900415;7.7
REH;19900416;0.8
REH;19900417;0.6
REH;19900418;0.3
REH;19900419;0.1
REH;19900420;0.0
REH;19900421;0.0
REH;19900422;2.5
REH;19900423;9.4
REH;19900424;1.4
REH;19900425;3.9
REH;19900426;2.0
REH;19900427;0.5
REH;19900428;0.0
REH;19900429;0.0
REH;19900430;0.0
REH;19900501;0.0
REH;19900502;0.0
REH;19900503;0.0
REH;19900504;0.0
REH;19900505;0.0
REH;19900506;12.5
REH;19900507;0.6
REH;19900508;6.6
REH;19900509;0.5
REH;19900510;12.0
REH;19900511;11.7
REH;19900512;0.1
REH;19900513;9.9
REH;19900514;0.9
REH;19900515;0.0
REH;19900516;0.0
REH;19900517;0.0
REH;19900518;0.4
REH;19900519;0.8
REH;19900520;0.3
REH;19900521;12.3
REH;19900522;0.2
REH;19900523;0.8
REH;19900524;21.9
REH;19900525;3.6
REH;19900526;0.0
REH;19900527;0.0
REH;19900528;0.1
REH;19900529;0.0
REH;19900530;0.0
REH;19900531;0.0
REH;19900601;0.0
REH;19900602;17.6
REH;19900603;7.5
REH;19900604;3.1
REH;19900605;13.8
REH;19900606;0.0
REH;19900607;6.8
REH;19900608;9.4
REH;19900609;15.2
REH;19900610;10.0
REH;19900611;0.0
REH;19900612;6.6
REH;19900613;0.2
REH;19900614;0.5
REH;19900615;0.0
REH;19900616;0.0
REH;19900617;2.5
REH;19900618;0.1
REH;19900619;4.2
REH;19900620;23.1
REH;19900621;0.9
REH;19900622;8.6
REH;19900623;0.3
REH;19900624;0.0
REH;19900625;0.0
REH;19900626;0.0
REH;19900627;19.1
REH;19900628;0.0
REH;19900629;9.1
REH;19900630;14.9
REH;19900701;0.5
REH;19900702;0.0
REH;19900703;7.9
REH;19900704;0.1
REH;19900705;7.6
REH;19900706;0.0
REH;19900707;8.2
REH;19900708;0.7
REH;19900709;0.5
REH;19900710;0.0
REH;19900711;0.0
REH;19900712;0.0
REH;19900713;0.0
REH;19900714;0.0
REH;19900715;0.0
REH;19900716;0.0
REH;19900717;0.0
REH;19900718;0.0
REH;19900719;0.0
REH;19900720;0.0
REH;19900721;0.0
REH;19900722;0.0
REH;19900723;0.0
REH;19900724;0.0
REH;19900725;0.0
REH;19900726;0.0
REH;19900727;0.0
REH;19900728;0.0
REH;19900729;30.3
REH;19900730;7.3
REH;19900731;0.0
REH;19900801;0.0
REH;19900802;0.0
REH;19900803;0.0
REH;19900804;0.0
REH;19900805;0.3
REH;19900806;0.0
REH;19900807;0.0
REH;19900808;0.0
REH;19900809;0.0
REH;19900810;0.0
REH;19900811;0.0
REH;19900812;0.0
REH;19900813;0.0
REH;19900814;11.6
REH;19900815;1.1
REH;19900816;6.2
REH;19900817;0.4
REH;19900818;0.0
REH;19900819;0.0
REH;19900820;0.0
REH;19900821;0.0
REH;19900822;0.0
REH;19900823;0.0
REH;19900824;0.0
REH;19900825;7.7
REH;19900826;3.4
REH;19900827;0.0
REH;19900828;0.0
REH;19900829;0.9
REH;19900830;10.1
REH;19900831;10.2
REH;19900901;0.0
REH;19900902;0.0
REH;19900903;1.3
REH;19900904;3.2
REH;19900905;0.0
REH;19900906;2.3
REH;19900907;8.4
REH;19900908;0.0
REH;19900909;0.0
REH;19900910;2.8
REH;19900911;0.0
REH;19900912;0.0
REH;19900913;0.0
REH;19900914;3.9
REH;19900915;0.0
REH;19900916;0.0
REH;19900917;0.0
REH;19900918;0.0
REH;19900919;0.0
REH;19900920;0.0
REH;19900921;1.7
REH;19900922;22.3
REH;19900923;29.2
REH;19900924;0.0
REH;19900925;0.0
REH;19900926;0.0
REH;19900927;0.0
REH;19900928;0.0
REH;19900929;0.0
REH;19900930;11.1
REH;19901001;18.0
REH;19901002;0.1
REH;19901003;1.2
REH;19901004;18.9
REH;19901005;0.1
REH;19901006;0.0
REH;19901007;1.8
REH;19901008;0.1
REH;19901009;0.0
REH;19901010;0.2
REH;19901011;0.0
REH;19901012;0.1
REH;19901013;0.0
REH;19901014;0.0
REH;19901015;0.1
REH;19901016;0.6
REH;19901017;2.5
REH;19901018;0.1
REH;19901019;0.0
REH;19901020;0.0
REH;19901021;0.0
REH;19901022;0.0
REH;19901023;0.0
REH;19901024;0.0
REH;19901025;0.5
