 

stn;time;rre150d0
RUE;19900101;0.0
RUE;19900102;0.0
RUE;19900103;0.0
RUE;19900104;0.0
RUE;19900105;0.0
RUE;19900106;3.0
RUE;19900107;0.0
RUE;19900108;0.0
RUE;19900109;0.0
RUE;19900110;0.0
RUE;19900111;0.0
RUE;19900112;0.0
RUE;19900113;0.0
RUE;19900114;0.0
RUE;19900115;0.7
RUE;19900116;0.0
RUE;19900117;3.5
RUE;19900118;2.0
RUE;19900119;0.0
RUE;19900120;0.9
RUE;19900121;0.0
RUE;19900122;0.0
RUE;19900123;3.9
RUE;19900124;1.5
RUE;19900125;11.4
RUE;19900126;0.2
RUE;19900127;0.0
RUE;19900128;5.3
RUE;19900129;0.0
RUE;19900130;0.0
RUE;19900131;0.0
RUE;19900201;0.0
RUE;19900202;1.7
RUE;19900203;0.9
RUE;19900204;0.0
RUE;19900205;0.0
RUE;19900206;0.0
RUE;19900207;0.0
RUE;19900208;0.3
RUE;19900209;0.0
RUE;19900210;5.5
RUE;19900211;0.5
RUE;19900212;1.8
RUE;19900213;3.0
RUE;19900214;13.3
RUE;19900215;3.7
RUE;19900216;3.6
RUE;19900217;0.1
RUE;19900218;0.0
RUE;19900219;0.0
RUE;19900220;0.0
RUE;19900221;0.0
RUE;19900222;0.0
RUE;19900223;0.0
RUE;19900224;0.0
RUE;19900225;0.0
RUE;19900226;12.1
RUE;19900227;14.5
RUE;19900228;11.1
RUE;19900301;2.0
RUE;19900302;1.3
RUE;19900303;0.0
RUE;19900304;0.0
RUE;19900305;0.0
RUE;19900306;0.0
RUE;19900307;0.0
RUE;19900308;0.0
RUE;19900309;0.0
RUE;19900310;0.0
RUE;19900311;0.0
RUE;19900312;0.0
RUE;19900313;0.0
RUE;19900314;2.5
RUE;19900315;0.0
RUE;19900316;0.0
RUE;19900317;0.0
RUE;19900318;0.0
RUE;19900319;0.0
RUE;19900320;1.1
RUE;19900321;0.0
RUE;19900322;7.0
RUE;19900323;0.2
RUE;19900324;0.3
RUE;19900325;2.3
RUE;19900326;2.8
RUE;19900327;11.6
RUE;19900328;5.2
RUE;19900329;0.5
RUE;19900330;0.0
RUE;19900331;0.0
RUE;19900401;0.0
RUE;19900402;0.0
RUE;19900403;5.2
RUE;19900404;0.0
RUE;19900405;4.2
RUE;19900406;1.5
RUE;19900407;2.1
RUE;19900408;1.4
RUE;19900409;0.4
RUE;19900410;2.1
RUE;19900411;14.5
RUE;19900412;0.4
RUE;19900413;3.9
RUE;19900414;6.5
RUE;19900415;8.7
RUE;19900416;1.5
RUE;19900417;6.1
RUE;19900418;1.8
RUE;19900419;0.0
RUE;19900420;0.0
RUE;19900421;0.0
RUE;19900422;24.2
RUE;19900423;4.5
RUE;19900424;1.3
RUE;19900425;3.5
RUE;19900426;0.0
RUE;19900427;1.0
RUE;19900428;0.0
RUE;19900429;0.0
RUE;19900430;0.0
RUE;19900501;0.0
RUE;19900502;0.0
RUE;19900503;0.0
RUE;19900504;0.0
RUE;19900505;0.0
RUE;19900506;0.1
RUE;19900507;5.7
RUE;19900508;6.7
RUE;19900509;0.0
RUE;19900510;3.2
RUE;19900511;14.8
RUE;19900512;0.1
RUE;19900513;9.2
RUE;19900514;0.0
RUE;19900515;0.5
RUE;19900516;0.1
RUE;19900517;0.0
RUE;19900518;0.0
RUE;19900519;0.3
