 

stn;time;rre150d0
SHA;19900101;0.0
SHA;19900102;0.0
SHA;19900103;0.0
SHA;19900104;0.0
SHA;19900105;0.0
SHA;19900106;0.9
SHA;19900107;0.0
SHA;19900108;0.0
SHA;19900109;0.0
SHA;19900110;0.0
SHA;19900111;0.0
SHA;19900112;0.0
SHA;19900113;0.0
SHA;19900114;0.0
SHA;19900115;0.8
SHA;19900116;0.1
SHA;19900117;1.7
SHA;19900118;0.9
SHA;19900119;0.0
SHA;19900120;0.0
SHA;19900121;0.0
SHA;19900122;0.0
SHA;19900123;7.2
SHA;19900124;6.0
SHA;19900125;14.8
SHA;19900126;0.0
SHA;19900127;0.0
SHA;19900128;3.3
SHA;19900129;0.0
SHA;19900130;0.0
SHA;19900131;0.0
SHA;19900201;0.0
SHA;19900202;6.6
SHA;19900203;0.5
SHA;19900204;0.0
SHA;19900205;0.0
SHA;19900206;0.0
SHA;19900207;0.0
SHA;19900208;0.9
SHA;19900209;0.0
SHA;19900210;8.4
SHA;19900211;6.8
SHA;19900212;7.9
SHA;19900213;21.7
SHA;19900214;32.7
SHA;19900215;12.9
SHA;19900216;0.8
SHA;19900217;0.4
SHA;19900218;0.0
SHA;19900219;0.0
SHA;19900220;0.0
SHA;19900221;0.0
SHA;19900222;0.0
SHA;19900223;0.0
SHA;19900224;0.0
SHA;19900225;0.0
SHA;19900226;23.3
SHA;19900227;21.2
SHA;19900228;21.3
SHA;19900301;2.4
SHA;19900302;0.2
SHA;19900303;0.0
SHA;19900304;0.0
SHA;19900305;0.0
SHA;19900306;0.0
SHA;19900307;0.0
SHA;19900308;0.0
SHA;19900309;0.0
SHA;19900310;0.0
SHA;19900311;0.0
SHA;19900312;0.0
SHA;19900313;0.0
SHA;19900314;4.0
SHA;19900315;0.0
SHA;19900316;0.0
SHA;19900317;0.0
SHA;19900318;0.0
SHA;19900319;0.0
SHA;19900320;1.2
SHA;19900321;0.0
SHA;19900322;3.2
SHA;19900323;0.0
SHA;19900324;0.9
SHA;19900325;1.1
SHA;19900326;0.0
SHA;19900327;5.0
SHA;19900328;8.2
SHA;19900329;2.6
SHA;19900330;0.0
SHA;19900331;0.0
SHA;19900401;0.0
SHA;19900402;0.0
SHA;19900403;5.0
SHA;19900404;0.0
SHA;19900405;5.9
SHA;19900406;1.0
SHA;19900407;3.2
SHA;19900408;3.1
SHA;19900409;0.7
SHA;19900410;0.3
SHA;19900411;3.9
SHA;19900412;0.0
SHA;19900413;0.1
SHA;19900414;0.2
SHA;19900415;6.4
SHA;19900416;1.1
SHA;19900417;0.1
SHA;19900418;1.2
SHA;19900419;0.0
SHA;19900420;0.0
SHA;19900421;0.0
SHA;19900422;2.1
SHA;19900423;4.7
SHA;19900424;0.0
SHA;19900425;7.8
SHA;19900426;8.4
SHA;19900427;0.2
SHA;19900428;0.0
SHA;19900429;0.0
SHA;19900430;0.0
SHA;19900501;0.0
SHA;19900502;0.0
SHA;19900503;0.0
SHA;19900504;0.0
SHA;19900505;0.0
SHA;19900506;0.0
SHA;19900507;0.4
SHA;19900508;3.1
SHA;19900509;0.0
SHA;19900510;4.1
SHA;19900511;14.3
SHA;19900512;0.0
SHA;19900513;3.2
SHA;19900514;0.0
SHA;19900515;0.1
SHA;19900516;0.0
SHA;19900517;0.0
SHA;19900518;0.0
SHA;19900519;0.3
SHA;19900520;1.4
SHA;19900521;4.3
SHA;19900522;1.2
SHA;19900523;0.2
SHA;19900524;6.8
SHA;19900525;0.0
SHA;19900526;0.0
SHA;19900527;0.0
SHA;19900528;0.0
SHA;19900529;0.0
SHA;19900530;0.0
SHA;19900531;0.0
SHA;19900601;0.1
SHA;19900602;21.1
SHA;19900603;5.5
SHA;19900604;0.4
SHA;19900605;14.5
SHA;19900606;0.0
SHA;19900607;9.4
SHA;19900608;17.8
SHA;19900609;7.9
SHA;19900610;6.1
SHA;19900611;0.0
SHA;19900612;8.7
SHA;19900613;3.8
SHA;19900614;0.0
SHA;19900615;0.0
SHA;19900616;0.0
SHA;19900617;0.4
SHA;19900618;0.6
SHA;19900619;1.1
SHA;19900620;13.0
SHA;19900621;3.6
SHA;19900622;2.0
SHA;19900623;0.1
SHA;19900624;0.0
SHA;19900625;0.0
SHA;19900626;0.0
SHA;19900627;2.8
SHA;19900628;0.1
SHA;19900629;8.3
SHA;19900630;29.8
SHA;19900701;0.0
SHA;19900702;0.0
SHA;19900703;19.4
SHA;19900704;0.2
SHA;19900705;9.7
SHA;19900706;0.0
SHA;19900707;13.1
SHA;19900708;1.1
SHA;19900709;0.7
SHA;19900710;0.0
SHA;19900711;0.0
SHA;19900712;0.0
SHA;19900713;0.0
SHA;19900714;0.0
SHA;19900715;0.0
SHA;19900716;0.0
SHA;19900717;0.3
SHA;19900718;0.0
SHA;19900719;0.0
SHA;19900720;0.0
SHA;19900721;0.0
SHA;19900722;0.0
SHA;19900723;0.0
SHA;19900724;0.0
SHA;19900725;0.0
SHA;19900726;0.0
SHA;19900727;0.0
SHA;19900728;0.0
SHA;19900729;26.0
SHA;19900730;14.8
