 

stn;time;rre150d0
SIS;19950601;9.7
SIS;19950602;0.3
SIS;19950603;5.0
SIS;19950604;6.6
SIS;19950605;3.3
SIS;19950606;0.0
SIS;19950607;0.0
SIS;19950608;5.3
SIS;19950609;4.1
SIS;19950610;3.1
SIS;19950611;3.8
SIS;19950612;11.7
SIS;19950613;0.1
SIS;19950614;0.9
SIS;19950615;0.0
SIS;19950616;0.0
SIS;19950617;4.6
SIS;19950618;2.5
SIS;19950619;0.0
SIS;19950620;0.0
SIS;19950621;26.1
SIS;19950622;0.0
SIS;19950623;0.2
SIS;19950624;0.0
SIS;19950625;0.0
SIS;19950626;0.0
SIS;19950627;0.0
SIS;19950628;0.0
SIS;19950629;0.0
SIS;19950630;0.0
SIS;19950701;2.4
SIS;19950702;9.9
SIS;19950703;12.4
SIS;19950704;0.0
SIS;19950705;0.0
SIS;19950706;0.0
SIS;19950707;0.0
SIS;19950708;0.0
SIS;19950709;0.0
SIS;19950710;0.0
SIS;19950711;0.0
SIS;19950712;0.0
SIS;19950713;8.1
SIS;19950714;9.6
SIS;19950715;0.9
SIS;19950716;18.1
SIS;19950717;0.1
SIS;19950718;0.0
SIS;19950719;0.0
SIS;19950720;0.0
SIS;19950721;0.0
SIS;19950722;35.7
SIS;19950723;0.0
SIS;19950724;0.0
SIS;19950725;0.0
SIS;19950726;5.5
SIS;19950727;1.6
SIS;19950728;0.0
SIS;19950729;0.0
SIS;19950730;0.0
SIS;19950731;0.0
SIS;19950801;0.0
SIS;19950802;0.0
SIS;19950803;0.0
SIS;19950804;0.0
SIS;19950805;0.0
SIS;19950806;0.3
SIS;19950807;10.4
SIS;19950808;11.6
SIS;19950809;0.1
SIS;19950810;0.0
SIS;19950811;20.3
SIS;19950812;10.5
SIS;19950813;13.9
SIS;19950814;0.2
SIS;19950815;0.0
SIS;19950816;0.1
SIS;19950817;0.0
SIS;19950818;0.0
SIS;19950819;0.0
SIS;19950820;0.0
SIS;19950821;0.4
SIS;19950822;0.0
SIS;19950823;10.1
SIS;19950824;1.1
SIS;19950825;4.3
SIS;19950826;0.0
SIS;19950827;20.4
SIS;19950828;16.0
SIS;19950829;7.4
SIS;19950830;0.0
SIS;19950831;0.0
SIS;19950901;0.0
SIS;19950902;0.0
SIS;19950903;13.4
SIS;19950904;0.2
SIS;19950905;0.0
SIS;19950906;0.0
SIS;19950907;6.8
SIS;19950908;2.4
SIS;19950909;0.0
SIS;19950910;0.0
SIS;19950911;1.6
SIS;19950912;10.4
SIS;19950913;26.9
SIS;19950914;0.8
SIS;19950915;0.8
SIS;19950916;0.0
SIS;19950917;0.0
SIS;19950918;0.0
SIS;19950919;8.8
SIS;19950920;7.1
SIS;19950921;0.3
SIS;19950922;0.0
SIS;19950923;0.0
SIS;19950924;1.3
SIS;19950925;0.0
SIS;19950926;0.0
SIS;19950927;25.8
SIS;19950928;0.0
SIS;19950929;0.0
SIS;19950930;0.4
SIS;19951001;0.2
SIS;19951002;0.6
