 

stn;time;rre150d0
SMA;19900101;0.0
SMA;19900102;0.0
SMA;19900103;0.0
SMA;19900104;0.0
SMA;19900105;0.3
SMA;19900106;2.8
SMA;19900107;0.0
SMA;19900108;0.0
SMA;19900109;0.0
SMA;19900110;0.0
SMA;19900111;0.0
SMA;19900112;0.0
SMA;19900113;0.0
SMA;19900114;0.0
SMA;19900115;0.2
SMA;19900116;0.0
SMA;19900117;0.9
SMA;19900118;4.0
SMA;19900119;0.0
SMA;19900120;1.8
SMA;19900121;0.0
SMA;19900122;0.0
SMA;19900123;1.0
SMA;19900124;4.1
SMA;19900125;12.5
SMA;19900126;1.2
SMA;19900127;0.0
SMA;19900128;4.9
SMA;19900129;0.0
SMA;19900130;0.0
SMA;19900131;0.0
SMA;19900201;0.0
SMA;19900202;6.0
SMA;19900203;0.0
SMA;19900204;0.0
SMA;19900205;0.0
SMA;19900206;0.0
SMA;19900207;0.0
SMA;19900208;0.5
SMA;19900209;0.0
SMA;19900210;7.4
SMA;19900211;4.2
SMA;19900212;5.1
SMA;19900213;17.8
SMA;19900214;46.2
SMA;19900215;11.5
SMA;19900216;4.3
SMA;19900217;1.6
SMA;19900218;0.0
SMA;19900219;0.0
SMA;19900220;0.0
SMA;19900221;0.0
SMA;19900222;0.0
SMA;19900223;0.0
SMA;19900224;0.0
SMA;19900225;0.0
SMA;19900226;16.3
SMA;19900227;19.7
SMA;19900228;12.6
SMA;19900301;2.9
SMA;19900302;1.1
SMA;19900303;0.0
SMA;19900304;0.0
SMA;19900305;0.0
SMA;19900306;0.0
SMA;19900307;0.0
SMA;19900308;0.0
SMA;19900309;0.0
SMA;19900310;0.0
SMA;19900311;0.0
SMA;19900312;0.0
SMA;19900313;0.0
SMA;19900314;4.5
SMA;19900315;0.0
SMA;19900316;0.0
SMA;19900317;0.0
SMA;19900318;0.0
SMA;19900319;0.0
SMA;19900320;1.8
SMA;19900321;0.0
SMA;19900322;9.5
SMA;19900323;0.7
SMA;19900324;0.0
SMA;19900325;4.5
SMA;19900326;0.3
SMA;19900327;16.6
SMA;19900328;4.0
SMA;19900329;0.7
SMA;19900330;0.0
SMA;19900331;0.0
SMA;19900401;0.0
SMA;19900402;0.0
SMA;19900403;11.7
SMA;19900404;0.0
SMA;19900405;1.8
SMA;19900406;0.1
SMA;19900407;2.6
SMA;19900408;4.7
SMA;19900409;0.4
SMA;19900410;0.1
SMA;19900411;4.6
SMA;19900412;2.6
SMA;19900413;0.0
SMA;19900414;0.5
SMA;19900415;7.2
SMA;19900416;0.3
SMA;19900417;3.3
SMA;19900418;3.5
SMA;19900419;0.0
SMA;19900420;0.0
SMA;19900421;0.0
SMA;19900422;4.5
SMA;19900423;11.5
SMA;19900424;0.2
SMA;19900425;8.0
SMA;19900426;0.0
SMA;19900427;0.1
SMA;19900428;0.0
SMA;19900429;0.0
SMA;19900430;0.0
SMA;19900501;0.0
SMA;19900502;0.0
SMA;19900503;0.0
SMA;19900504;0.0
SMA;19900505;0.0
SMA;19900506;1.9
SMA;19900507;1.1
SMA;19900508;0.5
SMA;19900509;0.2
SMA;19900510;12.9
SMA;19900511;9.7
SMA;19900512;0.0
SMA;19900513;17.4
SMA;19900514;0.3
SMA;19900515;0.0
SMA;19900516;1.4
SMA;19900517;0.0
SMA;19900518;13.1
SMA;19900519;0.2
SMA;19900520;0.4
SMA;19900521;6.0
SMA;19900522;0.0
SMA;19900523;0.1
SMA;19900524;16.0
SMA;19900525;10.4
SMA;19900526;0.0
SMA;19900527;0.0
SMA;19900528;0.4
SMA;19900529;0.0
SMA;19900530;0.0
SMA;19900531;0.0
SMA;19900601;0.0
SMA;19900602;23.4
SMA;19900603;5.8
SMA;19900604;4.3
SMA;19900605;17.2
SMA;19900606;0.0
SMA;19900607;12.3
SMA;19900608;11.6
SMA;19900609;5.0
SMA;19900610;15.4
SMA;19900611;0.0
SMA;19900612;13.5
SMA;19900613;7.4
SMA;19900614;0.0
SMA;19900615;0.0
SMA;19900616;0.0
SMA;19900617;1.7
SMA;19900618;6.1
SMA;19900619;1.9
SMA;19900620;19.1
SMA;19900621;1.0
SMA;19900622;6.1
SMA;19900623;1.7
SMA;19900624;0.0
SMA;19900625;0.0
SMA;19900626;0.0
SMA;19900627;18.1
SMA;19900628;0.0
SMA;19900629;16.5
SMA;19900630;17.4
SMA;19900701;0.4
SMA;19900702;0.0
SMA;19900703;10.1
SMA;19900704;0.0
SMA;19900705;12.7
SMA;19900706;0.0
SMA;19900707;9.8
SMA;19900708;1.4
SMA;19900709;1.6
SMA;19900710;0.0
SMA;19900711;0.0
SMA;19900712;0.0
SMA;19900713;0.0
SMA;19900714;0.0
SMA;19900715;0.0
SMA;19900716;0.0
SMA;19900717;0.0
SMA;19900718;0.0
SMA;19900719;0.0
SMA;19900720;0.0
SMA;19900721;0.0
SMA;19900722;0.0
SMA;19900723;0.0
SMA;19900724;0.0
SMA;19900725;0.0
SMA;19900726;0.0
SMA;19900727;0.0
SMA;19900728;0.0
SMA;19900729;45.8
SMA;19900730;1.1
SMA;19900731;0.0
SMA;19900801;0.0
SMA;19900802;0.0
SMA;19900803;0.0
SMA;19900804;0.0
SMA;19900805;1.2
SMA;19900806;0.0
SMA;19900807;0.0
SMA;19900808;0.0
SMA;19900809;0.0
SMA;19900810;0.0
SMA;19900811;0.0
SMA;19900812;0.0
SMA;19900813;0.0
SMA;19900814;10.5
SMA;19900815;0.0
SMA;19900816;8.0
SMA;19900817;0.6
SMA;19900818;0.0
SMA;19900819;0.0
SMA;19900820;0.0
SMA;19900821;0.0
SMA;19900822;0.0
SMA;19900823;0.0
SMA;19900824;0.0
SMA;19900825;4.3
SMA;19900826;0.1
SMA;19900827;0.0
SMA;19900828;0.0
SMA;19900829;0.6
SMA;19900830;9.0
SMA;19900831;15.5
SMA;19900901;0.0
SMA;19900902;0.0
SMA;19900903;2.3
SMA;19900904;5.3
SMA;19900905;0.0
SMA;19900906;4.4
SMA;19900907;9.9
SMA;19900908;2.3
SMA;19900909;0.0
SMA;19900910;2.8
SMA;19900911;0.0
SMA;19900912;0.0
SMA;19900913;0.0
SMA;19900914;15.0
SMA;19900915;0.1
SMA;19900916;0.0
SMA;19900917;0.0
SMA;19900918;0.0
SMA;19900919;0.0
SMA;19900920;0.0
SMA;19900921;0.9
SMA;19900922;25.9
SMA;19900923;27.0
SMA;19900924;0.0
SMA;19900925;0.0
SMA;19900926;0.0
SMA;19900927;0.0
SMA;19900928;0.0
SMA;19900929;0.0
SMA;19900930;32.4
SMA;19901001;5.3
SMA;19901002;0.0
SMA;19901003;1.7
SMA;19901004;19.2
SMA;19901005;0.0
SMA;19901006;0.0
SMA;19901007;5.2
SMA;19901008;0.5
SMA;19901009;0.0
SMA;19901010;0.0
SMA;19901011;0.1
SMA;19901012;0.0
SMA;19901013;0.0
SMA;19901014;0.0
SMA;19901015;0.0
SMA;19901016;0.5
SMA;19901017;3.7
SMA;19901018;0.0
SMA;19901019;0.0
SMA;19901020;0.0
SMA;19901021;0.0
SMA;19901022;0.0
SMA;19901023;0.0
SMA;19901024;0.0
SMA;19901025;1.4
SMA;19901026;1.9
SMA;19901027;0.8
SMA;19901028;17.8
SMA;19901029;30.3
SMA;19901030;6.5
SMA;19901031;22.8
SMA;19901101;5.6
SMA;19901102;4.3
SMA;19901103;1.5
SMA;19901104;6.7
SMA;19901105;1.6
SMA;19901106;0.0
SMA;19901107;0.0
SMA;19901108;0.0
SMA;19901109;0.0
SMA;19901110;3.1
SMA;19901111;19.3
SMA;19901112;0.0
SMA;19901113;0.8
SMA;19901114;11.9
SMA;19901115;14.1
SMA;19901116;0.0
SMA;19901117;0.9
SMA;19901118;4.4
SMA;19901119;0.8
SMA;19901120;10.0
SMA;19901121;11.3
SMA;19901122;38.8
SMA;19901123;0.8
SMA;19901124;0.0
SMA;19901125;0.5
SMA;19901126;0.0
SMA;19901127;2.9
SMA;19901128;0.2
SMA;19901129;0.3
SMA;19901130;1.1
SMA;19901201;0.0
SMA;19901202;0.0
SMA;19901203;0.0
SMA;19901204;1.2
SMA;19901205;0.5
SMA;19901206;0.0
SMA;19901207;0.0
SMA;19901208;0.0
SMA;19901209;0.9
SMA;19901210;11.0
SMA;19901211;0.0
SMA;19901212;8.3
SMA;19901213;6.9
SMA;19901214;0.1
SMA;19901215;1.4
SMA;19901216;0.0
SMA;19901217;0.0
SMA;19901218;0.5
SMA;19901219;0.8
SMA;19901220;0.0
SMA;19901221;6.9
SMA;19901222;0.0
SMA;19901223;0.1
SMA;19901224;0.0
SMA;19901225;0.6
SMA;19901226;4.5
SMA;19901227;2.3
SMA;19901228;0.0
SMA;19901229;3.6
SMA;19901230;8.1
SMA;19901231;12.2
SMA;19910101;2.5
SMA;19910102;14.0
SMA;19910103;0.0
SMA;19910104;3.1
SMA;19910105;2.1
SMA;19910106;5.1
SMA;19910107;8.3
SMA;19910108;0.0
SMA;19910109;0.0
SMA;19910110;0.0
SMA;19910111;9.4
SMA;19910112;7.1
SMA;19910113;4.1
SMA;19910114;0.0
SMA;19910115;0.0
SMA;19910116;0.0
SMA;19910117;0.0
SMA;19910118;0.0
SMA;19910119;2.8
SMA;19910120;0.0
SMA;19910121;0.9
SMA;19910122;0.0
SMA;19910123;0.0
SMA;19910124;0.0
SMA;19910125;0.0
SMA;19910126;0.0
SMA;19910127;0.0
SMA;19910128;0.0
SMA;19910129;0.0
SMA;19910130;0.0
SMA;19910131;0.0
SMA;19910201;0.0
SMA;19910202;0.0
SMA;19910203;0.0
SMA;19910204;0.0
SMA;19910205;0.0
SMA;19910206;0.1
SMA;19910207;0.0
SMA;19910208;2.4
SMA;19910209;3.0
SMA;19910210;0.6
SMA;19910211;0.0
SMA;19910212;3.8
SMA;19910213;0.0
SMA;19910214;0.1
SMA;19910215;2.9
SMA;19910216;2.4
SMA;19910217;0.6
SMA;19910218;0.0
SMA;19910219;0.0
SMA;19910220;0.0
SMA;19910221;0.0
SMA;19910222;0.6
SMA;19910223;0.0
SMA;19910224;0.0
SMA;19910225;0.0
SMA;19910226;0.0
SMA;19910227;0.5
SMA;19910228;2.0
SMA;19910301;0.0
SMA;19910302;6.0
SMA;19910303;1.0
SMA;19910304;0.0
SMA;19910305;0.0
SMA;19910306;0.0
SMA;19910307;0.0
SMA;19910308;0.0
SMA;19910309;8.4
SMA;19910310;0.0
SMA;19910311;0.2
SMA;19910312;0.0
SMA;19910313;0.0
SMA;19910314;0.0
SMA;19910315;0.0
SMA;19910316;0.0
SMA;19910317;0.0
SMA;19910318;2.6
SMA;19910319;15.8
SMA;19910320;0.7
SMA;19910321;4.9
SMA;19910322;16.8
SMA;19910323;0.0
SMA;19910324;0.0
SMA;19910325;0.1
SMA;19910326;7.1
SMA;19910327;0.1
SMA;19910328;0.0
SMA;19910329;0.0
SMA;19910330;0.0
SMA;19910331;0.0
SMA;19910401;0.0
SMA;19910402;0.0
SMA;19910403;7.5
SMA;19910404;10.4
SMA;19910405;5.2
SMA;19910406;0.0
SMA;19910407;0.0
SMA;19910408;0.0
SMA;19910409;0.0
SMA;19910410;0.0
SMA;19910411;0.0
SMA;19910412;0.0
SMA;19910413;0.0
SMA;19910414;0.0
SMA;19910415;0.0
SMA;19910416;3.6
SMA;19910417;0.3
SMA;19910418;3.7
SMA;19910419;2.2
SMA;19910420;4.2
SMA;19910421;0.0
SMA;19910422;1.6
SMA;19910423;0.3
SMA;19910424;0.0
SMA;19910425;0.0
SMA;19910426;0.0
SMA;19910427;17.4
SMA;19910428;0.7
SMA;19910429;0.5
SMA;19910430;5.0
SMA;19910501;5.8
SMA;19910502;2.6
SMA;19910503;1.2
SMA;19910504;7.2
SMA;19910505;0.3
SMA;19910506;0.7
SMA;19910507;0.4
SMA;19910508;0.0
SMA;19910509;0.0
SMA;19910510;26.9
SMA;19910511;48.2
SMA;19910512;0.7
SMA;19910513;0.0
SMA;19910514;16.7
SMA;19910515;4.1
SMA;19910516;8.1
SMA;19910517;8.6
SMA;19910518;3.9
SMA;19910519;0.0
SMA;19910520;0.0
SMA;19910521;0.0
SMA;19910522;0.0
SMA;19910523;0.0
SMA;19910524;0.0
SMA;19910525;3.0
SMA;19910526;0.5
SMA;19910527;0.0
SMA;19910528;0.0
SMA;19910529;0.0
SMA;19910530;0.0
SMA;19910531;0.0
SMA;19910601;0.5
SMA;19910602;8.2
SMA;19910603;18.4
SMA;19910604;0.6
SMA;19910605;3.7
SMA;19910606;15.8
SMA;19910607;4.5
