 

stn;time;rre150d0
SNG;19900101;0.0
SNG;19900102;0.0
SNG;19900103;0.0
SNG;19900104;0.0
SNG;19900105;0.0
SNG;19900106;1.6
SNG;19900107;0.0
SNG;19900108;0.0
SNG;19900109;0.0
SNG;19900110;0.0
SNG;19900111;0.0
SNG;19900112;0.0
SNG;19900113;0.0
SNG;19900114;0.0
SNG;19900115;0.5
SNG;19900116;0.0
SNG;19900117;2.4
SNG;19900118;1.8
SNG;19900119;0.0
SNG;19900120;2.0
SNG;19900121;0.0
SNG;19900122;0.0
SNG;19900123;2.5
SNG;19900124;5.7
SNG;19900125;16.7
SNG;19900126;3.0
SNG;19900127;0.0
SNG;19900128;5.5
SNG;19900129;0.0
SNG;19900130;0.0
SNG;19900131;0.0
SNG;19900201;0.0
SNG;19900202;3.3
SNG;19900203;1.0
SNG;19900204;0.0
SNG;19900205;0.0
SNG;19900206;0.0
SNG;19900207;0.0
SNG;19900208;0.0
SNG;19900209;0.0
SNG;19900210;13.0
SNG;19900211;4.3
SNG;19900212;16.5
SNG;19900213;16.2
SNG;19900214;52.8
SNG;19900215;8.4
SNG;19900216;6.1
SNG;19900217;0.6
SNG;19900218;0.0
SNG;19900219;0.0
SNG;19900220;0.0
SNG;19900221;0.0
SNG;19900222;0.0
SNG;19900223;0.0
SNG;19900224;0.0
SNG;19900225;0.0
SNG;19900226;17.4
SNG;19900227;18.3
SNG;19900228;23.1
SNG;19900301;6.8
SNG;19900302;1.0
SNG;19900303;0.0
SNG;19900304;0.0
SNG;19900305;0.0
SNG;19900306;0.0
SNG;19900307;0.0
SNG;19900308;0.0
SNG;19900309;0.0
SNG;19900310;0.0
SNG;19900311;0.0
SNG;19900312;0.0
SNG;19900313;0.0
SNG;19900314;4.8
SNG;19900315;0.0
SNG;19900316;0.0
SNG;19900317;0.0
SNG;19900318;0.0
SNG;19900319;0.0
SNG;19900320;3.5
SNG;19900321;0.0
SNG;19900322;11.0
SNG;19900323;0.0
SNG;19900324;0.0
SNG;19900325;3.0
SNG;19900326;0.0
SNG;19900327;14.1
SNG;19900328;3.4
SNG;19900329;0.0
SNG;19900330;0.5
SNG;19900331;0.0
SNG;19900401;0.0
SNG;19900402;0.0
SNG;19900403;6.0
SNG;19900404;0.0
SNG;19900405;2.1
SNG;19900406;0.9
SNG;19900407;1.7
SNG;19900408;1.2
SNG;19900409;1.2
SNG;19900410;0.0
SNG;19900411;8.0
SNG;19900412;0.5
SNG;19900413;0.0
SNG;19900414;4.9
SNG;19900415;14.3
SNG;19900416;1.5
SNG;19900417;2.0
SNG;19900418;2.1
SNG;19900419;0.0
SNG;19900420;0.0
SNG;19900421;0.0
SNG;19900422;25.5
SNG;19900423;5.4
SNG;19900424;0.0
SNG;19900425;2.9
SNG;19900426;2.0
SNG;19900427;0.0
SNG;19900428;0.0
SNG;19900429;0.0
SNG;19900430;0.0
SNG;19900501;0.0
SNG;19900502;0.0
SNG;19900503;0.0
SNG;19900504;0.0
SNG;19900505;0.0
SNG;19900506;0.0
SNG;19900507;0.8
SNG;19900508;12.7
SNG;19900509;2.9
SNG;19900510;24.1
SNG;19900511;18.6
SNG;19900512;0.0
SNG;19900513;13.0
SNG;19900514;1.5
SNG;19900515;0.3
SNG;19900516;0.0
SNG;19900517;0.0
SNG;19900518;0.0
SNG;19900519;7.5
SNG;19900520;1.8
SNG;19900521;4.0
SNG;19900522;0.3
SNG;19900523;0.9
SNG;19900524;15.0
SNG;19900525;2.0
SNG;19900526;0.0
SNG;19900527;0.0
SNG;19900528;0.0
SNG;19900529;0.0
SNG;19900530;0.0
SNG;19900531;0.0
SNG;19900601;0.0
SNG;19900602;23.1
SNG;19900603;6.0
SNG;19900604;6.3
SNG;19900605;13.0
SNG;19900606;0.0
SNG;19900607;13.4
SNG;19900608;10.6
SNG;19900609;4.8
SNG;19900610;4.3
SNG;19900611;0.0
SNG;19900612;12.5
SNG;19900613;5.0
SNG;19900614;0.0
SNG;19900615;0.0
SNG;19900616;0.0
SNG;19900617;1.3
SNG;19900618;0.0
SNG;19900619;10.7
SNG;19900620;18.6
SNG;19900621;0.5
SNG;19900622;6.6
SNG;19900623;0.0
SNG;19900624;0.0
SNG;19900625;0.0
SNG;19900626;0.0
SNG;19900627;23.2
SNG;19900628;0.0
SNG;19900629;31.5
SNG;19900630;23.5
SNG;19900701;0.3
SNG;19900702;0.0
SNG;19900703;14.5
SNG;19900704;0.0
SNG;19900705;5.2
SNG;19900706;0.0
SNG;19900707;5.6
SNG;19900708;0.0
SNG;19900709;1.6
SNG;19900710;0.0
SNG;19900711;0.0
SNG;19900712;0.0
SNG;19900713;0.0
SNG;19900714;0.0
SNG;19900715;0.0
SNG;19900716;0.0
SNG;19900717;0.0
SNG;19900718;0.0
SNG;19900719;0.0
SNG;19900720;0.0
SNG;19900721;0.0
SNG;19900722;0.0
SNG;19900723;0.0
SNG;19900724;0.0
SNG;19900725;0.0
SNG;19900726;0.0
SNG;19900727;0.0
SNG;19900728;0.0
SNG;19900729;38.9
SNG;19900730;1.3
SNG;19900731;0.0
SNG;19900801;0.0
SNG;19900802;0.0
SNG;19900803;0.0
SNG;19900804;0.0
SNG;19900805;1.2
SNG;19900806;0.0
SNG;19900807;0.0
SNG;19900808;0.0
SNG;19900809;0.0
SNG;19900810;0.0
SNG;19900811;0.0
SNG;19900812;0.0
SNG;19900813;0.4
SNG;19900814;17.3
SNG;19900815;0.0
SNG;19900816;9.0
SNG;19900817;0.1
SNG;19900818;0.0
SNG;19900819;0.0
SNG;19900820;0.0
SNG;19900821;0.0
SNG;19900822;0.0
SNG;19900823;0.0
SNG;19900824;0.0
SNG;19900825;0.4
SNG;19900826;0.0
SNG;19900827;0.0
SNG;19900828;0.9
SNG;19900829;0.5
SNG;19900830;5.0
SNG;19900831;13.0
SNG;19900901;0.0
SNG;19900902;0.0
SNG;19900903;1.9
SNG;19900904;2.0
SNG;19900905;0.0
SNG;19900906;3.0
SNG;19900907;7.1
SNG;19900908;0.0
SNG;19900909;0.0
SNG;19900910;0.0
SNG;19900911;0.0
SNG;19900912;0.0
SNG;19900913;0.0
SNG;19900914;8.7
SNG;19900915;0.1
SNG;19900916;0.0
SNG;19900917;0.0
SNG;19900918;0.0
SNG;19900919;0.0
SNG;19900920;0.0
SNG;19900921;1.0
SNG;19900922;50.2
SNG;19900923;31.5
SNG;19900924;0.0
SNG;19900925;0.0
SNG;19900926;0.0
SNG;19900927;0.0
SNG;19900928;0.0
SNG;19900929;0.0
SNG;19900930;13.6
SNG;19901001;5.3
SNG;19901002;0.0
SNG;19901003;3.0
SNG;19901004;17.0
SNG;19901005;0.0
SNG;19901006;0.0
SNG;19901007;4.5
SNG;19901008;0.0
SNG;19901009;0.0
SNG;19901010;0.0
SNG;19901011;0.0
SNG;19901012;0.0
SNG;19901013;0.0
SNG;19901014;0.0
SNG;19901015;0.0
SNG;19901016;0.3
SNG;19901017;1.5
SNG;19901018;0.0
SNG;19901019;0.4
SNG;19901020;0.0
SNG;19901021;0.0
SNG;19901022;0.0
SNG;19901023;0.0
SNG;19901024;0.0
SNG;19901025;1.0
SNG;19901026;1.8
SNG;19901027;0.2
SNG;19901028;13.5
SNG;19901029;29.8
SNG;19901030;6.5
SNG;19901031;18.5
SNG;19901101;8.6
SNG;19901102;4.4
SNG;19901103;5.1
SNG;19901104;29.5
SNG;19901105;0.5
SNG;19901106;0.0
SNG;19901107;0.0
SNG;19901108;0.0
SNG;19901109;0.0
SNG;19901110;4.9
SNG;19901111;15.9
SNG;19901112;0.0
SNG;19901113;5.5
SNG;19901114;7.4
SNG;19901115;8.0
SNG;19901116;0.0
SNG;19901117;0.5
SNG;19901118;4.9
SNG;19901119;0.9
SNG;19901120;12.4
SNG;19901121;12.2
SNG;19901122;27.0
SNG;19901123;4.0
SNG;19901124;0.0
SNG;19901125;1.0
SNG;19901126;0.0
SNG;19901127;3.3
SNG;19901128;0.0
SNG;19901129;0.6
SNG;19901130;0.5
SNG;19901201;0.0
SNG;19901202;0.0
SNG;19901203;0.0
SNG;19901204;2.0
SNG;19901205;0.0
SNG;19901206;0.0
SNG;19901207;0.0
SNG;19901208;0.0
SNG;19901209;3.5
SNG;19901210;11.3
SNG;19901211;0.0
SNG;19901212;8.9
SNG;19901213;3.8
SNG;19901214;0.3
SNG;19901215;0.3
SNG;19901216;0.0
SNG;19901217;0.0
SNG;19901218;0.8
SNG;19901219;1.0
SNG;19901220;2.2
SNG;19901221;3.6
SNG;19901222;0.2
SNG;19901223;0.5
SNG;19901224;0.0
SNG;19901225;3.4
SNG;19901226;7.6
SNG;19901227;4.4
SNG;19901228;3.0
SNG;19901229;0.6
SNG;19901230;6.5
SNG;19901231;5.1
SNG;19910101;1.5
SNG;19910102;11.9
SNG;19910103;0.0
SNG;19910104;6.6
SNG;19910105;7.5
SNG;19910106;2.5
SNG;19910107;2.8
SNG;19910108;0.0
SNG;19910109;0.0
SNG;19910110;0.0
SNG;19910111;9.6
SNG;19910112;8.1
SNG;19910113;6.6
SNG;19910114;0.0
SNG;19910115;0.0
SNG;19910116;0.0
SNG;19910117;0.0
SNG;19910118;0.0
SNG;19910119;2.3
SNG;19910120;0.0
SNG;19910121;2.4
SNG;19910122;0.0
SNG;19910123;0.0
SNG;19910124;0.0
SNG;19910125;0.0
SNG;19910126;0.0
SNG;19910127;0.0
SNG;19910128;0.0
SNG;19910129;0.0
SNG;19910130;0.0
SNG;19910131;0.0
SNG;19910201;0.0
SNG;19910202;0.0
SNG;19910203;0.0
SNG;19910204;0.0
SNG;19910205;0.5
SNG;19910206;0.0
SNG;19910207;0.0
SNG;19910208;5.2
SNG;19910209;11.5
SNG;19910210;0.4
SNG;19910211;0.0
SNG;19910212;3.4
SNG;19910213;0.0
SNG;19910214;0.0
SNG;19910215;4.4
SNG;19910216;3.1
SNG;19910217;0.5
SNG;19910218;0.0
SNG;19910219;0.0
SNG;19910220;0.0
SNG;19910221;1.2
SNG;19910222;0.0
SNG;19910223;0.0
SNG;19910224;0.0
SNG;19910225;0.0
SNG;19910226;0.0
SNG;19910227;2.2
SNG;19910228;2.0
SNG;19910301;0.0
SNG;19910302;6.3
SNG;19910303;1.6
SNG;19910304;0.0
SNG;19910305;0.0
SNG;19910306;0.0
SNG;19910307;0.0
SNG;19910308;0.0
SNG;19910309;11.6
SNG;19910310;1.0
SNG;19910311;0.9
SNG;19910312;0.0
SNG;19910313;0.0
SNG;19910314;0.0
SNG;19910315;0.0
SNG;19910316;0.0
SNG;19910317;0.2
SNG;19910318;0.0
SNG;19910319;6.6
SNG;19910320;0.0
SNG;19910321;4.2
SNG;19910322;12.5
SNG;19910323;0.0
SNG;19910324;0.0
SNG;19910325;0.5
SNG;19910326;7.0
SNG;19910327;0.0
SNG;19910328;0.0
SNG;19910329;0.0
SNG;19910330;0.0
SNG;19910331;0.0
SNG;19910401;0.0
SNG;19910402;0.0
SNG;19910403;4.5
SNG;19910404;7.6
SNG;19910405;2.6
SNG;19910406;0.0
SNG;19910407;0.0
SNG;19910408;0.0
SNG;19910409;0.0
SNG;19910410;0.0
SNG;19910411;0.0
SNG;19910412;0.0
SNG;19910413;1.0
SNG;19910414;0.0
SNG;19910415;0.0
SNG;19910416;1.0
SNG;19910417;1.4
SNG;19910418;4.0
SNG;19910419;0.7
SNG;19910420;2.5
SNG;19910421;0.0
SNG;19910422;2.2
SNG;19910423;0.0
SNG;19910424;0.0
SNG;19910425;0.0
SNG;19910426;0.0
SNG;19910427;1.9
SNG;19910428;0.0
SNG;19910429;0.0
SNG;19910430;3.6
SNG;19910501;1.1
SNG;19910502;1.9
SNG;19910503;5.0
SNG;19910504;5.5
SNG;19910505;0.6
SNG;19910506;0.0
SNG;19910507;0.7
SNG;19910508;0.0
SNG;19910509;0.0
SNG;19910510;38.6
SNG;19910511;53.0
SNG;19910512;2.0
SNG;19910513;0.0
SNG;19910514;8.6
SNG;19910515;8.5
SNG;19910516;4.1
SNG;19910517;7.0
SNG;19910518;1.9
SNG;19910519;0.0
SNG;19910520;0.0
SNG;19910521;0.0
SNG;19910522;0.0
SNG;19910523;0.0
SNG;19910524;0.0
SNG;19910525;2.0
SNG;19910526;0.2
SNG;19910527;0.0
SNG;19910528;0.0
SNG;19910529;0.0
SNG;19910530;0.0
SNG;19910531;0.0
SNG;19910601;0.0
SNG;19910602;17.5
SNG;19910603;17.0
SNG;19910604;0.1
SNG;19910605;4.0
SNG;19910606;14.9
SNG;19910607;4.4
SNG;19910608;4.9
SNG;19910609;7.0
SNG;19910610;0.5
SNG;19910611;0.0
SNG;19910612;1.3
SNG;19910613;0.6
SNG;19910614;0.0
SNG;19910615;13.0
SNG;19910616;28.9
SNG;19910617;17.5
SNG;19910618;0.8
SNG;19910619;0.0
SNG;19910620;4.9
SNG;19910621;0.0
SNG;19910622;4.1
SNG;19910623;10.6
SNG;19910624;0.4
SNG;19910625;0.0
SNG;19910626;6.9
SNG;19910627;3.8
SNG;19910628;7.2
SNG;19910629;2.6
SNG;19910630;0.0
SNG;19910701;0.0
SNG;19910702;0.0
SNG;19910703;0.0
SNG;19910704;0.0
SNG;19910705;0.0
SNG;19910706;0.0
SNG;19910707;7.7
SNG;19910708;0.0
SNG;19910709;0.0
SNG;19910710;0.0
SNG;19910711;0.0
SNG;19910712;1.2
SNG;19910713;2.0
SNG;19910714;7.4
SNG;19910715;0.0
SNG;19910716;0.0
SNG;19910717;3.2
SNG;19910718;0.0
SNG;19910719;0.4
SNG;19910720;0.0
SNG;19910721;0.0
SNG;19910722;0.0
SNG;19910723;5.7
SNG;19910724;7.0
SNG;19910725;13.4
SNG;19910726;29.4
SNG;19910727;0.0
SNG;19910728;0.0
SNG;19910729;0.0
SNG;19910730;2.8
SNG;19910731;5.2
SNG;19910801;0.0
SNG;19910802;0.0
SNG;19910803;0.0
SNG;19910804;0.0
SNG;19910805;0.0
SNG;19910806;0.0
SNG;19910807;0.0
SNG;19910808;7.7
SNG;19910809;0.4
SNG;19910810;0.0
SNG;19910811;0.0
SNG;19910812;0.0
SNG;19910813;0.0
SNG;19910814;0.0
SNG;19910815;0.0
SNG;19910816;0.0
SNG;19910817;0.0
SNG;19910818;0.0
SNG;19910819;0.0
SNG;19910820;0.0
SNG;19910821;0.0
SNG;19910822;3.8
SNG;19910823;0.0
SNG;19910824;0.0
SNG;19910825;2.5
SNG;19910826;0.0
SNG;19910827;0.0
SNG;19910828;0.0
SNG;19910829;0.0
SNG;19910830;0.0
SNG;19910831;0.0
SNG;19910901;5.6
SNG;19910902;0.0
SNG;19910903;0.0
SNG;19910904;0.0
SNG;19910905;0.0
SNG;19910906;0.0
SNG;19910907;0.0
SNG;19910908;0.0
SNG;19910909;0.0
SNG;19910910;0.0
SNG;19910911;34.5
SNG;19910912;0.4
SNG;19910913;0.0
SNG;19910914;0.0
SNG;19910915;0.0
SNG;19910916;0.0
SNG;19910917;0.0
SNG;19910918;0.0
SNG;19910919;0.0
SNG;19910920;1.3
SNG;19910921;0.0
SNG;19910922;37.0
