 

stn;time;rre150d0
STE;19900101;0.0
STE;19900102;0.0
STE;19900103;0.0
STE;19900104;0.0
STE;19900105;2.4
STE;19900106;0.3
STE;19900107;0.0
STE;19900108;0.0
STE;19900109;0.0
STE;19900110;0.0
STE;19900111;0.0
STE;19900112;0.0
STE;19900113;0.0
STE;19900114;0.0
STE;19900115;0.3
STE;19900116;0.0
STE;19900117;3.5
STE;19900118;0.1
STE;19900119;0.0
STE;19900120;0.0
STE;19900121;0.0
STE;19900122;0.0
STE;19900123;5.8
STE;19900124;0.8
STE;19900125;16.2
STE;19900126;0.5
STE;19900127;0.0
STE;19900128;2.1
STE;19900129;0.2
STE;19900130;0.0
STE;19900131;0.0
STE;19900201;0.0
STE;19900202;8.6
STE;19900203;0.5
STE;19900204;0.0
STE;19900205;0.0
STE;19900206;0.0
STE;19900207;0.0
STE;19900208;1.5
STE;19900209;0.0
STE;19900210;7.4
STE;19900211;3.7
STE;19900212;4.7
STE;19900213;14.4
STE;19900214;30.5
STE;19900215;10.0
STE;19900216;0.0
STE;19900217;0.2
STE;19900218;0.0
STE;19900219;0.0
STE;19900220;0.0
STE;19900221;0.1
STE;19900222;0.0
STE;19900223;0.0
STE;19900224;0.0
STE;19900225;0.4
STE;19900226;20.8
STE;19900227;17.5
STE;19900228;16.0
STE;19900301;1.6
STE;19900302;0.2
STE;19900303;0.0
STE;19900304;0.0
STE;19900305;0.0
STE;19900306;0.0
STE;19900307;0.0
STE;19900308;0.0
STE;19900309;0.0
STE;19900310;0.0
STE;19900311;0.0
STE;19900312;0.0
STE;19900313;0.0
STE;19900314;3.8
STE;19900315;0.0
STE;19900316;0.0
STE;19900317;0.0
STE;19900318;0.0
STE;19900319;0.0
STE;19900320;2.4
STE;19900321;0.0
STE;19900322;12.0
STE;19900323;0.0
STE;19900324;3.1
STE;19900325;0.4
STE;19900326;0.0
STE;19900327;8.8
STE;19900328;5.6
STE;19900329;2.5
STE;19900330;0.0
STE;19900331;0.0
STE;19900401;0.0
STE;19900402;0.0
STE;19900403;10.7
STE;19900404;0.0
STE;19900405;3.5
STE;19900406;0.2
STE;19900407;5.2
STE;19900408;3.1
STE;19900409;0.8
STE;19900410;0.6
STE;19900411;4.3
STE;19900412;0.3
STE;19900413;0.0
STE;19900414;0.1
STE;19900415;6.3
STE;19900416;2.1
STE;19900417;0.8
STE;19900418;0.0
STE;19900419;0.0
STE;19900420;0.0
STE;19900421;0.0
STE;19900422;2.5
STE;19900423;2.8
STE;19900424;0.5
STE;19900425;3.2
STE;19900426;1.7
STE;19900427;0.6
STE;19900428;0.0
STE;19900429;0.0
STE;19900430;0.0
STE;19900501;0.0
STE;19900502;0.0
STE;19900503;0.0
STE;19900504;0.0
STE;19900505;0.0
STE;19900506;0.0
STE;19900507;0.0
STE;19900508;2.0
STE;19900509;0.0
STE;19900510;4.6
STE;19900511;10.9
STE;19900512;0.0
STE;19900513;2.5
STE;19900514;0.0
STE;19900515;0.0
STE;19900516;0.0
STE;19900517;0.0
STE;19900518;0.0
STE;19900519;0.0
STE;19900520;0.0
STE;19900521;6.8
STE;19900522;0.0
STE;19900523;0.9
STE;19900524;39.4
STE;19900525;10.1
STE;19900526;0.0
STE;19900527;0.0
STE;19900528;0.0
STE;19900529;0.0
STE;19900530;0.0
STE;19900531;0.0
STE;19900601;0.0
STE;19900602;13.4
STE;19900603;2.7
STE;19900604;0.7
STE;19900605;20.1
STE;19900606;0.1
STE;19900607;9.7
STE;19900608;14.2
STE;19900609;8.9
STE;19900610;3.7
STE;19900611;0.0
STE;19900612;7.4
STE;19900613;2.4
STE;19900614;0.0
STE;19900615;0.0
STE;19900616;0.0
STE;19900617;0.0
STE;19900618;0.5
STE;19900619;1.5
STE;19900620;12.0
STE;19900621;2.5
STE;19900622;2.1
STE;19900623;0.2
STE;19900624;0.0
STE;19900625;0.0
STE;19900626;0.0
STE;19900627;10.0
STE;19900628;0.0
STE;19900629;10.3
STE;19900630;14.2
STE;19900701;0.0
STE;19900702;0.0
STE;19900703;14.3
STE;19900704;0.2
STE;19900705;9.5
STE;19900706;0.0
STE;19900707;15.7
STE;19900708;0.8
STE;19900709;4.2
STE;19900710;0.0
STE;19900711;0.0
STE;19900712;0.0
STE;19900713;0.0
STE;19900714;0.0
STE;19900715;0.0
STE;19900716;0.0
STE;19900717;9.6
STE;19900718;0.0
STE;19900719;0.0
STE;19900720;0.0
STE;19900721;0.0
STE;19900722;0.0
STE;19900723;0.0
STE;19900724;0.0
STE;19900725;0.0
STE;19900726;0.0
STE;19900727;0.0
STE;19900728;0.0
STE;19900729;3.5
STE;19900730;27.9
STE;19900731;0.5
STE;19900801;0.0
STE;19900802;0.0
STE;19900803;0.0
STE;19900804;0.0
STE;19900805;0.0
STE;19900806;0.0
STE;19900807;0.0
STE;19900808;0.0
STE;19900809;0.0
STE;19900810;0.0
STE;19900811;0.0
STE;19900812;0.0
STE;19900813;0.0
STE;19900814;6.3
STE;19900815;0.2
STE;19900816;6.9
STE;19900817;1.5
STE;19900818;0.0
STE;19900819;0.0
STE;19900820;0.0
STE;19900821;0.0
STE;19900822;0.0
STE;19900823;0.0
STE;19900824;0.0
STE;19900825;3.9
STE;19900826;15.5
STE;19900827;0.0
STE;19900828;0.0
STE;19900829;0.9
STE;19900830;0.2
STE;19900831;7.8
STE;19900901;0.0
STE;19900902;0.2
STE;19900903;2.3
STE;19900904;2.5
STE;19900905;0.0
STE;19900906;3.2
STE;19900907;4.1
STE;19900908;2.0
STE;19900909;0.0
STE;19900910;4.3
STE;19900911;0.5
STE;19900912;0.0
STE;19900913;0.0
STE;19900914;0.0
STE;19900915;0.0
STE;19900916;0.0
STE;19900917;1.1
STE;19900918;0.0
STE;19900919;0.1
STE;19900920;0.0
STE;19900921;0.9
STE;19900922;20.2
STE;19900923;10.3
STE;19900924;0.0
STE;19900925;0.0
STE;19900926;0.0
STE;19900927;0.0
STE;19900928;0.0
STE;19900929;0.0
STE;19900930;9.1
STE;19901001;8.9
STE;19901002;0.1
STE;19901003;1.8
STE;19901004;10.7
STE;19901005;0.0
STE;19901006;0.0
STE;19901007;8.2
STE;19901008;0.0
STE;19901009;0.0
STE;19901010;0.0
STE;19901011;0.2
STE;19901012;0.0
STE;19901013;0.0
STE;19901014;0.0
STE;19901015;0.0
STE;19901016;2.7
STE;19901017;1.8
STE;19901018;0.2
STE;19901019;0.0
STE;19901020;0.0
STE;19901021;0.0
STE;19901022;0.0
STE;19901023;0.0
STE;19901024;0.0
STE;19901025;0.7
STE;19901026;0.3
STE;19901027;1.2
STE;19901028;21.3
STE;19901029;25.2
STE;19901030;5.4
STE;19901031;5.2
STE;19901101;3.1
STE;19901102;2.1
STE;19901103;2.6
STE;19901104;4.8
STE;19901105;0.8
STE;19901106;0.0
STE;19901107;0.0
STE;19901108;0.0
STE;19901109;0.0
STE;19901110;4.0
STE;19901111;10.0
STE;19901112;0.0
STE;19901113;1.0
STE;19901114;7.2
STE;19901115;12.3
STE;19901116;0.0
STE;19901117;0.2
STE;19901118;1.9
STE;19901119;5.5
STE;19901120;10.3
STE;19901121;8.2
STE;19901122;23.0
STE;19901123;0.0
STE;19901124;0.0
STE;19901125;1.1
STE;19901126;0.0
STE;19901127;5.0
STE;19901128;0.2
STE;19901129;1.4
STE;19901130;0.7
STE;19901201;0.0
STE;19901202;0.0
STE;19901203;0.0
STE;19901204;2.1
STE;19901205;0.1
STE;19901206;0.0
STE;19901207;0.0
STE;19901208;0.0
STE;19901209;0.0
STE;19901210;4.1
STE;19901211;0.3
STE;19901212;4.4
STE;19901213;2.5
STE;19901214;0.2
STE;19901215;2.7
STE;19901216;0.0
STE;19901217;0.0
STE;19901218;0.0
STE;19901219;0.0
STE;19901220;1.7
STE;19901221;6.5
STE;19901222;0.4
STE;19901223;0.2
STE;19901224;0.0
STE;19901225;1.8
STE;19901226;7.5
STE;19901227;2.3
STE;19901228;1.5
STE;19901229;0.8
STE;19901230;12.2
STE;19901231;5.4
STE;19910101;0.8
STE;19910102;3.6
STE;19910103;0.0
STE;19910104;2.7
STE;19910105;9.8
STE;19910106;5.7
STE;19910107;10.1
