 

stn;time;rre150d0
STG;19900101;0.0
STG;19900102;0.0
STG;19900103;0.0
STG;19900104;0.0
STG;19900105;4.5
STG;19900106;1.6
STG;19900107;0.0
STG;19900108;0.0
STG;19900109;0.0
STG;19900110;0.0
STG;19900111;0.0
STG;19900112;0.0
STG;19900113;0.0
STG;19900114;0.0
STG;19900115;0.0
STG;19900116;0.0
STG;19900117;0.0
STG;19900118;4.2
STG;19900119;0.0
STG;19900120;1.5
STG;19900121;0.0
STG;19900122;0.0
STG;19900123;0.1
STG;19900124;7.0
STG;19900125;5.5
STG;19900126;2.3
STG;19900127;0.0
STG;19900128;2.7
STG;19900129;0.0
STG;19900130;0.0
STG;19900131;0.0
STG;19900201;0.0
STG;19900202;2.1
STG;19900203;1.2
STG;19900204;0.0
STG;19900205;0.0
STG;19900206;0.0
STG;19900207;0.0
STG;19900208;0.3
STG;19900209;0.0
STG;19900210;3.2
STG;19900211;3.9
STG;19900212;7.1
STG;19900213;9.4
STG;19900214;17.3
STG;19900215;11.9
STG;19900216;3.6
STG;19900217;1.7
STG;19900218;0.0
STG;19900219;0.0
STG;19900220;0.0
STG;19900221;0.0
STG;19900222;0.0
STG;19900223;0.0
STG;19900224;0.0
STG;19900225;0.3
STG;19900226;21.8
STG;19900227;13.7
STG;19900228;5.7
STG;19900301;4.9
STG;19900302;2.9
STG;19900303;0.0
STG;19900304;0.0
STG;19900305;0.0
STG;19900306;0.0
STG;19900307;0.0
STG;19900308;0.0
STG;19900309;0.0
STG;19900310;0.0
STG;19900311;0.0
STG;19900312;0.0
STG;19900313;1.2
STG;19900314;20.7
STG;19900315;0.0
STG;19900316;0.0
STG;19900317;0.0
STG;19900318;0.0
STG;19900319;0.0
STG;19900320;1.9
STG;19900321;0.0
STG;19900322;14.7
STG;19900323;6.3
STG;19900324;0.0
STG;19900325;11.3
STG;19900326;4.2
STG;19900327;18.5
STG;19900328;3.6
STG;19900329;2.0
STG;19900330;0.0
STG;19900331;0.0
STG;19900401;0.0
STG;19900402;0.0
STG;19900403;5.0
STG;19900404;0.0
STG;19900405;0.0
STG;19900406;0.0
STG;19900407;11.4
STG;19900408;1.1
STG;19900409;0.4
STG;19900410;0.7
STG;19900411;12.0
STG;19900412;2.0
STG;19900413;0.0
STG;19900414;0.9
STG;19900415;7.7
STG;19900416;1.9
STG;19900417;8.5
STG;19900418;3.6
STG;19900419;0.9
STG;19900420;0.0
STG;19900421;0.0
STG;19900422;1.9
STG;19900423;3.7
STG;19900424;4.3
STG;19900425;1.7
STG;19900426;0.0
STG;19900427;2.5
STG;19900428;0.0
STG;19900429;0.0
STG;19900430;0.0
STG;19900501;0.0
STG;19900502;0.0
STG;19900503;0.0
STG;19900504;0.0
STG;19900505;0.0
STG;19900506;0.6
STG;19900507;3.2
STG;19900508;0.4
STG;19900509;6.4
STG;19900510;10.4
STG;19900511;13.7
STG;19900512;0.2
STG;19900513;5.7
STG;19900514;1.7
STG;19900515;0.2
STG;19900516;0.0
STG;19900517;0.0
STG;19900518;0.0
STG;19900519;0.0
STG;19900520;0.0
STG;19900521;4.7
STG;19900522;0.0
STG;19900523;0.0
STG;19900524;55.0
STG;19900525;37.4
STG;19900526;0.0
STG;19900527;0.0
STG;19900528;0.7
STG;19900529;0.0
STG;19900530;0.0
STG;19900531;0.0
STG;19900601;0.0
STG;19900602;7.9
STG;19900603;6.2
STG;19900604;8.5
STG;19900605;15.3
STG;19900606;2.4
STG;19900607;9.0
STG;19900608;18.4
STG;19900609;12.9
STG;19900610;4.1
STG;19900611;0.0
STG;19900612;16.9
STG;19900613;2.7
STG;19900614;0.0
STG;19900615;0.3
STG;19900616;0.0
STG;19900617;0.0
