 

stn;time;rre150d0
TAE;19900101;0.0
TAE;19900102;0.0
TAE;19900103;0.0
TAE;19900104;0.0
TAE;19900105;0.5
TAE;19900106;2.2
TAE;19900107;0.0
TAE;19900108;0.0
TAE;19900109;0.0
TAE;19900110;0.0
TAE;19900111;0.0
TAE;19900112;0.0
TAE;19900113;0.0
TAE;19900114;0.0
TAE;19900115;0.1
TAE;19900116;0.0
TAE;19900117;2.4
TAE;19900118;3.2
TAE;19900119;0.0
TAE;19900120;0.5
TAE;19900121;0.0
TAE;19900122;0.0
TAE;19900123;2.3
TAE;19900124;6.3
TAE;19900125;14.6
TAE;19900126;1.8
TAE;19900127;0.0
TAE;19900128;0.5
TAE;19900129;0.0
TAE;19900130;0.0
TAE;19900131;0.0
TAE;19900201;0.0
TAE;19900202;10.4
TAE;19900203;0.0
TAE;19900204;0.0
TAE;19900205;0.0
TAE;19900206;0.0
TAE;19900207;0.0
TAE;19900208;0.1
TAE;19900209;0.0
TAE;19900210;8.8
TAE;19900211;3.3
TAE;19900212;6.6
TAE;19900213;21.1
TAE;19900214;33.2
TAE;19900215;12.1
TAE;19900216;4.3
TAE;19900217;0.3
TAE;19900218;0.0
TAE;19900219;0.0
TAE;19900220;0.0
TAE;19900221;0.0
TAE;19900222;0.0
TAE;19900223;0.0
TAE;19900224;0.0
TAE;19900225;0.0
TAE;19900226;33.1
TAE;19900227;22.8
TAE;19900228;16.5
TAE;19900301;1.6
TAE;19900302;0.2
TAE;19900303;0.0
TAE;19900304;0.0
TAE;19900305;0.0
TAE;19900306;0.0
TAE;19900307;0.0
TAE;19900308;0.1
TAE;19900309;0.0
TAE;19900310;0.0
TAE;19900311;0.0
TAE;19900312;0.0
TAE;19900313;0.0
TAE;19900314;4.6
TAE;19900315;0.0
TAE;19900316;0.0
TAE;19900317;0.0
TAE;19900318;0.0
TAE;19900319;0.0
TAE;19900320;2.0
TAE;19900321;0.0
TAE;19900322;12.5
TAE;19900323;1.3
TAE;19900324;0.0
TAE;19900325;11.0
TAE;19900326;0.3
TAE;19900327;21.5
TAE;19900328;3.7
TAE;19900329;1.0
TAE;19900330;0.0
TAE;19900331;0.0
TAE;19900401;0.0
TAE;19900402;0.0
TAE;19900403;12.1
TAE;19900404;0.0
TAE;19900405;0.7
TAE;19900406;0.0
TAE;19900407;6.9
TAE;19900408;1.6
TAE;19900409;0.1
TAE;19900410;0.2
TAE;19900411;10.0
TAE;19900412;2.2
TAE;19900413;0.0
TAE;19900414;0.4
TAE;19900415;18.0
TAE;19900416;2.4
TAE;19900417;4.4
TAE;19900418;0.3
TAE;19900419;0.0
TAE;19900420;0.0
TAE;19900421;0.0
TAE;19900422;3.4
TAE;19900423;4.9
TAE;19900424;1.8
TAE;19900425;1.0
TAE;19900426;0.3
TAE;19900427;0.3
TAE;19900428;0.0
TAE;19900429;0.0
TAE;19900430;0.0
TAE;19900501;0.0
TAE;19900502;0.0
TAE;19900503;0.0
TAE;19900504;0.0
TAE;19900505;0.0
TAE;19900506;23.9
TAE;19900507;0.4
TAE;19900508;0.0
TAE;19900509;5.1
TAE;19900510;13.8
TAE;19900511;9.7
TAE;19900512;0.0
TAE;19900513;6.6
TAE;19900514;0.2
TAE;19900515;0.0
TAE;19900516;0.1
TAE;19900517;0.0
TAE;19900518;0.0
TAE;19900519;0.0
TAE;19900520;0.0
TAE;19900521;2.3
TAE;19900522;0.1
TAE;19900523;3.5
TAE;19900524;32.0
TAE;19900525;13.9
TAE;19900526;0.0
TAE;19900527;0.0
TAE;19900528;2.2
TAE;19900529;0.0
TAE;19900530;0.0
TAE;19900531;0.0
TAE;19900601;0.0
TAE;19900602;18.7
TAE;19900603;5.2
TAE;19900604;4.0
TAE;19900605;15.2
TAE;19900606;0.0
TAE;19900607;9.0
TAE;19900608;14.4
TAE;19900609;13.6
TAE;19900610;3.7
TAE;19900611;0.0
TAE;19900612;7.4
TAE;19900613;2.7
TAE;19900614;0.0
TAE;19900615;0.0
TAE;19900616;0.0
TAE;19900617;1.9
TAE;19900618;6.3
TAE;19900619;0.6
TAE;19900620;19.1
TAE;19900621;1.4
TAE;19900622;4.8
TAE;19900623;0.7
TAE;19900624;0.0
TAE;19900625;0.0
TAE;19900626;0.0
TAE;19900627;8.2
TAE;19900628;0.0
TAE;19900629;10.7
TAE;19900630;9.4
TAE;19900701;0.1
TAE;19900702;0.0
TAE;19900703;16.0
TAE;19900704;0.1
TAE;19900705;14.0
TAE;19900706;0.0
TAE;19900707;12.2
TAE;19900708;1.8
TAE;19900709;0.7
TAE;19900710;0.0
TAE;19900711;0.0
TAE;19900712;0.0
TAE;19900713;0.0
TAE;19900714;0.0
TAE;19900715;0.0
TAE;19900716;0.0
TAE;19900717;0.0
TAE;19900718;0.0
TAE;19900719;0.0
TAE;19900720;0.0
TAE;19900721;0.0
TAE;19900722;0.0
TAE;19900723;0.0
TAE;19900724;0.0
TAE;19900725;0.0
TAE;19900726;0.0
TAE;19900727;0.0
TAE;19900728;0.0
TAE;19900729;0.5
TAE;19900730;26.5
TAE;19900731;0.8
TAE;19900801;0.0
TAE;19900802;0.0
TAE;19900803;0.0
TAE;19900804;0.0
TAE;19900805;6.6
TAE;19900806;0.3
TAE;19900807;0.0
TAE;19900808;0.0
TAE;19900809;0.0
TAE;19900810;0.0
TAE;19900811;0.0
TAE;19900812;0.0
TAE;19900813;0.0
TAE;19900814;3.3
TAE;19900815;0.0
TAE;19900816;20.4
TAE;19900817;0.8
TAE;19900818;0.0
TAE;19900819;0.0
TAE;19900820;0.0
TAE;19900821;0.0
TAE;19900822;0.0
TAE;19900823;0.0
TAE;19900824;0.0
TAE;19900825;4.5
TAE;19900826;2.0
TAE;19900827;0.0
TAE;19900828;0.0
TAE;19900829;12.9
TAE;19900830;2.2
TAE;19900831;21.8
TAE;19900901;0.0
TAE;19900902;0.0
TAE;19900903;3.2
TAE;19900904;6.9
TAE;19900905;0.0
TAE;19900906;2.6
TAE;19900907;14.0
TAE;19900908;0.0
TAE;19900909;0.0
TAE;19900910;2.4
TAE;19900911;0.0
TAE;19900912;0.0
TAE;19900913;0.0
TAE;19900914;0.2
TAE;19900915;0.0
TAE;19900916;0.0
TAE;19900917;0.6
TAE;19900918;0.2
TAE;19900919;0.0
TAE;19900920;0.0
TAE;19900921;0.4
TAE;19900922;42.5
TAE;19900923;24.3
TAE;19900924;0.0
TAE;19900925;0.0
