 

stn;time;rre150d0
UBB;19900101;0.0
UBB;19900102;0.0
UBB;19900103;0.0
UBB;19900104;0.0
UBB;19900105;2.1
UBB;19900106;1.8
UBB;19900107;0.0
UBB;19900108;0.0
UBB;19900109;0.0
UBB;19900110;0.0
UBB;19900111;0.0
UBB;19900112;0.0
UBB;19900113;0.0
UBB;19900114;0.0
UBB;19900115;2.6
UBB;19900116;0.0
UBB;19900117;4.8
UBB;19900118;0.9
UBB;19900119;0.0
UBB;19900120;2.6
UBB;19900121;1.2
UBB;19900122;0.0
UBB;19900123;4.0
UBB;19900124;4.1
UBB;19900125;13.4
UBB;19900126;0.0
UBB;19900127;0.0
UBB;19900128;4.4
UBB;19900129;0.0
UBB;19900130;0.0
UBB;19900131;0.0
UBB;19900201;5.4
UBB;19900202;3.5
UBB;19900203;0.0
UBB;19900204;0.0
UBB;19900205;0.0
UBB;19900206;0.0
UBB;19900207;0.0
UBB;19900208;1.0
UBB;19900209;0.0
UBB;19900210;9.7
UBB;19900211;2.4
UBB;19900212;5.7
UBB;19900213;15.0
UBB;19900214;28.3
UBB;19900215;9.1
UBB;19900216;3.6
UBB;19900217;0.5
UBB;19900218;0.0
UBB;19900219;0.0
UBB;19900220;0.0
UBB;19900221;0.0
UBB;19900222;0.0
UBB;19900223;0.0
UBB;19900224;0.0
UBB;19900225;0.0
UBB;19900226;16.9
UBB;19900227;22.2
UBB;19900228;20.2
UBB;19900301;3.6
UBB;19900302;0.5
UBB;19900303;0.0
UBB;19900304;0.0
UBB;19900305;0.0
UBB;19900306;0.0
UBB;19900307;0.0
UBB;19900308;0.2
UBB;19900309;0.0
UBB;19900310;0.0
UBB;19900311;0.0
UBB;19900312;0.0
UBB;19900313;0.0
UBB;19900314;2.7
UBB;19900315;0.0
UBB;19900316;0.0
UBB;19900317;0.0
UBB;19900318;0.0
UBB;19900319;0.0
UBB;19900320;3.4
UBB;19900321;0.0
UBB;19900322;6.2
UBB;19900323;0.0
UBB;19900324;1.4
UBB;19900325;2.4
UBB;19900326;0.2
UBB;19900327;7.8
UBB;19900328;2.8
UBB;19900329;0.5
