 

stn;time;rre150d0
UNK;19900101;0.0
UNK;19900102;0.0
UNK;19900103;0.0
UNK;19900104;0.0
UNK;19900105;0.1
UNK;19900106;1.6
UNK;19900107;0.0
UNK;19900108;0.0
UNK;19900109;0.0
UNK;19900110;0.0
UNK;19900111;0.0
UNK;19900112;0.0
UNK;19900113;0.0
UNK;19900114;0.0
UNK;19900115;1.1
UNK;19900116;0.0
UNK;19900117;1.9
UNK;19900118;3.5
UNK;19900119;0.0
UNK;19900120;2.1
UNK;19900121;0.0
UNK;19900122;0.0
UNK;19900123;2.6
UNK;19900124;7.8
UNK;19900125;19.3
UNK;19900126;2.2
UNK;19900127;0.0
UNK;19900128;6.8
UNK;19900129;0.0
UNK;19900130;0.0
UNK;19900131;0.0
UNK;19900201;0.0
UNK;19900202;4.5
UNK;19900203;0.9
UNK;19900204;0.0
UNK;19900205;0.0
UNK;19900206;0.0
UNK;19900207;0.0
UNK;19900208;0.0
UNK;19900209;0.0
UNK;19900210;12.2
UNK;19900211;5.1
UNK;19900212;18.9
UNK;19900213;37.2
UNK;19900214;66.4
UNK;19900215;11.8
UNK;19900216;6.1
UNK;19900217;0.2
UNK;19900218;0.0
UNK;19900219;0.0
UNK;19900220;0.0
UNK;19900221;0.0
UNK;19900222;0.0
UNK;19900223;0.0
UNK;19900224;0.0
UNK;19900225;0.0
UNK;19900226;20.5
UNK;19900227;24.3
UNK;19900228;23.2
UNK;19900301;8.8
UNK;19900302;0.9
UNK;19900303;0.0
UNK;19900304;0.0
UNK;19900305;0.0
UNK;19900306;0.0
UNK;19900307;0.0
UNK;19900308;0.0
UNK;19900309;0.0
UNK;19900310;0.0
UNK;19900311;0.0
UNK;19900312;0.0
UNK;19900313;0.0
UNK;19900314;5.8
UNK;19900315;0.0
UNK;19900316;0.0
UNK;19900317;0.0
UNK;19900318;0.0
UNK;19900319;0.0
UNK;19900320;3.8
UNK;19900321;0.0
UNK;19900322;11.5
UNK;19900323;0.0
UNK;19900324;0.0
UNK;19900325;3.5
UNK;19900326;0.0
UNK;19900327;14.9
UNK;19900328;7.0
UNK;19900329;0.2
UNK;19900330;0.0
UNK;19900331;0.0
UNK;19900401;0.0
UNK;19900402;0.0
UNK;19900403;5.7
UNK;19900404;0.0
UNK;19900405;4.5
UNK;19900406;1.7
UNK;19900407;2.0
UNK;19900408;1.5
UNK;19900409;0.8
UNK;19900410;0.0
UNK;19900411;13.7
UNK;19900412;0.0
UNK;19900413;1.2
UNK;19900414;6.8
UNK;19900415;6.4
UNK;19900416;0.9
UNK;19900417;2.6
UNK;19900418;1.0
UNK;19900419;0.0
UNK;19900420;0.0
UNK;19900421;0.0
UNK;19900422;13.9
UNK;19900423;5.1
UNK;19900424;0.0
UNK;19900425;2.8
UNK;19900426;5.9
UNK;19900427;0.1
UNK;19900428;0.0
UNK;19900429;0.0
UNK;19900430;0.0
UNK;19900501;0.0
UNK;19900502;0.0
UNK;19900503;0.0
UNK;19900504;0.0
UNK;19900505;0.0
UNK;19900506;3.8
UNK;19900507;0.8
UNK;19900508;0.2
UNK;19900509;3.9
UNK;19900510;7.6
UNK;19900511;14.7
UNK;19900512;0.0
UNK;19900513;13.9
UNK;19900514;0.0
UNK;19900515;0.0
UNK;19900516;1.9
UNK;19900517;0.0
UNK;19900518;4.2
UNK;19900519;6.1
UNK;19900520;1.7
UNK;19900521;6.3
UNK;19900522;0.4
UNK;19900523;0.7
UNK;19900524;11.2
UNK;19900525;3.6
UNK;19900526;0.0
UNK;19900527;0.0
UNK;19900528;0.0
UNK;19900529;0.0
UNK;19900530;0.0
UNK;19900531;0.0
UNK;19900601;0.0
UNK;19900602;26.3
UNK;19900603;6.7
UNK;19900604;8.6
UNK;19900605;14.7
UNK;19900606;0.0
UNK;19900607;14.2
UNK;19900608;15.6
UNK;19900609;5.3
UNK;19900610;3.5
UNK;19900611;0.0
UNK;19900612;10.6
UNK;19900613;3.1
UNK;19900614;0.0
UNK;19900615;0.0
UNK;19900616;0.0
UNK;19900617;1.8
UNK;19900618;0.0
UNK;19900619;6.1
UNK;19900620;21.9
UNK;19900621;0.5
UNK;19900622;7.4
UNK;19900623;0.2
UNK;19900624;0.0
UNK;19900625;0.0
UNK;19900626;0.0
UNK;19900627;23.5
UNK;19900628;0.0
UNK;19900629;34.1
UNK;19900630;22.2
UNK;19900701;0.6
UNK;19900702;0.0
UNK;19900703;14.3
UNK;19900704;0.0
UNK;19900705;6.2
UNK;19900706;0.0
UNK;19900707;6.5
UNK;19900708;0.0
UNK;19900709;1.9
UNK;19900710;0.0
UNK;19900711;0.0
UNK;19900712;0.0
UNK;19900713;0.0
UNK;19900714;0.0
UNK;19900715;0.0
UNK;19900716;0.0
UNK;19900717;0.0
UNK;19900718;0.0
UNK;19900719;0.0
UNK;19900720;0.0
UNK;19900721;0.0
UNK;19900722;0.0
UNK;19900723;0.0
UNK;19900724;0.0
UNK;19900725;0.0
UNK;19900726;0.0
UNK;19900727;0.0
UNK;19900728;0.6
UNK;19900729;41.2
UNK;19900730;10.8
UNK;19900731;0.0
UNK;19900801;0.0
UNK;19900802;0.0
UNK;19900803;0.0
UNK;19900804;0.0
UNK;19900805;0.7
UNK;19900806;0.0
UNK;19900807;0.0
UNK;19900808;0.0
UNK;19900809;0.0
UNK;19900810;0.0
UNK;19900811;0.0
UNK;19900812;0.0
UNK;19900813;0.5
UNK;19900814;23.5
UNK;19900815;0.0
UNK;19900816;9.8
UNK;19900817;0.7
