 

stn;time;rre150d0
UST;19900101;0.0
UST;19900102;0.0
UST;19900103;0.0
UST;19900104;0.0
UST;19900105;0.3
UST;19900106;3.6
UST;19900107;0.0
UST;19900108;0.0
UST;19900109;0.0
UST;19900110;0.0
UST;19900111;0.0
UST;19900112;0.0
UST;19900113;0.0
UST;19900114;0.0
UST;19900115;0.3
UST;19900116;0.0
UST;19900117;1.3
UST;19900118;0.2
UST;19900119;0.0
UST;19900120;2.2
UST;19900121;0.0
UST;19900122;0.0
UST;19900123;2.7
UST;19900124;6.9
UST;19900125;6.5
UST;19900126;3.4
UST;19900127;0.0
UST;19900128;3.1
UST;19900129;0.0
UST;19900130;0.0
UST;19900131;0.0
UST;19900201;0.0
UST;19900202;9.8
UST;19900203;0.0
UST;19900204;0.0
UST;19900205;0.0
UST;19900206;0.0
UST;19900207;0.0
UST;19900208;0.3
UST;19900209;0.0
UST;19900210;13.8
UST;19900211;4.6
UST;19900212;10.6
UST;19900213;21.3
UST;19900214;53.7
UST;19900215;13.0
UST;19900216;4.9
UST;19900217;0.4
UST;19900218;0.0
UST;19900219;0.0
UST;19900220;0.0
UST;19900221;0.0
UST;19900222;0.0
UST;19900223;0.0
UST;19900224;0.0
UST;19900225;0.0
UST;19900226;17.8
UST;19900227;19.9
UST;19900228;11.1
UST;19900301;5.0
UST;19900302;0.0
UST;19900303;0.0
UST;19900304;0.0
UST;19900305;0.0
UST;19900306;0.0
UST;19900307;0.0
UST;19900308;0.8
UST;19900309;0.0
UST;19900310;0.0
UST;19900311;0.0
UST;19900312;0.0
UST;19900313;0.0
UST;19900314;11.2
UST;19900315;0.0
UST;19900316;0.0
UST;19900317;0.0
UST;19900318;0.0
UST;19900319;0.0
UST;19900320;2.0
UST;19900321;0.0
UST;19900322;13.9
UST;19900323;0.0
UST;19900324;0.0
UST;19900325;7.4
UST;19900326;0.7
UST;19900327;19.6
UST;19900328;4.1
UST;19900329;1.2
UST;19900330;0.0
UST;19900331;0.0
UST;19900401;0.0
UST;19900402;0.0
UST;19900403;8.9
UST;19900404;0.0
UST;19900405;0.1
UST;19900406;0.0
UST;19900407;3.9
UST;19900408;1.4
UST;19900409;0.1
UST;19900410;0.1
UST;19900411;7.0
UST;19900412;2.6
UST;19900413;0.0
UST;19900414;0.5
UST;19900415;9.7
UST;19900416;1.2
UST;19900417;4.5
UST;19900418;2.3
UST;19900419;0.0
UST;19900420;0.0
UST;19900421;0.0
UST;19900422;0.4
UST;19900423;8.7
UST;19900424;0.1
UST;19900425;4.5
UST;19900426;0.2
UST;19900427;0.1
UST;19900428;0.0
UST;19900429;0.0
UST;19900430;0.0
UST;19900501;0.0
UST;19900502;0.0
UST;19900503;0.0
UST;19900504;0.0
UST;19900505;0.0
UST;19900506;6.6
UST;19900507;0.2
UST;19900508;0.1
UST;19900509;0.0
UST;19900510;9.5
UST;19900511;10.5
UST;19900512;0.0
UST;19900513;9.7
UST;19900514;0.5
UST;19900515;6.8
UST;19900516;0.0
UST;19900517;0.1
UST;19900518;0.8
UST;19900519;0.0
UST;19900520;0.0
UST;19900521;3.2
UST;19900522;0.0
UST;19900523;0.0
UST;19900524;15.5
UST;19900525;8.9
UST;19900526;0.0
UST;19900527;0.0
UST;19900528;0.6
UST;19900529;0.0
UST;19900530;0.0
UST;19900531;0.0
UST;19900601;0.0
UST;19900602;20.7
UST;19900603;6.8
UST;19900604;12.3
UST;19900605;13.1
UST;19900606;0.1
UST;19900607;10.7
UST;19900608;11.1
UST;19900609;7.6
UST;19900610;6.9
UST;19900611;0.0
UST;19900612;9.1
UST;19900613;6.0
UST;19900614;0.0
UST;19900615;0.0
UST;19900616;0.0
UST;19900617;3.8
UST;19900618;9.4
UST;19900619;1.9
UST;19900620;17.1
UST;19900621;0.7
UST;19900622;4.9
UST;19900623;1.7
UST;19900624;0.0
UST;19900625;0.0
UST;19900626;0.0
UST;19900627;27.1
UST;19900628;0.0
UST;19900629;33.2
UST;19900630;15.4
UST;19900701;0.3
UST;19900702;0.0
UST;19900703;20.0
UST;19900704;0.1
UST;19900705;16.0
UST;19900706;0.0
UST;19900707;11.1
UST;19900708;1.7
UST;19900709;2.0
UST;19900710;0.0
UST;19900711;0.0
UST;19900712;0.0
UST;19900713;0.0
UST;19900714;0.0
UST;19900715;0.0
UST;19900716;0.0
UST;19900717;0.0
UST;19900718;0.0
UST;19900719;0.0
