 

stn;time;rre150d0
WAE;19900101;0.0
WAE;19900102;0.0
WAE;19900103;0.0
WAE;19900104;0.0
WAE;19900105;0.5
WAE;19900106;5.8
WAE;19900107;0.0
WAE;19900108;0.0
WAE;19900109;0.0
WAE;19900110;0.0
WAE;19900111;0.0
WAE;19900112;0.0
WAE;19900113;0.0
WAE;19900114;0.0
WAE;19900115;0.2
WAE;19900116;0.0
WAE;19900117;0.0
WAE;19900118;2.4
WAE;19900119;0.0
WAE;19900120;0.8
WAE;19900121;0.0
WAE;19900122;0.0
WAE;19900123;0.5
WAE;19900124;5.1
WAE;19900125;2.0
WAE;19900126;2.3
WAE;19900127;0.0
WAE;19900128;1.8
WAE;19900129;0.0
WAE;19900130;0.0
WAE;19900131;0.0
WAE;19900201;0.0
WAE;19900202;4.9
WAE;19900203;1.1
WAE;19900204;0.0
WAE;19900205;0.0
WAE;19900206;0.0
WAE;19900207;0.0
WAE;19900208;0.1
WAE;19900209;0.0
WAE;19900210;6.4
WAE;19900211;3.6
WAE;19900212;1.3
WAE;19900213;21.0
WAE;19900214;47.1
WAE;19900215;6.5
WAE;19900216;10.8
WAE;19900217;0.2
WAE;19900218;0.0
WAE;19900219;0.0
WAE;19900220;0.0
WAE;19900221;0.0
WAE;19900222;0.0
WAE;19900223;0.0
WAE;19900224;0.0
WAE;19900225;0.1
WAE;19900226;11.0
WAE;19900227;16.5
WAE;19900228;13.5
WAE;19900301;11.7
WAE;19900302;1.1
WAE;19900303;0.0
WAE;19900304;0.0
WAE;19900305;0.0
WAE;19900306;0.0
WAE;19900307;0.0
WAE;19900308;0.4
WAE;19900309;0.0
WAE;19900310;0.0
WAE;19900311;0.0
WAE;19900312;0.0
WAE;19900313;1.6
WAE;19900314;15.2
WAE;19900315;0.0
WAE;19900316;0.0
WAE;19900317;0.0
WAE;19900318;0.0
WAE;19900319;0.0
WAE;19900320;2.2
WAE;19900321;0.0
WAE;19900322;23.8
WAE;19900323;3.8
WAE;19900324;0.0
WAE;19900325;11.2
WAE;19900326;0.3
WAE;19900327;14.4
WAE;19900328;2.6
WAE;19900329;0.3
WAE;19900330;0.0
WAE;19900331;0.0
WAE;19900401;0.0
WAE;19900402;0.0
WAE;19900403;11.7
WAE;19900404;0.0
WAE;19900405;0.0
WAE;19900406;0.0
WAE;19900407;8.1
