 

stn;time;rre150d0
WAG;19900101;0.0
WAG;19900102;0.6
WAG;19900103;0.0
WAG;19900104;0.0
WAG;19900105;1.1
WAG;19900106;2.6
WAG;19900107;0.0
WAG;19900108;0.0
WAG;19900109;0.0
WAG;19900110;0.0
WAG;19900111;0.0
WAG;19900112;0.0
WAG;19900113;0.0
WAG;19900114;0.0
WAG;19900115;0.2
WAG;19900116;0.0
WAG;19900117;1.1
WAG;19900118;3.3
WAG;19900119;0.0
WAG;19900120;1.0
WAG;19900121;0.3
WAG;19900122;0.0
WAG;19900123;0.3
WAG;19900124;4.0
WAG;19900125;9.3
WAG;19900126;1.7
WAG;19900127;0.0
WAG;19900128;5.9
WAG;19900129;0.0
WAG;19900130;0.0
WAG;19900131;0.0
WAG;19900201;0.0
WAG;19900202;6.5
WAG;19900203;0.0
WAG;19900204;0.0
WAG;19900205;0.0
WAG;19900206;0.0
WAG;19900207;0.0
WAG;19900208;1.0
WAG;19900209;0.0
WAG;19900210;10.5
WAG;19900211;4.0
WAG;19900212;6.5
WAG;19900213;20.4
WAG;19900214;46.8
WAG;19900215;11.1
WAG;19900216;4.5
WAG;19900217;1.3
WAG;19900218;0.0
WAG;19900219;0.0
WAG;19900220;0.0
WAG;19900221;0.0
WAG;19900222;0.1
WAG;19900223;0.0
WAG;19900224;0.0
WAG;19900225;0.0
WAG;19900226;12.5
WAG;19900227;18.9
WAG;19900228;10.3
WAG;19900301;4.1
WAG;19900302;0.2
WAG;19900303;0.0
WAG;19900304;0.0
WAG;19900305;0.0
WAG;19900306;0.0
WAG;19900307;0.0
WAG;19900308;0.4
WAG;19900309;0.0
WAG;19900310;0.0
WAG;19900311;0.0
WAG;19900312;0.0
WAG;19900313;0.0
WAG;19900314;4.8
WAG;19900315;0.0
WAG;19900316;0.0
WAG;19900317;0.0
WAG;19900318;0.0
WAG;19900319;0.0
WAG;19900320;3.2
WAG;19900321;0.0
WAG;19900322;9.8
WAG;19900323;0.1
WAG;19900324;0.1
WAG;19900325;3.7
WAG;19900326;0.3
WAG;19900327;15.7
WAG;19900328;4.2
WAG;19900329;0.6
WAG;19900330;0.0
WAG;19900331;0.0
WAG;19900401;0.0
WAG;19900402;0.0
WAG;19900403;7.5
WAG;19900404;0.0
WAG;19900405;2.7
WAG;19900406;0.1
WAG;19900407;2.5
WAG;19900408;3.3
WAG;19900409;0.4
WAG;19900410;0.0
WAG;19900411;4.1
WAG;19900412;0.2
WAG;19900413;0.0
WAG;19900414;0.8
WAG;19900415;8.2
WAG;19900416;0.8
WAG;19900417;2.8
WAG;19900418;6.2
WAG;19900419;0.0
WAG;19900420;0.0
WAG;19900421;0.0
WAG;19900422;7.4
WAG;19900423;9.7
WAG;19900424;0.1
WAG;19900425;10.5
WAG;19900426;0.3
WAG;19900427;0.0
WAG;19900428;0.0
WAG;19900429;0.0
WAG;19900430;0.0
WAG;19900501;0.0
WAG;19900502;0.0
WAG;19900503;0.0
WAG;19900504;0.0
WAG;19900505;0.0
WAG;19900506;9.1
WAG;19900507;1.1
WAG;19900508;0.9
WAG;19900509;0.9
WAG;19900510;28.1
WAG;19900511;10.1
WAG;19900512;0.0
WAG;19900513;15.3
WAG;19900514;1.7
WAG;19900515;0.0
WAG;19900516;5.2
WAG;19900517;0.0
WAG;19900518;0.0
WAG;19900519;5.5
WAG;19900520;0.5
WAG;19900521;9.8
WAG;19900522;0.1
WAG;19900523;0.4
WAG;19900524;27.9
WAG;19900525;7.2
WAG;19900526;0.0
WAG;19900527;0.0
WAG;19900528;0.2
WAG;19900529;0.0
WAG;19900530;0.0
WAG;19900531;0.0
WAG;19900601;0.0
WAG;19900602;24.1
WAG;19900603;7.1
WAG;19900604;8.8
WAG;19900605;14.3
WAG;19900606;0.1
WAG;19900607;9.7
WAG;19900608;13.3
WAG;19900609;7.1
WAG;19900610;6.3
WAG;19900611;0.0
WAG;19900612;10.0
WAG;19900613;3.0
WAG;19900614;0.0
WAG;19900615;0.0
WAG;19900616;0.0
WAG;19900617;2.2
WAG;19900618;0.1
WAG;19900619;5.1
WAG;19900620;22.9
WAG;19900621;0.9
WAG;19900622;6.6
WAG;19900623;1.0
WAG;19900624;0.0
WAG;19900625;0.0
WAG;19900626;0.0
WAG;19900627;22.2
WAG;19900628;0.0
WAG;19900629;19.8
WAG;19900630;16.1
WAG;19900701;1.4
WAG;19900702;0.0
WAG;19900703;30.2
WAG;19900704;0.0
WAG;19900705;9.2
WAG;19900706;0.0
WAG;19900707;8.0
WAG;19900708;1.0
WAG;19900709;1.2
WAG;19900710;0.0
WAG;19900711;0.0
WAG;19900712;0.0
WAG;19900713;0.0
WAG;19900714;0.0
WAG;19900715;0.0
