 

stn;time;rre150d0
WBR;19900101;0.0
WBR;19900102;0.0
WBR;19900103;0.0
WBR;19900104;0.0
WBR;19900105;1.3
WBR;19900106;1.1
WBR;19900107;0.0
WBR;19900108;0.0
WBR;19900109;0.0
WBR;19900110;0.0
WBR;19900111;0.0
WBR;19900112;0.0
WBR;19900113;0.0
WBR;19900114;0.0
WBR;19900115;0.5
WBR;19900116;0.0
WBR;19900117;3.5
WBR;19900118;1.2
WBR;19900119;0.0
WBR;19900120;0.1
WBR;19900121;0.0
WBR;19900122;0.0
WBR;19900123;2.1
WBR;19900124;12.3
WBR;19900125;21.1
WBR;19900126;0.1
WBR;19900127;0.0
WBR;19900128;4.2
WBR;19900129;0.0
WBR;19900130;0.0
WBR;19900131;0.0
WBR;19900201;0.0
WBR;19900202;6.4
WBR;19900203;3.0
WBR;19900204;0.0
WBR;19900205;0.0
WBR;19900206;0.0
WBR;19900207;0.1
WBR;19900208;1.6
WBR;19900209;0.0
WBR;19900210;10.0
WBR;19900211;3.2
WBR;19900212;14.0
WBR;19900213;44.2
WBR;19900214;66.2
WBR;19900215;8.6
WBR;19900216;1.6
WBR;19900217;0.9
WBR;19900218;0.0
WBR;19900219;0.0
WBR;19900220;0.0
WBR;19900221;0.0
WBR;19900222;0.0
WBR;19900223;0.0
WBR;19900224;0.0
WBR;19900225;0.0
WBR;19900226;27.0
WBR;19900227;31.5
WBR;19900228;29.0
WBR;19900301;4.2
WBR;19900302;0.6
WBR;19900303;0.0
WBR;19900304;0.0
WBR;19900305;0.0
WBR;19900306;0.0
WBR;19900307;0.0
WBR;19900308;0.0
WBR;19900309;0.0
WBR;19900310;0.0
WBR;19900311;0.0
WBR;19900312;0.0
WBR;19900313;0.6
WBR;19900314;5.2
WBR;19900315;0.0
WBR;19900316;0.0
WBR;19900317;0.0
WBR;19900318;0.0
WBR;19900319;0.0
WBR;19900320;0.8
WBR;19900321;0.0
WBR;19900322;4.9
WBR;19900323;0.0
WBR;19900324;2.4
WBR;19900325;0.0
WBR;19900326;0.5
WBR;19900327;13.2
WBR;19900328;7.0
WBR;19900329;1.9
WBR;19900330;0.0
WBR;19900331;0.0
WBR;19900401;0.0
WBR;19900402;0.0
WBR;19900403;6.8
WBR;19900404;0.0
WBR;19900405;6.5
WBR;19900406;1.2
WBR;19900407;2.4
WBR;19900408;4.2
WBR;19900409;0.7
WBR;19900410;0.5
WBR;19900411;3.5
WBR;19900412;0.0
WBR;19900413;0.0
WBR;19900414;1.3
WBR;19900415;6.6
WBR;19900416;0.7
WBR;19900417;0.2
WBR;19900418;0.0
WBR;19900419;0.0
WBR;19900420;0.0
WBR;19900421;0.0
WBR;19900422;12.0
WBR;19900423;18.0
WBR;19900424;0.5
WBR;19900425;1.8
WBR;19900426;4.2
WBR;19900427;0.0
WBR;19900428;0.0
WBR;19900429;0.0
WBR;19900430;0.0
WBR;19900501;0.0
WBR;19900502;0.0
WBR;19900503;0.0
WBR;19900504;0.0
WBR;19900505;0.0
WBR;19900506;0.4
WBR;19900507;0.1
WBR;19900508;0.4
WBR;19900509;0.0
WBR;19900510;3.2
WBR;19900511;10.8
WBR;19900512;0.2
WBR;19900513;5.5
WBR;19900514;0.3
WBR;19900515;0.0
WBR;19900516;0.0
WBR;19900517;0.0
WBR;19900518;0.0
WBR;19900519;2.5
WBR;19900520;6.5
WBR;19900521;4.2
WBR;19900522;1.0
WBR;19900523;0.0
WBR;19900524;15.0
WBR;19900525;0.7
WBR;19900526;0.0
WBR;19900527;0.0
WBR;19900528;0.0
WBR;19900529;0.0
WBR;19900530;0.0
WBR;19900531;0.0
WBR;19900601;0.0
WBR;19900602;22.0
WBR;19900603;8.7
WBR;19900604;1.0
WBR;19900605;15.0
WBR;19900606;0.0
WBR;19900607;19.1
WBR;19900608;18.0
WBR;19900609;14.0
WBR;19900610;9.0
WBR;19900611;0.0
WBR;19900612;17.2
WBR;19900613;1.8
WBR;19900614;0.0
WBR;19900615;0.0
WBR;19900616;0.0
WBR;19900617;1.0
WBR;19900618;0.7
WBR;19900619;1.5
WBR;19900620;20.0
WBR;19900621;3.0
WBR;19900622;5.0
WBR;19900623;0.5
WBR;19900624;0.0
WBR;19900625;0.0
WBR;19900626;0.0
WBR;19900627;6.0
WBR;19900628;0.0
WBR;19900629;3.0
WBR;19900630;20.0
WBR;19900701;0.0
WBR;19900702;0.0
WBR;19900703;15.0
WBR;19900704;0.0
WBR;19900705;13.0
WBR;19900706;0.0
WBR;19900707;11.3
WBR;19900708;1.2
WBR;19900709;0.8
WBR;19900710;0.0
WBR;19900711;0.0
WBR;19900712;0.0
WBR;19900713;0.0
WBR;19900714;0.0
WBR;19900715;0.0
WBR;19900716;0.0
WBR;19900717;0.0
WBR;19900718;0.0
WBR;19900719;0.0
WBR;19900720;0.0
WBR;19900721;0.0
WBR;19900722;6.7
WBR;19900723;0.0
WBR;19900724;0.0
WBR;19900725;0.0
WBR;19900726;0.0
WBR;19900727;0.0
WBR;19900728;0.0
WBR;19900729;21.6
WBR;19900730;26.3
WBR;19900731;3.6
WBR;19900801;0.0
WBR;19900802;0.0
WBR;19900803;0.0
WBR;19900804;0.0
WBR;19900805;0.1
WBR;19900806;0.0
WBR;19900807;0.0
WBR;19900808;0.0
WBR;19900809;0.0
WBR;19900810;0.0
WBR;19900811;0.0
WBR;19900812;0.0
WBR;19900813;0.0
WBR;19900814;8.2
WBR;19900815;0.0
WBR;19900816;4.0
WBR;19900817;0.0
WBR;19900818;0.0
WBR;19900819;0.0
WBR;19900820;0.0
WBR;19900821;0.0
WBR;19900822;0.0
WBR;19900823;0.0
WBR;19900824;0.0
WBR;19900825;34.9
WBR;19900826;0.0
WBR;19900827;0.0
WBR;19900828;0.0
WBR;19900829;0.3
WBR;19900830;7.0
WBR;19900831;6.6
WBR;19900901;0.0
WBR;19900902;0.0
WBR;19900903;3.0
WBR;19900904;1.3
WBR;19900905;0.0
WBR;19900906;5.6
WBR;19900907;8.5
WBR;19900908;0.1
WBR;19900909;0.0
WBR;19900910;1.3
WBR;19900911;0.0
WBR;19900912;0.0
WBR;19900913;0.0
WBR;19900914;0.0
WBR;19900915;0.0
WBR;19900916;0.0
WBR;19900917;0.0
WBR;19900918;0.0
WBR;19900919;0.0
WBR;19900920;0.0
WBR;19900921;5.0
WBR;19900922;26.5
WBR;19900923;11.2
WBR;19900924;0.0
WBR;19900925;0.0
WBR;19900926;0.0
WBR;19900927;0.0
WBR;19900928;0.0
WBR;19900929;0.0
WBR;19900930;24.2
WBR;19901001;3.3
WBR;19901002;0.0
WBR;19901003;3.5
WBR;19901004;16.5
WBR;19901005;0.0
WBR;19901006;0.0
WBR;19901007;1.0
WBR;19901008;0.0
WBR;19901009;0.0
WBR;19901010;0.0
WBR;19901011;0.0
WBR;19901012;0.0
WBR;19901013;0.0
WBR;19901014;0.0
WBR;19901015;0.0
WBR;19901016;1.3
WBR;19901017;1.9
WBR;19901018;0.0
WBR;19901019;0.0
WBR;19901020;0.0
WBR;19901021;0.0
WBR;19901022;0.0
WBR;19901023;0.0
WBR;19901024;0.0
WBR;19901025;0.0
WBR;19901026;2.0
WBR;19901027;1.0
WBR;19901028;31.0
WBR;19901029;37.0
WBR;19901030;14.2
WBR;19901031;12.2
WBR;19901101;4.0
WBR;19901102;6.8
WBR;19901103;1.4
WBR;19901104;7.2
WBR;19901105;1.4
WBR;19901106;0.0
WBR;19901107;0.0
WBR;19901108;0.0
WBR;19901109;0.0
WBR;19901110;5.0
WBR;19901111;13.0
WBR;19901112;0.0
WBR;19901113;0.5
WBR;19901114;8.8
WBR;19901115;15.7
WBR;19901116;0.0
WBR;19901117;3.4
WBR;19901118;4.2
WBR;19901119;6.4
WBR;19901120;10.2
WBR;19901121;10.8
WBR;19901122;31.2
WBR;19901123;0.2
WBR;19901124;0.0
WBR;19901125;4.3
WBR;19901126;0.0
WBR;19901127;1.0
WBR;19901128;0.0
WBR;19901129;1.1
WBR;19901130;0.6
WBR;19901201;0.0
WBR;19901202;0.0
WBR;19901203;0.0
WBR;19901204;0.6
WBR;19901205;0.0
WBR;19901206;0.0
WBR;19901207;0.0
WBR;19901208;0.0
WBR;19901209;1.5
WBR;19901210;9.5
WBR;19901211;0.8
WBR;19901212;5.5
WBR;19901213;4.0
WBR;19901214;0.5
WBR;19901215;0.0
WBR;19901216;0.0
WBR;19901217;0.0
WBR;19901218;0.0
WBR;19901219;0.1
WBR;19901220;2.4
WBR;19901221;7.0
WBR;19901222;0.0
WBR;19901223;0.0
WBR;19901224;0.0
WBR;19901225;7.2
WBR;19901226;6.5
WBR;19901227;7.0
WBR;19901228;2.0
WBR;19901229;2.5
WBR;19901230;11.0
WBR;19901231;12.0
WBR;19910101;0.8
WBR;19910102;11.5
WBR;19910103;0.0
WBR;19910104;3.7
WBR;19910105;6.5
WBR;19910106;5.2
WBR;19910107;13.0
WBR;19910108;0.1
WBR;19910109;1.2
WBR;19910110;0.0
WBR;19910111;8.5
WBR;19910112;4.5
WBR;19910113;5.4
WBR;19910114;0.0
WBR;19910115;0.0
WBR;19910116;0.0
WBR;19910117;0.0
WBR;19910118;0.0
WBR;19910119;2.3
WBR;19910120;0.0
WBR;19910121;3.5
WBR;19910122;0.0
WBR;19910123;0.0
WBR;19910124;0.0
WBR;19910125;0.0
WBR;19910126;0.0
WBR;19910127;0.0
WBR;19910128;0.0
WBR;19910129;0.0
WBR;19910130;0.0
WBR;19910131;0.0
WBR;19910201;0.0
WBR;19910202;0.0
WBR;19910203;0.0
WBR;19910204;0.0
WBR;19910205;0.0
WBR;19910206;0.0
WBR;19910207;0.0
WBR;19910208;2.7
WBR;19910209;13.1
WBR;19910210;1.0
WBR;19910211;0.5
WBR;19910212;0.5
WBR;19910213;0.0
WBR;19910214;0.0
WBR;19910215;6.2
WBR;19910216;0.0
WBR;19910217;0.0
WBR;19910218;0.0
WBR;19910219;0.0
WBR;19910220;0.0
WBR;19910221;0.0
WBR;19910222;0.0
WBR;19910223;0.0
WBR;19910224;0.0
WBR;19910225;0.0
WBR;19910226;0.0
WBR;19910227;6.0
WBR;19910228;1.4
WBR;19910301;0.0
WBR;19910302;7.6
WBR;19910303;0.0
WBR;19910304;0.0
WBR;19910305;0.0
WBR;19910306;0.0
WBR;19910307;0.0
WBR;19910308;0.0
WBR;19910309;12.0
WBR;19910310;0.0
WBR;19910311;0.9
WBR;19910312;0.0
WBR;19910313;0.0
WBR;19910314;0.0
WBR;19910315;0.0
WBR;19910316;0.0
WBR;19910317;0.0
WBR;19910318;0.0
WBR;19910319;14.0
WBR;19910320;0.1
WBR;19910321;4.3
WBR;19910322;17.5
WBR;19910323;0.0
WBR;19910324;0.0
WBR;19910325;0.0
WBR;19910326;4.4
WBR;19910327;0.0
WBR;19910328;0.0
WBR;19910329;0.0
WBR;19910330;0.0
WBR;19910331;0.0
WBR;19910401;0.0
WBR;19910402;0.0
WBR;19910403;8.5
WBR;19910404;7.8
WBR;19910405;4.0
WBR;19910406;0.0
WBR;19910407;0.0
WBR;19910408;0.0
WBR;19910409;0.0
WBR;19910410;0.0
WBR;19910411;0.0
WBR;19910412;0.0
WBR;19910413;0.1
WBR;19910414;0.0
WBR;19910415;0.0
WBR;19910416;0.0
WBR;19910417;0.2
WBR;19910418;2.2
WBR;19910419;1.2
WBR;19910420;1.3
WBR;19910421;0.0
WBR;19910422;2.2
WBR;19910423;0.9
WBR;19910424;0.0
WBR;19910425;0.0
WBR;19910426;0.0
WBR;19910427;15.2
WBR;19910428;2.9
WBR;19910429;1.5
WBR;19910430;5.8
WBR;19910501;2.4
WBR;19910502;0.0
WBR;19910503;0.5
WBR;19910504;6.2
WBR;19910505;0.2
WBR;19910506;0.0
WBR;19910507;0.0
WBR;19910508;0.0
WBR;19910509;0.0
WBR;19910510;20.0
WBR;19910511;26.1
WBR;19910512;1.1
WBR;19910513;0.0
WBR;19910514;8.3
WBR;19910515;4.8
WBR;19910516;1.0
WBR;19910517;7.5
WBR;19910518;2.4
WBR;19910519;0.0
WBR;19910520;0.0
WBR;19910521;0.0
WBR;19910522;0.0
WBR;19910523;0.0
WBR;19910524;0.0
WBR;19910525;2.0
WBR;19910526;1.0
WBR;19910527;0.0
WBR;19910528;0.0
WBR;19910529;0.0
WBR;19910530;0.0
WBR;19910531;0.0
WBR;19910601;0.0
WBR;19910602;2.0
WBR;19910603;11.2
WBR;19910604;0.0
WBR;19910605;7.8
WBR;19910606;18.0
WBR;19910607;6.0
WBR;19910608;18.0
WBR;19910609;10.0
WBR;19910610;0.5
WBR;19910611;0.0
WBR;19910612;2.2
WBR;19910613;0.0
WBR;19910614;0.0
WBR;19910615;11.0
WBR;19910616;22.8
WBR;19910617;17.8
WBR;19910618;6.5
WBR;19910619;0.0
WBR;19910620;6.8
WBR;19910621;0.0
WBR;19910622;4.5
WBR;19910623;0.3
WBR;19910624;0.6
WBR;19910625;0.0
WBR;19910626;1.1
WBR;19910627;1.6
WBR;19910628;7.0
WBR;19910629;0.0
WBR;19910630;0.0
WBR;19910701;0.0
WBR;19910702;0.0
WBR;19910703;0.0
WBR;19910704;0.0
