 

stn;time;rre150d0
WIN;19900101;0.0
WIN;19900102;0.0
WIN;19900103;0.0
WIN;19900104;0.0
WIN;19900105;0.0
WIN;19900106;3.1
WIN;19900107;0.0
WIN;19900108;0.0
WIN;19900109;0.0
WIN;19900110;0.0
WIN;19900111;0.0
WIN;19900112;0.0
WIN;19900113;0.0
WIN;19900114;0.0
WIN;19900115;0.2
WIN;19900116;0.0
WIN;19900117;3.5
WIN;19900118;2.3
WIN;19900119;0.0
WIN;19900120;1.0
WIN;19900121;0.0
WIN;19900122;0.0
WIN;19900123;2.3
WIN;19900124;2.4
WIN;19900125;16.0
WIN;19900126;1.5
WIN;19900127;0.0
WIN;19900128;5.0
WIN;19900129;0.0
WIN;19900130;0.0
WIN;19900131;0.0
WIN;19900201;0.0
WIN;19900202;10.5
WIN;19900203;0.0
WIN;19900204;0.0
WIN;19900205;0.0
WIN;19900206;0.0
WIN;19900207;0.0
WIN;19900208;1.0
WIN;19900209;0.0
WIN;19900210;11.8
WIN;19900211;2.3
WIN;19900212;7.9
WIN;19900213;23.2
WIN;19900214;38.8
WIN;19900215;6.5
WIN;19900216;6.5
WIN;19900217;0.3
WIN;19900218;0.0
WIN;19900219;0.0
WIN;19900220;0.0
WIN;19900221;0.0
WIN;19900222;0.0
WIN;19900223;0.0
WIN;19900224;0.0
WIN;19900225;0.0
WIN;19900226;27.0
WIN;19900227;26.2
WIN;19900228;17.0
WIN;19900301;2.8
WIN;19900302;0.4
WIN;19900303;0.0
WIN;19900304;0.0
WIN;19900305;0.0
WIN;19900306;0.0
WIN;19900307;0.0
WIN;19900308;0.0
WIN;19900309;0.0
WIN;19900310;0.0
WIN;19900311;0.0
WIN;19900312;0.0
WIN;19900313;0.0
WIN;19900314;4.6
WIN;19900315;0.0
WIN;19900316;0.0
WIN;19900317;0.0
WIN;19900318;0.0
WIN;19900319;0.0
WIN;19900320;1.6
WIN;19900321;0.0
WIN;19900322;12.2
WIN;19900323;0.0
WIN;19900324;0.8
WIN;19900325;7.8
WIN;19900326;2.4
WIN;19900327;24.6
WIN;19900328;3.8
WIN;19900329;1.3
WIN;19900330;0.0
WIN;19900331;0.0
WIN;19900401;0.0
WIN;19900402;0.0
WIN;19900403;12.5
WIN;19900404;0.0
WIN;19900405;1.2
WIN;19900406;0.1
WIN;19900407;3.3
WIN;19900408;4.3
WIN;19900409;0.0
WIN;19900410;0.0
WIN;19900411;6.0
WIN;19900412;1.6
WIN;19900413;0.0
WIN;19900414;2.4
WIN;19900415;10.0
WIN;19900416;1.9
WIN;19900417;3.8
WIN;19900418;0.0
WIN;19900419;0.0
WIN;19900420;0.0
WIN;19900421;0.0
WIN;19900422;5.8
WIN;19900423;6.2
WIN;19900424;2.0
WIN;19900425;0.5
WIN;19900426;2.2
WIN;19900427;1.1
WIN;19900428;0.0
WIN;19900429;0.0
WIN;19900430;0.0
WIN;19900501;0.0
WIN;19900502;0.0
WIN;19900503;0.0
WIN;19900504;0.0
WIN;19900505;0.0
WIN;19900506;16.0
WIN;19900507;0.8
WIN;19900508;0.5
WIN;19900509;0.1
WIN;19900510;20.0
WIN;19900511;13.5
WIN;19900512;0.2
WIN;19900513;8.5
WIN;19900514;0.2
WIN;19900515;0.0
WIN;19900516;0.0
WIN;19900517;0.0
WIN;19900518;0.0
WIN;19900519;0.0
WIN;19900520;0.8
WIN;19900521;13.0
WIN;19900522;0.0
WIN;19900523;2.8
WIN;19900524;22.5
WIN;19900525;6.4
WIN;19900526;0.0
WIN;19900527;0.0
WIN;19900528;0.0
WIN;19900529;0.0
WIN;19900530;0.0
WIN;19900531;0.0
WIN;19900601;3.2
WIN;19900602;23.1
WIN;19900603;7.1
WIN;19900604;3.5
WIN;19900605;16.2
WIN;19900606;0.0
WIN;19900607;8.2
WIN;19900608;11.2
WIN;19900609;12.5
WIN;19900610;3.5
WIN;19900611;0.0
WIN;19900612;6.0
WIN;19900613;3.0
WIN;19900614;0.0
WIN;19900615;0.0
WIN;19900616;0.0
WIN;19900617;3.7
WIN;19900618;0.0
