 

stn;time;rre150d0
ZHBID;19900101;0.0
ZHBID;19900102;0.0
ZHBID;19900103;0.0
ZHBID;19900104;0.0
ZHBID;19900105;0.0
ZHBID;19900106;3.5
ZHBID;19900107;0.0
ZHBID;19900108;0.0
ZHBID;19900109;0.0
ZHBID;19900110;0.0
ZHBID;19900111;0.0
ZHBID;19900112;0.0
ZHBID;19900113;0.0
ZHBID;19900114;0.0
ZHBID;19900115;0.0
ZHBID;19900116;0.5
ZHBID;19900117;0.0
ZHBID;19900118;2.5
ZHBID;19900119;0.0
ZHBID;19900120;1.0
ZHBID;19900121;0.0
ZHBID;19900122;0.0
ZHBID;19900123;0.0
ZHBID;19900124;3.5
ZHBID;19900125;1.0
ZHBID;19900126;8.5
ZHBID;19900127;0.0
ZHBID;19900128;4.0
ZHBID;19900129;0.0
ZHBID;19900130;0.0
ZHBID;19900131;0.0
ZHBID;19900201;0.0
ZHBID;19900202;5.0
ZHBID;19900203;0.0
ZHBID;19900204;0.0
ZHBID;19900205;0.0
ZHBID;19900206;0.0
ZHBID;19900207;0.0
ZHBID;19900208;0.5
ZHBID;19900209;0.0
ZHBID;19900210;2.0
ZHBID;19900211;11.5
ZHBID;19900212;7.5
ZHBID;19900213;10.5
ZHBID;19900214;45.0
ZHBID;19900215;11.0
ZHBID;19900216;4.5
ZHBID;19900217;1.5
ZHBID;19900218;0.0
ZHBID;19900219;0.0
ZHBID;19900220;0.0
ZHBID;19900221;0.0
ZHBID;19900222;0.0
ZHBID;19900223;0.0
ZHBID;19900224;0.0
ZHBID;19900225;0.0
ZHBID;19900226;12.5
ZHBID;19900227;22.5
ZHBID;19900228;6.0
ZHBID;19900301;8.0
ZHBID;19900302;1.0
ZHBID;19900303;0.0
ZHBID;19900304;0.0
ZHBID;19900305;0.0
ZHBID;19900306;0.0
ZHBID;19900307;0.0
ZHBID;19900308;0.0
ZHBID;19900309;0.5
ZHBID;19900310;0.0
ZHBID;19900311;0.0
ZHBID;19900312;0.0
ZHBID;19900313;0.0
ZHBID;19900314;4.5
ZHBID;19900315;0.0
ZHBID;19900316;0.0
ZHBID;19900317;0.0
ZHBID;19900318;0.0
ZHBID;19900319;0.0
ZHBID;19900320;3.0
ZHBID;19900321;0.0
ZHBID;19900322;2.0
ZHBID;19900323;7.5
ZHBID;19900324;0.0
ZHBID;19900325;4.5
ZHBID;19900326;0.0
ZHBID;19900327;9.5
ZHBID;19900328;8.5
ZHBID;19900329;0.5
ZHBID;19900330;0.0
ZHBID;19900331;0.0
ZHBID;19900401;0.0
ZHBID;19900402;0.0
ZHBID;19900403;9.0
ZHBID;19900404;0.0
ZHBID;19900405;1.0
ZHBID;19900406;0.5
ZHBID;19900407;1.0
ZHBID;19900408;2.0
ZHBID;19900409;2.5
ZHBID;19900410;0.0
ZHBID;19900411;5.0
ZHBID;19900412;0.5
ZHBID;19900413;0.0
ZHBID;19900414;1.0
ZHBID;19900415;9.5
ZHBID;19900416;3.0
ZHBID;19900417;2.5
ZHBID;19900418;4.0
ZHBID;19900419;0.0
ZHBID;19900420;0.0
ZHBID;19900421;0.0
ZHBID;19900422;2.5
ZHBID;19900423;12.0
ZHBID;19900424;1.0
ZHBID;19900425;4.5
ZHBID;19900426;3.0
ZHBID;19900427;0.0
ZHBID;19900428;0.0
ZHBID;19900429;0.0
ZHBID;19900430;0.0
ZHBID;19900501;0.0
ZHBID;19900502;0.0
ZHBID;19900503;0.0
ZHBID;19900504;0.0
ZHBID;19900505;0.0
ZHBID;19900506;9.5
ZHBID;19900507;1.0
ZHBID;19900508;1.0
ZHBID;19900509;1.0
ZHBID;19900510;31.0
ZHBID;19900511;8.0
ZHBID;19900512;0.0
ZHBID;19900513;8.5
ZHBID;19900514;5.5
ZHBID;19900515;0.0
ZHBID;19900516;7.0
ZHBID;19900517;0.0
ZHBID;19900518;0.0
ZHBID;19900519;1.0
ZHBID;19900520;0.0
ZHBID;19900521;7.5
ZHBID;19900522;0.5
ZHBID;19900523;0.0
ZHBID;19900524;5.0
ZHBID;19900525;27.5
ZHBID;19900526;0.0
ZHBID;19900527;0.0
ZHBID;19900528;0.0
ZHBID;19900529;0.0
ZHBID;19900530;0.0
ZHBID;19900531;0.0
ZHBID;19900601;0.0
ZHBID;19900602;19.0
ZHBID;19900603;2.0
ZHBID;19900604;12.0
ZHBID;19900605;8.5
ZHBID;19900606;4.5
ZHBID;19900607;3.5
ZHBID;19900608;15.0
ZHBID;19900609;7.0
ZHBID;19900610;5.5
ZHBID;19900611;0.0
ZHBID;19900612;6.5
ZHBID;19900613;4.0
ZHBID;19900614;0.0
ZHBID;19900615;0.0
ZHBID;19900616;0.0
ZHBID;19900617;0.0
ZHBID;19900618;1.5
ZHBID;19900619;5.0
ZHBID;19900620;19.0
ZHBID;19900621;0.5
ZHBID;19900622;6.5
ZHBID;19900623;1.0
ZHBID;19900624;0.0
ZHBID;19900625;0.0
ZHBID;19900626;0.0
ZHBID;19900627;18.5
ZHBID;19900628;0.5
ZHBID;19900629;20.5
ZHBID;19900630;11.0
ZHBID;19900701;5.5
ZHBID;19900702;0.0
ZHBID;19900703;30.0
ZHBID;19900704;0.0
ZHBID;19900705;9.0
ZHBID;19900706;0.0
ZHBID;19900707;8.0
ZHBID;19900708;1.0
ZHBID;19900709;1.0
ZHBID;19900710;0.0
ZHBID;19900711;0.0
