 

stn;time;rre150d0
ZHMON;19900101;0.0
ZHMON;19900102;0.0
ZHMON;19900103;0.0
ZHMON;19900104;0.0
ZHMON;19900105;0.0
ZHMON;19900106;5.0
ZHMON;19900107;0.0
ZHMON;19900108;0.0
ZHMON;19900109;0.0
ZHMON;19900110;0.0
ZHMON;19900111;0.0
ZHMON;19900112;0.0
ZHMON;19900113;0.0
ZHMON;19900114;0.0
ZHMON;19900115;0.0
ZHMON;19900116;0.0
ZHMON;19900117;0.0
ZHMON;19900118;1.5
ZHMON;19900119;0.0
ZHMON;19900120;0.5
ZHMON;19900121;0.5
ZHMON;19900122;0.0
ZHMON;19900123;0.0
ZHMON;19900124;2.0
ZHMON;19900125;5.0
ZHMON;19900126;4.5
ZHMON;19900127;0.0
ZHMON;19900128;1.5
ZHMON;19900129;0.0
ZHMON;19900130;0.0
ZHMON;19900131;0.0
ZHMON;19900201;0.0
ZHMON;19900202;7.0
ZHMON;19900203;0.0
ZHMON;19900204;0.0
ZHMON;19900205;0.0
ZHMON;19900206;0.0
ZHMON;19900207;0.0
ZHMON;19900208;0.0
ZHMON;19900209;0.0
ZHMON;19900210;0.5
ZHMON;19900211;16.5
ZHMON;19900212;7.5
ZHMON;19900213;8.5
ZHMON;19900214;37.0
ZHMON;19900215;14.5
ZHMON;19900216;3.0
ZHMON;19900217;1.0
ZHMON;19900218;0.0
ZHMON;19900219;0.0
ZHMON;19900220;0.0
ZHMON;19900221;0.0
ZHMON;19900222;0.0
ZHMON;19900223;0.0
ZHMON;19900224;0.0
ZHMON;19900225;0.0
ZHMON;19900226;10.5
ZHMON;19900227;17.0
ZHMON;19900228;6.0
ZHMON;19900301;5.5
ZHMON;19900302;6.0
ZHMON;19900303;0.0
ZHMON;19900304;0.0
ZHMON;19900305;0.0
ZHMON;19900306;0.0
ZHMON;19900307;0.0
ZHMON;19900308;0.0
ZHMON;19900309;0.0
ZHMON;19900310;0.0
ZHMON;19900311;0.0
ZHMON;19900312;0.0
ZHMON;19900313;0.0
ZHMON;19900314;9.5
ZHMON;19900315;0.0
ZHMON;19900316;0.0
ZHMON;19900317;0.0
ZHMON;19900318;0.0
ZHMON;19900319;0.0
ZHMON;19900320;1.5
ZHMON;19900321;0.0
ZHMON;19900322;1.0
