 

stn;time;rre150d0
ZHNIE;19900101;0.0
ZHNIE;19900102;0.0
ZHNIE;19900103;0.0
ZHNIE;19900104;0.0
ZHNIE;19900105;0.0
ZHNIE;19900106;2.0
ZHNIE;19900107;0.0
ZHNIE;19900108;0.0
ZHNIE;19900109;0.0
ZHNIE;19900110;0.0
ZHNIE;19900111;0.0
ZHNIE;19900112;0.0
ZHNIE;19900113;0.0
ZHNIE;19900114;0.0
ZHNIE;19900115;0.0
ZHNIE;19900116;0.0
ZHNIE;19900117;0.0
ZHNIE;19900118;5.0
ZHNIE;19900119;0.0
ZHNIE;19900120;0.0
ZHNIE;19900121;0.0
ZHNIE;19900122;0.0
ZHNIE;19900123;0.0
ZHNIE;19900124;2.5
ZHNIE;19900125;10.0
ZHNIE;19900126;7.0
ZHNIE;19900127;0.0
ZHNIE;19900128;1.5
ZHNIE;19900129;0.0
ZHNIE;19900130;0.0
ZHNIE;19900131;0.0
ZHNIE;19900201;0.0
ZHNIE;19900202;2.0
ZHNIE;19900203;0.0
ZHNIE;19900204;0.0
ZHNIE;19900205;0.0
ZHNIE;19900206;0.0
ZHNIE;19900207;0.0
ZHNIE;19900208;0.0
ZHNIE;19900209;0.0
ZHNIE;19900210;2.0
ZHNIE;19900211;9.5
ZHNIE;19900212;5.0
ZHNIE;19900213;26.0
ZHNIE;19900214;62.0
ZHNIE;19900215;28.0
ZHNIE;19900216;2.0
ZHNIE;19900217;0.0
ZHNIE;19900218;0.0
ZHNIE;19900219;0.0
ZHNIE;19900220;0.0
ZHNIE;19900221;0.0
ZHNIE;19900222;0.0
ZHNIE;19900223;0.0
ZHNIE;19900224;0.0
ZHNIE;19900225;0.0
ZHNIE;19900226;19.0
ZHNIE;19900227;17.5
ZHNIE;19900228;19.0
ZHNIE;19900301;7.0
ZHNIE;19900302;0.0
ZHNIE;19900303;0.0
ZHNIE;19900304;0.0
ZHNIE;19900305;0.0
ZHNIE;19900306;0.0
ZHNIE;19900307;0.0
ZHNIE;19900308;0.0
ZHNIE;19900309;0.0
ZHNIE;19900310;0.0
ZHNIE;19900311;0.0
ZHNIE;19900312;0.0
ZHNIE;19900313;0.0
ZHNIE;19900314;4.0
ZHNIE;19900315;0.0
ZHNIE;19900316;0.0
ZHNIE;19900317;0.0
ZHNIE;19900318;0.0
ZHNIE;19900319;0.0
ZHNIE;19900320;0.0
ZHNIE;19900321;0.0
ZHNIE;19900322;0.5
ZHNIE;19900323;4.0
ZHNIE;19900324;0.0
ZHNIE;19900325;4.5
ZHNIE;19900326;0.0
ZHNIE;19900327;6.0
ZHNIE;19900328;7.0
ZHNIE;19900329;0.0
ZHNIE;19900330;0.0
ZHNIE;19900331;0.0
ZHNIE;19900401;0.0
ZHNIE;19900402;0.0
ZHNIE;19900403;6.0
ZHNIE;19900404;0.0
