 

stn;time;rre150d0
ZHTUR;19900101;0.0
ZHTUR;19900102;0.0
ZHTUR;19900103;0.0
ZHTUR;19900104;0.0
ZHTUR;19900105;0.0
ZHTUR;19900106;3.5
ZHTUR;19900107;0.0
ZHTUR;19900108;0.0
ZHTUR;19900109;0.0
ZHTUR;19900110;0.0
ZHTUR;19900111;0.0
ZHTUR;19900112;0.0
ZHTUR;19900113;0.0
ZHTUR;19900114;0.0
ZHTUR;19900115;0.0
ZHTUR;19900116;0.0
ZHTUR;19900117;0.0
ZHTUR;19900118;4.5
ZHTUR;19900119;0.0
ZHTUR;19900120;1.0
ZHTUR;19900121;0.0
ZHTUR;19900122;0.0
ZHTUR;19900123;0.0
ZHTUR;19900124;5.0
ZHTUR;19900125;3.5
ZHTUR;19900126;7.0
ZHTUR;19900127;0.0
ZHTUR;19900128;1.5
ZHTUR;19900129;0.5
ZHTUR;19900130;0.0
ZHTUR;19900131;0.0
ZHTUR;19900201;0.0
ZHTUR;19900202;8.5
ZHTUR;19900203;0.0
ZHTUR;19900204;0.0
ZHTUR;19900205;0.0
ZHTUR;19900206;0.0
ZHTUR;19900207;0.0
ZHTUR;19900208;0.0
ZHTUR;19900209;0.0
ZHTUR;19900210;0.0
ZHTUR;19900211;12.0
ZHTUR;19900212;2.0
ZHTUR;19900213;13.0
ZHTUR;19900214;31.0
ZHTUR;19900215;18.0
ZHTUR;19900216;3.0
ZHTUR;19900217;1.5
ZHTUR;19900218;0.0
ZHTUR;19900219;0.0
ZHTUR;19900220;0.0
ZHTUR;19900221;0.0
ZHTUR;19900222;0.0
ZHTUR;19900223;0.0
ZHTUR;19900224;0.0
ZHTUR;19900225;0.0
ZHTUR;19900226;14.5
ZHTUR;19900227;16.5
ZHTUR;19900228;8.0
ZHTUR;19900301;4.0
ZHTUR;19900302;0.5
ZHTUR;19900303;0.0
ZHTUR;19900304;0.0
ZHTUR;19900305;0.0
ZHTUR;19900306;0.0
ZHTUR;19900307;0.0
ZHTUR;19900308;0.0
ZHTUR;19900309;0.0
ZHTUR;19900310;0.0
ZHTUR;19900311;0.0
ZHTUR;19900312;0.0
ZHTUR;19900313;0.0
ZHTUR;19900314;6.5
ZHTUR;19900315;0.0
ZHTUR;19900316;0.0
ZHTUR;19900317;0.0
ZHTUR;19900318;0.0
ZHTUR;19900319;0.0
ZHTUR;19900320;1.0
ZHTUR;19900321;0.0
ZHTUR;19900322;0.0
ZHTUR;19900323;12.0
ZHTUR;19900324;0.0
ZHTUR;19900325;7.5
ZHTUR;19900326;1.0
ZHTUR;19900327;8.0
ZHTUR;19900328;17.0
ZHTUR;19900329;5.0
ZHTUR;19900330;0.5
ZHTUR;19900331;0.0
ZHTUR;19900401;0.0
ZHTUR;19900402;0.0
ZHTUR;19900403;9.0
ZHTUR;19900404;0.0
ZHTUR;19900405;0.0
ZHTUR;19900406;0.5
ZHTUR;19900407;5.0
ZHTUR;19900408;2.0
ZHTUR;19900409;0.0
ZHTUR;19900410;0.0
ZHTUR;19900411;5.5
ZHTUR;19900412;4.5
ZHTUR;19900413;0.0
ZHTUR;19900414;1.0
ZHTUR;19900415;9.5
ZHTUR;19900416;3.5
ZHTUR;19900417;1.5
ZHTUR;19900418;3.5
ZHTUR;19900419;0.0
ZHTUR;19900420;0.0
ZHTUR;19900421;0.0
ZHTUR;19900422;6.0
ZHTUR;19900423;3.5
ZHTUR;19900424;2.0
ZHTUR;19900425;0.0
ZHTUR;19900426;4.5
ZHTUR;19900427;0.5
ZHTUR;19900428;0.0
ZHTUR;19900429;0.0
ZHTUR;19900430;0.0
ZHTUR;19900501;0.0
ZHTUR;19900502;0.0
ZHTUR;19900503;0.0
ZHTUR;19900504;0.0
ZHTUR;19900505;0.0
ZHTUR;19900506;3.5
ZHTUR;19900507;0.5
ZHTUR;19900508;1.0
ZHTUR;19900509;2.0
ZHTUR;19900510;12.0
ZHTUR;19900511;9.5
ZHTUR;19900512;0.0
ZHTUR;19900513;3.0
ZHTUR;19900514;3.0
ZHTUR;19900515;0.0
ZHTUR;19900516;0.0
ZHTUR;19900517;0.0
ZHTUR;19900518;0.0
ZHTUR;19900519;0.0
ZHTUR;19900520;0.0
ZHTUR;19900521;4.5
ZHTUR;19900522;0.0
ZHTUR;19900523;4.0
ZHTUR;19900524;8.0
ZHTUR;19900525;42.5
ZHTUR;19900526;0.0
ZHTUR;19900527;0.0
ZHTUR;19900528;0.5
ZHTUR;19900529;0.0
ZHTUR;19900530;0.0
ZHTUR;19900531;0.0
ZHTUR;19900601;0.0
ZHTUR;19900602;19.5
ZHTUR;19900603;0.5
ZHTUR;19900604;10.0
ZHTUR;19900605;5.5
ZHTUR;19900606;10.0
ZHTUR;19900607;2.0
ZHTUR;19900608;21.0
ZHTUR;19900609;8.0
ZHTUR;19900610;17.5
ZHTUR;19900611;1.0
ZHTUR;19900612;7.0
ZHTUR;19900613;6.0
ZHTUR;19900614;0.0
ZHTUR;19900615;0.0
ZHTUR;19900616;0.0
ZHTUR;19900617;0.0
ZHTUR;19900618;10.0
ZHTUR;19900619;0.5
ZHTUR;19900620;12.5
ZHTUR;19900621;1.5
ZHTUR;19900622;5.5
ZHTUR;19900623;1.0
ZHTUR;19900624;0.0
ZHTUR;19900625;0.0
ZHTUR;19900626;0.0
ZHTUR;19900627;6.5
ZHTUR;19900628;3.0
ZHTUR;19900629;14.5
ZHTUR;19900630;7.0
ZHTUR;19900701;4.0
ZHTUR;19900702;0.0
ZHTUR;19900703;22.0
ZHTUR;19900704;0.5
ZHTUR;19900705;11.5
ZHTUR;19900706;1.0
ZHTUR;19900707;7.5
ZHTUR;19900708;7.0
ZHTUR;19900709;0.5
ZHTUR;19900710;0.5
ZHTUR;19900711;0.0
ZHTUR;19900712;0.0
ZHTUR;19900713;0.0
ZHTUR;19900714;0.0
ZHTUR;19900715;0.0
ZHTUR;19900716;0.0
ZHTUR;19900717;0.0
ZHTUR;19900718;0.0
ZHTUR;19900719;0.0
ZHTUR;19900720;0.0
ZHTUR;19900721;0.0
ZHTUR;19900722;0.0
ZHTUR;19900723;0.0
ZHTUR;19900724;0.0
ZHTUR;19900725;0.0
ZHTUR;19900726;0.0
ZHTUR;19900727;0.0
ZHTUR;19900728;0.0
ZHTUR;19900729;0.0
ZHTUR;19900730;47.5
ZHTUR;19900731;2.0
ZHTUR;19900801;0.0
ZHTUR;19900802;0.0
ZHTUR;19900803;0.0
ZHTUR;19900804;0.0
ZHTUR;19900805;0.5
ZHTUR;19900806;2.0
ZHTUR;19900807;0.0
ZHTUR;19900808;0.0
ZHTUR;19900809;0.0
ZHTUR;19900810;0.0
ZHTUR;19900811;0.0
ZHTUR;19900812;0.0
ZHTUR;19900813;0.0
ZHTUR;19900814;1.5
ZHTUR;19900815;3.5
ZHTUR;19900816;7.5
ZHTUR;19900817;5.5
ZHTUR;19900818;0.0
ZHTUR;19900819;0.0
ZHTUR;19900820;0.0
ZHTUR;19900821;0.0
ZHTUR;19900822;0.0
ZHTUR;19900823;0.0
ZHTUR;19900824;0.0
ZHTUR;19900825;12.5
ZHTUR;19900826;3.0
ZHTUR;19900827;0.0
ZHTUR;19900828;0.0
ZHTUR;19900829;0.0
ZHTUR;19900830;8.0
ZHTUR;19900831;16.5
ZHTUR;19900901;0.0
ZHTUR;19900902;0.0
ZHTUR;19900903;4.0
ZHTUR;19900904;5.5
ZHTUR;19900905;0.5
ZHTUR;19900906;0.0
ZHTUR;19900907;13.0
ZHTUR;19900908;1.5
ZHTUR;19900909;0.0
ZHTUR;19900910;0.0
ZHTUR;19900911;2.0
ZHTUR;19900912;0.0
ZHTUR;19900913;0.0
ZHTUR;19900914;0.0
ZHTUR;19900915;0.5
ZHTUR;19900916;0.0
ZHTUR;19900917;0.0
ZHTUR;19900918;0.5
ZHTUR;19900919;0.0
ZHTUR;19900920;0.0
ZHTUR;19900921;0.0
ZHTUR;19900922;4.5
ZHTUR;19900923;35.0
ZHTUR;19900924;8.5
ZHTUR;19900925;0.0
ZHTUR;19900926;0.0
ZHTUR;19900927;0.0
ZHTUR;19900928;0.0
ZHTUR;19900929;0.0
ZHTUR;19900930;19.0
ZHTUR;19901001;15.0
ZHTUR;19901002;0.5
ZHTUR;19901003;0.0
ZHTUR;19901004;18.0
ZHTUR;19901005;0.0
ZHTUR;19901006;0.0
ZHTUR;19901007;3.0
ZHTUR;19901008;2.0
ZHTUR;19901009;0.0
ZHTUR;19901010;0.0
ZHTUR;19901011;0.0
ZHTUR;19901012;0.0
ZHTUR;19901013;0.0
ZHTUR;19901014;0.0
ZHTUR;19901015;0.0
ZHTUR;19901016;0.0
ZHTUR;19901017;2.0
ZHTUR;19901018;2.0
ZHTUR;19901019;0.0
ZHTUR;19901020;0.0
ZHTUR;19901021;0.0
ZHTUR;19901022;0.0
ZHTUR;19901023;0.0
ZHTUR;19901024;0.0
ZHTUR;19901025;0.0
ZHTUR;19901026;1.0
ZHTUR;19901027;1.0
ZHTUR;19901028;2.0
ZHTUR;19901029;40.0
ZHTUR;19901030;9.5
ZHTUR;19901031;27.0
ZHTUR;19901101;0.5
ZHTUR;19901102;9.0
ZHTUR;19901103;7.5
ZHTUR;19901104;9.0
ZHTUR;19901105;8.5
ZHTUR;19901106;1.5
ZHTUR;19901107;0.0
ZHTUR;19901108;0.0
ZHTUR;19901109;0.0
ZHTUR;19901110;1.0
ZHTUR;19901111;25.0
ZHTUR;19901112;1.0
ZHTUR;19901113;0.0
ZHTUR;19901114;10.0
ZHTUR;19901115;14.5
ZHTUR;19901116;1.0
ZHTUR;19901117;0.0
ZHTUR;19901118;0.0
ZHTUR;19901119;5.0
ZHTUR;19901120;2.0
ZHTUR;19901121;18.0
ZHTUR;19901122;4.0
ZHTUR;19901123;8.0
ZHTUR;19901124;3.5
ZHTUR;19901125;9.0
ZHTUR;19901126;2.0
ZHTUR;19901127;0.0
ZHTUR;19901128;5.0
ZHTUR;19901129;1.0
ZHTUR;19901130;2.0
ZHTUR;19901201;0.0
ZHTUR;19901202;0.0
ZHTUR;19901203;0.0
ZHTUR;19901204;0.0
ZHTUR;19901205;1.5
ZHTUR;19901206;0.0
ZHTUR;19901207;0.0
ZHTUR;19901208;0.0
ZHTUR;19901209;0.0
ZHTUR;19901210;0.0
ZHTUR;19901211;3.0
ZHTUR;19901212;0.0
ZHTUR;19901213;1.0
ZHTUR;19901214;0.0
ZHTUR;19901215;0.0
ZHTUR;19901216;0.0
ZHTUR;19901217;0.0
ZHTUR;19901218;1.5
ZHTUR;19901219;1.0
ZHTUR;19901220;2.0
ZHTUR;19901221;9.0
ZHTUR;19901222;5.5
ZHTUR;19901223;0.0
