 

stn;time;rre150d0
ZHWIN;19900101;0.0
ZHWIN;19900102;0.0
ZHWIN;19900103;0.0
ZHWIN;19900104;0.0
ZHWIN;19900105;0.0
ZHWIN;19900106;1.5
ZHWIN;19900107;0.0
ZHWIN;19900108;0.0
ZHWIN;19900109;0.0
ZHWIN;19900110;0.0
ZHWIN;19900111;0.0
ZHWIN;19900112;0.0
ZHWIN;19900113;0.0
ZHWIN;19900114;0.0
ZHWIN;19900115;0.0
ZHWIN;19900116;0.0
ZHWIN;19900117;0.0
ZHWIN;19900118;5.0
ZHWIN;19900119;0.0
ZHWIN;19900120;0.0
ZHWIN;19900121;0.0
ZHWIN;19900122;0.0
ZHWIN;19900123;0.0
ZHWIN;19900124;2.0
ZHWIN;19900125;5.0
ZHWIN;19900126;8.5
ZHWIN;19900127;0.0
ZHWIN;19900128;2.5
ZHWIN;19900129;0.5
ZHWIN;19900130;0.0
ZHWIN;19900131;0.0
ZHWIN;19900201;0.0
ZHWIN;19900202;6.0
ZHWIN;19900203;0.0
ZHWIN;19900204;0.0
ZHWIN;19900205;0.0
ZHWIN;19900206;0.0
ZHWIN;19900207;0.0
ZHWIN;19900208;0.5
ZHWIN;19900209;0.0
ZHWIN;19900210;2.0
ZHWIN;19900211;6.0
ZHWIN;19900212;3.0
ZHWIN;19900213;9.5
ZHWIN;19900214;24.0
ZHWIN;19900215;12.5
ZHWIN;19900216;3.0
ZHWIN;19900217;0.5
ZHWIN;19900218;0.0
ZHWIN;19900219;0.0
ZHWIN;19900220;0.0
ZHWIN;19900221;0.0
ZHWIN;19900222;0.0
ZHWIN;19900223;0.0
ZHWIN;19900224;0.0
ZHWIN;19900225;0.0
ZHWIN;19900226;12.5
ZHWIN;19900227;17.0
ZHWIN;19900228;8.0
ZHWIN;19900301;5.5
ZHWIN;19900302;0.5
ZHWIN;19900303;0.0
ZHWIN;19900304;0.0
ZHWIN;19900305;0.0
ZHWIN;19900306;0.0
ZHWIN;19900307;0.0
ZHWIN;19900308;0.0
ZHWIN;19900309;0.0
ZHWIN;19900310;0.0
ZHWIN;19900311;0.0
ZHWIN;19900312;0.0
ZHWIN;19900313;0.0
ZHWIN;19900314;4.0
ZHWIN;19900315;0.0
ZHWIN;19900316;0.0
ZHWIN;19900317;0.0
ZHWIN;19900318;0.0
ZHWIN;19900319;0.0
ZHWIN;19900320;1.0
ZHWIN;19900321;0.0
ZHWIN;19900322;1.5
ZHWIN;19900323;7.5
ZHWIN;19900324;0.0
ZHWIN;19900325;5.0
ZHWIN;19900326;0.0
ZHWIN;19900327;12.5
ZHWIN;19900328;8.0
ZHWIN;19900329;0.5
ZHWIN;19900330;0.5
ZHWIN;19900331;0.0
ZHWIN;19900401;0.0
ZHWIN;19900402;0.0
ZHWIN;19900403;9.0
ZHWIN;19900404;0.0
ZHWIN;19900405;0.0
ZHWIN;19900406;2.0
ZHWIN;19900407;3.0
ZHWIN;19900408;2.5
ZHWIN;19900409;1.5
ZHWIN;19900410;0.0
ZHWIN;19900411;3.5
ZHWIN;19900412;0.5
ZHWIN;19900413;0.0
ZHWIN;19900414;0.0
ZHWIN;19900415;10.0
ZHWIN;19900416;2.5
ZHWIN;19900417;0.5
ZHWIN;19900418;1.5
ZHWIN;19900419;0.0
ZHWIN;19900420;0.0
ZHWIN;19900421;0.0
ZHWIN;19900422;3.0
ZHWIN;19900423;2.5
ZHWIN;19900424;3.0
ZHWIN;19900425;0.5
ZHWIN;19900426;1.5
ZHWIN;19900427;0.0
ZHWIN;19900428;0.0
ZHWIN;19900429;0.0
ZHWIN;19900430;0.0
ZHWIN;19900501;0.0
ZHWIN;19900502;0.0
ZHWIN;19900503;0.0
ZHWIN;19900504;0.0
ZHWIN;19900505;0.0
ZHWIN;19900506;13.5
ZHWIN;19900507;0.5
ZHWIN;19900508;0.0
ZHWIN;19900509;0.0
ZHWIN;19900510;12.0
ZHWIN;19900511;11.5
ZHWIN;19900512;0.0
ZHWIN;19900513;3.0
ZHWIN;19900514;3.0
ZHWIN;19900515;0.0
ZHWIN;19900516;0.0
ZHWIN;19900517;0.0
ZHWIN;19900518;0.0
ZHWIN;19900519;0.0
ZHWIN;19900520;0.0
ZHWIN;19900521;11.5
ZHWIN;19900522;0.0
ZHWIN;19900523;2.0
ZHWIN;19900524;1.5
ZHWIN;19900525;16.0
ZHWIN;19900526;0.0
ZHWIN;19900527;0.0
ZHWIN;19900528;0.0
ZHWIN;19900529;0.0
ZHWIN;19900530;0.0
ZHWIN;19900531;0.0
ZHWIN;19900601;0.0
ZHWIN;19900602;16.0
ZHWIN;19900603;1.0
ZHWIN;19900604;6.5
