 

stn;time;rre150d0
ZHZEL;19900101;0.0
ZHZEL;19900102;0.0
ZHZEL;19900103;0.0
ZHZEL;19900104;0.0
ZHZEL;19900105;0.0
ZHZEL;19900106;4.0
ZHZEL;19900107;0.0
ZHZEL;19900108;0.0
ZHZEL;19900109;0.0
ZHZEL;19900110;0.0
ZHZEL;19900111;0.0
ZHZEL;19900112;0.0
ZHZEL;19900113;0.0
ZHZEL;19900114;0.0
ZHZEL;19900115;0.0
ZHZEL;19900116;0.0
ZHZEL;19900117;0.0
ZHZEL;19900118;4.5
ZHZEL;19900119;0.0
ZHZEL;19900120;0.5
ZHZEL;19900121;0.0
ZHZEL;19900122;0.0
ZHZEL;19900123;0.0
ZHZEL;19900124;4.0
ZHZEL;19900125;3.5
ZHZEL;19900126;8.5
ZHZEL;19900127;0.0
ZHZEL;19900128;1.5
ZHZEL;19900129;0.5
ZHZEL;19900130;0.0
ZHZEL;19900131;0.0
ZHZEL;19900201;0.0
ZHZEL;19900202;9.0
ZHZEL;19900203;0.0
ZHZEL;19900204;0.0
ZHZEL;19900205;0.0
ZHZEL;19900206;0.0
ZHZEL;19900207;0.0
ZHZEL;19900208;0.0
ZHZEL;19900209;0.0
ZHZEL;19900210;1.0
ZHZEL;19900211;10.0
ZHZEL;19900212;3.5
ZHZEL;19900213;15.5
ZHZEL;19900214;31.0
ZHZEL;19900215;19.0
ZHZEL;19900216;2.5
ZHZEL;19900217;1.0
ZHZEL;19900218;0.0
ZHZEL;19900219;0.0
ZHZEL;19900220;0.0
ZHZEL;19900221;0.0
ZHZEL;19900222;0.0
ZHZEL;19900223;0.0
ZHZEL;19900224;0.0
ZHZEL;19900225;0.0
ZHZEL;19900226;14.0
ZHZEL;19900227;14.5
ZHZEL;19900228;9.0
ZHZEL;19900301;5.0
ZHZEL;19900302;1.5
ZHZEL;19900303;0.0
ZHZEL;19900304;0.0
ZHZEL;19900305;0.0
ZHZEL;19900306;0.0
ZHZEL;19900307;0.0
ZHZEL;19900308;0.0
ZHZEL;19900309;0.0
