 

stn;time;rre150d0
ZWK;19900101;0.0
ZWK;19900102;0.0
ZWK;19900103;0.0
ZWK;19900104;0.0
ZWK;19900105;0.1
ZWK;19900106;3.1
ZWK;19900107;0.0
ZWK;19900108;0.0
ZWK;19900109;0.0
ZWK;19900110;0.0
ZWK;19900111;0.0
ZWK;19900112;0.1
ZWK;19900113;0.1
ZWK;19900114;0.1
ZWK;19900115;0.3
ZWK;19900116;0.0
ZWK;19900117;0.1
ZWK;19900118;1.7
ZWK;19900119;0.0
ZWK;19900120;2.5
ZWK;19900121;0.2
ZWK;19900122;0.1
ZWK;19900123;0.5
ZWK;19900124;2.6
ZWK;19900125;8.2
ZWK;19900126;2.5
ZWK;19900127;0.0
ZWK;19900128;7.4
ZWK;19900129;0.0
ZWK;19900130;0.0
ZWK;19900131;0.0
ZWK;19900201;0.0
ZWK;19900202;5.1
ZWK;19900203;0.3
ZWK;19900204;0.0
ZWK;19900205;0.0
ZWK;19900206;0.0
ZWK;19900207;0.0
ZWK;19900208;0.6
ZWK;19900209;0.0
ZWK;19900210;4.2
ZWK;19900211;5.5
ZWK;19900212;6.7
ZWK;19900213;23.1
ZWK;19900214;48.2
ZWK;19900215;9.0
ZWK;19900216;7.3
ZWK;19900217;0.2
ZWK;19900218;0.0
ZWK;19900219;0.0
ZWK;19900220;0.0
ZWK;19900221;0.0
ZWK;19900222;0.0
ZWK;19900223;0.0
ZWK;19900224;0.0
ZWK;19900225;0.0
ZWK;19900226;15.8
ZWK;19900227;17.4
ZWK;19900228;14.2
ZWK;19900301;6.6
ZWK;19900302;0.7
ZWK;19900303;0.0
ZWK;19900304;0.0
ZWK;19900305;0.0
ZWK;19900306;0.0
ZWK;19900307;0.0
ZWK;19900308;0.1
ZWK;19900309;0.0
ZWK;19900310;0.0
ZWK;19900311;0.0
ZWK;19900312;0.0
ZWK;19900313;0.0
ZWK;19900314;8.7
ZWK;19900315;0.0
ZWK;19900316;0.0
ZWK;19900317;0.0
ZWK;19900318;0.0
ZWK;19900319;0.0
ZWK;19900320;5.2
ZWK;19900321;0.0
ZWK;19900322;12.2
ZWK;19900323;0.1
ZWK;19900324;0.0
ZWK;19900325;4.4
ZWK;19900326;2.7
ZWK;19900327;20.3
ZWK;19900328;4.0
ZWK;19900329;0.3
ZWK;19900330;0.0
ZWK;19900331;0.0
ZWK;19900401;0.0
ZWK;19900402;0.0
ZWK;19900403;4.3
ZWK;19900404;0.0
ZWK;19900405;0.6
ZWK;19900406;0.0
ZWK;19900407;2.9
ZWK;19900408;2.3
ZWK;19900409;1.0
ZWK;19900410;0.1
ZWK;19900411;3.2
ZWK;19900412;1.0
ZWK;19900413;0.0
ZWK;19900414;2.9
ZWK;19900415;5.6
ZWK;19900416;0.4
ZWK;19900417;7.9
ZWK;19900418;7.6
ZWK;19900419;0.0
ZWK;19900420;0.0
ZWK;19900421;0.0
ZWK;19900422;4.1
ZWK;19900423;14.5
ZWK;19900424;0.2
ZWK;19900425;13.4
ZWK;19900426;0.6
ZWK;19900427;0.3
ZWK;19900428;0.0
ZWK;19900429;0.0
ZWK;19900430;0.0
ZWK;19900501;0.0
ZWK;19900502;0.0
ZWK;19900503;0.0
ZWK;19900504;0.0
ZWK;19900505;0.0
ZWK;19900506;1.4
ZWK;19900507;1.8
ZWK;19900508;0.9
ZWK;19900509;1.1
ZWK;19900510;6.5
ZWK;19900511;14.6
ZWK;19900512;0.0
ZWK;19900513;12.1
ZWK;19900514;1.9
ZWK;19900515;3.3
ZWK;19900516;1.2
ZWK;19900517;0.0
ZWK;19900518;0.0
ZWK;19900519;2.7
ZWK;19900520;0.7
ZWK;19900521;12.6
ZWK;19900522;0.1
ZWK;19900523;0.0
ZWK;19900524;27.3
ZWK;19900525;9.5
ZWK;19900526;0.0
ZWK;19900527;0.0
ZWK;19900528;0.0
ZWK;19900529;0.0
ZWK;19900530;0.0
ZWK;19900531;0.0
ZWK;19900601;0.0
ZWK;19900602;21.0
ZWK;19900603;6.4
ZWK;19900604;13.8
ZWK;19900605;16.8
ZWK;19900606;0.0
ZWK;19900607;8.1
ZWK;19900608;14.1
ZWK;19900609;8.5
ZWK;19900610;4.3
ZWK;19900611;0.0
ZWK;19900612;12.8
ZWK;19900613;4.0
ZWK;19900614;0.0
ZWK;19900615;0.0
ZWK;19900616;0.0
ZWK;19900617;6.6
ZWK;19900618;0.0
ZWK;19900619;3.7
ZWK;19900620;24.2
ZWK;19900621;0.4
ZWK;19900622;4.6
ZWK;19900623;1.3
ZWK;19900624;0.0
ZWK;19900625;0.0
ZWK;19900626;0.0
ZWK;19900627;10.4
ZWK;19900628;0.0
