Datum;BIEL-BENKEN - Niederschlag (mm oder Liter/m2);AESCH-BL - Niederschlag (mm oder Liter/m2);WALLBACH - Niederschlag (mm oder Liter/m2);FRICK - Niederschlag (mm oder Liter/m2);OBERFLACHS - Niederschlag (mm oder Liter/m2);GRAENICHEN - Niederschlag (mm oder Liter/m2);SEENGEN - Niederschlag (mm oder Liter/m2);BIRMENSTORF - Niederschlag (mm oder Liter/m2);LEUGGERN - Niederschlag (mm oder Liter/m2);TEGERFELDEN - Niederschlag (mm oder Liter/m2);ENDINGEN - Niederschlag (mm oder Liter/m2);KUENTEN - Niederschlag (mm oder Liter/m2);STEINMAUR - Niederschlag (mm oder Liter/m2);WIL-SG - Niederschlag (mm oder Liter/m2);WIL-ZH - Niederschlag (mm oder Liter/m2);HALLAU - Niederschlag (mm oder Liter/m2);UHWIESEN - Niederschlag (mm oder Liter/m2);LINDAU - Niederschlag (mm oder Liter/m2);LIEBENSBERG - Niederschlag (mm oder Liter/m2);UESSLINGEN - Niederschlag (mm oder Liter/m2);MAMMERN - Niederschlag (mm oder Liter/m2);DETTIGHOFEN - Niederschlag (mm oder Liter/m2);THUNDORF - Niederschlag (mm oder Liter/m2);WEINFELDEN - Niederschlag (mm oder Liter/m2)
01.01.2011;0;0.6;0;0;0;0.8;0;0.2;0;0;0;39.6;0;1;0;0.6;0.6;0.4;1.8;1;0.6;0.8;0;2
02.01.2011;0;0;0;0.2;0;0.2;9.2;0.2;0.2;0.6;0.2;5;0.2;0;0;0.2;0.2;0.4;0.2;0;1.6;0.6;0;1
03.01.2011;0;0.4;0.2;0;0;0;0;0;0;0;0;4.8;0;0.2;0;0;0;0;0;0.2;14.8;0.2;0;0.2
04.01.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;0;0;0
05.01.2011;0.6;1.4;0;0;12;0.2;0;0;0;0;0;0;0.2;1.4;0;0;0;0;0.8;1.4;0;0.2;0;1.2
06.01.2011;4.2;1.8;4;4;1.2;1.4;1.8;3.2;7;10.6;4.4;2;5;5.8;9;7.4;7.4;5.2;10;5.8;1.6;10.6;0.4;6.4
07.01.2011;5.2;6.6;2.4;9.3;3;0.8;0.8;4.6;9.2;7.4;3;3;4;2.2;5;7.2;7.2;4;2.6;2.2;1.2;2.2;0.2;2.6
08.01.2011;3.8;5.8;0.8;8.3;5.6;4.4;4.6;10.4;8;9.8;4.8;5.4;6.2;1.2;10;13;13;3;1.8;1.2;0;1.4;0.2;1.6
09.01.2011;9.6;14;0.2;22;16.4;12.4;9.2;18;6.4;22;15.2;13.6;11.6;3.4;14;28;28;13;6.8;3.4;0;4.2;0;3.4
10.01.2011;0.8;0.4;0.2;2.4;2.6;2.6;3.2;5.2;0;4.2;3.2;4.8;3.4;6.8;4;1.8;1.8;6.8;5.2;6.8;0;3.2;0;7.6
11.01.2011;3;4.4;2;6;8;7.2;7.2;0.6;8.2;6.4;9.2;6.6;13.6;1;7;4.6;4.6;6.8;3;1;0;2.2;0.2;1.6
12.01.2011;1.4;2.8;3.2;13.8;8;8.6;6.6;0;9.6;6.2;4.2;6;4.6;5;2;2.6;2.6;6;3.6;5;0;3;0.2;4.2
13.01.2011;0.8;0.8;42.6;28.7;19.6;20.6;17.8;2.4;11.6;11.8;9.8;14;8;6.6;7;5;5;7.6;4.8;6.6;0;5.6;17.4;5.6
14.01.2011;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0.2;0.2
15.01.2011;1.2;1.8;0;2.8;2.8;2.8;3.8;1.2;5.2;4.6;2.4;4;5;2.4;2;1.8;1.8;3.4;2;2.4;19;1.4;0.2;2.2
16.01.2011;0;0;0;0;0;26.4;0;0;0.2;0.2;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2011;0;0;0;0.2;0.2;21.6;54.4;0.2;0.2;0.8;0.2;0.2;0.2;0;0;0.2;0.2;0.2;0.2;0;0;0.4;0;0.2
18.01.2011;0;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.01.2011;4.4;5.8;0;0.9;2;1;1.6;1.2;1.8;0.6;0;10.8;0;5.4;2;0.4;0.4;4.4;6;5.4;0;7.6;0;8
20.01.2011;0.2;1.4;0.2;1;0.4;35;1.4;0.2;1.6;0;5.8;3;5.8;0.2;2;1.6;1.6;3;1.8;0.2;0;1;0;0.2
21.01.2011;0;0.6;0;0.2;0;134;148.6;0;0;;0.2;2;0.2;0;0;0;0;0.4;0;0;0;0;0;0
22.01.2011;0;0;0;0;0;291.4;293.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0
23.01.2011;0;0.6;0;0;0;295;189.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0
24.01.2011;0;0.4;0;0;0;167;15.2;0;0;0.2;0;0.2;0;0;0;0;0;0;0.2;0;0.2;0;0;0
25.01.2011;0.4;0;0.2;0;0;0;0.6;0;0;0;0;0.4;0;0.4;0;0;0;0;0;0.4;0.8;0;0;0.4
26.01.2011;0;0.6;6.4;3;0;0.4;0.6;0.2;2.6;1.6;1.4;1;1.4;0.4;1;1.2;1.2;0.2;0.2;0.4;1.2;0.8;0;1.2
27.01.2011;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0.2;0;0
28.01.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.2;0
29.01.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0
30.01.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;0;0;0
31.01.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0
02.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;1.2;0;0;0
03.02.2011;0.2;0.2;0.2;0;0;0.4;0.6;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2011;0.2;0.4;0.8;0;0;0;0;0.2;0.2;0;0.4;0.2;0.4;0;0;0.2;0.2;0;0;0;0.2;0;0;0
05.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2011;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2011;0;0;0;0.1;0;0;0;0;0;0;0.4;0;0.4;0;0;0;0;0;0;0;0;0;0;0
10.02.2011;0;0.2;0;0;0;23.2;0.2;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;;0;0
11.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
12.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
13.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
14.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
15.02.2011;3.6;3.2;2;0.8;0.4;1;0.8;0.2;0.6;0.6;0.8;0.8;0.8;0;2;1.4;1.4;0.6;0.4;0;0;;0.2;0.6
16.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0;;0;0
17.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
18.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
19.02.2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.02.2011;11.8;11.2;13;13.8;12.2;12.2;12;25.8;6.4;11.2;9.4;17.2;8.8;3.4;10;9.2;9.2;6.8;5;3.4;0;5.4;0;4.8
